,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,오스코텍,A039200,41600,12445,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,바이오,0.00,33.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-285.63,23.44,-8.21,3.64,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-78.40,17.31,-23.60,-1992.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,429.60,46.20,36.07,1.26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,247.56,218.59,171.1,183.36,35.54,39.08,187.03,43.69,434.71,67,,, 매출액,9.23,9.5,155.26,7.83,262.11,,
, 영업이익,-7.73,-8.85,-7.56,6.86,-66.55,-58.06,61.78,-198.56,15.8,-273,,, 영업이익,-63.4,-70.13,72.1,-77.16,91,,
, 지배주주순이익,-144.76,-39.71,-20.22,3.95,-83.83,-58.57,34.71,-224.36,-43.57,-301,,, 지배주주순이익,-78.64,-64.49,57.9,-68.88,31.9,,
, 매출총이익율(%),32.84,42.9,44.36,46.26,57.91,57.04,86.96,52.05,95.64,0,,, 매출총이익율(%),53.41,52.11,97.36,45.47,97.71,,
, 판관비율(%),35.97,46.95,48.78,42.53,245.16,205.58,53.94,506.52,92.01,0,,, 판관비율(%),740.3,790.32,50.92,1030.91,62.99,,
, 영업이익률(%),-3.12,-4.05,-4.42,3.74,-187.25,-148.57,33.03,-454.47,3.63,-407.46,,, 영업이익률(%),-686.89,-738.21,46.44,-985.44,34.72,,
, 매출액 YOY(%),-4.66,-11.7,-21.7,7.2,-80.6,10,378.6,-76.6,895,-84.6,,, 매출액 YOY(%),-94.02,-13.48,1294.97,-36.6,2739.76,,
, 영업이익 YOY(%),-226.69,-14.5,14.6,190.7,-1070.1,12.8,206.4,-421.4,108,-1827.8,,, 영업이익 YOY(%),-149.91,-53.9,249.4,-86.69,243.53,,
, 지배순이익 YOY(%),-487.39,72.6,49.1,119.5,-2222.3,30.1,159.3,-746.4,80.6,-590.8,,, 지배순이익 YOY(%),-179.94,-45.25,190.14,-85.76,140.56,,
, 매출액(개별),134.73,113.81,69.6,63.93,46.61,37,116.88,43.74,234.1,0,,, 매출액(개별),9.23,9.5,83.44,8.19,132.96,,
, 영업이익(개별),-6.05,-17.29,-8.24,6.43,-48.63,-35.21,21.93,-138.58,-98.26,0,,, 영업이익(개별),-46.91,-52.5,19.82,-45.41,-20.17,,
, 순이익(개별),-115.57,-45.59,-22.8,4.02,-46.7,-40.6,11.03,-150.24,-105.22,0,,, 순이익(개별),-51.41,-51.89,18.97,-46,-26.31,,
, 영업이익율(%개별),-4.49,-15.19,-11.84,10.06,-104.33,-95.16,18.76,-316.83,-41.97,0,,, 영업이익율(%개별),-508.23,-552.63,23.75,-554.46,-15.17,,
, 개별/연결 순익(%),79.84,114.81,112.76,101.77,55.71,69.32,31.78,66.96,241.5,0,,, 개별/연결 순익(%),65.37,80.46,32.76,66.78,-82.48,,
, 연간 주가 상승율,-54.37,5.47,12.39,258.97,2.14,130.07,37.39,6.64,172.2,-36.59,,, EPS,-262.87,-215.57,193.54,-230.25,106.63,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,,,,,,,,
, 시가총액,357.9,377.48,440.14,1696.67,1833.21,4482.75,6158.68,7037.27,19155.4,12445,,,,,,,,,,
, 주가,1645,1735,1950,7000,7150,16450,22600,24100,65600,41599.95,,,,,,,,,,
, EPS,-665.36,-182.52,-89.58,16.3,-326.96,-214.93,127.37,-768.35,-149.21,-1006.15,,,,,,,,,,
, BPS,1111.19,987.55,935.08,1081.44,557.58,779.5,1698.67,1756.42,1816.76,767.15,,,,,,,,,,
, EPS증가율(%),-487.4,72.6,50.9,118.2,-2106.3,34.3,159.3,-703.2,80.6,-574.3,,,,,,,,,,
