,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,헬릭스미스,A084990,25900,8875,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,바이오,0.00,71.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-10.71,3.21,-29.99,-1651.59,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-58.70,16.40,-24.30,-557.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,10131.00,629.40,38.90,1.48,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,38.88,57.46,61.38,76.95,68.44,31.58,31.27,44.55,43.04,43.05,,, 매출액,16.78,8.53,14.79,9.58,10.15,,
, 영업이익,-16.76,3.79,2.46,10.72,-19.83,-69.41,-199.9,-417.34,-711.01,-711.01,,, 영업이익,-100.19,-154.18,-228.06,-144.11,-184.66,,
, 지배주주순이익,-46.33,2.66,1.59,2.57,-7.14,-64.96,-287.29,-1070.37,-828.57,-828.57,,, 지배주주순이익,-941.83,-285.72,-209.67,-156.64,-176.54,,
, 매출총이익율(%),79.84,91.33,90.5,91.71,38.21,81.95,80.46,0.54,64.24,64.23,,, 매출총이익율(%),103.52,62.72,63.42,67.12,63.94,,
, 판관비율(%),122.97,84.74,86.48,77.76,67.18,301.74,719.73,937.33,1716.22,1715.82,,, 판관비율(%),700.6,1870.22,1605.41,1571.4,1883.25,,
, 영업이익률(%),-43.11,6.6,4.01,13.93,-28.97,-219.79,-639.27,-936.79,-1651.98,-1651.59,,, 영업이익률(%),-597.08,-1807.5,-1541.99,-1504.28,-1819.31,,
, 매출액 YOY(%),2.17,47.8,6.8,25.4,-11.1,-53.9,-1,42.5,-3.4,0.02,,, 매출액 YOY(%),91.55,83.05,55.03,-29.4,-39.51,,
, 영업이익 YOY(%),45.11,122.6,-35.1,335.8,-285,-250,-188,-108.8,-70.4,0,,, 영업이익 YOY(%),-27.55,-73.57,-126.7,-12.83,-84.31,,
, 지배순이익 YOY(%),54.2,105.7,-40.2,61.6,-377.8,-809.8,-342.3,-272.6,22.6,0,,, 지배순이익 YOY(%),-408.79,-68.93,-253.58,-63.3,81.26,,
, 매출액(개별),38.88,57.46,61.38,76.95,68.44,31.58,31.87,44.55,43.01,,,, 매출액(개별),16.78,8.41,14.33,9.58,10.68,,
, 영업이익(개별),-16.76,3.79,2.46,10.72,-19.83,-69.41,-141.3,-364.88,-557.76,,,, 영업이익(개별),-107.52,-113.03,-204.37,-99.62,-140.75,,
, 순이익(개별),-46.36,2.66,1.59,2.57,-7.14,-64.96,-286.83,-1071.49,-829.63,,,, 순이익(개별),-939.99,-285.82,-216.07,-155.89,-171.85,,
, 영업이익율(%개별),-43.11,6.6,4.01,13.93,-28.97,-219.79,-443.36,-819.03,-1296.82,,,, 영업이익율(%개별),-640.76,-1344,-1426.17,-1039.88,-1317.88,,
, 개별/연결 순익(%),100.06,100,100,100,100,100,99.84,100.1,100.13,,,, 개별/연결 순익(%),99.8,100.04,103.05,99.52,97.34,,
