,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,대한그린파워,A060900,2625,4024,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,석유판매,0.00,112.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-19.36,12.46,-64.36,-155.11,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-7.30,3.95,-61.70,-41.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,66.90,20.80,30.73,1.76,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,472.54,1372.93,1141.12,145.64,331.82,321.4,296.37,156.98,49.78,49.79,,, 매출액,19.76,6.72,6.86,10.94,25.27,,
, 영업이익,5.25,-21.12,-230.68,-63.76,3.73,-62.26,-66.55,-79.13,-77.24,-77.23,,, 영업이익,-12.85,-14.42,-28.44,-19.35,-15.02,,
, 지배주주순이익,13.16,-161.39,-433.22,-77.24,-23.84,-78.62,-125.28,-99.96,-207.88,-207.89,,, 지배주주순이익,-25.58,-17.11,-32.16,-16.35,-142.27,,
, 매출총이익율(%),15.95,6.54,-9.47,-21.24,5.38,-8.33,-6.72,-16.54,-58.52,-58.51,,, 매출총이익율(%),-8.1,-45.68,-269.97,-51.19,-7.68,,
, 판관비율(%),14.84,8.08,10.74,22.54,4.26,11.05,15.73,33.87,96.65,96.61,,, 판관비율(%),56.93,168.9,144.61,125.69,51.76,,
, 영업이익률(%),1.11,-1.54,-20.22,-43.78,1.12,-19.37,-22.46,-50.41,-155.16,-155.11,,, 영업이익률(%),-65.03,-214.58,-414.58,-176.87,-59.44,,
, 매출액 YOY(%),57.27,190.5,-16.9,-87.2,127.8,-3.1,-7.8,-47,-68.3,0.02,,, 매출액 YOY(%),-68.74,-68.93,-81.5,-86.07,27.88,,
, 영업이익 YOY(%),-80.57,-502.3,-992.2,72.4,105.9,-1769.2,-6.9,-18.9,2.4,0.01,,, 영업이익 YOY(%),59.09,-4.12,-66.32,45.23,-16.89,,
, 지배순이익 YOY(%),46.57,-1326.4,-168.4,82.2,69.1,-229.8,-59.3,20.2,-108,0,,, 지배순이익 YOY(%),65.08,-3.76,-79.06,59.05,-456.18,,
, 매출액(개별),267.14,202.65,122.95,145.64,331.82,321.4,280.8,137.95,38.45,,,, 매출액(개별),16.82,3.1,4.43,8.78,22.14,,
, 영업이익(개별),-8.46,-37.19,-81.42,-63.76,3.73,-62.26,-68.87,-81.12,-62.88,,,, 영업이익(개별),-11.95,-15.01,-27.16,-11.71,-9.01,,
, 순이익(개별),13.1,-115.84,-486.18,-77.24,-23.84,-78.62,-117.23,-109.23,-204.69,,,, 순이익(개별),-27.24,-17.01,-31.92,-9.28,-146.49,,
, 영업이익율(%개별),-3.17,-18.35,-66.22,-43.78,1.12,-19.37,-24.53,-58.8,-163.54,,,, 영업이익율(%개별),-71.05,-484.19,-613.09,-133.37,-40.7,,
, 개별/연결 순익(%),99.54,71.78,112.22,100,100,100,93.57,109.27,98.47,,,, 개별/연결 순익(%),106.49,99.42,99.25,56.76,102.97,,
, 연간 주가 상승율,0.3,-31.18,6.09,-30.67,0,-22.02,-34.63,8.22,0,152.4,,, EPS,-16.69,-11.16,-20.98,-10.67,-92.81,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,375.4,344.17,421.87,422.09,422.09,531.84,482.53,970.86,1594.19,4024,,,,,,,,,,
, 주가,3724,2563,2719,1885,1885,1470,961,1040,1040,2625,,,,,,,,,,
, EPS,130.55,-1201.86,-2792.16,-344.94,-106.47,-217.3,-249.51,-107.08,-135.61,-135.61,,,,,,,,,,
, BPS,1510.03,815.36,-1464.08,599.9,516.79,387.48,284.8,235.71,210.5,210.49,,,,,,,,,,
, EPS증가율(%),46.6,-1020.6,-132.3,87.6,69.1,-104.1,-14.8,57.1,-26.6,0,,,,,,,,,,
, BPS증가율(%),0.1,-46,-279.6,-141,-13.9,-25,-26.5,-17.2,-10.7,0,,,,,,,,,,
, PER,28.53,-2.13,-0.97,-5.46,-17.71,-6.76,-3.85,-9.71,-7.67,-19.36,,,,,,,,,,
, PBR,2.47,3.14,-1.86,3.14,3.65,3.79,3.37,4.41,4.94,12.47,,,,,,,,,,
, PSR,0.79,0.25,0.37,2.9,1.27,1.65,1.63,6.18,32.02,80.82,,,,,,,,,,
, ROE,8.65,-147.4,190.71,-57.5,-20.6,-56.08,-87.61,-45.43,-64.42,-64.43,,,,,,,,,,
, ROA,1.39,-16.88,-71.21,-42.39,-9.82,-26.43,-32.84,-21.19,-27.4,-27.4,,,,,,,,,,
, EV,694.9,687.73,850.27,446.21,506.41,604.37,654.73,1152.94,1851.87,4282,,,,,,,,,,
