,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,F&F,A007700,164000,25256,,컨센서스,2332,346,270,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,의류,0.61,48.00,17.35,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,5.80,33.10,34.00,,,,,,,,,,,,
,29.44,4.58,15.56,15.46,,YOY,40.50,99.80,94.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-32.40,-52.00,-45.10,,,,,,,,,,,,
,12.20,2.39,20.20,13.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,23.50,4.10,4.37,0.53,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2007.63,2223.78,3014.13,3700.12,4389.8,5605.18,6683.49,9103.37,8376.16,11652,14267,, 매출액,3303.93,1659.81,1667.96,1596.48,3451.9,2332,2373
, 영업이익,70.07,71.9,120.72,187.59,456.21,981.15,914.56,1507.36,1225.79,1900,2218,, 영업이익,705.62,173.2,204.93,126.2,721.47,346,326
, 지배주주순이익,81.02,83.74,139.81,124.4,302.28,748.88,1091.74,1102,857.95,1387,1627,, 지배주주순이익,505.21,138.89,141.92,85.18,491.95,270,252
, 매출총이익율(%),56.83,59.3,60.25,57.4,58.23,65.7,65.88,67.77,67.67,0,0,, 매출총이익율(%),68.58,68.27,68.82,67.72,66.81,0,0
, 판관비율(%),53.34,56.06,56.24,52.33,47.83,48.2,52.19,51.22,53.04,0,0,, 판관비율(%),47.23,57.83,56.53,59.81,45.91,0,0
, 영업이익률(%),3.49,3.23,4.01,5.07,10.39,17.5,13.68,16.56,14.63,16.31,15.55,, 영업이익률(%),21.36,10.43,12.29,7.9,20.9,14.84,13.74
, 매출액 YOY(%),-7.98,10.8,35.5,22.8,18.6,27.7,19.2,36.2,-8,39.1,22.4,, 매출액 YOY(%),33.26,2.17,-17.12,-26.17,4.48,40.5,42.27
, 영업이익 YOY(%),-65.49,2.6,67.9,55.4,143.2,115.1,-6.8,64.8,-18.7,55,16.7,, 영업이익 YOY(%),90.84,-8.05,-29.04,-61.12,2.25,99.77,59.08
, 지배순이익 YOY(%),-58.86,3.4,67,-11,143,147.7,45.8,0.9,-22.1,61.7,17.3,, 지배순이익 YOY(%),84.75,-3.5,-32.72,-64.79,-2.62,94.4,77.56
, 매출액(개별),2003.36,2220.43,3011.22,3697.84,4387.3,5609.52,6460.28,8851.18,8034.91,0,0,, 매출액(개별),3215.97,1589.76,1562.09,1623,3260.06,0,0
, 영업이익(개별),69.14,71.69,120.24,187.01,449.35,978.87,912.39,1590.5,1403.89,0,0,, 영업이익(개별),740.8,213.97,222.22,216.7,751,0,0
, 순이익(개별),67.2,82.87,134.67,116.75,349.48,747.07,1066.08,1184.23,1218.27,0,0,, 순이익(개별),539.36,174.92,170.53,159.25,713.57,0,0
, 영업이익율(%개별),3.45,3.23,3.99,5.06,10.24,17.45,14.12,17.97,17.47,0,0,, 영업이익율(%개별),23.04,13.46,14.23,13.35,23.04,0,0
, 개별/연결 순익(%),82.94,98.96,96.32,93.85,115.61,99.76,97.65,107.46,142,0,0,, 개별/연결 순익(%),106.76,125.94,120.16,186.96,145.05,0,0
, 연간 주가 상승율,-11.64,19.26,112.46,18.33,-1.69,140.4,-4.53,179.65,-24.64,94.31,0,, EPS,3280.58,901.88,921.56,553.12,3194.48,1753.25,1636.36
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,911.68,1087.24,2310,2733.5,2687.3,6460.3,6167.7,17248,12997.6,25256,25256,,,,,,,,,
, 주가,5920,7060,15000,17750,17450,41950,40050,112000,84400,164000,164000,,,,,,,,,
, EPS,526.1,543.77,907.86,807.79,1962.86,4862.86,7089.22,7155.84,5571.1,9006.49,10564.93,,,,,,,,,
