,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한세실업,A105630,21850,8740,,컨센서스,3715,110,101,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,의류,2.29,142.00,9.92,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-49.20,15.60,93.60,,,,,,,,,,,,
,19.46,2.07,10.66,4.22,,YOY,-5.70,111.10,163.60,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,73.20,2.30,2.30,,,,,,,,,,,,
,45.90,2.17,4.30,4.40,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,110.20,5.10,5.60,0.98,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,11295.64,12386.95,13131.78,15865.08,15476.55,17113.33,17126.86,16149.59,16982.62,16969,18329,, 매출액,1900.77,3940.96,4536.03,6360.81,2144.82,3715,3884
, 영업이익,630.82,601.78,931.45,1423.59,816.12,565.41,386.29,848.89,648.64,859,1023,, 영업이익,215.95,52.1,-14.82,503.83,107.52,110,156
, 지배주주순이익,526.34,426.05,617.54,1034.34,469.48,432.51,-507.52,-2.49,449.13,839,986,, 지배주주순이익,-285.04,-158.79,87.37,421.82,98.73,101,140
, 매출총이익율(%),19.78,18.43,20.59,22.73,19.41,22.81,22.58,14.83,12.97,0,0,, 매출총이익율(%),-40.22,19.19,16.05,18.41,-21.1,0,0
, 판관비율(%),14.19,13.57,13.5,13.76,14.14,19.51,20.32,9.57,9.15,0,0,, 판관비율(%),-51.58,17.87,16.38,10.49,-26.12,0,0
, 영업이익률(%),5.58,4.86,7.09,8.97,5.27,3.3,2.26,5.26,3.82,5.06,5.58,, 영업이익률(%),11.36,1.32,-0.33,7.92,5.01,2.96,4.02
, 매출액 YOY(%),13.5,9.7,6,20.8,-2.4,10.6,0.1,-5.7,5.2,-0.1,8,, 매출액 YOY(%),-56.81,-6.79,5.59,11.11,12.84,-5.73,-14.37
, 영업이익 YOY(%),-13.62,-4.6,54.8,52.8,-42.7,-30.7,-31.7,119.8,-23.6,32.4,19.1,, 영업이익 YOY(%),92.59,1.88,-107.75,29,-50.21,111.13,1152.63
, 지배순이익 YOY(%),6.01,-19.1,44.9,67.5,-54.6,-7.9,-217.3,99.5,18137.3,86.8,17.5,, 지배순이익 YOY(%),48.42,-689.64,31.52,122.96,134.64,163.61,60.24
, 매출액(개별),10755.34,11747.45,12423.66,14642.01,14219.76,13546.27,13166.38,15339.76,16573.28,0,0,, 매출액(개별),3957.75,3352.49,3800.54,5778.92,3641.33,0,0
, 영업이익(개별),605.09,667.8,974.67,1407.9,858.92,496.47,278.42,777.95,540.16,0,0,, 영업이익(개별),132.49,109.27,-28.4,427.26,32.02,0,0
, 순이익(개별),514.27,541.34,714.87,987.05,445.66,375.83,-667.79,115.85,434.64,0,0,, 순이익(개별),-226.7,-88.63,82.97,357.25,83.05,0,0
, 영업이익율(%개별),5.63,5.68,7.85,9.62,6.04,3.66,2.11,5.07,3.26,0,0,, 영업이익율(%개별),3.35,3.26,-0.75,7.39,0.88,0,0
, 개별/연결 순익(%),97.71,127.06,115.76,95.43,94.93,86.9,131.58,-4652.61,96.77,0,0,, 개별/연결 순익(%),79.53,55.82,94.96,84.69,84.12,0,0
, 연간 주가 상승율,133.43,17.22,104.64,33.5,-51.6,5.07,-26.35,-12.85,1.16,24.86,0,, EPS,-712.6,-396.98,218.42,1054.55,246.82,252.5,350
,,,,,,,,,,,,,,,,,,,,,
