,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한글과컴퓨터,A030520,18300,4534,,컨센서스,1000,112,128,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,소프트웨어,0.00,61.00,10.26,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-11.00,-28.20,-17.90,,,,,,,,,,,,
,12.68,1.70,13.38,15.74,,YOY,13.20,-22.30,78.50,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-0.20,-13.40,100.00,,,,,,,,,,,,
,20.20,1.91,9.10,21.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,248.10,9.10,3.97,0.90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,656.1,685.25,758.37,849.41,1012.44,1211.82,2128.58,3192.56,4013.69,4460,5016,, 매출액,1011.6,883.78,1106.14,1021.27,1002.5,1000,1170
, 영업이익,247.59,239.19,274.86,279.19,290.41,289.51,424.37,332.07,682.14,790,878,, 영업이익,121.01,144.08,274.29,134.44,129.33,112,244
, 지배주주순이익,124.88,190.7,200.84,240.16,149.1,201.75,65.17,192.63,357.67,422,491,, 지배주주순이익,50.76,71.71,151.51,70.44,64.01,128,183
, 매출총이익율(%),92.87,92.32,91.01,91.77,92.63,81.49,62.91,51.67,51.67,0,0,, 매출총이익율(%),49.94,55.14,55.52,45.23,50.94,0,0
, 판관비율(%),55.13,57.41,54.77,58.9,63.95,57.6,42.97,41.27,34.68,0,0,, 판관비율(%),37.98,38.84,30.72,32.07,38.04,0,0
, 영업이익률(%),37.74,34.91,36.24,32.87,28.68,23.89,19.94,10.4,17,17.71,17.5,, 영업이익률(%),11.96,16.3,24.8,13.16,12.9,11.2,20.85
, 매출액 YOY(%),15.14,4.4,10.7,12,19.2,19.7,75.7,50,25.7,11.1,12.5,, 매출액 YOY(%),35.28,29.23,28.81,59.99,-0.9,13.15,5.77
, 영업이익 YOY(%),10.65,-3.4,14.9,1.6,4,-0.3,46.6,-21.7,105.4,15.8,11.1,, 영업이익 YOY(%),-9.21,150.18,111.53,464.87,6.88,-22.27,-11.04
, 지배순이익 YOY(%),-7.22,52.7,5.3,19.6,-37.9,35.3,-67.7,195.6,85.7,18,16.4,, 지배순이익 YOY(%),138.5,193.65,20.65,967.49,26.1,78.5,20.78
, 매출액(개별),659.28,688.46,761.7,845.39,899.21,948.24,966.71,1003.96,1093.55,0,0,, 매출액(개별),286.36,267.92,286.71,250.69,288.23,0,0
, 영업이익(개별),241.84,229.96,266.85,296.9,302.04,297.42,250.52,282.2,326.2,0,0,, 영업이익(개별),66.25,75.11,110.05,63.97,77.07,0,0
, 순이익(개별),118.66,173.75,230.19,244.97,171.77,209.58,57.09,177.71,221.91,0,0,, 순이익(개별),6.39,54.15,84.86,41.98,40.92,0,0
, 영업이익율(%개별),36.68,33.4,35.03,35.12,33.59,31.37,25.91,28.11,29.83,0,0,, 영업이익율(%개별),23.14,28.03,38.38,25.52,26.74,0,0
, 개별/연결 순익(%),95.02,91.11,114.61,102,115.2,103.88,87.6,92.25,62.04,0,0,, 개별/연결 순익(%),12.59,75.51,56.01,59.6,63.93,0,0
, 연간 주가 상승율,73.66,-3.79,-0.49,15.84,-29.27,8.46,-27.58,-23.08,88.5,-2.92,0,, EPS,204.88,289.43,611.52,284.31,258.35,516.63,738.62
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,4870.35,4685.69,4662.61,5401.24,3820.11,4143.26,3000.69,2444.03,4632.47,4534,4534,,,,,,,,,
, 주가,21100,20300,20200,23400,16550,17950,13000,10000,18850,18299.97,18299.97,,,,,,,,,
, EPS,541.02,826.18,870.11,1040.46,645.95,874.05,282.34,788.17,1455.4,1703.26,1981.76,,,,,,,,,
, BPS,5431.89,6062.25,6489.07,6567.83,6871.62,8020.73,8612.78,9633.27,10877.91,12493.1,14474.85,,,,,,,,,
, EPS증가율(%),-7.2,52.7,5.3,19.6,-37.9,35.3,-67.7,179.2,84.7,17,16.4,,,,,,,,,
, BPS증가율(%),0.1,11.6,7,1.2,4.6,16.7,7.4,11.8,12.9,14.8,15.9,,,,,,,,,
, PER,39,24.57,23.22,22.49,25.62,20.54,46.04,12.69,12.95,10.74,9.23,,,,,,,,,
, PBR,3.88,3.35,3.11,3.56,2.41,2.24,1.51,1.04,1.73,1.46,1.26,,,,,,,,,
, PSR,7.42,6.84,6.15,6.36,3.77,3.42,1.41,0.77,1.15,1.02,0.9,,,,,,,,,
, ROE,9.96,13.63,13.41,15.84,9.4,10.9,3.28,8.18,13.38,13.63,13.69,,,,,,,,,
, ROA,9.01,12.46,11.6,11.22,6.52,3.7,0.99,2.96,4.95,5.52,6.03,,,,,,,,,
, EV,5426.21,5367.23,5139.87,5832.18,4265.03,5106.1,3481.41,2573.13,5281.91,3885,3885,,,,,,,,,
, EBITDA,283.99,292.35,350.09,353.39,375.91,378.72,651.11,601.04,959.91,959.91,959.91,,,,,,,,,
, EV/EBITDA,19.11,18.36,14.68,16.5,11.35,13.48,5.35,4.28,5.5,4.05,4.05,,,,,,,,,
, DPS,250,200,260,400,200,300,200,0,0,0,0,,,,,,,,,
, 배당성향(%),44.35,23.39,28.59,36.24,29.29,32.47,67.03,0,0,0,0,,,,,,,,,
, 시가배당율(%),1.18,0.99,1.29,1.71,1.21,1.67,1.54,0,0,0,0,,,,,,,,,
, 차입금비율(%),0,0,0,0,0.97,73.69,57.67,44.69,21.27,21.27,21.27,,,,,,,,,
, 부채비율(%),10.58,9.37,15.62,20.3,22.82,142.62,113.67,95.31,60.61,60.61,60.61,,,,,,,,,
, 매출채권회전일수,76.84,65.72,68.61,67.8,76.89,67.91,89.19,63.93,42.83,42.83,42.83,,,,,,,,,
, 재고자산회전일수,7.41,13.86,5.14,3.97,7.44,318.02,173.81,86.79,113.94,113.94,113.94,,,,,,,,,
, 상장주식수 (만주),2308.22,2308.22,2308.22,2308.22,2308.22,2308.22,2308.22,2444.03,2457.54,2477.6,2477.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,656.1,685.25,758.37,849.41,1012.44,1211.82,2128.58,3192.56,4013.69,4460,5016,, 매출액,1011.6,883.78,1106.14,1021.27,1002.5,1000,1170
, -매출원가,46.81,52.67,68.14,69.91,74.59,224.31,789.53,1542.87,1939.63,0,0,, -매출원가,506.39,396.45,492.01,559.35,491.82,0,0
, =매출총이익,609.29,632.59,690.23,779.5,937.85,987.5,1339.04,1649.68,2074.06,0,0,, =매출총이익,505.21,487.33,614.13,461.92,510.68,0,0
, -판매비와관리비,361.7,393.39,415.37,500.31,647.43,697.99,914.68,1317.61,1391.91,0,0,, -판매비와관리비,384.2,343.25,339.84,327.48,381.35,0,0
, =영업이익,247.59,239.19,274.86,279.19,290.41,289.51,424.37,332.07,682.14,790,878,, =영업이익,121.01,144.08,274.29,134.44,129.33,112,244
, +- 비영업손익,-92.87,-17.42,-22.17,20.61,-33.56,-59.55,-406.13,-128.63,-85.62,0,0,, +- 비영업손익,-45.46,-23.41,-27.42,-16.06,-18.73,0,0
, (금융손익),16.11,20.38,13.88,46.74,-34.48,-28.51,-185.85,-100.84,-66.55,0,0,, (금융손익),-20.72,-19.83,-24.1,-7.57,-15.04,0,0
, (관계기업손익),-2.23,-1.1,2.42,7.17,4.96,1.34,-182.42,-5.06,-6.14,0,0,, (관계기업손익),-1.82,-1.33,-1.74,-3.23,0.16,0,0
, (외환손익),-1.78,-0.02,-0.12,0.46,1.76,-2.27,-1.46,2.04,-1.53,0,0,, (외환손익),1.52,7.65,0,0,-9.18,0,0
, =세전순익,154.71,221.77,252.7,299.81,256.85,229.96,18.24,203.44,596.52,0,0,, =세전순익,75.56,120.67,246.87,118.38,110.6,0,0
, -법인세,29.98,40.83,16.81,69.57,103.88,52.31,45.84,55.44,158.35,0,0,, -법인세,3.48,30.35,51.38,29.77,46.85,0,0
, =순이익,124.73,190.71,200.64,233.92,152.97,204.33,107.57,221.26,438.17,0,0,, =순이익,72.08,90.32,195.48,88.62,63.75,0,0
, 지배주주순익,124.88,190.7,200.84,240.16,149.1,201.75,65.17,192.63,357.67,422,491,, 지배주주순익,50.76,71.71,151.51,70.44,64.01,128,183
, 비지배주주순익,-0.15,0.01,-0.2,-6.24,3.87,2.58,42.39,28.62,80.5,0,0,, 비지배주주순익,21.32,18.61,43.97,18.18,-0.26,0,0
, 매출원가비중,7.13,7.69,8.99,8.23,7.37,18.51,37.09,48.33,48.33,0,0,, 매출원가비중,50.06,44.86,44.48,54.77,49.06,0,0
, 매출총이익율,92.87,92.32,91.01,91.77,92.63,81.49,62.91,51.67,51.67,0,0,, 매출총이익율,49.94,55.14,55.52,45.23,50.94,0,0
