,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한컴위드,A054920,10350,2920,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,보안서비스,0.00,50.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,38.30,2.24,5.84,7.67,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,8.20,0.86,5.90,0.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,189.90,1.50,2.24,0.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,201.06,213.79,181.39,145.3,144.75,163.89,157.13,158.29,309.21,309.21,,, 매출액,66.63,48.02,74.24,83.34,103.61,,
, 영업이익,6.47,9.32,0.88,-8.97,5.06,0.94,2.65,-4.22,23.71,23.71,,, 영업이익,20.1,-5,-0.78,14.22,15.27,,
, 지배주주순이익,19.43,2.21,-3.53,-37.17,-1.11,13.72,2.81,336.86,76.26,76.25,,, 지배주주순이익,335.52,5.59,18.32,32.95,19.39,,
, 매출총이익율(%),45.9,42.47,44.79,43.38,57.57,51.52,53.13,52.88,57.08,57.08,,, 매출총이익율(%),66.08,68.2,56.25,56.19,53.23,,
, 판관비율(%),42.68,38.11,44.3,49.55,54.08,50.95,51.45,55.54,49.41,49.41,,, 판관비율(%),35.91,78.61,57.3,39.13,38.49,,
, 영업이익률(%),3.22,4.36,0.49,-6.17,3.5,0.57,1.69,-2.67,7.67,7.67,,, 영업이익률(%),30.17,-10.41,-1.05,17.06,14.74,,
, 매출액 YOY(%),-14.79,6.3,-15.2,-19.9,-0.4,13.2,-4.1,0.7,95.3,0,,, 매출액 YOY(%),-23.24,128.56,77.69,188.77,55.5,,
, 영업이익 YOY(%),-65.59,44,-90.6,-1119.3,156.4,-81.4,181.9,-259.2,661.8,0,,, 영업이익 YOY(%),-43.68,66.56,-116.12,200.07,-24.03,,
, 지배순이익 YOY(%),-87.96,-88.6,-259.7,-953,97,1336,-79.5,11887.9,-77.4,-0.01,,, 지배순이익 YOY(%),2812.5,130.18,-31.36,583.14,-94.22,,
, 매출액(개별),201.06,213.79,181.39,145.3,144.75,163.89,157.04,154.94,251.51,,,, 매출액(개별),65.02,46.21,58.56,63.96,82.78,,
, 영업이익(개별),6.47,9.32,0.88,-8.97,5.06,0.94,5.06,-4.44,27.91,,,, 영업이익(개별),18.69,-2.81,4.38,13.33,13.01,,
, 순이익(개별),19.43,2.21,-3.53,-37.17,-1.11,13.72,2.81,336.86,79.5,,,, 순이익(개별),335.52,4.5,26.85,32.21,15.94,,
, 영업이익율(%개별),3.22,4.36,0.49,-6.17,3.5,0.57,3.22,-2.87,11.1,,,, 영업이익율(%개별),28.74,-6.08,7.48,20.84,15.72,,
