,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,메리츠화재,A000060,18700,22557,,컨센서스,22960,1327,1159,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,손해보험,6.84,845.00,4.92,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,8.90,53.20,46.30,,,,,,,,,,,,
,5.23,0.84,16.12,6.43,,YOY,2.90,-9.30,12.80,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-3.90,-17.60,4.40,,,,,,,,,,,,
,6.80,1.00,14.60,5.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,13.20,3.80,1.62,0.54,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,47686.61,37177.54,51967.44,56658.3,60019.2,64286.54,71072.98,80830.14,91806,94803,100183,, 매출액,21569.49,22311.84,22667.8,22936.95,23889.41,22960,0
, 영업이익,1812.8,1747.77,1566.2,2247.07,3143.2,5136.3,3127.35,3527.56,6080.12,6129,6788,, 영업이익,322.37,1462.85,1462.2,1545.07,1610,1327,2044
, 지배주주순이익,1357.41,1326.49,1145.49,1685.17,2364.97,3838.33,2338.18,3004.37,4310.95,4483,4846,, 지배주주순이익,675.22,1027.3,1065.8,1107.8,1110.05,1159,1457
, 매출총이익율(%),73.53,73.57,72.42,74.62,73.81,75.14,77.66,76.77,79.29,0,0,, 매출총이익율(%),75.62,80.44,78.61,78.23,79.87,0,NaN
, 판관비율(%),23.21,21.95,21.02,22.74,21.9,23.59,26.67,30.46,25.48,0,0,, 판관비율(%),74.12,73.89,72.16,71.49,73.13,0,NaN
, 영업이익률(%),3.8,4.7,3.01,3.97,5.24,7.99,4.4,4.36,6.62,6.46,6.78,, 영업이익률(%),1.49,6.56,6.45,6.74,6.74,5.78,∞
, 매출액 YOY(%),12.56,-22,39.8,9,5.9,7.1,10.6,13.7,13.6,3.3,5.7,, 매출액 YOY(%),15.1,16.55,14.94,12.46,10.76,2.91,0
, 영업이익 YOY(%),-13.65,-3.6,-10.4,43.5,39.9,63.4,-39.1,12.8,72.4,0.8,10.8,, 영업이익 YOY(%),-27.76,45.23,24.31,51.23,399.43,-9.29,39.79
, 지배순이익 YOY(%),-15.15,-2.3,-13.6,47.1,40.3,62.3,-39.1,28.5,43.5,4,8.1,, 지배순이익 YOY(%),82.99,40.49,25.38,48.13,64.4,12.82,36.7
, 매출액(개별),47627.46,37105.61,51892.64,56574.09,59916.06,64166.76,70943.22,80677.34,91647.3,0,0,, 매출액(개별),21510.67,22240.3,22654.1,22916.74,23836.16,0,0
, 영업이익(개별),1805.63,1743.69,1541.56,2278.85,3415.22,4741.66,3529.6,3124.21,6102.88,0,0,, 영업이익(개별),198.63,1517.14,1456.58,1534.51,1594.66,0,0
, 순이익(개별),1351.8,1332.9,1127.34,1713.12,2578.23,3551.39,2600.43,2711.82,4334.13,0,0,, 순이익(개별),584.53,1076.41,1057.63,1101.58,1098.52,0,0
, 영업이익율(%개별),3.79,4.7,2.97,4.03,5.7,7.39,4.98,3.87,6.66,0,0,, 영업이익율(%개별),0.92,6.82,6.43,6.7,6.69,0,0
, 개별/연결 순익(%),99.59,100.48,98.42,101.66,109.02,92.52,111.22,90.26,100.54,0,0,, 개별/연결 순익(%),86.57,104.78,99.23,99.44,98.96,0,0
, 연간 주가 상승율,19.92,7.07,-17.82,29.72,-5.26,53.59,-7.02,-18.31,-18.21,28.08,0,, EPS,559.76,851.64,883.56,918.38,920.24,960.82,1207.87
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,13683.05,15351.31,13192.39,17113.02,16881.71,25929.43,24839.08,20291.88,17611.25,22557,22557,,,,,,,,,
, 주가,14150,15150,12450,16150,15300,23500,21850,17850,14600,18699.99,18699.99,,,,,,,,,
, EPS,1403.73,1309.1,1081.03,1590.34,2143.39,3478.7,2056.81,2642.83,3573.84,3716.46,4017.39,,,,,,,,,
, BPS,11232.64,10256.97,13189.67,13931.37,14796.05,16071.05,20025.38,21396.99,22174.86,25891.19,29908.58,,,,,,,,,
, EPS증가율(%),-15.1,-6.7,-17.4,47.1,34.8,62.3,-40.9,28.5,35.2,4,8.1,,,,,,,,,
, BPS증가율(%),0.1,-8.7,28.6,5.6,6.2,8.6,24.6,6.8,3.6,16.8,15.5,,,,,,,,,
, PER,10.08,11.57,11.52,10.16,7.14,6.76,10.62,6.75,4.09,5.03,4.65,,,,,,,,,
, PBR,1.26,1.48,0.94,1.16,1.03,1.46,1.09,0.83,0.66,0.72,0.63,,,,,,,,,
, PSR,0.29,0.41,0.25,0.3,0.28,0.4,0.35,0.25,0.19,0.24,0.23,,,,,,,,,
, ROE,12.5,12.76,8.2,11.42,14.49,21.65,10.27,12.35,16.12,14.35,13.43,,,,,,,,,
, ROA,1.33,1.2,0.88,1.14,1.43,2.11,1.14,1.29,1.7,1.74,1.84,,,,,,,,,
, EV,13683.05,15351.31,13192.39,17113.02,16881.71,25929.43,24839.08,20291.88,17611.25,22557,22557,,,,,,,,,
, EBITDA,2124.12,2097.57,2125.64,2795.82,3651.96,5606.45,3482.01,3975.5,6607.98,6607.98,6607.98,,,,,,,,,
, EV/EBITDA,6.44,7.32,6.21,6.12,4.62,4.62,7.13,5.1,2.67,3.41,3.41,,,,,,,,,
, DPS,300,320,380,570,830,1140,820,850,1280,1280,1280,,,,,,,,,
, 배당성향(%),21.37,24.24,34.88,35.7,38.47,32.44,39.24,31.54,35.04,34.44,31.86,,,,,,,,,
, 시가배당율(%),2.12,2.11,3.05,3.53,5.42,4.85,3.75,4.76,8.77,6.84,6.84,,,,,,,,,
, 차입금비율(%),0,23.5,17.49,19.26,17.41,16.04,16.88,36.22,27.88,27.88,27.88,,,,,,,,,
, 부채비율(%),833.69,959.86,830.51,901.43,911.49,920.23,796.93,851.25,845.16,845.16,845.16,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,0,35.41,35.41,35.41,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 상장주식수 (만주),9670,10132.88,10596.3,10596.3,11033.8,11033.8,11368,11368,12062.5,12062.57,12062.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
