,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,신한지주,A055550,37100,191658,,컨센서스,25899,14629,10661,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,4.04,1206.00,4.93,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-1.90,9.60,-17.30,,,,,,,,,,,,
,5.61,0.43,7.75,38.03,,YOY,-32.90,16.30,14.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-27.30,54.20,129.60,,,,,,,,,,,,
,6.40,0.57,8.70,31.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,13.50,3.80,0.90,0.30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,139981.1,125913.2,120605.1,111297,112363,117986.5,135724.6,157073.6,147740,139150,149299,, 매출액,39450.37,38613.37,37554.3,35923.41,35648.88,25899,35710
, 영업이익,31779.67,26319.99,26548.1,29731.41,31086.42,38300.26,44994.14,50462.5,49297.36,53901,56216,, 영업이익,9087.35,12573.91,12551.92,14681.97,9489.56,14629,14699
, 지배주주순이익,23218.9,18985.77,20811.1,23671.71,27747.78,29188.16,31567.22,34034.97,34145.95,38422,40026,, 지배주주순이익,5075.14,9324,8731.1,11446.92,4643.93,10661,10318
, 매출총이익율(%),49.86,52.46,56.3,60.14,64.13,66.47,63.22,62,66.89,0,0,, 매출총이익율(%),62.99,63.8,65.14,68.27,70.7,0,0
, 판관비율(%),29.02,33.38,37,40.21,40.13,40.78,34.94,32.69,35.28,0,0,, 판관비율(%),39.95,31.23,31.71,27.4,44.08,0,0
, 영업이익률(%),22.7,20.9,22.01,26.71,27.67,32.46,33.15,32.13,33.37,38.74,37.65,, 영업이익률(%),23.03,32.56,33.42,40.87,26.62,56.48,41.16
, 매출액 YOY(%),1.58,-10,-4.2,-7.7,1,5,15,15.7,-5.9,-5.8,7.3,, 매출액 YOY(%),9.57,0.47,-4.66,-9.74,-9.64,-32.93,-4.91
, 영업이익 YOY(%),-23.83,-17.2,0.9,12,4.6,23.2,17.5,12.2,-2.3,9.3,4.3,, 영업이익 YOY(%),6.04,-4.04,-10.93,3.55,4.43,16.34,17.11
, 지배순이익 YOY(%),-25.1,-18.2,9.6,13.7,17.2,5.2,8.2,7.8,0.3,12.5,4.2,, 지배순이익 YOY(%),-1.13,1.53,-12.34,16.62,-8.5,14.34,18.18
, 매출액(개별),677.97,618.64,583.63,588.72,371.92,273.39,320.96,405.69,715.86,0,0,, 매출액(개별),107.24,133.51,175.15,197.76,209.44,0,0
, 영업이익(개별),5890.03,7295.54,7212.87,8920.91,14708.49,7554.2,12364.32,11321.63,12764.22,0,0,, 영업이익(개별),-644.49,13680.21,-444.4,-85.06,-386.53,0,0
, 순이익(개별),5914.94,7316.38,6626.23,8930.41,14702.5,7547.27,12348.83,11291.73,12744.43,0,0,, 순이익(개별),-695.18,13649.77,-428.54,-107.83,-368.97,0,0
, 영업이익율(%개별),868.77,1179.29,1235.86,1515.31,3954.75,2763.16,3852.29,2790.71,1783.06,0,0,, 영업이익율(%개별),-600.98,10246.58,-253.73,-43.01,-184.55,0,0
, 개별/연결 순익(%),25.47,38.54,31.84,37.73,52.99,25.86,39.12,33.18,37.32,0,0,, 개별/연결 순익(%),-13.7,146.39,-4.91,-0.94,-7.95,0,0
, 연간 주가 상승율,-2.26,21.75,-6.03,-11.02,14.41,9.17,-19.84,9.47,-26.07,15.76,0,, EPS,982.42,1804.88,1690.11,2215.83,898.94,2063.69,1997.3
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,184226.5,224296.4,210781.7,187545.9,214575.3,234254.6,187783,205565.5,165546.8,191658,191658,,,,,,,,,
, 주가,38850,47300,44450,39550,45250,49400,39600,43350,32050,37100,37100,,,,,,,,,
, EPS,4896.44,4003.75,4388.68,4991.93,5851.5,6155.25,6656.95,7177.35,6610.68,7437.5,7747.99,,,,,,,,,
, BPS,55613.48,58072.91,61543.92,65035.19,65604.66,69211.82,75338.8,82619.12,85319.04,92744.71,100492.7,,,,,,,,,
, EPS증가율(%),-25.1,-18.2,9.6,13.7,17.2,5.2,8.2,7.8,-7.9,12.5,4.2,,,,,,,,,
, BPS증가율(%),0.1,4.4,6,5.7,0.9,5.5,8.9,9.7,3.3,8.7,8.4,,,,,,,,,
, PER,7.93,11.81,10.13,7.92,7.73,8.03,5.95,6.04,4.85,4.99,4.79,,,,,,,,,
