,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,롯데칠성,A005300,136500,12251,,컨센서스,5172,241,104,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,음료,1.98,166.00,16.92,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-1.10,-53.80,-488.90,,,,,,,,,,,,
,-97.91,0.95,-0.97,5.07,,YOY,1.90,285.30,442.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,1.90,625.00,118.40,,,,,,,,,,,,
,171.90,0.87,-0.20,4.40,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,118.30,2.90,1.40,0.57,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,21985.85,22159.21,21841.04,22991.6,22642.12,22792.83,23462.78,24295.27,22579.73,23557,24408,, 매출액,5200.2,5073.76,5979.97,6452.42,5073.59,5172,6281
, 영업이익,1500.37,1723.84,929.99,1428.77,1463.28,753.84,849.52,1076.66,972.3,1483,1678,, 영업이익,-69.35,62.55,292.88,583.63,33.24,241,449
, 지배주주순이익,830.62,1010.27,186.8,996.16,693.18,1346.35,-480.5,-1424.32,-125.12,683,825,, 지배주주순이익,-1295.19,-30.38,147.48,323.08,-565.3,104,257
, 매출총이익율(%),40.5,42.02,41.82,42.66,43.48,41.14,39.59,40.49,40.23,0,0,, 매출총이익율(%),38.29,38.22,40.15,42.24,39.8,0,0
, 판관비율(%),33.68,34.24,37.56,36.45,37.02,37.84,35.97,36.05,35.93,0,0,, 판관비율(%),39.62,36.98,35.25,33.19,39.15,0,0
, 영업이익률(%),6.82,7.78,4.26,6.21,6.46,3.31,3.62,4.43,4.31,6.3,6.87,, 영업이익률(%),-1.33,1.23,4.9,9.05,0.66,4.66,7.15
, 매출액 YOY(%),5.33,0.8,-1.4,5.3,-1.5,0.7,2.9,3.5,-7.1,4.3,3.6,, 매출액 YOY(%),-6.18,-11.74,-11.73,-1.81,-2.43,1.94,5.03
, 영업이익 YOY(%),-14.37,14.9,-46.1,53.6,2.4,-48.5,12.7,26.7,-9.7,52.5,13.1,, 영업이익 YOY(%),-500.17,-67.51,-36.77,19.03,147.93,285.29,53.31
, 지배순이익 YOY(%),7.99,21.6,-81.5,433.3,-30.4,94.2,-135.7,-196.4,91.2,645.9,20.8,, 지배순이익 YOY(%),-65.12,-226.01,133.04,10.24,56.35,442.33,74.26
, 매출액(개별),20157.65,20295.94,20836.54,21948.81,22642.12,22792.83,23232.72,23431.69,21619.63,0,0,, 매출액(개별),5046.92,4903.94,5722.06,6183.81,4809.82,0,0
, 영업이익(개별),1542.06,1632.76,955.87,1470.42,1461.82,745.66,875.6,1089.5,972.01,0,0,, 영업이익(개별),-71.81,74.36,272.99,558.42,66.24,0,0
, 순이익(개별),879.31,913.46,265.87,864.94,93.89,1515.79,-545.68,-1122.94,-163.67,0,0,, 순이익(개별),-1028.18,-12.56,150.78,332.48,-634.37,0,0
, 영업이익율(%개별),7.65,8.04,4.59,6.7,6.46,3.27,3.77,4.65,4.5,0,0,, 영업이익율(%개별),-1.42,1.52,4.77,9.03,1.38,0,0
, 개별/연결 순익(%),105.86,90.42,142.33,86.83,13.54,112.59,113.56,78.84,130.81,0,0,, 개별/연결 순익(%),79.38,41.34,102.24,102.91,112.22,0,0
, 연간 주가 상승율,3.41,0.66,-2.62,49.43,-34.2,-8.77,5.34,-0.23,-22.5,25.81,0,, EPS,-14430.92,-338.49,1643.21,3599.74,-6298.54,1158.76,2863.48
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
