,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,하이트진로홀딩스,A000140,16400,3806,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,2.44,268.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,5.90,0.77,13.08,9.37,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,35.90,0.56,1.40,6.40,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,606.70,5.30,1.10,0.30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,20816.71,19428.83,18897.46,19271.25,18954.37,18812.23,18766.5,20263.16,22470.06,22470.07,,, 매출액,5566.44,5315.1,5796.92,6216.86,5141.19,,
, 영업이익,1839.64,1679.06,1080.81,1458.74,1329.39,1000.96,1035.12,1009.44,2104.94,2104.93,,, 영업이익,352.84,580.91,574.9,676.8,272.32,,
, 지배주주순이익,169.28,-566.52,-1171.84,183.62,279.25,-143.93,-27.15,-213.78,644.61,644.61,,, 지배주주순이익,-56.3,115.55,201.44,148.48,179.14,,
, 매출총이익율(%),43.11,43.11,42.16,43.06,43.78,43.22,40.88,43.31,43.66,43.66,,, 매출총이익율(%),42.43,43.54,45.01,45.1,40.54,,
, 판관비율(%),34.27,34.47,36.44,35.49,36.76,37.9,35.36,38.33,34.3,34.3,,, 판관비율(%),36.09,32.61,35.09,34.22,35.24,,
, 영업이익률(%),8.84,8.64,5.72,7.57,7.01,5.32,5.52,4.98,9.37,9.37,,, 영업이익률(%),6.34,10.93,9.92,10.89,5.3,,
, 매출액 YOY(%),-1.45,-6.7,-2.7,2,-1.6,-0.7,-0.2,8,10.9,0,,, 매출액 YOY(%),18.59,26.27,11.04,18.04,-7.64,,
, 영업이익 YOY(%),-15.14,-8.7,-35.6,35,-8.9,-24.7,3.4,-2.5,108.5,0,,, 영업이익 YOY(%),64.6,5739.9,287.19,30.55,-22.82,,
, 지배순이익 YOY(%),146.61,-434.7,-106.8,115.7,52.1,-151.5,81.1,-687.4,401.5,0,,, 지배순이익 YOY(%),23.38,213.35,221.03,33.89,418.19,,
, 매출액(개별),548.69,522.06,671.32,435.72,436.91,377.33,332.3,337.91,358.12,,,, 매출액(개별),13.77,316.85,14.12,14.8,12.35,,
, 영업이익(개별),523.67,492.11,650.04,409.09,409.49,348.67,307.34,308.14,313.22,,,, 영업이익(개별),4.01,301.65,2.94,3.63,5,,
, 순이익(개별),1960.97,-129.93,307.18,184.61,242.59,142.2,75.62,90.7,131.44,,,, 순이익(개별),-44.34,231.57,-8.26,-44.64,-47.23,,
, 영업이익율(%개별),95.44,94.26,96.83,93.89,93.72,92.4,92.49,91.19,87.46,,,, 영업이익율(%개별),29.12,95.2,20.82,24.53,40.49,,
, 개별/연결 순익(%),1158.42,22.93,-26.21,100.54,86.87,-98.8,-278.53,-42.43,20.39,,,, 개별/연결 순익(%),78.76,200.41,-4.1,-30.06,-26.36,,
, 연간 주가 상승율,52.56,-29.27,5.17,11.48,-8.46,-18.88,-30.59,88.3,14.02,8.97,,, EPS,-242.6,497.9,868,639.8,771.91,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,3805.91,2691.98,2831.23,3156.12,2889.24,2343.88,1626.79,3063.29,3492.62,3806,,,,,,,,,,
, 주가,16400,11600,12200,13600,12450,10100,7010,13200,15050,16400.01,,,,,,,,,,
, EPS,729.44,-2441.19,-5049.56,791.23,1203.32,-620.21,-116.99,-921.2,2777.68,2777.62,,,,,,,,,,
, BPS,30065.8,25126.49,20656.1,21343.49,22896.19,21428.34,20864.71,18770.92,21239.03,21238.58,,,,,,,,,,
, EPS증가율(%),146.6,-434.7,-106.8,115.7,52.1,-151.5,81.1,-687.4,401.5,0,,,,,,,,,,
, BPS증가율(%),0,-16.4,-17.8,3.3,7.3,-6.4,-2.6,-10,13.1,0,,,,,,,,,,
, PER,22.48,-4.75,-2.42,17.19,10.35,-16.28,-59.92,-14.33,5.42,5.9,,,,,,,,,,
, PBR,0.55,0.46,0.59,0.64,0.54,0.47,0.34,0.7,0.71,0.77,,,,,,,,,,
, PSR,0.18,0.14,0.15,0.16,0.15,0.12,0.09,0.15,0.16,0.17,,,,,,,,,,
, ROE,2.43,-9.72,-24.45,3.71,5.26,-2.89,-0.56,-4.91,13.08,13.08,,,,,,,,,,
, ROA,0.38,-1.33,-2.92,0.45,0.7,-0.35,-0.07,-0.56,1.65,1.65,,,,,,,,,,
, EV,25278.58,23256.87,22091.45,20775.09,18334.64,14931.56,14403.72,19149.38,17484.35,17798,,,,,,,,,,
, EBITDA,3040.5,2861.28,2269.29,2618.71,2487.43,2125.59,2215.23,2423.15,3636.66,3636.65,,,,,,,,,,
, EV/EBITDA,8.31,8.13,9.73,7.93,7.37,7.02,6.5,7.9,4.81,4.89,,,,,,,,,,
, DPS,350,350,450,200,200,150,200,350,400,400,,,,,,,,,,
, 배당성향(%),45.22,0,0,23.89,15.71,0,0,0,13.59,14.4,,,,,,,,,,
, 시가배당율(%),2.13,3.02,3.69,1.47,1.61,1.49,2.85,2.65,2.66,2.44,,,,,,,,,,
, 차입금비율(%),165.63,173.63,182.57,174.58,145.12,147.92,154.24,182.39,161.83,161.83,,,,,,,,,,
, 부채비율(%),229.15,244.19,267.2,266.08,229.63,257.66,264.06,290.48,268.26,268.26,,,,,,,,,,
, 매출채권회전일수,97.55,100.88,96.8,99.37,97.65,101.04,88.75,67.23,55.54,55.54,,,,,,,,,,
, 재고자산회전일수,41.61,47.3,46.23,46.61,44.53,47.12,54.24,56.19,54.61,54.61,,,,,,,,,,
, 상장주식수 (만주),2320.68,2320.67,2320.68,2320.68,2320.67,2320.67,2320.67,2320.67,2320.68,2320.73,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,20816.71,19428.83,18897.46,19271.25,18954.37,18812.23,18766.5,20263.16,22470.06,22470.07,,, 매출액,5566.44,5315.1,5796.92,6216.86,5141.19,,
, -매출원가,11843.14,11052.18,10930.47,10973.51,10656.89,10681.74,11095.09,11486.69,12658.67,12658.67,,, -매출원가,3204.84,3000.85,3187.86,3412.79,3057.17,,
, =매출총이익,8973.57,8376.65,7966.99,8297.74,8297.48,8130.49,7671.41,8776.47,9811.39,9811.4,,, =매출총이익,2361.6,2314.25,2609.06,2804.07,2084.02,,
, -판매비와관리비,7133.94,6697.59,6886.18,6839,6968.09,7129.53,6636.29,7767.02,7706.46,7706.47,,, -판매비와관리비,2008.76,1733.34,2034.16,2127.27,1811.7,,
, =영업이익,1839.64,1679.06,1080.81,1458.74,1329.39,1000.96,1035.12,1009.44,2104.94,2104.93,,, =영업이익,352.84,580.91,574.9,676.8,272.32,,
, +- 비영업손익,-848.04,-1388.73,-2011.81,-782.11,-609.97,-805.93,-741.95,-1051.52,-867.27,-867.27,,, +- 비영업손익,-307.93,-190.37,-53.5,-232.39,-391.01,,
, (금융손익),-1254.17,-972.99,-854.76,-712.78,-632.42,-600.9,-570.95,-650.99,-634.05,-634.05,,, (금융손익),-163.68,-142.81,-164.61,-152.58,-174.05,,
, (관계기업손익),24.33,3.48,4.62,8.63,7.12,4.45,1.47,1.57,-68.39,-68.39,,, (관계기업손익),1.46,-0.44,-40.7,-14.27,-12.98,,
, (외환손익),-24.71,-24.57,11.95,-0.32,3.83,-38.56,25.99,-8.04,-4.42,-4.42,,, (외환손익),-5.67,-9.11,5.59,3.19,-4.09,,
, =세전순익,991.59,290.33,-931,676.64,719.42,195.03,293.17,-42.08,1237.67,1237.67,,, =세전순익,44.91,390.54,521.4,444.42,-118.69,,
, -법인세,358.48,808.1,80.09,229.45,256.6,271.18,206.76,359.25,160.75,160.75,,, -법인세,210.91,111.7,152.23,142.69,-245.87,,
, =순이익,633.12,-517.77,-1011.09,447.19,462.83,-76.15,86.41,-401.32,1076.92,1076.92,,, =순이익,-166,278.84,369.17,301.73,127.18,,
, 지배주주순익,169.28,-566.52,-1171.84,183.62,279.25,-143.93,-27.15,-213.78,644.61,644.61,,, 지배주주순익,-56.3,115.55,201.44,148.48,179.14,,
, 비지배주주순익,463.84,48.75,160.76,263.57,183.58,67.78,113.56,-187.55,432.3,432.31,,, 비지배주주순익,-109.7,163.29,167.73,153.25,-51.96,,
, 매출원가비중,56.89,56.89,57.84,56.94,56.22,56.78,59.12,56.69,56.34,56.34,,, 매출원가비중,57.57,56.46,54.99,54.9,59.46,,
, 매출총이익율,43.11,43.11,42.16,43.06,43.78,43.22,40.88,43.31,43.66,43.66,,, 매출총이익율,42.43,43.54,45.01,45.1,40.54,,
, 판관비율,34.27,34.47,36.44,35.49,36.76,37.9,35.36,38.33,34.3,34.3,,, 판관비율,36.09,32.61,35.09,34.22,35.24,,
, 영업이익률,8.84,8.64,5.72,7.57,7.01,5.32,5.52,4.98,9.37,9.37,,, 영업이익률,6.34,10.93,9.92,10.89,5.3,,
, 지배주주순이익률,0.81,-2.92,-6.2,0.95,1.47,-0.77,-0.14,-1.06,2.87,2.87,,, 지배주주순이익률,-1.01,2.17,3.47,2.39,3.48,,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 현금흐름표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 영업활동현금흐름,488.21,2326.94,2197.77,2830.09,1665.85,3318.07,1245.39,135.88,3656.46,3657,,, 영업활동현금흐름,569,1183,5413,-3043,104,,
, 당기순이익,633.12,-517.77,-1011.09,447.19,462.83,-76.15,86.41,-401.32,1076.92,1076.92,,, 당기순이익,-166,278.84,369.17,301.73,127.18,,
, 감가상각비,1200.86,1182.22,1188.48,1159.97,1158.04,1124.63,1180.11,1413.71,1531.72,1531.72,,, 감가상각비,400.24,360.26,373.28,414.08,384.1,,
, 투자활동현금흐름,1257.38,-969.01,-558.72,-790.87,-89.01,-1035.84,-1020.49,-613.87,-1572.57,-1573,,, 투자활동현금흐름,-486,-420,-495,-562,-96,,
, 유형자산취득,-928.76,-923.35,-882.68,-908.12,-814.8,-881.03,-1106.36,-1558.35,-1204.87,-1204.87,,, 유형자산취득,-458.64,-417.95,-335.02,-371.94,-79.96,,
, 재무활동현금흐름,-2354.91,-1353.43,-1682.15,-1004.76,-1484.63,-1036.24,-198.09,-974.03,-1043.96,-1043.95,,, 재무활동현금흐름,-859.3,2708.43,1654.7,-554.76,-4852.32,,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 재무상태표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 1. 유동자산,8407.14,8363.54,7573.15,8813.06,9865.9,11288.47,10837.14,8051.28,9178.49,9178.49,,, 1. 유동자산,8051.28,11784.93,18456.08,15392.84,9178.49,,
,    현금성자산,780.07,720.86,676.73,1727.97,1857.2,3043.47,3096.06,1670.41,2661.39,2661.39,,,    현금성자산,1670.41,5169.08,11734.4,7566.84,2661.39,,
, 매출채권,5563.73,5369.91,5011.57,5246.69,5071.09,5207.79,4563.14,3732.09,3418.97,3418.97,,, 매출채권,3732.09,3702.59,3613.03,4657.62,3418.97,,
, 재고자산,1349.99,1432.21,1384.38,1401.24,1300.16,1379.05,1648.74,1768.31,1893.94,1893.94,,, 재고자산,1768.31,1845.97,1990.27,1818.34,1893.94,,
, 2. 비유동자산,36028.85,34258.26,32606.73,31874.81,29805.21,29305,29055.73,30315.77,29871.32,29871.32,,, 2. 비유동자산,30315.77,30197.59,30138.9,29874.28,29871.32,,
, 유형자산,23708.78,23354.06,22822.69,22433.98,20974.16,20660.02,20513.21,20532.64,20027.9,20027.9,,, 유형자산,20532.64,20620.34,20605.65,20358.79,20027.9,,
, 무형자산,9149.06,8926.76,7798.33,7746.72,7385.78,7235.25,7160.74,7116.86,7103.86,7103.86,,, 무형자산,7116.86,7115.21,7111.03,7109.87,7103.86,,
,     투자자산 등,3171,1977.44,1985.71,1694.11,1445.26,1409.73,1381.78,2666.27,2739.56,2739.56,,,     투자자산 등,2666.27,2462.04,2422.22,2405.61,2739.56,,
,      * 지분투자,108.72,110.36,113.36,120.17,109.3,99.84,98.06,95.67,122.17,122.17,,,      * 지분투자,95.67,91.18,150.42,136.15,122.17,,
, 1+2= 총자산,44435.99,42621.81,40179.88,40687.87,39671.11,40593.47,39892.86,38367.04,39049.81,39049.81,,, 1+2= 총자산,38367.04,41982.52,48594.98,45267.12,39049.81,,
,    매입채무,1132.9,1370.95,1025.91,1556.94,1370.28,1278.01,1107.86,1358.73,1230.38,1230.38,,,    매입채무,1358.73,1391.26,1472.98,1486.05,1230.38,,
, 차입금,22360.56,21501.07,19977.86,19403.91,17465.05,16787.93,16901.56,17921.19,17159.93,17159.93,,, 차입금,17921.19,20665.44,22647.48,22100.78,17159.93,,
, 부채총계,30935.85,30238.64,29237.5,29573.26,27636.15,29243.78,28935,28541.4,28445.96,28445.96,,, 부채총계,28541.4,32150.78,38424.51,34790.16,28445.96,,
, 자본총계,13500.13,12383.16,10942.38,11114.61,12034.96,11349.69,10957.87,9825.64,10603.85,10603.85,,, 자본총계,9825.64,9831.74,10170.46,10476.96,10603.85,,
, 지배주주지분,6977.31,5831.03,4793.62,4953.14,5313.45,4972.81,4842.01,4356.11,4928.9,4928.9,,, 지배주주지분,4356.11,4415.71,4590.69,4749.05,4928.9,,
, 총자산(개별),17809.72,17680.74,17772.89,17799.92,16417.87,16233.06,16268.23,16253.9,16259.7,,,, 총자산(개별),16253.9,16490.16,16246.97,16251.7,16259.7,,
, 부채총계(개별),8306.88,8405.16,8249.8,8190.41,6588.73,6338.89,6285.38,6246.34,6204.49,,,, 부채총계(개별),6246.34,6332.26,6118.97,6153.59,6204.49,,
, 자본총계(개별),9502.84,9275.58,9523.09,9609.52,9829.14,9894.17,9982.85,10007.56,10055.21,,,, 자본총계(개별),10007.56,10157.9,10128,10098.11,10055.21,,
