,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,기아,A000270,86000,348612,,컨센서스,163178,11755,9464,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,완성차,1.16,102.00,8.40,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,2.70,26.20,10.10,,,,,,,,,,,,
,23.43,1.17,4.98,4.59,,YOY,12.00,164.50,255.80,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-3.50,-8.30,-1.60,,,,,,,,,,,,
,9.70,0.58,6.00,3.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,21.80,5.80,2.31,0.35,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,472429.3,475979,470970.5,495214.5,527129.1,535356.8,541698.1,581459.6,591680.9,685408,723702,, 매출액,161054.1,145669,113688.4,163217.8,169105.7,163178,172218
, 영업이익,35222.51,31771,25725.49,23542.73,24614.8,6622.26,11574.75,20096.8,20664.57,48998,53185,, 영업이익,5905.17,4444.56,1451.64,1952.32,12816.05,11755,12590
, 지배주주순이익,38646.87,38170.59,29935.93,26306,27546.4,9680.18,11559.43,18266.59,14875.85,40240,44640,, 지배주주순이익,3463.57,2659.69,1263.09,1336.83,9616.24,9464,10541
, 매출총이익율(%),22.66,21.19,19.84,19.93,19.79,16.66,14.75,16.13,16.81,0,0,, 매출총이익율(%),15.05,15.49,15.2,18.03,17.86,0,0
, 판관비율(%),15.21,14.52,14.38,15.17,15.12,15.42,12.62,12.67,13.32,0,0,, 판관비율(%),11.38,12.43,13.92,16.83,10.28,0,0
, 영업이익률(%),7.46,6.67,5.46,4.75,4.67,1.24,2.14,3.46,3.49,7.15,7.35,, 영업이익률(%),3.67,3.05,1.28,1.2,7.58,7.2,7.31
, 매출액 YOY(%),9.38,0.8,-1.1,5.1,6.4,1.6,1.2,7.3,1.8,15.8,5.6,, 매출액 YOY(%),19.54,17.06,-21.63,8.17,5,12.02,51.48
, 영업이익 YOY(%),0.66,-9.8,-19,-8.5,4.6,-73.1,74.8,73.6,2.8,137.1,8.5,, 영업이익 YOY(%),54.58,-25.19,-72.8,-33.02,117.03,164.48,767.29
, 지배순이익 YOY(%),13.15,-1.2,-21.6,-12.1,4.7,-64.9,19.4,58,-18.6,170.5,10.9,, 지배순이익 YOY(%),267.11,-59.03,-75.01,-58.97,177.64,255.83,734.54
, 매출액(개별),280079.1,283325.7,298501.2,326999.4,316418.5,321098.8,319121.9,338577.8,343623.3,0,0,, 매출액(개별),88764.96,75351.27,79979.7,92696.66,95595.64,0,0
, 영업이익(개별),16453.32,14816.23,14346.47,22949.66,19470.39,6026.09,3926.41,14790.48,11691.29,0,0,, 영업이익(개별),2925,1120.89,2280.65,4078.33,4211.42,0,0
, 순이익(개별),21367.97,26344.37,24208.21,24963.95,20714.8,10427.51,4005.59,15155.98,7652.21,0,0,, 순이익(개별),626.43,1828.39,1868.18,2789.7,1165.94,0,0
, 영업이익율(%개별),5.87,5.23,4.81,7.02,6.15,1.88,1.23,4.37,3.4,0,0,, 영업이익율(%개별),3.3,1.49,2.85,4.4,4.41,0,0
, 개별/연결 순익(%),55.29,69.02,80.87,94.9,75.2,107.72,34.65,82.97,51.44,0,0,, 개별/연결 순익(%),18.09,68.74,147.91,208.68,12.12,0,0
, 연간 주가 상승율,-15.29,-0.71,-6.77,0.57,-25.38,-14.65,0.6,31.45,40.86,37.82,0,, EPS,854.44,656.13,311.59,329.79,2372.26,2334.7,2600.39
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,229030.3,227408.8,212005,213221.1,159105.1,135796.7,136607.5,179576,252946.7,348612,348612,,,,,,,,,
, 주가,56500,56100,52300,52600,39250,33500,33700,44300,62400,85999.99,85999.99,,,,,,,,,
, EPS,9533.89,9416.39,7384.96,6489.49,6795.48,2388.03,2851.62,4506.23,3669.76,9926.91,11012.36,,,,,,,,,
, BPS,41562.86,49967.02,55465.98,59709.48,65569.41,66264.47,67207.5,71486.84,73740.45,83667.44,94679.8,,,,,,,,,
, EPS증가율(%),13.1,-1.2,-21.6,-12.1,4.7,-64.9,19.4,58,-18.6,170.5,10.9,,,,,,,,,
, BPS증가율(%),0.3,20.2,11,7.7,9.8,1.1,1.4,6.4,3.2,13.5,13.2,,,,,,,,,
, PER,5.93,5.96,7.08,8.11,5.78,14.03,11.82,9.83,17,8.66,7.81,,,,,,,,,
, PBR,1.36,1.12,0.94,0.88,0.6,0.51,0.5,0.62,0.85,1.03,0.91,,,,,,,,,
, PSR,0.48,0.48,0.45,0.43,0.3,0.25,0.25,0.31,0.43,0.51,0.48,,,,,,,,,
, ROE,22.94,18.85,13.31,10.87,10.36,3.6,4.24,6.3,4.98,11.86,11.63,,,,,,,,,
, ROA,11.93,10.55,7.29,5.72,5.41,1.85,2.23,3.3,2.46,6.24,6.47,,,,,,,,,
, EV,233425.1,257563.8,238146.8,220598,164354,144519.7,154956.3,203904.9,297028,304531,304531,,,,,,,,,
