,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,쌍용차,A003620,2770,4151,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,완성차,0.00,-2107.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-0.82,-4.71,-572.47,-15.23,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-4.90,1.54,-81.80,-3.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,114.00,18.60,6.19,0.67,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,28741.46,34848.71,33265.89,33900.65,36285.37,34946.38,37047.94,36238.82,29501.81,29501.81,,, 매출액,9191.99,6491.87,7071.13,7056.96,8881.85,,
, 영업이익,-981.21,-89.48,-769.38,-358.12,279.94,-652.76,-641.76,-2819.05,-4493.89,-4493.88,,, 영업이익,-998.05,-986.34,-1171.42,-931.91,-1404.21,,
, 지배주주순이익,-1059.27,-23.98,-509.19,-619.42,581.03,-658.21,-618.38,-3413.64,-5043.41,-5043.42,,, 지배주주순이익,-1558.94,-1935.37,-88.51,-1024.37,-1995.17,,
, 매출총이익율(%),11.99,14.43,13.74,15.38,16.31,14.77,12.48,7.38,2.71,2.71,,, 매출총이익율(%),4.1,1.45,0.77,2,5.75,,
, 판관비율(%),15.4,14.69,16.05,16.43,15.54,16.64,14.21,15.16,17.95,17.95,,, 판관비율(%),14.96,16.65,17.34,15.21,21.56,,
, 영업이익률(%),-3.41,-0.26,-2.31,-1.06,0.77,-1.87,-1.73,-7.78,-15.23,-15.23,,, 영업이익률(%),-10.86,-15.19,-16.57,-13.21,-15.81,,
, 매출액 YOY(%),3.1,21.2,-4.5,1.9,7,-3.7,6,-2.2,-18.6,0,,, 매출액 YOY(%),-12.68,-30.43,-24.38,-15.63,-3.37,,
, 영업이익 YOY(%),30.42,90.9,-759.8,53.5,178.2,-333.2,1.7,-339.3,-59.4,0,,, 영업이익 YOY(%),-2766.31,-254.77,-138.46,11.39,-40.7,,
, 지배순이익 YOY(%),6.1,97.7,-2023.4,-21.6,193.8,-213.3,6.1,-452,-47.7,0,,, 지배순이익 YOY(%),-3806.14,-640.98,82.8,5.06,-27.98,,
, 매출액(개별),28638.06,34751.86,33148.96,33855.56,36263.4,34898.82,37059.03,36262.61,29297.89,,,, 매출액(개별),9161.82,6421.59,6984.38,7094.43,8797.48,,
, 영업이익(개별),-990.72,-106.13,-778.45,-331.93,305.15,-642.46,-619.24,-2751.99,-4460.36,,,, 영업이익(개별),-942.94,-977.51,-1161.19,-923.46,-1398.2,,
, 순이익(개별),-1060.69,-37.78,-506.36,-586.59,567.7,-709.45,-624.43,-3410.52,-5032.65,,,, 순이익(개별),-1548.72,-1928.96,-96,-1017.42,-1990.27,,
, 영업이익율(%개별),-3.46,-0.31,-2.35,-0.98,0.84,-1.84,-1.67,-7.59,-15.22,,,, 영업이익율(%개별),-10.29,-15.22,-16.63,-13.02,-15.89,,
, 개별/연결 순익(%),100.13,157.55,99.44,94.7,97.71,107.78,100.98,99.91,99.79,,,, 개별/연결 순익(%),99.34,99.67,108.46,99.32,99.75,,
, 연간 주가 상승율,4.32,42.18,22.65,-16.31,1.81,-35.11,-22.66,-47.6,33.49,0,,, EPS,-1040.3,-1291.49,-59.06,-683.57,-1331.4,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,6514.02,10360.12,12706.58,10634.56,10826.67,7063.01,5462.8,3109.18,4150.57,4151,,,,,,,,,,
, 주가,5310,7550,9260,7750,7890,5120,3960,2075,2770,2770,,,,,,,,,,
, EPS,-863.48,-17.48,-371.08,-451.41,423.43,-477.14,-448.27,-2278.19,-3365.86,-3365.52,,,,,,,,,,
, BPS,6526.72,6443.65,5665.23,5225.58,5922.55,5619.12,5025.66,2690.36,-588.11,-588.05,,,,,,,,,,
, EPS증가율(%),6.1,98,-2023.4,-21.6,193.8,-212.7,6.1,-408.2,-47.7,0,,,,,,,,,,
, BPS증가율(%),-0.1,-1.3,-12.1,-7.8,13.3,-5.1,-10.6,-46.5,-121.9,0,,,,,,,,,,
, PER,-6.15,-432.03,-24.95,-17.17,18.63,-10.73,-8.83,-0.91,-0.82,-0.82,,,,,,,,,,
, PBR,0.81,1.17,1.63,1.48,1.33,0.91,0.79,0.77,-4.71,-4.71,,,,,,,,,,
, PSR,0.23,0.3,0.38,0.31,0.3,0.2,0.15,0.09,0.14,0.14,,,,,,,,,,
, ROE,-13.23,-0.27,-6.55,-8.64,7.15,-8.49,-8.92,-84.68,572.32,572.32,,,,,,,,,,
, ROA,-5.72,-0.11,-2.59,-3.04,2.69,-2.93,-2.8,-16.91,-28.52,-28.52,,,,,,,,,,
, EV,7511.67,12847.75,13041.16,10723.21,11273.57,7246.98,6425.54,6096.05,5925.14,5926,,,,,,,,,,
, EBITDA,400.68,1343.94,292.15,1146.3,1838.59,1136.84,1481.78,-155.42,-2275.3,-2275.3,,,,,,,,,,
, EV/EBITDA,18.75,9.56,44.64,9.35,6.13,6.37,4.34,-39.22,-2.6,-2.6,,,,,,,,,,
, DPS,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 시가배당율(%),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 차입금비율(%),15.66,16.63,16.02,26.6,23.93,30.17,36.53,105.3,-412.41,-412.41,,,,,,,,,,
, 부채비율(%),131.12,139.5,153.21,184.39,166.2,190.01,218.14,400.89,-2107.02,-2107.02,,,,,,,,,,
, 매출채권회전일수,23.81,19.92,17.1,16.26,21.37,19.54,15.49,12.21,12.44,12.44,,,,,,,,,,
, 재고자산회전일수,38.82,34.38,33.16,31.51,24.64,27.99,25.73,24.59,24.46,24.46,,,,,,,,,,
, 상장주식수 (만주),12267.46,13722.01,13722.01,13722.01,13722.02,13794.94,13794.95,14984,14984.01,14985.56,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,28741.46,34848.71,33265.89,33900.65,36285.37,34946.38,37047.94,36238.82,29501.81,29501.81,,, 매출액,9191.99,6491.87,7071.13,7056.96,8881.85,,
, -매출원가,25295.47,29819.53,28694.66,28687.5,30367.59,29785.6,32425.22,33563.08,28701.23,28701.23,,, -매출원가,8815.21,6397.44,7016.69,6915.85,8371.25,,
, =매출총이익,3445.99,5029.18,4571.23,5213.15,5917.78,5160.78,4622.71,2675.74,800.58,800.58,,, =매출총이익,376.78,94.43,54.44,141.11,510.6,,
, -판매비와관리비,4427.19,5118.66,5340.61,5571.27,5637.84,5813.54,5264.47,5494.8,5294.47,5294.46,,, -판매비와관리비,1374.83,1080.77,1225.86,1073.02,1914.81,,
, =영업이익,-981.21,-89.48,-769.38,-358.12,279.94,-652.76,-641.76,-2819.05,-4493.89,-4493.88,,, =영업이익,-998.05,-986.34,-1171.42,-931.91,-1404.21,,
, +- 비영업손익,-77.59,68.98,262.45,-260.98,301.39,-5.08,23.78,-594.2,-549.22,-549.21,,, +- 비영업손익,-560.5,-949.02,1082.92,-92.46,-590.65,,
, (금융손익),115.52,218.12,330.89,-278.13,70.87,39.54,-0.11,-72.89,-139.39,-139.39,,, (금융손익),26.05,-71.49,-24.91,-20.04,-22.95,,
, (관계기업손익),0,0,0,-3.32,38.14,13.96,17.19,24.33,20.27,20.27,,, (관계기업손익),4.88,2.24,17.32,2.02,-1.31,,
, (외환손익),-53.04,-13.56,28.53,-23.81,23.6,41.57,-59.15,-60.01,-82.76,-82.77,,, (외환손익),43.5,-75.73,11.29,-3.23,-15.1,,
, =세전순익,-1058.8,-20.5,-506.92,-619.1,581.33,-657.84,-617.98,-3413.25,-5043.1,-5043.12,,, =세전순익,-1558.55,-1935.37,-88.51,-1024.37,-1994.87,,
, -법인세,0.47,3.48,2.26,0.32,0.31,0.37,0.41,0.39,0.31,0.31,,, -법인세,0.39,0,0,0,0.31,,
, =순이익,-1059.27,-23.98,-509.19,-619.42,581.03,-658.21,-618.38,-3413.64,-5043.41,-5043.42,,, =순이익,-1558.94,-1935.37,-88.51,-1024.37,-1995.17,,
, 지배주주순익,-1059.27,-23.98,-509.19,-619.42,581.03,-658.21,-618.38,-3413.64,-5043.41,-5043.42,,, 지배주주순익,-1558.94,-1935.37,-88.51,-1024.37,-1995.17,,
, 비지배주주순익,0,0,0,0,0,0,0,0,0,0,,, 비지배주주순익,0,0,0,0,0,,
, 매출원가비중,88.01,85.57,86.26,84.62,83.69,85.23,87.52,92.62,97.29,97.29,,, 매출원가비중,95.9,98.55,99.23,98,94.25,,
, 매출총이익율,11.99,14.43,13.74,15.38,16.31,14.77,12.48,7.38,2.71,2.71,,, 매출총이익율,4.1,1.45,0.77,2,5.75,,
