,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,신풍제약,A019170,90000,47686,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,제약,0.11,30.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,953.15,12.77,1.34,3.97,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-852.20,3.67,-0.70,3.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,2249.00,6.30,17.60,0.83,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2211.69,2159.63,2202.92,1959.5,1941.47,1849.98,1873.89,1897.22,1977.51,1977.52,,, 매출액,484.49,491.36,511.81,481.05,493.3,,
, 영업이익,242.34,248.11,192.52,42.36,70.37,78.15,77.53,56.02,78.46,78.46,,, 영업이익,-11.7,20.68,24.97,13.08,19.73,,
, 지배주주순이익,143.77,54.38,33.5,14.76,-211.23,9.05,28.04,53.24,50.03,50.03,,, 지배주주순이익,11.21,17.13,18.06,10.04,4.8,,
, 매출총이익율(%),40.42,44.23,45.83,44.24,45.29,43.31,40.5,40.16,38.7,38.7,,, 매출총이익율(%),37.77,38.92,39.47,40.56,35.87,,
, 판관비율(%),29.46,32.74,37.09,42.08,41.66,39.08,36.36,37.2,34.73,34.73,,, 판관비율(%),40.18,34.71,34.59,37.84,31.87,,
, 영업이익률(%),10.96,11.49,8.74,2.16,3.62,4.22,4.14,2.95,3.97,3.97,,, 영업이익률(%),-2.41,4.21,4.88,2.72,4,,
, 매출액 YOY(%),-3.71,-2.4,2,-11,-0.9,-4.7,1.3,1.2,4.2,0,,, 매출액 YOY(%),-3.95,5.22,9.98,0.14,1.82,,
, 영업이익 YOY(%),-36.97,2.4,-22.4,-78,66.1,11.1,-0.8,-27.7,40.1,0,,, 영업이익 YOY(%),-185.34,34.46,120.78,-68.12,268.63,,
, 지배순이익 YOY(%),-42.18,-62.2,-38.4,-55.9,-1531.1,104.3,209.8,89.9,-6,0,,, 지배순이익 YOY(%),260.6,83.4,-25.86,20.67,-57.18,,
, 매출액(개별),2120.1,2064.71,2095.84,1854.78,1822.76,1756.38,1770.08,1800.96,1873.27,,,, 매출액(개별),450.97,463.44,491.24,453.92,464.68,,
, 영업이익(개별),246.41,231.93,199.96,37.25,64.7,72.08,60.31,44.96,63.5,,,, 영업이익(개별),-0.5,12.67,23.12,10.13,17.58,,
, 순이익(개별),141.03,24.83,27.96,11.37,-200.87,-19.56,12.61,44.24,15.25,,,, 순이익(개별),26.54,8.08,21.79,1.04,-15.67,,
, 영업이익율(%개별),11.62,11.23,9.54,2.01,3.55,4.1,3.41,2.5,3.39,,,, 영업이익율(%개별),-0.11,2.73,4.71,2.23,3.78,,
, 개별/연결 순익(%),98.09,45.66,83.46,77.03,95.1,-216.13,44.97,83.1,30.48,,,, 개별/연결 순익(%),236.75,47.17,120.65,10.36,-326.46,,
, 연간 주가 상승율,14.13,-11.18,-2.14,1.63,36.47,29.24,-16.64,12.95,1612.71,-27.42,,, EPS,21.16,32.33,34.09,18.95,9.06,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,2219.34,1975.56,1936.43,1971.5,3152.61,4074.55,3396.34,3836.11,65701.39,47686,,,,,,,,,,
