,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,에이치엘비,A028300,35550,37708,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,바이오,0.00,27.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-47.08,7.86,-16.69,-109.14,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-139.60,14.43,-10.20,-90.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,825.70,45.50,30.73,0.96,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,516.42,208.08,371.86,384.61,301.39,230.07,361.86,384.21,561.77,680,,, 매출액,125.26,120.23,99.94,113.85,227.76,,
, 영업이익,-29.19,-53.5,3.62,-59.63,-210.04,-261.15,-293.15,-487.31,-613.12,-260,,, 영업이익,-141.37,-62.31,-95.38,-199.24,-256.18,,
, 지배주주순이익,-73.88,-85.45,-29.31,126.4,-132.15,-165.3,253.43,-443.86,-800.93,-320,,, 지배주주순이익,160.49,-136.39,-478.33,39.48,-225.69,,
, 매출총이익율(%),13.76,12.22,16.06,15.68,14.17,9.52,17.92,10.25,18.35,0,,, 매출총이익율(%),-4.53,20.95,21.86,13.23,18,,
, 판관비율(%),19.41,37.93,15.08,31.18,83.86,123.03,98.94,137.08,127.49,0,,, 판관비율(%),108.33,72.78,117.3,188.23,130.48,,
, 영업이익률(%),-5.65,-25.71,0.97,-15.5,-69.69,-113.51,-81.01,-126.83,-109.14,-38.24,,, 영업이익률(%),-112.86,-51.83,-95.44,-175,-112.48,,
, 매출액 YOY(%),-25.71,-59.7,78.7,3.4,-21.6,-23.7,57.3,6.2,46.2,21,,, 매출액 YOY(%),9.09,66.57,4.89,24.45,81.83,,
