,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,BNK금융지주,A138930,6720,21903,,컨센서스,6026,2611,1823,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,4.76,1086.00,3.51,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,1.00,18.40,21.50,,,,,,,,,,,,
,4.22,0.25,5.95,26.32,,YOY,-29.40,26.80,32.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-26.30,126.10,153.50,,,,,,,,,,,,
,5.30,0.35,6.50,20.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,11.70,2.70,1.07,0.17,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,21654.43,21175.74,24957.73,33191.85,32565.35,33533.77,36288.03,36292.61,33035.52,33674,35207,, 매출액,8726.72,8540.91,8269.41,8051.67,8173.54,6026,8460
, 영업이익,4936.13,4127.38,9411.4,6961.76,7122.81,5943.24,7498.33,8068.83,7481.91,8939,9575,, 영업이익,680.83,2059.58,2353.64,1913.95,1154.73,2611,2401
, 지배주주순이익,3658.74,3045.13,8097.69,4855.12,5016.11,4031,5020.95,5622.25,5193.15,6096,6574,, 지배주주순이익,329.96,1376.58,1732.12,1365.41,719.05,1823,1660
, 매출총이익율(%),52.79,54.52,57.19,61.28,65.73,68.01,64.58,60.25,66.13,0,0,, 매출총이익율(%),60.58,62.82,65.01,67.79,69.08,0,0
, 판관비율(%),26.27,27.1,30.11,33.25,34.46,33.93,34.85,35.09,43.49,0,0,, 판관비율(%),52.78,38.71,36.55,44.02,54.95,0,0
, 영업이익률(%),22.8,19.49,37.71,20.97,21.87,17.72,20.66,22.23,22.65,26.55,27.2,, 영업이익률(%),7.8,24.11,28.46,23.77,14.13,43.33,28.38
, 매출액 YOY(%),17.37,-2.2,17.9,33,-1.9,3,8.2,0,-9,1.9,4.6,, 매출액 YOY(%),-7.04,-7.34,-10.38,-11.73,-6.34,-29.45,2.3
, 영업이익 YOY(%),-7.96,-16.4,128,-26,2.3,-16.6,26.2,7.6,-7.3,19.5,7.1,, 영업이익 YOY(%),380.35,-16.88,-4.67,-21.6,69.61,26.77,2.01
, 지배순이익 YOY(%),-8.6,-16.8,165.9,-40,3.3,-19.6,24.6,12,-7.6,17.4,7.8,, 지배순이익 YOY(%),188.57,-22.28,-0.51,-23.29,117.92,32.43,-4.16
, 매출액(개별),156.76,131.01,43.78,0.3,0.18,0.13,8.61,8.47,4.83,0,0,, 매출액(개별),1.62,1.88,0.95,1.02,0.99,0,0
, 영업이익(개별),806.97,632.09,3556.83,104.11,778.66,1342.48,332.16,923.91,2476.85,0,0,, 영업이익(개별),458.15,1184.57,-130.25,1578.39,-155.86,0,0
, 순이익(개별),807.6,611.4,3564.14,63.71,760.19,1312.03,290.74,915.75,2503,0,0,, 순이익(개별),455.55,1185.11,-130.72,1578.28,-129.66,0,0
, 영업이익율(%개별),514.78,482.47,8124.33,34703.33,432588.9,1032677,3857.84,10908.03,51280.54,0,0,, 영업이익율(%개별),28280.86,63009.04,-13710.53,154744.1,-15743.43,0,0
, 개별/연결 순익(%),22.07,20.08,44.01,1.31,15.15,32.55,5.79,16.29,48.2,0,0,, 개별/연결 순익(%),138.06,86.09,-7.55,115.59,-18.03,0,0
, 연간 주가 상승율,19.46,21.21,-6.55,-39.58,3.09,8.53,-22.19,4.5,-25.85,18.31,0,, EPS,101.23,422.34,531.43,418.92,220.61,559.31,509.3
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,25526.15,30940.78,33985.09,27443.75,28291.18,30703.1,23891.05,24966.64,18513.12,21903,21903,,,,,,,,,
, 주가,12303,14913,13936,8420,8680,9420,7330,7660,5680,6720,6720,,,,,,,,,
, EPS,1763.43,1467.71,3320.56,1489.6,1538.99,1236.75,1540.48,1724.96,1593.31,1870.3,2016.95,,,,,,,,,
, BPS,15719.93,16874.38,19542.26,18059.46,20809.71,21653.26,23400.29,25415.21,26780.86,28650.97,30667.92,,,,,,,,,
, EPS증가율(%),-8.6,-16.8,126.2,-55.1,3.3,-19.6,24.6,12,-7.6,17.4,7.8,,,,,,,,,
, BPS증가율(%),0.1,7.3,15.8,-7.6,15.2,4.1,8.1,8.6,5.4,7,7,,,,,,,,,
, PER,6.98,10.16,4.2,5.65,5.64,7.62,4.76,4.44,3.56,3.59,3.33,,,,,,,,,
, PBR,0.78,0.88,0.71,0.47,0.42,0.44,0.31,0.3,0.21,0.23,0.22,,,,,,,,,
, PSR,1.18,1.46,1.36,0.83,0.87,0.92,0.66,0.69,0.56,0.65,0.62,,,,,,,,,
, ROE,11.22,8.7,16.99,8.25,7.4,5.71,6.58,6.79,5.95,6.53,6.58,,,,,,,,,
, ROA,0.85,0.65,0.96,0.54,0.54,0.43,0.51,0.54,0.45,0.53,0.57,,,,,,,,,
, EV,25526.15,30940.78,33985.09,27443.75,28291.18,30703.1,23891.05,24966.64,18513.12,21903,21903,,,,,,,,,
, EBITDA,5660.82,4498.58,10176.03,8308.05,8516.28,7316.06,8881.2,9770.39,9095.27,9095.25,9095.25,,,,,,,,,
, EV/EBITDA,4.51,6.88,3.34,3.3,3.32,4.2,2.69,2.56,2.04,2.41,2.41,,,,,,,,,
, DPS,308.41,261.68,192.31,144.23,230,230,300,360,320,320,320,,,,,,,,,
, 배당성향(%),17.44,17.78,5.79,7.91,14.94,18.6,19.47,20.87,19.99,17.11,15.87,,,,,,,,,
, 시가배당율(%),2.51,1.75,1.38,1.71,2.65,2.44,4.09,4.7,5.63,4.76,4.76,,,,,,,,,
, 차입금비율(%),253.46,251.04,255.18,228.86,210.17,181.67,168.27,165.7,187.75,187.75,187.75,,,,,,,,,
, 부채비율(%),1223.39,1202.93,1438.27,1358.31,1219.04,1132.36,1072.63,1038.62,1085.89,1085.89,1085.89,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 상장주식수 (만주),20747.91,20747.52,24386.55,32593.53,32593.53,32593.52,32593.52,32593.52,32593.52,32593.75,32593.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,21654.43,21175.74,24957.73,33191.85,32565.35,33533.77,36288.03,36292.61,33035.52,33674,35207,, 매출액,8726.72,8540.91,8269.41,8051.67,8173.54,6026,8460
, -매출원가,10222.83,9631.16,10685.38,12852.04,11161.42,10727.56,12852.62,14424.87,11190.12,0,0,, -매출원가,3440.35,3175.56,2893.44,2593.55,2527.57,0,0
, =매출총이익,11431.61,11544.58,14272.35,20339.81,21403.93,22806.21,23435.41,21867.74,21845.41,0,0,, =매출총이익,5286.37,5365.35,5375.97,5458.12,5645.97,0,0
, -판매비와관리비,5688.91,5737.68,7515.04,11035.8,11221.52,11376.67,12647.4,12733.65,14367.28,0,0,, -판매비와관리비,4605.54,3305.77,3022.33,3544.17,4491.24,0,0
, =영업이익,4936.13,4127.38,9411.4,6961.76,7122.81,5943.24,7498.33,8068.83,7481.91,8939,9575,, =영업이익,680.83,2059.58,2353.64,1913.95,1154.73,2611,2401
, +- 비영업손익,-87.61,-98.8,-220.77,38.85,-238.77,-365.74,-311.95,-135.08,-137.73,0,0,, +- 비영업손익,-123.27,-109.87,80.22,-4.23,-103.85,0,0
, (금융손익),0,0,0,0,0,0,0,0,0,0,0,, (금융손익),0,0,0,0,0,0,0
, (관계기업손익),0,0,0,6.76,6.49,-1.52,56.8,147.38,214.76,0,0,, (관계기업손익),50.62,11.6,122.4,49.6,31.17,0,0
, (외환손익),0,0,0,0,0,0,0,0,0,0,0,, (외환손익),0,0,0,0,0,0,0
, =세전순익,4848.53,4028.58,9190.64,7000.61,6884.04,5577.5,7186.38,7933.74,7344.18,0,0,, =세전순익,557.56,1949.72,2433.86,1909.72,1050.88,0,0
, -법인세,1189.79,973.36,993.95,1695.9,1702.9,1327.86,1804.97,1944.28,1718.62,0,0,, -법인세,172.58,465.04,593.64,436.21,223.73,0,0
, =순이익,3658.74,3055.22,8196.68,5304.71,5181.14,4249.64,5381.41,5989.47,5625.56,0,0,, =순이익,384.98,1484.68,1840.22,1473.51,827.15,0,0
, 지배주주순익,3658.74,3045.13,8097.69,4855.12,5016.11,4031,5020.95,5622.25,5193.15,6096,6574,, 지배주주순익,329.96,1376.58,1732.12,1365.41,719.05,1823,1660
, 비지배주주순익,0,10.09,98.99,449.59,165.03,218.64,360.46,367.22,432.4,0,0,, 비지배주주순익,55.02,108.1,108.1,108.1,108.1,0,0
, 매출원가비중,47.21,45.48,42.81,38.72,34.27,31.99,35.42,39.75,33.87,0,0,, 매출원가비중,39.42,37.18,34.99,32.21,30.92,0,0
, 매출총이익율,52.79,54.52,57.19,61.28,65.73,68.01,64.58,60.25,66.13,0,0,, 매출총이익율,60.58,62.82,65.01,67.79,69.08,0,0
, 판관비율,26.27,27.1,30.11,33.25,34.46,33.93,34.85,35.09,43.49,0,0,, 판관비율,52.78,38.71,36.55,44.02,54.95,0,0
