,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,CJ CGV,A079160,26600,9337,,컨센서스,1740,-848,-883,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,영화,0.00,1413.00,-5.64,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-23.00,-68.90,-377.30,,,,,,,,,,,,
,-1.47,6.98,-474.90,-78.16,,YOY,-28.50,-18.40,7.60,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,21.40,5.50,70.20,,,,,,,,,,,,
,-10.30,6.66,-177.40,-1.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1861.70,8.80,41.25,1.49,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,7793.33,9159.3,10392.96,11935.16,14322.45,17143.87,17693.56,19422.79,5834.44,12099,20228,, 매출액,4982.63,2433.08,415.94,1551.95,1433.47,1740,2066
, 영업이익,551.79,515.16,520.83,668.99,703.37,862.43,777.07,1219.75,-3886.6,-1001,1529,, 영업이익,440.27,-716.19,-1305.35,-968.15,-896.92,-848,-574
, 지배주주순이익,541.53,126.82,166.57,519.44,123.38,-14.03,-1406.53,-1526.42,-6354.15,-2326,5,, 지배주주순이익,-1387.06,-955.18,-1431.69,-1003.53,-2963.75,-883,-512
, 매출총이익율(%),52.92,51.08,49.3,49.6,50.94,50.59,51.56,100,100,0,0,, 매출총이익율(%),100,100,100,100,100,0,0
, 판관비율(%),45.84,45.46,44.29,44,46.03,45.56,47.17,93.72,166.61,0,0,, 판관비율(%),91.16,129.44,413.83,162.38,162.57,0,0
, 영업이익률(%),7.08,5.62,5.01,5.61,4.91,5.03,4.39,6.28,-66.61,-8.27,7.56,, 영업이익률(%),8.84,-29.44,-313.83,-62.38,-62.57,-48.74,-27.78
, 매출액 YOY(%),24,17.5,13.5,14.8,20,19.7,3.2,9.8,-70,107.4,67.2,, 매출액 YOY(%),10.63,-47.63,-91.37,-68.8,-71.23,-28.49,396.71
, 영업이익 YOY(%),22.95,-6.6,1.1,28.4,5.1,22.6,-9.9,57,-418.6,74.2,252.7,, 영업이익 YOY(%),71.87,-404.57,-656.39,-412.58,-303.72,-18.4,56.03
, 지배순이익 YOY(%),193.08,-76.6,31.3,211.8,-76.2,-111.4,-9925.2,-8.5,-316.3,63.4,100.2,, 지배순이익 YOY(%),-15.84,-1279.32,-1522.86,-5641.3,-113.67,7.56,64.24
, 매출액(개별),6645.25,7730.09,8645.02,8967.77,9145.97,9321.26,9598.27,10463.7,3257.6,0,0,, 매출액(개별),2566.53,1278.49,360.22,987,631.89,0,0
, 영업이익(개별),722.49,681.45,714.44,715.55,619.92,439.21,457.04,752.07,-2036.61,0,0,, 영업이익(개별),253.92,-329.38,-701.24,-433.24,-572.75,0,0
