,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,DB손해보험,A005830,45200,32002,,컨센서스,33816,2104,1594,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,손해보험,4.87,823.00,5.77,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,24.10,-6.10,-6.30,,,,,,,,,,,,
,5.73,0.50,8.71,4.87,,YOY,-8.80,3.20,1.60,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-15.20,128.90,164.60,,,,,,,,,,,,
,8.30,0.88,10.50,5.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,16.60,5.20,1.96,0.40,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,96272.51,85476.08,118371.1,126359.2,132421.7,135716.7,136949,143984.3,154561.3,139475,144142,, 매출액,37241.8,37095.18,38816.53,38762.01,39887.62,33816,0
, 영업이익,5690.27,3718.36,5287.99,5662.2,7260.81,8678.6,7207.13,5088.69,7309.82,7448,7576,, 영업이익,676.09,2039.36,2590.4,1760.99,919.07,2104,2525
, 지배주주순이익,4942.35,2700.64,4220.51,4187.94,5236.52,6611.46,5325.39,3759.96,5588.41,5595,5442,, 지배주주순이익,555.34,1569.19,1997.22,1419.56,602.44,1594,1818
, 매출총이익율(%),72.04,71.38,72.32,74.66,77.12,81.07,85.12,83.59,85.6,0,0,, 매출총이익율(%),82.86,88.86,82.92,84.9,85.89,0,NaN
, 판관비율(%),17.94,17.39,17.11,17.76,18.92,19.76,20.74,21.19,20.63,0,0,, 판관비율(%),81.04,83.36,76.24,80.35,83.58,0,NaN
, 영업이익률(%),5.91,4.35,4.47,4.48,5.48,6.39,5.26,3.53,4.73,5.34,5.26,, 영업이익률(%),1.82,5.5,6.67,4.54,2.3,6.22,∞
, 매출액 YOY(%),7.21,-11.2,38.5,6.7,4.8,2.5,0.9,5.1,7.3,-9.8,3.3,, 매출액 YOY(%),6.7,7.14,7.75,7.39,7.1,-8.84,0
, 영업이익 YOY(%),12.29,-34.7,42.2,7.1,28.2,19.5,-17,-29.4,43.6,1.9,1.7,, 영업이익 YOY(%),-14.68,118.02,55.25,-2.64,35.94,3.17,-2.52
, 지배순이익 YOY(%),30.94,-45.4,56.3,-0.8,25,26.3,-19.5,-29.4,48.6,0.1,-2.7,, 지배순이익 YOY(%),-25.95,103.8,72.27,11.32,8.48,1.58,-8.97
, 매출액(개별),96275.12,76257.93,106681.1,114474.2,120063.7,122556,123321.5,129406,139521.8,0,0,, 매출액(개별),33562.69,33362.45,35067.04,35038.02,36054.28,0,0
