,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,HMM,A011200,30100,102535,,컨센서스,24574,10098,7329,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,해상운송,0.00,455.00,3.71,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,3.20,22.40,836.90,,,,,,,,,,,,
,82.76,6.08,7.34,26.37,,YOY,87.10,50114.90,1216.90,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,22.50,78.10,435.80,,,,,,,,,,,,
,-2.20,17.45,-2755.90,-7.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,45.30,23.20,313.88,0.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,80468.96,70686.85,65150.39,56450.57,45848.1,50280.16,52221.24,55130.89,64132.7,92214,89144,, 매출액,13524.72,13131.07,13751.47,17184.84,20065.32,24574,21757
, 영업이익,-5096.16,-3626.62,-2350.27,-2793.27,-8333.91,-4067.8,-5586.56,-2996.94,9807.81,30814,24880,, 영업이익,-345.44,-20.19,1387.16,2770.69,5670.15,10098,7008
, 지배주주순이익,-9849.91,-6958.63,373.69,-6695.21,-4596.42,-11910.03,-7907.39,-5899.27,1238.89,30262,21054,, 지배주주순이익,-864.54,-656.18,281.09,246.04,1367.94,7329,5106
, 매출총이익율(%),-1.4,0.51,1.61,0.88,-11.27,-2.02,-5.3,-0.07,20.03,0,0,, 매출총이익율(%),2.29,5.75,15.07,20.39,32.46,0,0
, 판관비율(%),4.93,5.64,5.22,5.83,6.91,6.07,5.4,5.36,4.73,0,0,, 판관비율(%),4.85,5.9,4.98,4.27,4.2,0,0
