,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,KB금융,A105560,53200,221210,,컨센서스,26418,14790,10886,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,은행,3.33,1308.00,5.69,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,4.00,-10.70,-3.60,,,,,,,,,,,,
,6.40,0.52,8.13,37.43,,YOY,-27.00,42.30,49.20,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-28.30,92.10,88.60,,,,,,,,,,,,
,6.50,0.55,8.30,28.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,13.10,4.40,0.96,0.36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,142101.1,123569.3,116353,103758.2,100218.8,119190.6,137345.7,146391.9,144857.5,145166,156361,, 매출액,36272.01,36199.76,36017.71,35787.88,36852.12,26418,37160
, 영업이익,24321.98,20269.92,19591.23,18211.34,16769.48,40152.74,42674.81,44906.49,46159.92,52438,55279,, 영업이익,7730.52,10391.19,13904.55,14165.25,7698.93,14790,14567
, 지배주주순이익,17310.34,12715.02,14007.22,16983.18,21437.44,33114.38,30611.91,33118.28,34551.51,38339,40232,, 지배주주순이익,5347,7294.54,9818.86,11665.83,5772.28,10886,10651
, 매출총이익율(%),49.53,52.79,55.14,59.79,63.89,69.19,64.84,62.82,67.12,0,0,, 매출총이익율(%),64.19,64.9,64.8,68.74,69.98,0,0
, 판관비율(%),27.06,32.24,34.46,43.6,52.17,47.22,43.09,42.84,47.17,0,0,, 판관비율(%),42.87,36.19,26.2,29.16,49.09,0,0
, 영업이익률(%),17.12,16.4,16.84,17.55,16.73,33.69,31.07,30.68,31.87,36.12,35.35,, 영업이익률(%),21.31,28.71,38.6,39.58,20.89,55.98,39.2
, 매출액 YOY(%),1.82,-13,-5.8,-10.8,-3.4,18.9,15.2,6.6,-1,0.2,7.7,, 매출액 YOY(%),-0.94,-0.73,-2.5,-2.53,1.6,-27.02,3.17
, 영업이익 YOY(%),-28.43,-16.7,-3.3,-7,-7.9,139.4,6.3,5.2,2.8,13.6,5.4,, 영업이익 YOY(%),99.17,-10.36,6.13,13.49,-0.41,42.33,4.76
, 지배순이익 YOY(%),-27.05,-26.5,10.2,21.2,26.2,54.5,-7.6,8.2,4.3,11,4.9,, 지배순이익 YOY(%),177.85,-13.74,-0.94,24.07,7.95,49.23,8.47
, 매출액(개별),60.18,38.59,23.91,21.85,45.97,38.89,66.16,80.2,80.44,0,0,, 매출액(개별),15.48,17.97,22.81,26.06,13.6,0,0
, 영업이익(개별),6463.29,1967.49,4340.24,2432.97,5903.08,5477.78,9289.87,7473.82,13788.52,0,0,, 영업이익(개별),-526.61,9311.68,-455.62,5503.43,-570.97,0,0
, 순이익(개별),6470.97,1958.26,4329.51,2434.25,5901.32,5534.25,9259.05,7459.87,13794.15,0,0,, 순이익(개별),-527.58,9296.26,-496.05,5559.51,-565.57,0,0
, 영업이익율(%개별),10739.93,5098.44,18152.41,11134.87,12841.16,14085.32,14041.52,9318.98,17141.37,0,0,, 영업이익율(%개별),-3401.87,51817.92,-1997.46,21118.3,-4198.31,0,0
, 개별/연결 순익(%),37.38,15.4,30.91,14.33,27.53,16.71,30.25,22.52,39.92,0,0,, 개별/연결 순익(%),-9.87,127.44,-5.05,47.66,-9.8,0,0
, 연간 주가 상승율,4.41,11.48,-14.44,-8.3,29.11,48.13,-26.66,2.47,-8.92,22.58,0,, EPS,1285.93,1754.3,2361.39,2805.58,1388.21,2618.03,2561.52
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,146427.3,163233.6,139666.1,128075.6,178951.7,265082.7,194421.9,198132.5,180460.6,221210,221210,,,,,,,,,
, 주가,37900,42250,36150,33150,42800,63400,46500,47650,43400,53200,53200,,,,,,,,,
, EPS,4480.46,3291.05,3625.51,4395.78,5127.21,7919.99,7321.47,7964.8,8309.49,9220.35,9675.61,,,,,,,,,
, BPS,63591.33,67250.3,70700.06,74234.48,74138.22,81410.54,85393.3,92672.41,102219.5,111439.8,121115.4,,,,,,,,,
, EPS증가율(%),-27,-26.5,10.2,21.2,16.6,54.5,-7.6,8.8,4.3,11,4.9,,,,,,,,,
, BPS증가율(%),0.1,5.8,5.1,5,-0.1,9.8,4.9,8.5,10.3,9,8.7,,,,,,,,,
, PER,8.46,12.84,9.97,7.54,8.35,8.01,6.35,5.98,5.22,5.77,5.5,,,,,,,,,
, PBR,0.6,0.63,0.51,0.45,0.58,0.78,0.54,0.51,0.42,0.48,0.44,,,,,,,,,
, PSR,1.03,1.32,1.2,1.23,1.79,2.22,1.42,1.35,1.25,1.52,1.41,,,,,,,,,
, ROE,7.05,4.89,5.13,5.92,6.92,9.73,8.57,8.59,8.13,8.27,7.99,,,,,,,,,
, ROA,0.61,0.44,0.45,0.52,0.57,0.76,0.64,0.64,0.57,0.62,0.65,,,,,,,,,
, EV,146427.3,163233.6,139666.1,128075.6,178951.7,265082.7,194421.9,198132.5,180460.6,221210,221210,,,,,,,,,
, EBITDA,27605.18,23138.5,22203.2,20785.91,19663.86,45656.17,48911.15,54675.39,56647.69,56647.69,56647.69,,,,,,,,,
, EV/EBITDA,5.3,7.05,6.29,6.16,9.1,5.81,3.98,3.62,3.19,3.91,3.91,,,,,,,,,
, DPS,600,500,780,980,1250,1920,1920,2210,1770,1770,1770,,,,,,,,,
, 배당성향(%),13.39,15.19,21.51,22.29,23.23,23.15,24.82,26,19.96,19.2,18.29,,,,,,,,,
, 시가배당율(%),1.58,1.18,2.16,2.96,2.92,3.03,4.13,4.64,4.08,3.33,3.33,,,,,,,,,
