,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,KG이니시스,A035600,21100,5888,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,전자결제,1.66,210.00,9.35,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-13.50,-34.90,-67.40,,,,,,,,,,,,
,13.87,1.91,13.79,12.10,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,18.40,2.07,10.20,8.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,252.20,3.60,3.53,0.69,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,3101.22,4157.69,5477.91,6968.66,4780.72,7584.53,9246.24,7475.53,8101.55,8659,10148,, 매출액,1519.72,2409.15,1903.5,1979.17,1809.72,,
, 영업이익,305.56,360.22,397.76,200.03,488.52,546.77,604.26,822.18,980.06,1072,1349,, 영업이익,213.25,228.14,249.96,268.08,233.88,,
, 지배주주순이익,239.71,168.79,177.35,-8.76,80.91,-3.79,352.44,499.92,424.4,589,731,, 지배주주순이익,61.58,123.89,122.18,103.62,74.71,,
, 매출총이익율(%),28.1,25.23,20.73,15.68,27.39,30.8,35.83,26.93,27.38,0,0,, 매출총이익율(%),9.55,36.39,28.42,28.73,12.82,,
, 판관비율(%),18.25,16.56,13.47,12.81,17.17,23.59,29.3,15.93,15.28,0,0,, 판관비율(%),-4.48,26.92,15.29,15.19,-0.1,,
, 영업이익률(%),9.85,8.66,7.26,2.87,10.22,7.21,6.54,11,12.1,12.38,13.29,, 영업이익률(%),14.03,9.47,13.13,13.55,12.92,,
, 매출액 YOY(%),70.96,34.1,31.8,27.2,-31.4,58.6,21.9,-19.2,8.4,6.9,17.2,, 매출액 YOY(%),-30.87,5.61,7.05,4.35,19.08,,
, 영업이익 YOY(%),105.72,17.9,10.4,-49.7,144.2,11.9,10.5,36.1,19.2,9.4,25.8,, 영업이익 YOY(%),914.51,8.57,33.93,26.37,9.67,,
, 지배순이익 YOY(%),51.42,-29.6,5.1,-104.9,1023.6,-104.7,9399.2,41.8,-15.1,38.8,24.1,, 지배순이익 YOY(%),824.47,-2.71,-24.28,-30.75,21.32,,
, 매출액(개별),2194.31,2676.22,2950.57,3067.54,3388.6,4434.9,4834.81,4812.7,5158.21,0,0,, 매출액(개별),1342.51,1266.83,1201.19,1270.01,1420.18,,
, 영업이익(개별),155.01,200.17,248.82,276.58,262.87,320.25,380.47,411.12,476.57,0,0,, 영업이익(개별),100.76,110.37,112.29,119.89,134.03,,
, 순이익(개별),163.24,191.88,243.73,215.54,54.25,-383.06,314.37,406.02,387.93,0,0,, 순이익(개별),44.99,146.23,94.19,57.09,90.41,,
, 영업이익율(%개별),7.06,7.48,8.43,9.02,7.76,7.22,7.87,8.54,9.24,0,0,, 영업이익율(%개별),7.51,8.71,9.35,9.44,9.44,,
, 개별/연결 순익(%),68.1,113.68,137.43,-2460.5,67.05,10107.12,89.2,81.22,91.41,0,0,, 개별/연결 순익(%),73.06,118.03,77.09,55.1,121.01,,
, 연간 주가 상승율,68.27,35.51,7.83,-8.66,-25.99,55.37,-18.09,10.39,18.53,4.71,0,, EPS,220.68,443.97,437.84,371.33,267.73,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,3115.56,4221.9,4609.54,4345.84,3216.19,5026.06,4297.28,4743.75,5622.74,5888,5888,,,,,,,,,
, 주가,12250,16600,17900,16350,12100,18800,15400,17000,20150,21100.01,21100.01,,,,,,,,,
, EPS,942.51,663.66,688.7,-32.96,304.4,-14.18,1263.03,1791.55,1520.91,2110.72,2619.58,,,,,,,,,
, BPS,5608.12,6154.66,6577.34,5880.38,6655.84,6992.75,7642.24,8937.19,11031.88,13142.28,15761.86,,,,,,,,,
, EPS증가율(%),51.4,-29.6,3.8,-104.8,1023.6,-104.7,9009.3,41.8,-15.1,38.8,24.1,,,,,,,,,
, BPS증가율(%),0.2,9.7,6.9,-10.6,13.2,5.1,9.3,16.9,23.4,19.1,19.9,,,,,,,,,
, PER,13,25.01,25.99,-496.1,39.75,-1326.14,12.19,9.49,13.25,10,8.05,,,,,,,,,
, PBR,2.18,2.7,2.72,2.78,1.82,2.69,2.02,1.9,1.83,1.61,1.34,,,,,,,,,
, PSR,1,1.02,0.84,0.62,0.67,0.66,0.46,0.63,0.69,0.68,0.58,,,,,,,,,
, ROE,16.81,10.78,10.47,-0.56,4.57,-0.2,16.53,20.05,13.79,16.06,16.62,,,,,,,,,
, ROA,5.37,3.21,3.15,-0.14,1.1,-0.04,3.78,3.91,3.03,4.04,4.77,,,,,,,,,
, EV,3969.2,4875.61,4716.67,5098.49,3848.28,5045.29,4328.49,5616.85,7018.48,7284,7284,,,,,,,,,
, EBITDA,329.09,388.33,438.77,263.69,566.57,729.8,808.93,1288.99,1348.51,1348.51,1348.51,,,,,,,,,
, EV/EBITDA,12.06,12.56,10.75,19.34,6.79,6.91,5.35,4.36,5.2,5.4,5.4,,,,,,,,,
, DPS,125,150,200,200,250,250,300,330,350,350,350,,,,,,,,,
, 배당성향(%),12.94,22.06,27.8,0,81.24,0,23.51,17.57,21.95,16.58,13.36,,,,,,,,,
, 시가배당율(%),1.02,0.9,1.12,1.22,2.07,1.33,1.95,1.94,1.74,1.66,1.66,,,,,,,,,
, 차입금비율(%),25.92,45.82,50.05,65.44,82.3,68.79,60.9,100.36,84.72,84.72,84.72,,,,,,,,,
, 부채비율(%),128.64,143.93,139.47,171.58,185.86,199.07,175.57,235.68,209.74,209.74,209.74,,,,,,,,,
, 매출채권회전일수,34.96,49.74,38.94,28.29,34.05,18.66,15.72,18.22,17.11,17.11,17.11,,,,,,,,,
, 재고자산회전일수,0.01,0.81,0.98,0.7,0.6,1.89,1.97,1.95,3.74,3.74,3.74,,,,,,,,,
, 상장주식수 (만주),2543.31,2543.31,2575.16,2658.01,2658.01,2673.44,2790.44,2790.44,2790.44,2790.52,2790.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,3101.22,4157.69,5477.91,6968.66,4780.72,7584.53,9246.24,7475.53,8101.55,8659,10148,, 매출액,1519.72,2409.15,1903.5,1979.17,1809.72,,
, -매출원가,2229.7,3108.76,4342.1,5875.75,3471.24,5248.6,5933.1,5462.14,5883.23,0,0,, -매출원가,1374.61,1532.43,1362.56,1410.52,1577.73,,
, =매출총이익,871.52,1048.94,1135.81,1092.91,1309.48,2335.93,3313.15,2013.39,2218.31,0,0,, =매출총이익,145.11,876.72,540.94,568.65,231.99,,
, -판매비와관리비,565.96,688.72,738.05,892.88,820.96,1789.17,2708.89,1191.22,1238.25,0,0,, -판매비와관리비,-68.14,648.58,290.98,300.57,-1.89,,
, =영업이익,305.56,360.22,397.76,200.03,488.52,546.77,604.26,822.18,980.06,1072,1349,, =영업이익,213.25,228.14,249.96,268.08,233.88,,
, +- 비영업손익,106.58,-58.45,-39.46,-53.1,-63.89,-86.99,-92.52,16.8,-63.68,0,0,, +- 비영업손익,-92.55,-33.34,13.93,1.68,-45.95,,
, (금융손익),44.36,13.46,-14.1,-0.86,-8.79,-6.31,20.15,36.98,-38.54,0,0,, (금융손익),-27.78,-16.26,-11.7,-5.95,-4.63,,
, (관계기업손익),17.57,-49.95,5.77,63.72,-34.18,1.8,-10.05,43.23,40.28,0,0,, (관계기업손익),16.07,-10.38,29.12,8.32,13.22,,
, (외환손익),0.04,-0.11,0.9,2.1,1.7,-0.2,0.69,-0.23,-0.03,0,0,, (외환손익),-0.23,0,0,0,-0.03,,
, =세전순익,412.13,301.77,358.3,146.92,424.64,459.78,511.73,838.98,916.38,0,0,, =세전순익,120.7,194.8,263.89,269.76,187.93,,
, -법인세,85.68,85.61,101.38,113.28,85.97,63.78,112.98,228.88,297.17,0,0,, -법인세,76.58,37.9,57.33,117.07,84.88,,
, =순이익,326.46,216.16,256.91,33.64,135.78,30.27,398.75,600.26,529.8,0,0,, =순이익,37.95,156.9,131.79,152.69,88.42,,
, 지배주주순익,239.71,168.79,177.35,-8.76,80.91,-3.79,352.44,499.92,424.4,589,731,, 지배주주순익,61.58,123.89,122.18,103.62,74.71,,
, 비지배주주순익,86.75,47.38,79.57,42.4,54.87,34.06,46.31,100.34,105.4,0,0,, 비지배주주순익,-23.63,33.01,9.61,49.07,13.71,,
, 매출원가비중,71.9,74.77,79.27,84.32,72.61,69.2,64.17,73.07,72.62,0,0,, 매출원가비중,90.45,63.61,71.58,71.27,87.18,,
, 매출총이익율,28.1,25.23,20.73,15.68,27.39,30.8,35.83,26.93,27.38,0,0,, 매출총이익율,9.55,36.39,28.42,28.73,12.82,,
, 판관비율,18.25,16.56,13.47,12.81,17.17,23.59,29.3,15.93,15.28,0,0,, 판관비율,-4.48,26.92,15.29,15.19,-0.1,,
, 영업이익률,9.85,8.66,7.26,2.87,10.22,7.21,6.54,11,12.1,12.38,13.29,, 영업이익률,14.03,9.47,13.13,13.55,12.92,,
, 지배주주순이익률,7.73,4.06,3.24,-0.13,1.69,-0.05,3.81,6.69,5.24,6.8,7.2,, 지배주주순이익률,4.05,5.14,6.42,5.24,4.13,,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 현금흐름표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 영업활동현금흐름,82.97,350.22,-455.94,-707.4,658.23,1747.68,412.63,2257.43,1269.03,0,0,, 영업활동현금흐름,930,-546,742,498,575,,
, 당기순이익,326.46,216.16,256.91,33.64,135.78,30.27,398.75,600.26,529.8,0,0,, 당기순이익,37.95,156.9,131.79,152.69,88.42,,
, 감가상각비,23.53,28.11,41.01,63.66,78.05,183.03,204.67,466.81,368.45,0,0,, 감가상각비,466.81,0,0,0,368.45,,
, 투자활동현금흐름,-159.93,-222.5,-736.45,251.96,-592.28,-692.02,-137.17,-609.96,-1759.6,0,0,, 투자활동현금흐름,-739,-394,-42,89,-1412,,
, 유형자산취득,-197.67,-100.65,-48.47,-40.91,-65.05,-38.71,-87.47,-181.29,-90.49,0,0,, 유형자산취득,-70.72,-22.97,-42.91,-4.16,-20.45,,
, 재무활동현금흐름,202.94,370.7,232.34,206.08,494.82,-270.29,-145.43,-759.98,0.91,0,0,, 재무활동현금흐름,921.05,-121.03,-935.41,-74.65,1132,,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 재무상태표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 1. 유동자산,3561.56,3901.65,4265.91,4459.52,5059.81,5603.69,5369.18,5644.47,5659.11,0,0,, 1. 유동자산,5644.47,4734.7,5723.87,4781.49,5659.11,,
,    현금성자산,898.62,1396.92,437.35,187.99,748.76,1534.05,1663.71,2551.23,2061.41,0,0,,    현금성자산,2551.23,1490.25,1252.92,1766.77,2061.41,,
, 매출채권,297.03,566.63,584.47,540.07,445.93,387.73,398.32,373.13,379.71,0,0,, 매출채권,373.13,356.98,329.02,342.57,379.71,,
, 재고자산,0.07,6.9,11.65,11.34,5.66,27.19,32.02,29.17,60.26,0,0,, 재고자산,29.17,32.6,5.59,4.72,60.26,,
, 2. 비유동자산,904.28,1350.97,1356.93,1652.41,2299.74,3658.76,3953.99,7135.64,8345.92,0,0,, 2. 비유동자산,7135.64,7218.41,6196.47,6084.28,8345.92,,
, 유형자산,259.97,365.91,381.63,442.03,463.23,837.98,869.49,1431.67,1494.44,0,0,, 유형자산,1431.67,1421.97,1180.95,1179.86,1494.44,,
, 무형자산,218.96,230.91,225.45,302.8,564.27,869.16,833.44,749.78,1621.07,0,0,, 무형자산,749.78,756.28,605.04,604.89,1621.07,,
,     투자자산 등,425.36,754.16,749.85,907.58,1272.23,1951.62,2251.06,4954.18,5230.41,0,0,,     투자자산 등,4954.18,5040.16,4410.48,4299.53,5230.41,,
,      * 지분투자,253.74,532.55,535.92,604.97,618.7,450.39,434.06,479.11,733.88,0,0,,      * 지분투자,479.11,667.38,705.03,708.95,733.88,,
, 1+2= 총자산,4465.84,5252.63,5622.84,6111.94,7359.55,9262.45,9323.17,12780.11,14005.03,14594.03,15325.03,, 1+2= 총자산,12780.11,11953.1,11920.34,10865.77,14005.03,,
,    매입채무,35.93,136.13,100.4,93.29,164.68,93.72,104.61,118.06,29.02,0,0,,    매입채무,118.06,147.37,9.8,10.33,29.02,,
, 차입금,506.36,986.61,1175.21,1472.7,2118.73,2130.33,2060.49,3821.02,3830.88,0,0,, 차입금,3821.02,3745.55,2183.66,2196.45,3830.88,,
, 부채총계,2512.65,3099.26,3274.8,3861.46,4785.06,6165.4,5939.91,8972.84,9483.45,9483.45,9483.45,, 부채총계,8972.84,8198.26,7748.28,6700.66,9483.45,,
, 자본총계,1953.19,2153.36,2348.03,2250.47,2574.49,3097.05,3383.25,3807.26,4521.58,0,0,, 자본총계,3807.26,3754.84,4172.07,4165.11,4521.58,,
, 지배주주지분,1426.32,1565.32,1693.77,1563.01,1769.13,1869.47,2132.52,2493.87,3078.38,3667.38,4398.38,, 지배주주지분,2493.87,2459.87,2861.02,2804.77,3078.38,,
, 총자산(개별),2185.49,2718.47,2875.11,2905.43,3771.48,4414.11,4507.59,5519.16,6907.96,0,0,, 총자산(개별),5519.16,5076.91,5669.18,5946.23,6907.96,,
, 부채총계(개별),925.39,1279.85,1457.52,1301.48,1997.45,2903.03,2757.02,3501.16,4320.77,0,0,, 부채총계(개별),3501.16,3041.11,3269.46,3645.01,4320.77,,
, 자본총계(개별),1260.1,1438.62,1417.59,1603.96,1774.03,1511.08,1750.57,2018,2587.19,0,0,, 자본총계(개별),2018,2035.8,2399.72,2301.23,2587.19,,
