,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,기업은행,A024110,9160,67662,,컨센서스,14805,6450,4835,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,은행,5.14,1338.00,4.05,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-0.90,48.20,39.10,,,,,,,,,,,,
,4.41,0.27,6.14,26.83,,YOY,-34.90,-2.50,-3.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-28.90,16.60,35.10,,,,,,,,,,,,
,4.90,0.35,7.10,23.40,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,8.70,2.70,0.81,0.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,94753.63,86941.29,85975.26,79866.26,77789.2,80759.9,90406.08,94885.26,86538.92,81390,90644,, 매출액,23435.48,22741.71,22028.12,20941.2,20827.89,14805,21020
, 영업이익,16122.92,11424.42,13883.31,14996.52,15325.91,20283.23,23964.35,22279.15,21255.16,22769,24811,, 영업이익,3969.41,6613.21,4266.8,4842.35,5532.8,6450,5070
, 지배주주순이익,11803.34,8484.92,10265.98,11429.83,11575.36,15014.54,17542.43,16058.47,15357.05,16335,17653,, 지배주주순이익,2447.96,5000.41,3165.88,3611.98,3578.78,4835,3676
, 매출총이익율(%),47.16,48.96,52.47,57.98,62.77,65.13,62.3,60.62,64.89,0,0,, 매출총이익율(%),60.94,61.7,64.6,65.75,67.81,0,0
, 판관비율(%),19.62,23.15,23.33,26.25,27.7,27.1,25.43,25.39,28.08,0,0,, 판관비율(%),44,32.62,45.23,42.62,41.24,0,0
, 영업이익률(%),17.02,13.14,16.15,18.78,19.7,25.12,26.51,23.48,24.56,27.98,27.37,, 영업이익률(%),16.94,29.08,19.37,23.12,26.56,43.57,24.12
, 매출액 YOY(%),1.09,-8.2,-1.1,-7.1,-2.6,3.8,11.9,5,-8.8,-5.9,11.4,, 매출액 YOY(%),-0.96,-3.32,-8.82,-11.9,-11.13,-34.9,-4.58
, 영업이익 YOY(%),-16.34,-29.1,21.5,8,2.2,32.3,18.1,-7,-4.6,7.1,9,, 영업이익 YOY(%),-2.38,-11.16,-26.03,-5,39.39,-2.47,18.82
, 지배순이익 YOY(%),-18.57,-28.1,21,11.3,1.3,29.7,16.8,-8.5,-4.4,6.4,8.1,, 지배순이익 YOY(%),-18.98,-9.64,-25.85,-5.12,46.19,-3.31,16.11
, 매출액(개별),90063.78,82432.64,80724.33,74687.89,72494.2,74727.14,83458.73,87510.9,79260.27,0,0,, 매출액(개별),21632.57,20935.8,20194.44,19135.23,18994.8,0,0
, 영업이익(개별),15312.8,10871.21,12384.4,13407.56,13013.21,17627.77,20964.84,19455.73,17514.47,0,0,, 영업이익(개별),3139.62,6360.29,2864.68,3763.45,4526.05,0,0
, 순이익(개별),11345.28,8120.22,9357.83,10239.05,10267.12,13140.82,15110.06,13928.34,12631.91,0,0,, 순이익(개별),1724.59,4984.98,2155.37,2623.83,2867.73,0,0
, 영업이익율(%개별),17,13.19,15.34,17.95,17.95,23.59,25.12,22.23,22.1,0,0,, 영업이익율(%개별),14.51,30.38,14.19,19.67,23.83,0,0
, 개별/연결 순익(%),96.12,95.7,91.15,89.58,88.7,87.52,86.13,86.74,82.25,0,0,, 개별/연결 순익(%),70.45,99.69,68.08,72.64,80.13,0,0
, 연간 주가 상승율,-5.2,2.53,16.05,-12.41,2.83,29.53,-14.59,-16.01,-25.08,3.62,0,, EPS,331.4,676.95,428.59,488.99,484.49,654.56,497.65
,,,,,,,,,,,,,,,,,,,,,
