,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,네이처셀,A007390,10250,6284,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,음료,0.00,37.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-33.30,10.02,-30.10,-38.34,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-260.70,12.04,-4.40,-5.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1494.50,11.40,34.50,1.49,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,272.05,292.08,253.55,305.54,267.88,272.15,267.15,230.72,167.2,167.2,,, 매출액,85.77,34.68,34.61,29.19,68.72,,
, 영업이익,-4.57,11.39,-13.04,-11.64,-50.87,-5.26,12.27,17.61,-64.11,-64.11,,, 영업이익,24.96,-10.54,-17.93,-21.42,-14.22,,
, 지배주주순이익,-18.99,-35.09,18.95,-13.35,-46.81,-4.61,22.35,9.02,-188.7,-188.71,,, 지배주주순이익,18.52,-15.59,-25.29,-37.76,-110.07,,
, 매출총이익율(%),9.89,12.07,5.51,10.45,14.82,28.01,41.11,55.92,45.45,45.46,,, 매출총이익율(%),65.4,41.72,36.26,27.3,59.69,,
, 판관비율(%),11.57,8.17,10.65,14.26,33.81,29.94,36.52,48.29,83.8,83.8,,, 판관비율(%),36.29,72.12,88.07,100.69,80.38,,
, 영업이익률(%),-1.68,3.9,-5.14,-3.81,-18.99,-1.93,4.59,7.63,-38.34,-38.34,,, 영업이익률(%),29.1,-30.39,-51.81,-73.38,-20.69,,
, 매출액 YOY(%),19.35,7.4,-13.2,20.5,-12.3,1.6,-1.8,-13.6,-27.5,0,,, 매출액 YOY(%),-9.39,-31.45,-36.14,-27.32,-19.88,,
, 영업이익 YOY(%),46.81,349.2,-214.5,10.7,-337,89.7,333.3,43.5,-464.1,0,,, 영업이익 YOY(%),-27.99,-1982.14,-4084.44,-155.91,-156.97,,
, 지배순이익 YOY(%),-17,-84.8,154,-170.4,-250.6,90.2,584.8,-59.6,-2192,-0.01,,, 지배순이익 YOY(%),-32.06,-579.69,-3142.31,-215.72,-694.33,,
, 매출액(개별),272.05,292.08,253.55,305.54,267.88,272.15,267.15,230.72,167.2,,,, 매출액(개별),85.77,34.68,34.61,29.19,68.72,,
, 영업이익(개별),-4.57,11.39,-13.04,-11.64,-50.87,-5.26,12.27,17.61,-64.11,,,, 영업이익(개별),24.96,-10.54,-17.93,-21.42,-14.22,,
, 순이익(개별),-18.99,-35.09,18.95,-13.35,-46.81,-4.61,22.35,9.02,-188.7,,,, 순이익(개별),18.52,-15.59,-25.29,-37.76,-110.07,,
, 영업이익율(%개별),-1.68,3.9,-5.14,-3.81,-18.99,-1.93,4.59,7.63,-38.34,,,, 영업이익율(%개별),29.1,-30.39,-51.81,-73.38,-20.69,,
, 개별/연결 순익(%),100,100,100,100,100,100,100,100,100,,,, 개별/연결 순익(%),100,100,100,100,100,,
, 연간 주가 상승율,-40.03,37.08,75.04,358.82,-3.41,395.14,-48.38,-42,55.54,0,,, EPS,30.21,-25.43,-41.25,-61.59,-179.54,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,127.7,222.24,406.66,2369.16,2365.18,11928.57,6313.71,4032.45,6272.02,6284,,,,,,,,,,
, 주가,418,573,1003,4602,4445,22009,11362,6590,10250,10250,,,,,,,,,,
, EPS,-62.16,-90.47,46.74,-25.93,-87.97,-8.51,40.22,14.74,-308.38,-307.81,,,,,,,,,,
, BPS,282.32,277.71,339.11,615.51,600.41,728.47,776.14,1338.27,1024.38,1022.42,,,,,,,,,,
, EPS증가율(%),-17,-45.5,151.7,-155.5,-239.2,90.3,572.9,-63.3,-2192,0.2,,,,,,,,,,
, BPS증가율(%),-0.2,-1.6,22.1,81.5,-2.5,21.3,6.5,72.4,-23.5,-0.2,,,,,,,,,,
