,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,롯데지주,A004990,33350,34987,,컨센서스,26324,220,1650,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,3.00,113.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-12.90,-101.30,-181.80,,,,,,,,,,,,
,-17.63,0.55,-3.09,1.74,,YOY,31.90,140.00,391.70,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,10.70,1780.70,170.50,,,,,,,,,,,,
,66.50,0.89,1.40,2.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,301.60,8.60,2.19,0.38,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,18644.93,19763.67,22247.65,22579.41,22482.63,18689.88,72711.72,88561.61,90866.49,113008,,, 매출액,22552.6,19950.67,20892.34,26239.13,23784.35,26324,
, 영업이익,1153.95,915.37,1147.7,1444.62,1277.69,-67.64,984.18,1748.55,1562.49,2895,,, 영업이익,332.43,91.65,476.45,1007.48,-13.09,220,
, 지배주주순이익,916.25,507.28,-28.51,752.31,698.11,4688.15,1850.73,-3595.4,-1984.29,4761,,, 지배주주순이익,-7593.38,-565.57,-510.04,1430.97,-2339.64,1650,
, 매출총이익율(%),36.62,36.55,35.05,36.62,36.12,26.48,27.17,29.27,27.43,0,,, 매출총이익율(%),28.55,28.69,27.81,27.9,25.5,0,
, 판관비율(%),30.43,31.91,29.89,30.23,30.44,26.84,25.82,27.3,25.71,0,,, 판관비율(%),27.08,28.23,25.53,24.06,25.56,0,
, 영업이익률(%),6.19,4.63,5.16,6.4,5.68,-0.36,1.35,1.97,1.72,2.56,,, 영업이익률(%),1.47,0.46,2.28,3.84,-0.06,0.84,
