,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,메디포스트,A078160,38100,6197,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,바이오,0.00,88.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-327.02,5.32,-1.63,-4.96,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-108.80,4.95,-4.60,-18.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,13222.00,53.80,12.18,2.78,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,407.7,415.04,414.03,375.7,286.54,422.5,443.84,458.11,486.25,486.25,,, 매출액,110.02,122.36,117.86,118.42,127.61,,
, 영업이익,-12,-2,-17.75,-2.11,-154.09,-34.03,-65.93,-80.64,-24.13,-24.14,,, 영업이익,-43.94,-1.44,-2.49,-16.88,-3.33,,
, 지배주주순이익,16.96,9.96,-18.51,27.79,-111.96,-9.5,-20.07,-141.2,-18.96,-18.95,,, 지배주주순이익,-151.41,39.99,-6.93,-51.79,-0.22,,
, 매출총이익율(%),46.24,47.07,44.7,58.53,56.43,59.64,63.91,63.36,63.53,63.53,,, 매출총이익율(%),44.29,66.7,64.64,58.2,64.41,,
, 판관비율(%),49.18,47.56,48.99,59.1,110.2,67.69,78.76,80.96,68.49,68.49,,, 판관비율(%),84.23,67.88,66.75,72.45,67.02,,
, 영업이익률(%),-2.94,-0.48,-4.29,-0.56,-53.78,-8.05,-14.85,-17.6,-4.96,-4.96,,, 영업이익률(%),-39.94,-1.18,-2.11,-14.25,-2.61,,
, 매출액 YOY(%),14.72,1.8,-0.2,-9.3,-23.7,47.4,5.1,3.2,6.1,0,,, 매출액 YOY(%),1.11,-0.75,3.98,6.25,15.99,,
, 영업이익 YOY(%),-128.38,83.3,-787.5,88.1,-7202.8,77.9,-93.7,-22.3,70.1,-0.04,,, 영업이익 YOY(%),-212.3,-161.8,64.48,47.27,92.42,,
, 지배순이익 YOY(%),-61.47,-41.3,-285.8,250.1,-502.9,91.5,-111.3,-603.5,86.6,0.05,,, 지배순이익 YOY(%),-927.38,957.94,-137.99,-338.53,99.85,,
, 매출액(개별),281.9,294.29,297.15,350.89,286.54,422.5,443.84,458.03,486.27,,,, 매출액(개별),109.95,122.36,117.86,118.43,127.61,,
, 영업이익(개별),-8.96,5.55,-3.88,11.52,-139.68,-21.45,-59.89,-75.1,-21.93,,,, 영업이익(개별),-42.07,-0.82,-2,-16.26,-2.85,,
