,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,미래에셋증권,A006800,10200,64802,,컨센서스,7314,3947,2710,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,증권,1.96,1301.00,7.67,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,9.70,10.40,-11.90,,,,,,,,,,,,
,7.89,0.70,8.87,49.73,,YOY,64.80,184.60,151.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,10.20,32.80,46.50,,,,,,,,,,,,
,11.50,0.64,5.10,26.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,250.70,5.80,1.27,0.36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,7110.64,3628.65,7986.93,4769.17,7960.44,17119.44,16270.27,19787.23,24735.07,85033,82140,, 매출액,4743.21,4438.46,7312.67,6349.75,6634.2,7314,6361
, 영업이익,1633.71,-354.09,2707.94,1484.68,31.71,6277.53,5123.29,7279.55,11171.19,11283,10247,, 영업이익,1526.12,1386.64,3871.45,2941.83,2971.27,3947,3068
, 지배주주순이익,1436.92,-291.76,2051.95,1697.51,392.91,5031.76,4565.65,6589.98,8218.34,8581,8105,, 지배주주순이익,1367.47,1077.81,3006.91,2284.14,1849.48,2710,2205
, 매출총이익율(%),100,100,100,100,100,100,100,100,100,0,0,, 매출총이익율(%),100,100,100,100,100,0,0
, 판관비율(%),77.02,109.76,66.1,68.87,99.6,63.33,68.51,63.21,54.84,0,0,, 판관비율(%),67.83,68.76,47.06,53.67,55.21,0,0
, 영업이익률(%),22.98,-9.76,33.9,31.13,0.4,36.67,31.49,36.79,45.16,13.27,12.48,, 영업이익률(%),32.17,31.24,52.94,46.33,44.79,53.96,48.23
, 매출액 YOY(%),-8.17,-49,120.1,-40.3,66.9,115.1,-5,21.6,25,243.8,-3.4,, 매출액 YOY(%),83.15,-9.95,30.94,40.15,39.87,64.79,-13.01
, 영업이익 YOY(%),-22.73,-121.7,864.8,-45.2,-97.9,19696.7,-18.4,42.1,53.5,1,-9.2,, 영업이익 YOY(%),1184.2,-2.38,47.86,71.58,94.69,184.64,-20.75
, 지배순이익 YOY(%),-13.91,-120.3,803.3,-17.3,-76.9,1180.6,-9.3,44.3,24.7,4.4,-5.5,, 지배순이익 YOY(%),391.33,-35.47,37.71,66.89,35.25,151.44,-26.67
, 매출액(개별),6673.72,3356.9,7521.96,4516.51,3455.69,14542.55,14494.79,16204.52,21751.38,0,0,, 매출액(개별),3862.77,3255.02,6041.27,5506.37,6948.72,0,0
, 영업이익(개별),1445.86,-350.79,2552.64,1496.99,432.92,5532.19,5412.28,6022.64,11101.29,0,0,, 영업이익(개별),1356.24,923.03,3330.23,2856.79,3991.23,0,0
, 순이익(개별),1160.87,-337.86,1928.16,1427,278.22,4244.28,4340.85,4487.21,5907.31,0,0,, 순이익(개별),978.08,647.42,2486.65,2013.82,759.43,0,0
, 영업이익율(%개별),21.66,-10.45,33.94,33.14,12.53,38.04,37.34,37.17,51.04,0,0,, 영업이익율(%개별),35.11,28.36,55.12,51.88,57.44,0,0
, 개별/연결 순익(%),80.79,115.8,93.97,84.06,70.81,84.35,95.08,68.09,71.88,0,0,, 개별/연결 순익(%),71.52,60.07,82.7,88.17,41.06,0,0
, 연간 주가 상승율,15.38,-25.83,10.45,-3.66,-23.55,26.93,-27.32,15.62,25.03,8.05,0,, EPS,215.24,169.65,473.3,359.53,291.11,426.56,347.07
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,39204.11,29076.38,32114.7,30938.57,23653.14,61234.48,42988.06,49702.89,60917.87,64802,64802,,,,,,,,,
, 주가,11731,8701,9610,9258,7078,8984,6530,7550,9440,10200,10200,,,,,,,,,
, EPS,429.97,-87.31,614.03,507.96,117.58,738.23,693.53,1001.04,1273.54,1350.67,1275.75,,,,,,,,,
, BPS,12123.72,11694.48,12469.57,10259.88,19866.24,10793.32,12628.51,13865.33,14363.3,15940.11,17215.86,,,,,,,,,
, EPS증가율(%),-13.9,-120.3,803.3,-17.3,-76.9,527.9,-6.1,44.3,27.2,6.1,-5.5,,,,,,,,,
, BPS증가율(%),0,-3.5,6.6,-17.7,93.6,-45.7,17,9.8,3.6,11,8,,,,,,,,,
, PER,27.28,-99.66,15.65,18.23,60.2,12.17,9.42,7.54,7.41,7.55,8,,,,,,,,,
, PBR,0.97,0.74,0.77,0.9,0.36,0.83,0.52,0.54,0.66,0.64,0.59,,,,,,,,,
, PSR,5.51,8.01,4.02,6.49,2.97,3.58,2.64,2.51,2.46,0.76,0.79,,,,,,,,,
, ROE,3.55,-0.75,4.92,4.95,0.59,6.84,5.49,7.22,8.87,8.47,7.41,,,,,,,,,
, ROA,0.56,-0.11,0.67,0.6,0.07,0.56,0.39,0.49,0.63,0.65,0.61,,,,,,,,,
, EV,39204.11,29076.38,32114.7,30938.57,23653.14,61234.48,42988.06,49702.89,60917.87,64802,64802,,,,,,,,,
, EBITDA,1933.68,-123.23,2893.28,1613.57,537.07,7224.89,6080.63,8924.01,12848.18,12848.18,12848.18,,,,,,,,,
, EV/EBITDA,20.27,-235.95,11.1,19.17,44.04,8.48,7.07,5.57,4.74,5.04,5.04,,,,,,,,,
, DPS,120,0,250,330,50,220,220,260,200,200,200,,,,,,,,,
, 배당성향(%),28.04,0,40.96,65.4,66.02,24.78,33.71,27.63,15.83,14.81,15.68,,,,,,,,,
, 시가배당율(%),1.02,0,2.6,3.56,0.71,2.45,3.37,3.44,2.12,1.96,1.96,,,,,,,,,
, 차입금비율(%),241.5,256.52,265.48,331.71,325.13,710.62,917.26,1007.96,824.03,824.03,824.03,,,,,,,,,
, 부채비율(%),527.83,564.33,633.38,723.17,759.13,1127.25,1313.8,1348.28,1301.06,1301.06,1301.06,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,0,7810.93,7810.93,7810.93,,,,,,,,,
