,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,부산가스,A015350,59500,6545,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,도시가스,1.68,46.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,3.65,0.76,20.70,3.80,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,6.10,0.65,9.90,4.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,12.60,2.20,1.03,0.48,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,11882.09,12099.41,12777.64,10541.82,8868.82,9352.35,9518.08,9727.89,9220.73,9220.72,,, 매출액,2749.78,3584.41,1899.38,1283.26,2453.67,,
, 영업이익,449.36,374.15,382.28,310.04,359.05,377.63,412.6,435.29,350.75,350.75,,, 영업이익,54.54,242.94,57.84,11.21,38.76,,
, 지배주주순이익,372.69,368.06,350.62,415.56,496.91,450.14,492.32,489.28,1793.73,1793.72,,, 지배주주순이익,127.24,205.7,1505.13,57.07,25.82,,
, 매출총이익율(%),11.54,10.53,10.42,12.19,14.87,14.67,15.21,15.84,15.81,15.81,,, 매출총이익율(%),13.95,13.83,17.88,21.51,14.12,,
, 판관비율(%),7.76,7.44,7.43,9.25,10.82,10.63,10.88,11.37,12,12,,, 판관비율(%),11.97,7.05,14.83,20.64,12.54,,
, 영업이익률(%),3.78,3.09,2.99,2.94,4.05,4.04,4.33,4.47,3.8,3.8,,, 영업이익률(%),1.98,6.78,3.05,0.87,1.58,,
, 매출액 YOY(%),13.15,1.8,5.6,-17.5,-15.9,5.5,1.8,2.2,-5.2,0,,, 매출액 YOY(%),0.73,0.83,-0.97,-14.74,-10.77,,
, 영업이익 YOY(%),6.76,-16.7,2.2,-18.9,15.8,5.2,9.3,5.5,-19.4,0,,, 영업이익 YOY(%),226.78,-9.83,-41.69,-7.66,-28.93,,
, 지배순이익 YOY(%),12.2,-1.2,-4.7,18.5,19.6,-9.4,9.4,-0.6,266.6,0,,, 지배순이익 YOY(%),97.98,-12.99,857.95,281.23,-79.71,,
, 매출액(개별),11882.09,12099.41,12777.64,10541.82,8868.82,9352.35,9518.08,9727.89,9220.73,,,, 매출액(개별),2749.78,3584.41,1899.38,1283.26,2453.67,,
, 영업이익(개별),449.36,374.15,382.28,310.04,359.05,377.63,412.6,435.29,350.75,,,, 영업이익(개별),54.54,242.94,57.84,11.21,38.76,,
, 순이익(개별),372.69,368.06,350.62,415.56,496.91,450.14,492.32,489.28,1793.73,,,, 순이익(개별),127.24,205.7,1505.13,57.07,25.82,,
, 영업이익율(%개별),3.78,3.09,2.99,2.94,4.05,4.04,4.33,4.47,3.8,,,, 영업이익율(%개별),1.98,6.78,3.05,0.87,1.58,,
, 개별/연결 순익(%),100,100,100,100,100,100,100,100,100,,,, 개별/연결 순익(%),100,100,100,100,100,,
, 연간 주가 상승율,10.22,86.34,-8.51,-9.73,13,1.12,3.47,-4.29,42.86,16.67,,, EPS,1156.73,1870,13683,518.82,234.73,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,2255,4202,3844.5,3470.5,3921.5,3965.5,4103,3927,5610,6545,,,,,,,,,,
, 주가,20500,38200,34950,31550,35650,36050,37300,35700,51000,59500,,,,,,,,,,
, EPS,3388.09,3346,3187.46,3777.82,4517.36,4092.18,4475.64,4448,16306.64,16306.54,,,,,,,,,,
, BPS,37308.18,39687.82,41783.73,45463.82,49492.73,52810.73,56686.82,60885.09,78785.46,78785.46,,,,,,,,,,
, EPS증가율(%),12.2,-1.2,-4.7,18.5,19.6,-9.4,9.4,-0.6,266.6,0,,,,,,,,,,
, BPS증가율(%),0.1,6.4,5.3,8.8,8.9,6.7,7.3,7.4,29.4,0,,,,,,,,,,
, PER,6.05,11.42,10.96,8.35,7.89,8.81,8.33,8.03,3.13,3.65,,,,,,,,,,
, PBR,0.55,0.96,0.84,0.69,0.72,0.68,0.66,0.59,0.65,0.76,,,,,,,,,,
, PSR,0.19,0.35,0.3,0.33,0.44,0.42,0.43,0.4,0.61,0.71,,,,,,,,,,
, ROE,9.08,8.43,7.63,8.31,9.13,7.75,7.9,7.31,20.7,20.7,,,,,,,,,,
, ROA,4.87,4.64,4.66,5.17,5.91,4.95,5.03,4.72,14.15,14.15,,,,,,,,,,
, EV,3337,5514.67,4385.13,4750.27,5251.59,5691.75,5966.63,5975.28,7586.99,4568,,,,,,,,,,
, EBITDA,693.38,630.6,639.52,578.11,626.05,666.24,752.58,829.29,745.48,745.48,,,,,,,,,,
, EV/EBITDA,4.81,8.75,6.86,8.22,8.39,8.54,7.93,7.21,10.18,6.13,,,,,,,,,,
, DPS,1000,1000,500,500,500,500,500,1000,1000,1000,,,,,,,,,,
, 배당성향(%),26.83,27.17,14.26,12.03,10.06,11.11,10.16,20.44,5.58,6.13,,,,,,,,,,
, 시가배당율(%),4.88,2.62,1.43,1.58,1.4,1.39,1.34,2.8,1.96,1.68,,,,,,,,,,
, 차입금비율(%),3.09,2.97,0.4,0,0,0,0,0.34,0.37,0.37,,,,,,,,,,
, 부채비율(%),86.37,81.56,63.77,60.8,54.41,56.4,56.89,54.8,46.26,46.26,,,,,,,,,,
, 매출채권회전일수,58.34,55.7,58.52,49.42,53.16,59.37,54.85,54.78,55.39,55.39,,,,,,,,,,
, 재고자산회전일수,0.17,0.17,0.22,0.17,0.24,0.26,0.26,0.26,0.27,0.27,,,,,,,,,,
, 상장주식수 (만주),1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,11882.09,12099.41,12777.64,10541.82,8868.82,9352.35,9518.08,9727.89,9220.73,9220.72,,, 매출액,2749.78,3584.41,1899.38,1283.26,2453.67,,
, -매출원가,10511.19,10825.39,11445.66,9257.01,7550.46,7980.41,8070.35,8186.78,7763.1,7763.09,,, -매출원가,2366.12,3088.73,1559.82,1007.24,2107.3,,
, =매출총이익,1370.9,1274.02,1331.98,1284.82,1318.36,1371.94,1447.73,1541.11,1457.63,1457.63,,, =매출총이익,383.66,495.68,339.56,276.02,346.37,,
, -판매비와관리비,921.54,899.87,949.7,974.78,959.31,994.31,1035.13,1105.83,1106.87,1106.88,,, -판매비와관리비,329.12,252.74,281.72,264.81,307.61,,
, =영업이익,449.36,374.15,382.28,310.04,359.05,377.63,412.6,435.29,350.75,350.75,,, =영업이익,54.54,242.94,57.84,11.21,38.76,,
, +- 비영업손익,46.18,96.35,77.59,187.59,268.04,199.37,231.54,198.56,1999.37,1999.37,,, +- 비영업손익,108.93,26.34,1921.55,61.24,-9.76,,
, (금융손익),25.55,27.42,30.28,-8.47,-4.81,19.4,29.28,34.41,63.64,63.64,,, (금융손익),7.6,7.49,7.2,48.1,0.85,,
, (관계기업손익),30.65,68.31,32.81,177.89,290.02,167.71,208.65,187.38,1891.11,1891.11,,, (관계기업손익),86.82,-4.18,1901.07,3.29,-9.07,,
, (외환손익),0,0,0,0,0,0,0,0,0,0,,, (외환손익),0,0,0,0,0,,
, =세전순익,495.54,470.5,459.87,497.63,627.1,577,644.14,633.85,2350.13,2350.13,,, =세전순익,163.47,269.28,1979.4,72.45,29,,
, -법인세,122.85,102.44,109.25,82.07,130.18,126.85,151.82,144.57,556.4,556.4,,, -법인세,36.23,63.58,474.26,15.38,3.18,,
, =순이익,372.69,368.06,350.62,415.56,496.91,450.14,492.32,489.28,1793.73,1793.72,,, =순이익,127.24,205.7,1505.13,57.07,25.82,,
, 지배주주순익,372.69,368.06,350.62,415.56,496.91,450.14,492.32,489.28,1793.73,1793.72,,, 지배주주순익,127.24,205.7,1505.13,57.07,25.82,,
, 비지배주주순익,0,0,0,0,0,0,0,0,0,0,,, 비지배주주순익,0,0,0,0,0,,
, 매출원가비중,88.46,89.47,89.58,87.81,85.13,85.33,84.79,84.16,84.19,84.19,,, 매출원가비중,86.05,86.17,82.12,78.49,85.88,,
, 매출총이익율,11.54,10.53,10.42,12.19,14.87,14.67,15.21,15.84,15.81,15.81,,, 매출총이익율,13.95,13.83,17.88,21.51,14.12,,
, 판관비율,7.76,7.44,7.43,9.25,10.82,10.63,10.88,11.37,12,12,,, 판관비율,11.97,7.05,14.83,20.64,12.54,,
, 영업이익률,3.78,3.09,2.99,2.94,4.05,4.04,4.33,4.47,3.8,3.8,,, 영업이익률,1.98,6.78,3.05,0.87,1.58,,
, 지배주주순이익률,3.14,3.04,2.74,3.94,5.6,4.81,5.17,5.03,19.45,19.45,,, 지배주주순이익률,4.63,5.74,79.24,4.45,1.05,,
,,,,,,,,,,,,,,,,,,,,,
