,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성엔지니어링,A028050,13950,27342,,컨센서스,16505,920,776,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,대형건설사,0.00,201.00,8.77,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,9.50,-4.80,-40.80,,,,,,,,,,,,
,11.17,1.71,15.29,5.27,,YOY,3.60,7.60,11.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-11.00,15.50,108.70,,,,,,,,,,,,
,-90.90,2.36,-5.30,0.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,817.80,7.40,8.99,1.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,114401.6,98063.23,89114.51,64412.51,70094.33,55362.27,54798.01,63679.8,67251.13,69327,72508,, 매출액,17553.34,15925.25,16742.52,16031.63,18551.73,16505,17444
, 영업이익,7367.61,-10280.47,1618.33,-14543.34,700.56,468.95,2060.81,3854.76,3510.45,3960,4284,, 영업이익,666.83,854.91,858.05,1000.65,796.83,920,973
, 지배주주순이익,5271.97,-7070.98,549.82,-13052.81,257.59,-453.51,686.85,2926.48,2448.16,3047,3297,, 지배주주순이익,478.46,699.11,680.55,696.65,371.85,776,752
, 매출총이익율(%),11.28,-5.58,6.13,-16.91,6.88,6.53,10,11.97,9.85,0,0,, 매출총이익율(%),9.96,10.5,9.49,11.19,8.45,0,0
, 판관비율(%),4.84,4.91,4.31,5.67,5.88,5.68,6.24,5.92,4.63,0,0,, 판관비율(%),6.16,5.13,4.36,4.95,4.15,0,0
, 영업이익률(%),6.44,-10.48,1.82,-22.58,1,0.85,3.76,6.05,5.22,5.71,5.91,, 영업이익률(%),3.8,5.37,5.12,6.24,4.3,5.57,5.58
, 매출액 YOY(%),23.04,-14.3,-9.1,-27.7,8.8,-21,-1,16.2,5.6,3.1,4.6,, 매출액 YOY(%),9.17,17.81,3.02,-1.98,5.69,3.64,4.19
, 영업이익 YOY(%),17.62,-239.5,115.7,-998.7,104.8,-33.1,339.5,87.1,-8.9,12.8,8.2,, 영업이익 YOY(%),18.09,-28.17,-14.19,0.29,19.5,7.61,13.4
, 지배순이익 YOY(%),2.71,-234.1,107.8,-2474,102,-276.1,251.5,326.1,-16.3,24.5,8.2,, 지배순이익 YOY(%),363.05,-29.99,-5.83,-4.14,-22.28,11,10.5
, 매출액(개별),92847.87,82346.7,74723.04,49227.22,56016.17,45037.84,42777.62,47712.95,49967.25,0,0,, 매출액(개별),12401.99,12675.49,13253.69,11846.02,12192.05,0,0
, 영업이익(개별),7142.72,-2776.73,3028.52,-11369.66,1328.03,-1010.21,52.47,1939.74,2467.3,0,0,, 영업이익(개별),90.12,511.08,583.4,863.47,509.35,0,0
, 순이익(개별),5106.31,-6884.38,-521.37,-13492.31,-20.66,-784.4,348.34,1242.96,2244.1,0,0,, 순이익(개별),89.97,364.26,477.72,656.85,745.27,0,0
, 영업이익율(%개별),7.69,-3.37,4.05,-23.1,2.37,-2.24,0.12,4.07,4.94,0,0,, 영업이익율(%개별),0.73,4.03,4.4,7.29,4.18,0,0
, 개별/연결 순익(%),96.86,97.36,-94.83,103.37,-8.02,172.96,50.72,42.47,91.66,0,0,, 개별/연결 순익(%),18.8,52.1,70.2,94.29,200.42,0,0
, 연간 주가 상승율,-17.87,-60.12,-42.58,-38.42,-29.21,20.39,41.94,9.09,-30.99,5.28,0,, EPS,244.11,356.69,347.22,355.43,189.72,395.92,383.67
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,66200,26400,15160,28518,20188,24304,34496,37632,25970,27342,27342,,,,,,,,,
, 주가,103169,41143,23626,14550,10300,12400,17600,19200,13250,13950,13950,,,,,,,,,
, EPS,8216.07,-11019.75,856.86,-6659.6,131.42,-231.38,350.43,1493.1,1249.06,1554.59,1682.14,,,,,,,,,
, BPS,26309.19,14127.39,14847.24,-1604.54,5157.84,5235.65,5382.56,6749.22,8166.83,9721.42,11403.56,,,,,,,,,
, EPS증가율(%),2.7,-234.1,107.8,-877.2,102,-276.1,251.5,326.1,-16.3,24.5,8.2,,,,,,,,,
, BPS증가율(%),0.5,-46.3,5.1,-110.8,-421.5,1.5,2.8,25.4,21,19,17.3,,,,,,,,,
, PER,12.56,-3.73,27.57,-2.18,78.37,-53.59,50.22,12.86,10.61,8.97,8.29,,,,,,,,,
, PBR,3.92,2.91,1.59,-9.07,2,2.37,3.27,2.84,1.62,1.43,1.22,,,,,,,,,
, PSR,0.58,0.27,0.17,0.44,0.29,0.44,0.63,0.59,0.39,0.39,0.38,,,,,,,,,
, ROE,31.23,-78,5.77,415.05,2.55,-4.42,6.51,22.12,15.29,15.99,14.75,,,,,,,,,
, ROA,9.29,-11.93,0.89,-23.18,0.47,-0.89,1.48,6.44,5.15,6.02,6.12,,,,,,,,,
, EV,67506.64,38156.05,24097.93,47917.54,24436.43,29921.11,35610.33,44106.08,32095.41,21217,21217,,,,,,,,,
, EBITDA,7967.86,-9557.41,2425.83,-13703.09,1485.87,1193.76,2664.15,4473.72,4006.16,4006.16,4006.16,,,,,,,,,
, EV/EBITDA,8.47,-3.99,9.93,-3.5,16.45,25.06,13.37,9.86,8.01,5.3,5.3,,,,,,,,,
, DPS,2380.95,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 배당성향(%),21.03,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 시가배당율(%),2.31,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 차입금비율(%),22.15,175.25,161.41,-901.8,145.71,143.82,53.93,11.37,14.7,14.7,14.7,,,,,,,,,
, 부채비율(%),235.96,554.64,545.29,-1899.34,454.12,406.02,347.73,248.86,200.66,200.66,200.66,,,,,,,,,
, 매출채권회전일수,30.88,40.25,40.36,41.72,49.06,86.48,92.13,69.63,61.12,61.12,61.12,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 상장주식수 (만주),6416.66,6416.64,6416.66,19600,19600,19600,19600,19600,19600,19600,19600,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,114401.6,98063.23,89114.51,64412.51,70094.33,55362.27,54798.01,63679.8,67251.13,69327,72508,, 매출액,17553.34,15925.25,16742.52,16031.63,18551.73,16505,17444
, -매출원가,101495.5,103533.3,83654.9,75303.03,65274.92,51748.02,49318.53,56057.59,60629.72,0,0,, -매출원가,15805.05,14253.32,15154.48,14236.97,16984.95,0,0
, =매출총이익,12906.09,-5470.09,5459.61,-10890.52,4819.42,3614.25,5479.48,7622.21,6621.41,0,0,, =매출총이익,1748.29,1671.93,1588.04,1794.66,1566.78,0,0
, -판매비와관리비,5538.47,4810.38,3841.28,3652.82,4118.86,3145.3,3418.67,3767.46,3110.96,0,0,, -판매비와관리비,1081.46,817.02,729.99,794.01,769.95,0,0
, =영업이익,7367.61,-10280.47,1618.33,-14543.34,700.56,468.95,2060.81,3854.76,3510.45,3960,4284,, =영업이익,666.83,854.91,858.05,1000.65,796.83,920,973
, +- 비영업손익,-315.65,1108.79,-1012.22,42.4,-136.81,-765.44,-359.04,150.62,-93.33,0,0,, +- 비영업손익,67.71,162.81,50.33,-251.81,-54.65,0,0
, (금융손익),-295.84,-255.16,-194.65,-241.73,-52.32,-347.42,-386.72,-47.04,-78.69,0,0,, (금융손익),-65.79,165.24,-31.34,-29.48,-183.11,0,0
, (관계기업손익),112.24,79.26,20.24,39.08,47.8,45.22,49.51,321.67,138.67,0,0,, (관계기업손익),221.5,3.54,141.59,-226.99,220.53,0,0
, (외환손익),-446.95,-111.86,-154.86,105.46,-24.8,-471.55,14.24,-87.41,-526.32,0,0,, (외환손익),-232.48,139.82,-157.02,-81.67,-427.46,0,0
, =세전순익,7051.96,-9171.67,606.11,-14500.94,563.75,-296.48,1701.77,4005.38,3417.12,0,0,, =세전순익,734.54,1017.72,908.38,748.84,742.17,0,0
, -법인세,1807.32,-2085.08,42.58,-1457.46,469.5,224.98,999.8,1049.57,972.61,0,0,, -법인세,262.58,323.17,233.93,152.52,263,0,0
, =순이익,5244.65,-7086.59,563.53,-13043.49,94.25,-521.46,701.96,2955.81,2444.51,0,0,, =순이익,471.97,694.55,674.46,596.33,479.18,0,0
, 지배주주순익,5271.97,-7070.98,549.82,-13052.81,257.59,-453.51,686.85,2926.48,2448.16,3047,3297,, 지배주주순익,478.46,699.11,680.55,696.65,371.85,776,752
, 비지배주주순익,-27.32,-15.61,13.72,9.32,-163.34,-67.95,15.12,29.32,-3.65,0,0,, 비지배주주순익,-6.49,-4.56,-6.09,-100.32,107.33,0,0
, 매출원가비중,88.72,105.58,93.87,116.91,93.12,93.47,90,88.03,90.15,0,0,, 매출원가비중,90.04,89.5,90.51,88.81,91.55,0,0
, 매출총이익율,11.28,-5.58,6.13,-16.91,6.88,6.53,10,11.97,9.85,0,0,, 매출총이익율,9.96,10.5,9.49,11.19,8.45,0,0
