,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성화재,A000810,190000,90012,,컨센서스,48384,5074,3619,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,손해보험,4.63,469.00,9.89,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,2.40,-26.20,-12.80,,,,,,,,,,,,
,11.92,0.55,4.64,6.60,,YOY,-2.70,110.80,103.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,260.90,250.90,,,,,,,,,,,,
,13.70,0.96,6.90,6.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,18.00,11.70,1.76,0.51,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,169162.8,132445.3,179062.7,183463.6,186651.5,186683.7,187346.2,193473.6,200133,197211,201619,, 매출액,47476.17,49718.55,50874.85,51142.1,48397.46,48384,46780
, 영업이익,10323.97,6811.98,11166.13,10850.94,10711.54,12575.54,14507.79,8659.06,10443.92,14142,13655,, 영업이익,518.96,2407.14,3858.29,2772.7,1405.79,5074,3918
, 지배주주순이익,7864.91,5119.63,8358.67,8112.45,8579.62,10527.37,10679.16,6429.93,7549.88,9174,8935,, 지배주주순이익,420.18,1779.24,2760.58,1978.81,1031.26,3619,2674
, 매출총이익율(%),69.14,66.01,73.12,77.17,80.53,80.97,86.64,87.59,91.43,0,0,, 매출총이익율(%),92.77,92.64,88.28,89.51,95.52,0,0
, 판관비율(%),18.32,19.15,18.95,19.6,20.03,20.97,21.86,22.1,21.71,0,0,, 판관비율(%),91.67,87.8,80.69,84.09,92.62,0,0
, 영업이익률(%),6.1,5.14,6.24,5.91,5.74,6.74,7.74,4.48,5.22,7.17,6.77,, 영업이익률(%),1.09,4.84,7.58,5.42,2.9,10.49,8.38
, 매출액 YOY(%),13.73,-21.7,35.2,2.5,1.7,0,0.4,3.3,3.4,-1.5,2.2,, 매출액 YOY(%),1.75,5.81,2.65,3.43,1.94,-2.68,-8.05
, 영업이익 YOY(%),-5.21,-34,63.9,-2.8,-1.3,17.4,15.4,-40.3,20.6,35.4,-3.4,, 영업이익 YOY(%),-75.04,-22.81,39.68,22.72,170.89,110.79,1.55
, 지배순이익 YOY(%),-1.05,-34.9,63.3,-2.9,5.8,22.7,1.4,-39.8,17.4,21.5,-2.6,, 지배순이익 YOY(%),-72.81,-22.76,35.61,18.46,145.43,103.4,-3.14
, 매출액(개별),166984.2,130743.5,176608.5,181094.6,184417.8,184586.6,185130.3,192235.8,198731.9,0,0,, 매출액(개별),48056.49,49175.88,50147.1,50507.1,48901.83,0,0
, 영업이익(개별),10027.17,6664.26,10637.58,10470.03,10441.55,12388.95,14363.15,8342.96,10193.48,0,0,, 영업이익(개별),426.43,2272.55,3641.4,2641.1,1638.43,0,0
, 순이익(개별),7701.3,5052.3,7966.15,7827.14,8409.11,10428.72,10570.57,6092.33,7668.34,0,0,, 순이익(개별),233.69,1640.49,2693.16,1955.64,1379.04,0,0
, 영업이익율(%개별),6,5.1,6.02,5.78,5.66,6.71,7.76,4.34,5.13,0,0,, 영업이익율(%개별),0.89,4.62,7.26,5.23,3.35,0,0
, 개별/연결 순익(%),97.92,98.68,95.3,96.48,98.01,99.06,98.98,94.75,101.57,0,0,, 개별/연결 순익(%),55.62,92.2,97.56,98.83,133.72,0,0
, 연간 주가 상승율,3.32,18.81,9.07,8.85,-12.68,-0.56,0.75,-9.48,-23,1.33,0,, EPS,886.93,3755.68,5827.12,4176.93,2176.82,7639.1,5644.36
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,103277.1,122700.8,133833.9,145677.6,127201.4,126490.8,127438.3,115357.7,88827.82,90012,90012,,,,,,,,,
, 주가,218000,259000,282500,307500,268500,267000,269000,243500,187500,190000.1,190000.1,,,,,,,,,
, EPS,16601.46,10806.65,17643.71,17123.98,18110.09,22221.46,22541.86,13572.47,15936.49,19364.77,18860.28,,,,,,,,,
, BPS,188830.3,166069.8,201063.7,212563.2,231995.9,253114.1,260613,301845.1,343240.7,362606.2,381466.5,,,,,,,,,
, EPS증가율(%),-1,-34.9,63.3,-2.9,5.8,22.7,1.4,-39.8,17.4,21.5,-2.6,,,,,,,,,
, BPS증가율(%),0.1,-12.1,21.1,5.7,9.1,9.1,3,15.8,13.7,5.6,5.2,,,,,,,,,
, PER,13.13,23.97,16.01,17.96,14.83,12.02,11.93,17.94,11.77,9.81,10.07,,,,,,,,,
, PBR,1.15,1.56,1.41,1.45,1.16,1.05,1.03,0.81,0.55,0.52,0.5,,,,,,,,,
, PSR,0.61,0.93,0.75,0.79,0.68,0.68,0.68,0.6,0.44,0.46,0.45,,,,,,,,,
, ROE,8.79,6.51,8.78,8.06,7.81,8.78,8.65,4.5,4.64,5.34,4.94,,,,,,,,,
, ROA,1.7,1.04,1.44,1.28,1.26,1.38,1.35,0.75,0.82,0.98,0.95,,,,,,,,,
, EV,103277.1,122700.8,133833.9,145677.6,127201.4,126490.8,127438.3,115357.7,88827.82,90012,90012,,,,,,,,,
, EBITDA,11274.79,7605.37,12331.55,12187.39,11980.24,13960.38,16706.89,11932.58,13635.33,13635.33,13635.33,,,,,,,,,
, EV/EBITDA,9.16,16.13,10.85,11.95,10.62,9.06,7.63,9.67,6.51,6.6,6.6,,,,,,,,,
, DPS,3750,2750,4500,5150,6100,10000,11500,8500,8800,8800,8800,,,,,,,,,
, 배당성향(%),21.55,23.48,23.78,27.3,30.23,40.38,45.78,56.2,49.55,45.44,46.66,,,,,,,,,
, 시가배당율(%),1.72,1.06,1.59,1.67,2.27,3.75,4.28,3.49,4.69,4.63,4.63,,,,,,,,,
, 차입금비율(%),0.04,0,0,0.59,0,0,0,0.21,0,0,0,,,,,,,,,
, 부채비율(%),414.53,526.76,509.97,526.99,519.7,533.02,542.03,494.72,468.69,468.69,468.69,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,0,479.78,479.78,479.78,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 상장주식수 (만주),4737.48,4737.48,4737.48,4737.48,4737.48,4737.48,4737.48,4737.48,4737.48,4737.47,4737.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,169162.8,132445.3,179062.7,183463.6,186651.5,186683.7,187346.2,193473.6,200133,197211,201619,, 매출액,47476.17,49718.55,50874.85,51142.1,48397.46,48384,46780
, -매출원가,52210.71,45023.8,48135.94,41892.25,36340.31,35526.24,25031.01,24002.6,17153.16,0,0,, -매출원가,3433.74,3657.78,5963.13,5364.6,2167.66,0,0
, =매출총이익,116952.1,87421.45,130926.8,141571.3,150311.2,151157.4,162315.2,169471,182979.8,0,0,, =매출총이익,44042.43,46060.77,44911.72,45777.5,46229.8,0,0
, -판매비와관리비,30994.45,25356.84,33937.27,35952.48,37391.68,39143,40952.52,42759.46,43439.41,0,0,, -판매비와관리비,43523.47,43653.63,41053.43,43004.8,44824.01,0,0
, =영업이익,10323.97,6811.98,11166.13,10850.94,10711.54,12575.54,14507.79,8659.06,10443.92,14142,13655,, =영업이익,518.96,2407.14,3858.29,2772.7,1405.79,5074,3918
, +- 비영업손익,-42.02,-69.02,-130.43,-133.53,486.19,1731.9,55.68,37.22,-162.44,0,0,, +- 비영업손익,-26.54,56.19,-65.17,-54.82,-98.64,0,0
, (금융손익),0,0,0,0,0,0,0,0,0,0,0,, (금융손익),0,0,0,0,0,0,0
, (관계기업손익),8.04,11.53,13.6,13.59,13.43,15.02,28.58,25.49,-349.02,0,0,, (관계기업손익),13.98,32.65,-114.09,-84.18,-183.4,0,0
, (외환손익),0,0,0,0,0,0,0,0,0,0,0,, (외환손익),0,0,0,0,0,0,0
, =세전순익,10281.95,6742.97,11035.7,10717.41,11197.73,14307.44,14563.46,8696.28,10281.48,0,0,, =세전순익,492.41,2463.32,3793.13,2717.88,1307.15,0,0
, -법인세,2375.48,1592.16,2654.1,2579.35,2591.58,3754.43,3856.28,2224.62,2758.25,0,0,, -법인세,53.72,671.48,1030.25,730.99,325.52,0,0
, =순이익,7906.47,5150.8,8381.6,8138.06,8606.15,10553.01,10707.18,6456.16,7573.03,0,0,, =순이익,423.2,1791.84,2762.88,1986.88,1031.43,0,0
, 지배주주순익,7864.91,5119.63,8358.67,8112.45,8579.62,10527.37,10679.16,6429.93,7549.88,9174,8935,, 지배주주순익,420.18,1779.24,2760.58,1978.81,1031.26,3619,2674
, 비지배주주순익,41.56,31.18,22.93,25.61,26.53,25.63,28.02,26.23,23.15,0,0,, 비지배주주순익,3.02,12.6,2.3,8.07,0.17,0,0
, 매출원가비중,30.86,33.99,26.88,22.83,19.47,19.03,13.36,12.41,8.57,0,0,, 매출원가비중,7.23,7.36,11.72,10.49,4.48,0,0
, 매출총이익율,69.14,66.01,73.12,77.17,80.53,80.97,86.64,87.59,91.43,0,0,, 매출총이익율,92.77,92.64,88.28,89.51,95.52,0,0
, 판관비율,18.32,19.15,18.95,19.6,20.03,20.97,21.86,22.1,21.71,0,0,, 판관비율,91.67,87.8,80.69,84.09,92.62,0,0
, 영업이익률,6.1,5.14,6.24,5.91,5.74,6.74,7.74,4.48,5.22,7.17,6.77,, 영업이익률,1.09,4.84,7.58,5.42,2.9,10.49,8.38
, 지배주주순이익률,4.65,3.87,4.67,4.42,4.6,5.64,5.7,3.32,3.77,4.65,4.43,, 지배주주순이익률,0.89,3.58,5.43,3.87,2.13,7.48,5.72
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 현금흐름표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 영업활동현금흐름,56816.38,36495.57,34293.46,27011.69,16461.97,25947.66,21262.37,9099.02,14839.31,0,0,, 영업활동현금흐름,6800,2509,-5000,5709,11622,0,0
, 당기순이익,7906.47,5150.8,8381.6,8138.06,8606.15,10553.01,10707.18,6456.16,7573.03,0,0,, 당기순이익,423.2,1791.84,2762.88,1986.88,1031.43,0,0
, 감가상각비,950.82,793.39,1165.42,1336.45,1268.7,1384.84,2199.1,3273.52,3191.41,0,0,, 감가상각비,822.21,819.58,805.71,794.77,771.35,0,0
, 투자활동현금흐름,-48113.81,-30349,-33141.29,-23574.51,-11415.51,-20285.85,-14527.11,-9874.58,-2841.98,0,0,, 투자활동현금흐름,-6385,-2577,9970,-7124,-3110,0,0
