,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,신세계,A004170,277000,27271,,컨센서스,13531,943,440,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,면세점,0.54,152.00,13.55,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-7.20,13.60,-84.20,,,,,,,,,,,,
,-26.35,0.79,-3.01,3.64,,YOY,13.10,2768.90,2951.60,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.70,-13.20,157.80,,,,,,,,,,,,
,10.40,0.72,6.60,7.40,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,16.80,0.70,1.68,0.54,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,22958.3,24416.37,24923.07,25639.85,29474.86,38714.16,51856.83,63942.24,47692.79,56689,67980,, 매출액,17686.53,11968.56,10144.04,12144.12,13436.07,13531,13266
, 영업이익,2497.72,3063.9,2734.47,2621.34,2513.99,3456.96,3973.5,4677.98,884.83,4074,4922,, 영업이익,1941.98,32.87,-485.55,251.56,1085.95,943,592
, 지배주주순이익,1616.06,1576.19,1566.14,4021.06,2271.35,1822.66,2389.78,5264.42,-1034.94,1800,2540,, 지배주주순이익,-1906.93,-15.43,-1133.84,-56.35,170.68,440,172
, 매출총이익율(%),64.87,64.23,64.12,63.75,64.13,59.72,55.81,51.11,50.33,0,0,, 매출총이익율(%),50.45,51.28,53.12,48.37,49.15,0,0
, 판관비율(%),54,51.68,53.15,53.53,55.6,50.79,48.15,43.8,48.48,0,0,, 판관비율(%),39.47,51,57.91,46.3,41.07,0,0
, 영업이익률(%),10.88,12.55,10.97,10.22,8.53,8.93,7.66,7.32,1.86,7.19,7.24,, 영업이익률(%),10.98,0.27,-4.79,2.07,8.08,6.97,4.46
, 매출액 YOY(%),5.05,6.4,2.1,2.9,15,31.3,33.9,23.3,-25.4,18.9,19.9,, 매출액 YOY(%),14.76,-21.1,-32.64,-24.22,-24.03,13.05,30.78
, 영업이익 YOY(%),-1.83,22.7,-10.8,-4.1,-4.1,37.5,14.9,17.7,-81.1,360.4,20.8,, 영업이익 YOY(%),44.77,-97,-171.34,-73.77,-44.08,2768.88,221.92
, 지배순이익 YOY(%),-95.38,-2.5,-0.6,156.7,-43.5,-19.8,31.1,120.3,-119.7,273.9,41.1,, 지배순이익 YOY(%),-325.45,-100.23,-766.46,-116.77,108.95,2951.59,115.17
, 매출액(개별),15203.39,15437.2,15020.15,14860.79,16437.1,16655.21,17393.27,15576.07,14598.02,0,0,, 매출액(개별),4299.61,3310.87,3538.22,3638.07,4110.86,0,0
, 영업이익(개별),1961.57,2033.43,1900.48,1846.18,1978.27,2198.09,2422.59,2220.96,1268.01,0,0,, 영업이익(개별),853.9,225.89,143.09,281.84,617.19,0,0
, 순이익(개별),1379.2,1202.89,1334.12,3953.19,1590.4,1421.02,1867.55,7059.56,2140.85,0,0,, 순이익(개별),-388.41,676.59,1374.04,277.08,-186.86,0,0
, 영업이익율(%개별),12.9,13.17,12.65,12.42,12.04,13.2,13.93,14.26,8.69,0,0,, 영업이익율(%개별),19.86,6.82,4.04,7.75,15.01,0,0
, 개별/연결 순익(%),85.34,76.32,85.19,98.31,70.02,77.96,78.15,134.1,-206.86,0,0,, 개별/연결 순익(%),20.37,-4384.9,-121.18,-491.71,-109.48,0,0
