,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,씨젠,A096530,176900,46408,,컨센서스,3482,2214,1817,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,진단기기,0.85,69.00,7.31,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-7.50,-18.50,-19.20,,,,,,,,,,,,
,9.24,7.19,77.84,61.64,,YOY,325.80,456.90,440.50,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-21.20,-14.00,-2.60,,,,,,,,,,,,
,25.00,6.96,17.40,20.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,331.30,10.10,26.28,3.28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,517.13,589.93,644.11,651.37,736.94,889.2,1022.65,1219.53,11252.16,13979,12231,, 매출액,337.76,817.72,2748.31,3268.75,4417.38,3482,3526
, 영업이익,122.26,140.9,111.2,86.37,100.84,75.56,106.25,224.23,6761.9,8568,7161,, 영업이익,51.28,397.54,1689.81,2099.43,2575.12,2214,2217
, 지배주주순이익,91.03,95.73,91.41,67.74,71.23,32.57,107.28,266.72,5022.81,6615,5680,, 지배주주순이익,56.39,336.19,1306.58,1515.21,1864.83,1817,1428
, 매출총이익율(%),67.88,74.21,72.7,71.77,71.16,67.81,66.15,66.66,76.22,0,0,, 매출총이익율(%),59.62,74.57,75.17,77.72,76.08,0,0
, 판관비율(%),44.24,50.33,55.44,58.51,57.47,59.32,55.76,48.27,16.13,0,0,, 판관비율(%),44.43,25.96,13.68,13.49,17.79,0,0
, 영업이익률(%),23.64,23.88,17.26,13.26,13.68,8.5,10.39,18.39,60.09,61.29,58.55,, 영업이익률(%),15.18,48.62,61.49,64.23,58.3,63.58,62.88
, 매출액 YOY(%),31.25,14.1,9.2,1.1,13.1,20.7,15,19.3,822.7,24.2,-12.5,, 매출액 YOY(%),11.59,197.57,838.02,941.07,1207.85,325.82,28.3
, 영업이익 YOY(%),20.54,15.2,-21.1,-22.3,16.8,-25.1,40.6,111,2915.6,26.7,-16.4,, 영업이익 YOY(%),2.79,584.35,3540.26,2967.55,4921.68,456.93,31.2
, 지배순이익 YOY(%),-2.65,5.2,-4.5,-25.9,5.2,-54.3,229.4,148.6,1783.2,31.7,-14.1,, 지배순이익 YOY(%),-0.05,576.85,1184.36,2471.2,3207.02,440.47,9.29
, 매출액(개별),517.13,589.93,525.3,538.64,581.86,720.97,839.38,971.56,10685.69,0,0,, 매출액(개별),271.74,650,2124.82,2913.83,4997.05,0,0
, 영업이익(개별),122.26,140.9,113.66,110.63,106.16,73.66,114.12,219.83,6976.09,0,0,, 영업이익(개별),73.01,298.23,1250.48,1891.59,3535.79,0,0
, 순이익(개별),91.03,106.23,95.29,95.12,88.12,44.4,46.74,258.01,5195.27,0,0,, 순이익(개별),66.65,262.2,926.17,1392.68,2614.22,0,0
, 영업이익율(%개별),23.64,23.88,21.64,20.54,18.24,10.22,13.6,22.63,65.28,0,0,, 영업이익율(%개별),26.87,45.88,58.85,64.92,70.76,0,0
, 개별/연결 순익(%),100,110.97,104.24,140.42,123.71,136.32,43.57,96.73,103.43,0,0,, 개별/연결 순익(%),118.19,77.99,70.89,91.91,140.19,0,0
, 연간 주가 상승율,2.01,-3.61,-17.59,16.28,-7.66,-4.15,-52.24,91.56,529.69,-8.34,0,, EPS,214.95,1281.51,4980.48,5775.75,7108.45,6926.13,5443.32
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,9992.32,9942.93,8236.82,9929.58,9168.79,8788.4,4197.44,8040.73,50631.66,46408,46408,,,,,,,,,
, 주가,40978,39497,32550,37850,34950,33500,16000,30650,193000,176900.2,176900.2,,,,,,,,,
, EPS,373.31,380.27,361.23,258.21,271.52,124.15,408.94,1016.7,19146.19,25215.37,21651.29,,,,,,,,,
, BPS,1719.82,3354.47,3744.3,5149.46,5411.79,4458.15,4880.19,5814.94,24598.5,49813.87,71465.16,,,,,,,,,
, EPS증가율(%),-2.7,1.9,-5,-28.5,5.2,-54.3,229.4,148.6,1783.2,31.7,-14.1,,,,,,,,,
, BPS증가율(%),0.3,95,11.6,37.5,5.1,-17.6,9.5,19.2,323,102.5,43.5,,,,,,,,,
, PER,109.77,103.86,90.11,146.58,128.72,269.83,39.13,30.15,10.08,7.02,8.17,,,,,,,,,
, PBR,23.83,11.77,8.69,7.35,6.46,7.51,3.28,5.27,7.85,3.55,2.48,,,,,,,,,
, PSR,19.32,16.85,12.79,15.24,12.44,9.88,4.1,6.59,4.5,3.32,3.79,,,,,,,,,
, ROE,21.71,11.34,9.65,5.01,5.02,2.78,8.38,17.48,77.83,50.62,30.3,,,,,,,,,
, ROA,10.89,7.42,6.6,3.49,3.43,2.08,6.55,13.63,45.89,37.67,24.44,,,,,,,,,
, EV,10182.15,9985.9,8241.15,10239.25,9508.08,9017.94,4536.52,8550.71,52813.86,44226,44226,,,,,,,,,
, EBITDA,146.2,173.23,167.8,146.73,166.39,140.23,183.65,326,6926.86,6926.86,6926.86,,,,,,,,,
, EV/EBITDA,69.65,57.65,49.11,69.78,57.14,64.31,24.7,26.23,7.62,6.38,6.38,,,,,,,,,
, DPS,0,0,0,0,0,0,0,100,1500,1500,1500,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,9.75,7.76,5.95,6.93,,,,,,,,,
, 시가배당율(%),0,0,0,0,0,0,0,0.33,0.78,0.85,0.85,,,,,,,,,
, 차입금비율(%),74.93,38.59,32.37,33.89,35.07,16.88,7.98,9.88,15.94,15.94,15.94,,,,,,,,,
, 부채비율(%),99.38,52.81,45.99,43.42,45.97,33.68,27.62,28.06,69.33,69.33,69.33,,,,,,,,,
, 매출채권회전일수,227.65,289.63,283.63,309.61,257.81,158.92,141.38,131.76,86.39,86.39,86.39,,,,,,,,,
, 재고자산회전일수,103.87,212.14,253.68,293.28,233.4,259.17,248.67,167.61,189.79,189.79,189.79,,,,,,,,,
, 상장주식수 (만주),2438.46,2517.39,2530.51,2623.4,2623.4,2623.4,2623.4,2623.4,2623.4,2623.4,2623.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
