,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,아모레G,A002790,69700,57473,,컨센서스,13935,1742,529,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,0.33,24.00,31.42,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-0.40,27.90,-1105.60,,,,,,,,,,,,
,553.64,1.77,0.32,5.09,,YOY,8.90,156.50,15.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,10.50,1301.20,233.00,,,,,,,,,,,,
,44.80,2.81,6.30,10.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,436.10,13.20,6.07,0.97,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,34317.33,38953.91,47119.47,56612.06,66975.61,60290.64,60781.79,62842.55,49300.83,55565,61517,, 매출액,15024.9,12793.34,11807.83,12085.64,12614.02,13935,13868
, 영업이익,4504.16,4697.51,6590.91,9136.41,10828.11,7314.92,5494.74,4982.5,1506.61,5590,7423,, 영업이익,624.95,679.1,362.4,610.14,-145.02,1742,1373
, 지배주주순이익,1548.28,1630.11,2223.59,2604.37,3423.94,2026.14,1422.86,1337.33,103.81,1660,2247,, 지배주주순이익,-233.67,459.83,26.87,14.96,-397.85,529,414
, 매출총이익율(%),70.46,69.21,72.24,75.01,75.5,73.23,73.37,73.87,72.19,0,0,, 매출총이익율(%),74.55,73.06,72.56,72.18,70.97,0,0
, 판관비율(%),57.33,57.15,58.25,58.87,59.33,61.09,64.33,65.95,69.13,0,0,, 판관비율(%),70.4,67.75,69.49,67.13,72.12,0,0
, 영업이익률(%),13.13,12.06,13.99,16.14,16.17,12.13,9.04,7.93,3.06,10.06,12.07,, 영업이익률(%),4.16,5.31,3.07,5.05,-1.15,12.5,9.9
, 매출액 YOY(%),12.2,13.5,21,20.1,18.3,-10,0.8,3.4,-21.5,12.7,10.7,, 매출액 YOY(%),7.5,-22.11,-24.74,-23.04,-16.05,8.92,17.45
, 영업이익 YOY(%),3.62,4.3,40.3,38.6,18.5,-32.4,-24.9,-9.3,-69.8,271,32.8,, 영업이익 YOY(%),281,-66.85,-67.18,-49.37,-123.21,156.52,278.86
, 지배순이익 YOY(%),4.26,5.3,36.4,17.1,31.5,-40.8,-29.8,-6,-92.2,1499.1,35.4,, 지배순이익 YOY(%),-35.95,-41.62,-92.45,-96.5,-70.26,15.04,1440.75
, 매출액(개별),375.21,486.09,815.53,685.7,831.28,1002.42,733.4,1537.02,523.98,0,0,, 매출액(개별),61.22,411.53,43.11,41.02,28.32,0,0
, 영업이익(개별),260.49,317.95,493.85,392.68,474.28,649.29,448.03,1250.77,308.34,0,0,, 영업이익(개별),-22.84,349.36,-17.49,-9.66,-13.87,0,0
, 순이익(개별),393.75,377.38,558.75,425.38,450.09,740.05,494.52,1183.28,-109.35,0,0,, 순이익(개별),-146.67,354.35,-4.44,1.34,-460.6,0,0
, 영업이익율(%개별),69.43,65.41,60.56,57.27,57.05,64.77,61.09,81.38,58.85,0,0,, 영업이익율(%개별),-37.31,84.89,-40.57,-23.55,-48.98,0,0
, 개별/연결 순익(%),25.43,23.15,25.13,16.33,13.15,36.53,34.76,88.48,-105.34,0,0,, 개별/연결 순익(%),62.77,77.06,-16.52,8.96,115.77,0,0
, 연간 주가 상승율,83.33,-0.53,114.62,48.3,-10.13,6.01,-48.44,14.02,-33.62,26.96,0,, EPS,-283.38,557.66,32.59,18.14,-482.49,641.54,502.08
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,37302.28,37102.81,79631.4,118090.6,109669.4,116266,59947.1,68192.91,45269.54,57473,57473,,,,,,,,,
, 주가,46642,46393,99570,147659,132694,140675,72533,82700,54900,69699.98,69699.98,,,,,,,,,
, EPS,1935.94,2038.28,2780.35,3256.47,4142.78,2451.51,1721.59,1621.83,125.89,2013.15,2725.03,,,,,,,,,
, BPS,24738.18,26578.29,28981.93,31668.78,34280.71,36265.24,37736.34,40836.71,39408.38,41421.77,44146.81,,,,,,,,,
, EPS증가율(%),4.3,5.3,36.4,17.1,27.2,-40.8,-29.8,-5.8,-92.2,1499.1,35.4,,,,,,,,,
, BPS증가율(%),0.1,7.4,9,9.3,8.2,5.8,4.1,8.2,-3.5,5.1,6.6,,,,,,,,,
, PER,24.09,22.76,35.81,45.34,32.03,57.38,42.13,50.99,436.08,34.62,25.58,,,,,,,,,
, PBR,1.89,1.75,3.44,4.66,3.87,3.88,1.92,2.03,1.39,1.68,1.58,,,,,,,,,
, PSR,1.09,0.95,1.69,2.09,1.64,1.93,0.99,1.09,0.92,1.03,0.93,,,,,,,,,
, ROE,7.83,7.67,9.59,10.28,12.08,6.76,4.56,3.97,0.32,4.86,6.17,,,,,,,,,
, ROA,3.43,3.31,4.04,4.24,4.83,2.76,1.93,1.61,0.13,2.09,2.75,,,,,,,,,
, EV,44040.02,44425.48,89917.22,131714.6,125673,128097.7,73533.32,78295.25,57596.25,45146,45146,,,,,,,,,
, EBITDA,5772.47,6266.68,8326.86,11025.45,13038.48,9997.89,8604.53,10767.49,6848.2,6848.21,6848.21,,,,,,,,,
, EV/EBITDA,7.63,7.09,10.8,11.95,9.64,12.81,8.55,7.27,8.41,6.59,6.59,,,,,,,,,
, DPS,225,250,325,390,460,360,310,300,230,230,230,,,,,,,,,
, 배당성향(%),13.44,12.79,12.19,12.48,11.2,14.81,18.17,22.98,234.68,11.42,8.44,,,,,,,,,
, 시가배당율(%),0.48,0.54,0.33,0.26,0.35,0.26,0.43,0.36,0.42,0.33,0.33,,,,,,,,,
, 차입금비율(%),2.46,4.13,3.89,3.54,3.75,3.75,3.43,12.56,9.47,9.47,9.47,,,,,,,,,
, 부채비율(%),24.26,25.91,27.21,25.78,27.33,23.66,18.34,27.8,24.18,24.18,24.18,,,,,,,,,
, 매출채권회전일수,23.56,22.8,19.29,20.42,18.78,22.07,18.55,22.93,22.7,22.7,22.7,,,,,,,,,
, 재고자산회전일수,120.24,104.11,103.86,101.45,106.38,103.47,112.36,116.61,127.36,127.37,127.37,,,,,,,,,
, 상장주식수 (만주),7997.57,7997.5,7997.53,7997.52,8264.83,8264.87,8264.8,8245.82,8245.82,8245.77,8245.77,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,34317.33,38953.91,47119.47,56612.06,66975.61,60290.64,60781.79,62842.55,49300.83,55565,61517,, 매출액,15024.9,12793.34,11807.83,12085.64,12614.02,13935,13868
, -매출원가,10138.93,11994.61,13081.88,14149.6,16408.88,16141.42,16186.95,16418.34,13711.26,0,0,, -매출원가,3823.09,3446.7,3240.43,3362.65,3661.46,0,0
, =매출총이익,24178.4,26959.3,34037.59,42462.46,50566.73,44149.22,44594.85,46424.21,35589.58,0,0,, =매출총이익,11201.81,9346.64,8567.4,8722.99,8952.56,0,0
, -판매비와관리비,19674.24,22261.79,27446.68,33326.05,39738.61,36834.3,39100.11,41441.71,34082.97,0,0,, -판매비와관리비,10576.86,8667.54,8205,8112.85,9097.58,0,0
, =영업이익,4504.16,4697.51,6590.91,9136.41,10828.11,7314.92,5494.74,4982.5,1506.61,5590,7423,, =영업이익,624.95,679.1,362.4,610.14,-145.02,1742,1373
, +- 비영업손익,202.95,121.41,226.9,79.61,54.58,-331.7,-146.37,-668.79,-1193.77,0,0,, +- 비영업손익,-1053.03,354.34,-183,-413.56,-951.55,0,0
, (금융손익),271.48,226.49,263.47,342.35,223.5,209.47,257.47,47.8,3.12,0,0,, (금융손익),6.22,0.38,-0.96,-12.03,15.73,0,0
, (관계기업손익),29.21,43.3,13.7,14,16.04,11.1,9.35,6.54,13.77,0,0,, (관계기업손익),-1.8,2.4,1.79,9.9,-0.32,0,0
, (외환손익),-28.3,-11.75,20.88,-30.5,-6.61,-291.63,63.49,55.17,-196.73,0,0,, (외환손익),55.17,0,0,0,-196.73,0,0
