,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,아모레퍼시픽,A090430,265500,155207,,컨센서스,12617,1479,1126,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,화장품,0.30,28.00,40.38,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,1.00,19.90,-104.90,,,,,,,,,,,,
,441.78,3.47,0.79,5.04,,YOY,11.60,142.70,57.10,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,9.10,1706.20,297.00,,,,,,,,,,,,
,41.30,3.69,9.00,10.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,342.80,18.80,7.72,1.80,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,28494.62,31004.13,38740.08,47666.27,56454.4,51238.26,52778.45,55801.42,44321.79,51414,57862,, 매출액,13336.76,11308.57,10557.35,10886.41,11569.46,12617,12534
, 영업이익,3653.39,3698.38,5637.51,7729.1,8481.03,5963.99,4819.81,4278.35,1430.09,4712,6075,, 영업이익,459.15,609.42,352.32,560.44,-92.08,1479,1155
, 지배주주순이익,2704.3,2679.75,3791.04,5775.23,6392.55,3940.11,3321.95,2388.04,351.32,3544,4588,, 지배주주순이익,-493.88,716.65,110.13,96.22,-571.68,1126,879
, 매출총이익율(%),70.27,70.59,73.46,75.47,74.76,73.07,72.81,73.11,71.45,0,0,, 매출총이익율(%),73.38,72.39,71.58,71.22,70.63,0,0
, 판관비율(%),57.45,58.66,58.91,59.25,59.74,61.43,63.68,65.44,68.22,0,0,, 판관비율(%),69.93,67,68.24,66.07,71.43,0,0
, 영업이익률(%),12.82,11.93,14.55,16.22,15.02,11.64,9.13,7.67,3.23,9.16,10.5,, 영업이익률(%),3.44,5.39,3.34,5.15,-0.8,11.72,9.21
, 매출액 YOY(%),11.54,8.8,25,23,18.4,-9.2,3,5.7,-20.6,16,12.5,, 매출액 YOY(%),8.95,-22.08,-24.22,-22.35,-13.25,11.57,18.72
, 영업이익 YOY(%),-2.01,1.2,52.4,37.1,9.7,-29.7,-19.2,-11.2,-66.6,229.5,28.9,, 영업이익 YOY(%),93.08,-67.35,-59.86,-47.88,-120.05,142.69,227.83
, 지배순이익 YOY(%),-17.31,-0.9,41.5,52.3,10.7,-38.4,-15.7,-28.1,-85.3,908.8,29.5,, 지배순이익 YOY(%),-3383.78,-41.96,-81.87,-90.75,-15.75,57.12,698.15
, 매출액(개별),25103.94,26676.5,31823.17,37579.59,42708.67,36275.43,36707.05,39138.3,30169.51,0,0,, 매출액(개별),8336.82,8416.31,7275.66,7523.72,6953.82,0,0
, 영업이익(개별),3748.6,3755.5,5019.54,6877.2,7614.71,4743.71,3722.75,4404.73,1587.75,0,0,, 영업이익(개별),422.76,1027.63,607.25,458.65,-505.78,0,0
, 순이익(개별),2763.14,2708.1,3566.24,5342.35,5939.19,3177.69,2746.61,3292.97,1044.37,0,0,, 순이익(개별),-29.61,1066.8,368.14,221.6,-612.16,0,0
, 영업이익율(%개별),14.93,14.08,15.77,18.3,17.83,13.08,10.14,11.25,5.26,0,0,, 영업이익율(%개별),5.07,12.21,8.35,6.1,-7.27,0,0
, 개별/연결 순익(%),102.18,101.06,94.07,92.5,92.91,80.65,82.68,137.89,297.27,0,0,, 개별/연결 순익(%),6,148.86,334.28,230.31,107.08,0,0
, 연간 주가 상승율,15.4,-17.63,122,86.66,-22.44,-5.29,-31.2,-4.53,3,28.88,0,, EPS,-844.84,1225.92,188.39,164.6,-977.93,1926.16,1503.63
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,70968.61,58458.49,129777.9,242310.4,187944,178006.1,122470.5,116917,120424.5,155207,155207,,,,,,,,,
, 주가,121431,100026,222057,414500,321500,304500,209500,200000,206000,265499.9,265499.9,,,,,,,,,
, EPS,4627.2,4585.21,6486.68,9879.2,10935.19,6740.01,5682.58,4085.02,600.97,6062.43,7848.32,,,,,,,,,
, BPS,39929.08,43707.42,48914.27,57230.12,66351.8,71055.23,75644.2,76798.02,76427.79,82490.35,90338.66,,,,,,,,,
, EPS증가율(%),-17.3,-0.9,41.5,52.3,10.7,-38.4,-15.7,-28.1,-85.3,908.8,29.5,,,,,,,,,
, BPS증가율(%),0.1,9.5,11.9,17,15.9,7.1,6.5,1.5,-0.5,7.9,9.5,,,,,,,,,
, PER,26.24,21.81,34.23,41.96,29.4,45.18,36.87,48.96,342.78,43.79,33.83,,,,,,,,,
, PBR,3.04,2.29,4.54,7.24,4.85,4.29,2.77,2.6,2.7,3.22,2.94,,,,,,,,,
, PSR,2.49,1.89,3.35,5.08,3.33,3.47,2.32,2.1,2.72,3.02,2.68,,,,,,,,,
, ROE,11.59,10.49,13.26,17.26,16.48,9.49,7.51,5.32,0.79,7.35,8.69,,,,,,,,,
, ROA,8.94,7.88,9.84,13,12.34,7.33,6.18,3.99,0.62,5.85,7.04,,,,,,,,,
, EV,73317.41,61204.19,134595.9,250119.3,197354.3,183373,129115.3,120110.9,126420.5,149211,149211,,,,,,,,,
, EBITDA,4669.8,4934.1,6998.06,9197.74,10293.04,8200.7,7480.87,9133.27,6015.34,6015.35,6015.35,,,,,,,,,
, EV/EBITDA,15.7,12.4,19.23,27.19,19.17,22.36,17.26,13.15,21.02,24.81,24.81,,,,,,,,,
, DPS,650,650,900,1350,1580,1280,1180,1000,800,800,800,,,,,,,,,
, 배당성향(%),16.6,16.75,16.39,16.13,17.06,22.42,24.52,28.71,156.13,13.2,10.19,,,,,,,,,
, 시가배당율(%),0.54,0.65,0.41,0.33,0.49,0.42,0.56,0.5,0.39,0.3,0.3,,,,,,,,,
, 차입금비율(%),3.34,6.22,5.37,4.5,3.79,3.1,2.61,12.56,9.43,9.43,9.43,,,,,,,,,
, 부채비율(%),29.12,32.46,33.92,31.75,32.98,28.75,20.8,33.12,27.72,27.72,27.72,,,,,,,,,
, 매출채권회전일수,21.8,23.24,18.53,21.43,19.04,23.13,19.83,23.93,23.37,23.37,23.37,,,,,,,,,
, 재고자산회전일수,115.22,113.19,108.23,101.11,105,99.14,102.59,110.09,119.56,119.56,119.56,,,,,,,,,
, 상장주식수 (만주),5844.36,5844.33,5844.35,5845.85,5845.85,5845.85,5845.85,5845.85,5845.85,5845.84,5845.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,28494.62,31004.13,38740.08,47666.27,56454.4,51238.26,52778.45,55801.42,44321.79,51414,57862,, 매출액,13336.76,11308.57,10557.35,10886.41,11569.46,12617,12534
, -매출원가,8472.04,9118.07,10281.91,11694.06,14247.61,13797.26,14348.76,15005.16,12653.98,0,0,, -매출원가,3550.72,3122.31,3000.9,3132.79,3397.98,0,0
, =매출총이익,20022.58,21886.07,28458.17,35972.21,42206.79,37441,38429.69,40796.27,31667.81,0,0,, =매출총이익,9786.04,8186.26,7556.45,7753.62,8171.48,0,0
, -판매비와관리비,16369.2,18187.69,22820.66,28243.11,33725.76,31477.01,33609.88,36517.92,30237.72,0,0,, -판매비와관리비,9326.89,7576.84,7204.13,7193.18,8263.56,0,0
, =영업이익,3653.39,3698.38,5637.51,7729.1,8481.03,5963.99,4819.81,4278.35,1430.09,4712,6075,, =영업이익,459.15,609.42,352.32,560.44,-92.08,1479,1155
, +- 비영업손익,-36.21,-63.12,-335.25,53.91,84.55,-290.55,-289.94,-572.32,-1177.16,0,0,, +- 비영업손익,-797.16,46.5,-165.04,-367.58,-691.04,0,0
, (금융손익),100.83,86.81,111.21,224.71,117.08,107.37,100.03,-52.38,-51.44,0,0,, (금융손익),-22.34,-16.22,-19.86,-19.83,4.47,0,0
, (관계기업손익),16.75,31.56,1.57,0.45,0.8,0.79,0.31,-3.02,6.6,0,0,, (관계기업손익),-3.74,0.15,-0.07,8.59,-2.07,0,0
, (외환손익),-17.83,4.37,12.31,-47.61,-25.91,-211.76,26.7,27.85,-121.72,0,0,, (외환손익),27.85,0,0,0,-121.72,0,0
, =세전순익,3617.18,3635.26,5302.26,7783.01,8565.58,5673.44,4529.87,3706.02,252.93,0,0,, =세전순익,-338.01,655.91,187.28,192.86,-783.13,0,0
, -법인세,924.6,961.67,1450.92,1935.05,2108.3,1693.41,1181.42,1468.41,34.24,0,0,, -법인세,240.81,-13.75,119.89,122.39,-194.28,0,0
, =순이익,2692.58,2673.59,3851.34,5847.96,6457.29,3980.03,3348.45,2237.61,218.69,0,0,, =순이익,-578.82,669.67,67.39,70.47,-588.84,0,0
, 지배주주순익,2704.3,2679.75,3791.04,5775.23,6392.55,3940.11,3321.95,2388.04,351.32,3544,4588,, 지배주주순익,-493.88,716.65,110.13,96.22,-571.68,1126,879
, 비지배주주순익,-11.72,-6.16,60.29,72.73,64.74,39.92,26.49,-150.43,-132.63,0,0,, 비지배주주순익,-84.94,-46.98,-42.74,-25.75,-17.16,0,0
, 매출원가비중,29.73,29.41,26.54,24.53,25.24,26.93,27.19,26.89,28.55,0,0,, 매출원가비중,26.62,27.61,28.42,28.78,29.37,0,0
, 매출총이익율,70.27,70.59,73.46,75.47,74.76,73.07,72.81,73.11,71.45,0,0,, 매출총이익율,73.38,72.39,71.58,71.22,70.63,0,0
, 판관비율,57.45,58.66,58.91,59.25,59.74,61.43,63.68,65.44,68.22,0,0,, 판관비율,69.93,67,68.24,66.07,71.43,0,0
