,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,알서포트,A131370,10500,5593,,컨센서스,134,59,48,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,소프트웨어,0.29,25.00,27.97,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-6.70,-5.90,-20.80,,,,,,,,,,,,
,-441.09,9.29,-2.11,44.48,,YOY,76.50,407.30,123.70,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,29.40,64.90,78.20,,,,,,,,,,,,
,165.20,3.93,1.70,14.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,582.00,5.80,14.17,0.55,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,175.17,215.12,207.49,185.31,214.31,230.77,247.05,284.87,463.57,576,686,, 매출액,82.85,75.92,183.03,101.08,103.54,134,140
, 영업이익,44.73,63.9,5.46,-26.05,-2.36,34.4,54.79,58.01,184.67,232,287,, 영업이익,17.23,11.63,103.51,33.76,35.77,59,56
, 지배주주순이익,37.25,18.52,-4.63,-23.49,-0.44,27.59,50.14,86.14,-12.67,188,231,, 지배주주순이익,11.96,-202.78,126.17,36.99,26.94,48,46
, 매출총이익율(%),100,100,100,100,100,100,100,100,100,0,0,, 매출총이익율(%),100,100,100,100,100,0,0
, 판관비율(%),74.47,70.3,97.37,114.06,101.1,85.09,77.82,79.64,60.16,0,0,, 판관비율(%),79.2,84.68,43.45,66.6,65.45,0,0
, 영업이익률(%),25.54,29.7,2.63,-14.06,-1.1,14.91,22.18,20.36,39.84,40.28,41.84,, 영업이익률(%),20.8,15.32,56.55,33.4,34.55,44.03,40
, 매출액 YOY(%),0,22.8,-3.5,-10.7,15.6,7.7,7.1,15.3,62.7,24.3,19.1,, 매출액 YOY(%),7.14,12.11,178.8,47.24,24.97,76.5,-23.51
, 영업이익 YOY(%),0,42.9,-91.5,-577.1,90.9,1557.6,59.3,5.9,218.3,25.6,23.7,, 영업이익 YOY(%),-38.66,-33.5,674.78,239.98,107.6,407.31,-45.9
, 지배순이익 YOY(%),0,-50.3,-125,-407.3,98.1,6370.5,81.7,71.8,-114.7,1583.8,22.9,, 지배순이익 YOY(%),52.55,-749.73,396.34,110.89,125.25,123.67,-63.54
, 매출액(개별),171.27,210.01,163.73,154.17,182.39,196.42,214.02,232.91,364.59,0,0,, 매출액(개별),68.02,63.66,128.72,76.02,96.18,0,0
, 영업이익(개별),51.45,68.43,-0.02,-23.18,18.2,34.3,50.37,40.28,138.54,0,0,, 영업이익(개별),14.35,6.93,67.12,33.58,30.91,0,0
, 순이익(개별),37.17,19,-3.55,-16.42,-9.68,20.29,45.52,75.12,-43.2,0,0,, 순이익(개별),13.78,-207.7,105.24,37.5,21.75,0,0
, 영업이익율(%개별),30.04,32.58,-0.01,-15.04,9.98,17.46,23.54,17.29,38,0,0,, 영업이익율(%개별),21.1,10.89,52.14,44.17,32.14,0,0
, 개별/연결 순익(%),99.79,102.59,76.67,69.9,2200,73.54,90.79,87.21,340.96,0,0,, 개별/연결 순익(%),115.22,102.43,83.41,101.38,80.73,0,0
, 연간 주가 상승율,5.56,30.77,1.91,-32.9,-12.26,37.25,-25.36,27.27,398.12,-20.75,0,, EPS,22.45,-380.69,236.86,69.44,50.58,90.11,86.36
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,212.91,293.08,1845.7,1238.46,1086.65,1491.48,1113.28,1416.9,7057.89,5593,5593,,,,,,,,,
, 주가,2600,3400,3465,2325,2040,2800,2090,2660,13250,10499.99,10499.99,,,,,,,,,
, EPS,454.89,214.85,-8.69,-44.1,-0.83,51.8,94.13,161.71,-23.79,352.94,433.67,,,,,,,,,
, BPS,3619.33,6168.1,1009.76,964.72,871.96,922.93,1011.7,1163.18,1129.68,1482.63,1916.3,,,,,,,,,
, EPS증가율(%),0,-52.8,-104,-407.3,98.1,6370.5,81.7,71.8,-114.7,1583.8,22.9,,,,,,,,,
, BPS증가율(%),0.1,70.4,-83.6,-4.5,-9.6,5.8,9.6,15,-2.9,31.2,29.2,,,,,,,,,
, PER,5.72,15.83,-398.64,-52.72,-2469.66,54.06,22.2,16.45,-557.06,29.75,24.21,,,,,,,,,
, PBR,0.72,0.55,3.43,2.41,2.34,3.03,2.07,2.29,11.73,7.08,5.48,,,,,,,,,
, PSR,1.22,1.36,8.9,6.68,5.07,6.46,4.51,4.97,15.23,9.71,8.15,,,,,,,,,
, ROE,12.57,3.48,-0.86,-4.57,-0.09,5.61,9.3,13.9,-2.11,23.8,22.63,,,,,,,,,
, ROA,10.17,3.08,-0.78,-4.22,-0.09,5.08,8.52,10.97,-1.68,19.94,19.68,,,,,,,,,
, EV,475.51,754.63,2136.09,1498.96,1330.14,1755.16,1371.08,1614.08,7342.63,5308,5308,,,,,,,,,
, EBITDA,49.61,68.99,11.27,-19.8,3.32,39.76,59.81,73.24,201.92,201.93,201.93,,,,,,,,,
, EV/EBITDA,9.58,10.94,189.54,-75.71,400.64,44.14,22.92,22.04,36.36,26.29,26.29,,,,,,,,,
, DPS,0,6,0,0,0,0,10,20,30,30,30,,,,,,,,,
, 배당성향(%),0,16.69,0,0,0,0,10.38,12.08,0,8.5,6.92,,,,,,,,,
, 시가배당율(%),0,0.18,0,0,0,0,0.48,0.75,0.23,0.29,0.29,,,,,,,,,
, 차입금비율(%),9.58,5.99,1.51,0.32,2.37,2.25,1.54,18.4,8.56,8.56,8.56,,,,,,,,,
, 부채비율(%),23.62,13.27,9.95,8.16,11.07,10.98,9.7,26.71,25.33,25.33,25.33,,,,,,,,,
, 매출채권회전일수,40.01,59.37,66.48,76.11,62.93,88.97,88.25,71.61,50.65,50.65,50.65,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,∞,∞,,,,,,,,,
, 상장주식수 (만주),818.88,862,5326.7,5326.71,5326.72,5326.71,5326.7,5326.69,5326.71,5326.67,5326.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
