,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,에스엠,A041510,30450,7141,,컨센서스,1248,-24,31,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,매니지먼트,0.00,73.00,29.15,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,14.60,-84.50,-2295.70,,,,,,,,,,,,
,-10.18,1.65,-16.25,0.43,,YOY,-13.80,-242.90,831.10,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-32.20,-278.00,106.10,,,,,,,,,,,,
,271.40,2.03,0.90,5.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,209.20,22.30,7.56,1.09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2413.26,2687,2869.8,3222.34,3498.7,3653.87,6122.27,6578.26,5798.76,6422,7681,, 매출액,1939.07,1447.48,1359.08,1150.16,1842.03,1248,1408
, 영업이익,605.46,405.36,343.3,384.41,207.05,109.41,477.46,403.97,64.95,436,609,, 영업이익,137.79,16.8,131.6,-96.92,13.48,-24,145
, 지배주주순이익,397.03,187.93,59.98,216.99,36.49,43.28,305.96,-91.01,-701.56,219,309,, 지배주주순이익,-169.24,-4.24,23.47,-215.79,-505.01,31,61
, 매출총이익율(%),45.45,36.73,35.61,34.82,29.23,31.86,33.11,32.78,34.28,0,0,, 매출총이익율(%),35.3,29.81,41.12,34.64,32.52,0,0
, 판관비율(%),20.37,21.64,23.65,22.89,23.31,28.86,25.31,26.64,33.16,0,0,, 판관비율(%),28.19,28.65,31.44,43.07,31.79,0,0
, 영업이익률(%),25.09,15.09,11.96,11.93,5.92,2.99,7.8,6.14,1.12,6.79,7.93,, 영업이익률(%),7.11,1.16,9.68,-8.43,0.73,-1.92,10.3
, 매출액 YOY(%),68.76,11.3,6.8,12.3,8.6,4.4,67.6,7.4,-11.8,10.7,19.6,, 매출액 YOY(%),-6.99,10.67,-14.87,-33.7,-5,-13.78,3.6
, 영업이익 YOY(%),136.38,-33,-15.3,12,-46.1,-47.2,336.4,-15.4,-83.9,571.3,39.7,, 영업이익 YOY(%),-9.38,-40.26,240.05,-148.62,-90.22,-242.86,10.18
, 지배순이익 YOY(%),86.27,-52.7,-68.1,261.8,-83.2,18.6,606.9,-129.7,-670.9,131.2,41.1,, 지배순이익 YOY(%),-311.71,57.17,399.36,-358.65,-198.4,831.13,159.91
, 매출액(개별),1685.6,1642.59,1694.8,1954.45,2021.28,2161.29,2816.38,3075.04,3026.02,0,0,, 매출액(개별),1021.96,683.61,746.04,586.28,1010.09,0,0
, 영업이익(개별),478.21,345.85,235.74,232.37,161.24,256.07,418.61,371.76,362.22,0,0,, 영업이익(개별),109.86,77.91,167.33,38.39,78.59,0,0
, 순이익(개별),371.77,175.64,18.86,45.21,52.94,186.73,123.9,123.25,-300.44,0,0,, 순이익(개별),-28.23,49.07,58.9,8.57,-416.97,0,0
, 영업이익율(%개별),28.37,21.06,13.91,11.89,7.98,11.85,14.86,12.09,11.97,0,0,, 영업이익율(%개별),10.75,11.4,22.43,6.55,7.78,0,0
, 개별/연결 순익(%),93.64,93.46,31.44,20.84,145.08,431.45,40.5,-135.42,42.82,0,0,, 개별/연결 순익(%),16.68,-1157.31,250.96,-3.97,82.57,0,0
, 연간 주가 상승율,11.89,-2.96,-23.08,26.47,-39.77,33.98,50.72,-26.48,-22.63,2.35,0,, EPS,-721.66,-18.08,100.08,-920.15,-2153.41,132.19,260.11
