,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,엔씨소프트,A036570,916000,201099,,컨센서스,5397,1185,845,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,게임,0.93,30.00,21.87,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,3.80,-1.60,-31.60,,,,,,,,,,,,
,34.24,6.40,18.70,31.55,,YOY,-26.20,-50.90,-56.80,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-3.90,-24.40,4.90,,,,,,,,,,,,
,26.90,4.29,16.10,32.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,51.80,12.50,7.85,2.27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,7535.2,7566.56,8387.18,8382.98,9835.57,17587.22,17151.16,17011.85,24161.84,29778,37600,, 매출액,5338.34,7311.11,5385.67,5851.7,5613.36,5397,7534
, 영업이익,1512.52,2052.35,2781.88,2374.66,3287.62,5850.19,6149.29,4789.92,8247.94,11020,15473,, 영업이익,1411.58,2414.24,2089.84,2176.71,1567.15,1185,2791
, 지배주주순이익,1558.02,1587.56,2299.58,1653.93,2722.69,4409.67,4181.85,3581.74,5874.03,8236,11568,, 지배주주순이익,542.23,1954.59,1582.1,1531.61,805.73,845,2007
, 매출총이익율(%),69.98,70.86,73.74,75.82,80.93,100,100,100,100,0,0,, 매출총이익율(%),100,100,100,100,100,0,0
, 판관비율(%),49.91,43.74,40.57,47.49,47.5,66.74,64.15,71.84,65.86,0,0,, 판관비율(%),73.56,66.98,61.2,62.8,72.08,0,0
, 영업이익률(%),20.07,27.12,33.17,28.33,33.43,33.26,35.85,28.16,34.14,37.01,41.15,, 영업이익률(%),26.44,33.02,38.8,37.2,27.92,21.96,37.05
, 매출액 YOY(%),23.76,0.4,10.8,-0.1,17.3,78.8,-2.5,-0.8,42,23.2,26.3,, 매출액 YOY(%),33.57,103.79,31.11,47.1,5.15,-26.18,39.89
, 영업이익 YOY(%),11.44,35.7,35.5,-14.6,38.4,77.9,5.1,-22.1,72.2,33.6,40.4,, 영업이익 YOY(%),25.39,203.62,61.49,68.85,11.02,-50.92,33.55
, 지배순이익 YOY(%),29.1,1.9,44.8,-28.1,64.6,62,-5.2,-14.4,64,40.2,40.5,, 지배순이익 YOY(%),-18.6,163.46,35.89,35.14,48.6,-56.77,26.86
, 매출액(개별),4753.02,5304.4,6126.52,6166.04,7441.36,15466.36,15299.13,15258.68,22424.31,0,0,, 매출액(개별),4967.31,6941.36,4933.38,5362.31,5187.26,0,0
, 영업이익(개별),1010.09,1840.91,2693.71,2572.51,3191.54,6189.76,6810.37,5569.3,8685.39,0,0,, 영업이익(개별),1699.6,2456.71,2253.31,2274.84,1700.54,0,0
, 순이익(개별),687.49,1425.69,2067.71,1875.89,2872.26,4715.74,4384.26,3074.92,6275.24,0,0,, 순이익(개별),-570.61,1957.1,1623.17,1672.1,1022.86,0,0
, 영업이익율(%개별),21.25,34.71,43.97,41.72,42.89,40.02,44.51,36.5,38.73,0,0,, 영업이익율(%개별),34.22,35.39,45.67,42.42,32.78,0,0
, 개별/연결 순익(%),44.13,89.8,89.92,113.42,105.49,106.94,104.84,85.85,106.83,0,0,, 개별/연결 순익(%),-105.23,100.13,102.6,109.17,126.95,0,0
, 연간 주가 상승율,-51.06,65.12,-26.76,17.03,16.2,80.81,4.25,15.97,72.09,-1.61,0,, EPS,2469.85,8903.12,7206.43,6976.45,3670.08,3848.96,9141.84
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,32955.86,54458.05,39910.82,46708.82,54274.33,98177.12,102345.5,118771.3,204391.9,201099,201099,,,,,,,,,
, 주가,150500,248500,182000,213000,247500,447500,466500,541000,931000,916001.7,916001.7,,,,,,,,,
, EPS,7115.03,7244.27,10486.48,7542.2,12415.93,20099.69,19061.26,16314.75,26756.08,37514.8,52692,,,,,,,,,
, BPS,45693.82,52076.41,62044.64,80693.1,85984.91,124036.8,107922.7,113836.6,143098.5,180613.3,233305.3,,,,,,,,,
, EPS증가율(%),29.1,1.8,44.8,-28.1,64.6,61.9,-5.2,-14.4,64,40.2,40.5,,,,,,,,,
