,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,영원무역,A111770,40400,17902,,컨센서스,5634,566,380,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,의류,1.24,52.00,10.34,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.90,58.00,-61.50,,,,,,,,,,,,
,12.12,0.98,8.05,10.63,,YOY,6.50,11.90,-10.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-3.60,17.10,868.60,,,,,,,,,,,,
,11.60,1.04,8.70,9.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,22.30,5.40,2.85,0.52,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,10591.49,11082.27,12463.36,15849.39,20016.07,20093.11,21012.68,23882.66,24663.74,25977,27578,, 매출액,5535.54,5290.26,5455.4,8076.1,5841.99,5634,6329
, 영업이익,1863.03,1607.88,1855.02,1968.19,1794.46,1811.47,2010.38,2376.49,2596.89,2697,2965,, 영업이익,347.68,505.78,517.44,1090.25,483.42,566,787
, 지배주주순이익,1191.14,1105.03,1281.23,1298.92,1099.81,1086.88,1130.59,1662.85,1476.62,1639,1958,, 지배주주순이익,200.47,423.78,291.78,721.83,39.23,380,496
, 매출총이익율(%),27.81,25.51,27.08,28.35,26.33,26.73,27.09,25.37,25.48,0,0,, 매출총이익율(%),23.22,26.88,26.14,24.29,25.23,0,0
, 판관비율(%),10.22,11,12.19,15.93,17.36,17.72,17.52,15.42,14.95,0,0,, 판관비율(%),16.94,17.31,16.65,10.79,16.96,0,0
, 영업이익률(%),17.59,14.51,14.88,12.42,8.97,9.02,9.57,9.95,10.53,10.38,10.75,, 영업이익률(%),6.28,9.56,9.48,13.5,8.27,10.05,12.43
, 매출액 YOY(%),6.96,4.6,12.5,27.2,26.3,0.4,4.6,13.7,3.3,5.3,6.2,, 매출액 YOY(%),15.84,9.73,-18.57,18.31,5.54,6.5,16.01
, 영업이익 YOY(%),2.2,-13.7,15.4,6.1,-8.8,0.9,11,18.2,9.3,3.9,9.9,, 영업이익 YOY(%),76.79,20.29,-42.72,54.63,39.04,11.91,52.09
, 지배순이익 YOY(%),1.73,-7.2,15.9,1.4,-15.3,-1.2,4,47.1,-11.2,11,19.5,, 지배순이익 YOY(%),489.87,38.3,-56.08,46.85,-80.43,-10.33,69.99
, 매출액(개별),10544.57,10962.1,11400.86,11349.05,12120.14,12379.98,11627.56,13582.79,11406.35,0,0,, 매출액(개별),3070.65,2379.02,2527.62,4072.49,2427.23,0,0
, 영업이익(개별),799.84,697.24,640.72,827.48,962.33,947.56,952.12,1191.52,1139.18,0,0,, 영업이익(개별),211.27,225.12,263.73,446.35,203.99,0,0
, 순이익(개별),518.57,472.29,440.23,554,656.12,460.14,418.13,668.02,595.2,0,0,, 순이익(개별),-140.73,246.58,243.91,274.29,-169.58,0,0
, 영업이익율(%개별),7.59,6.36,5.62,7.29,7.94,7.65,8.19,8.77,9.99,0,0,, 영업이익율(%개별),6.88,9.46,10.43,10.96,8.4,0,0
, 개별/연결 순익(%),43.54,42.74,34.36,42.65,59.66,42.34,36.98,40.17,40.31,0,0,, 개별/연결 순익(%),-70.2,58.19,83.59,38,-432.27,0,0
, 연간 주가 상승율,18.92,28.79,24.71,-20.57,-27.2,2.77,21.75,-10.69,-7.45,27.44,0,, EPS,452.41,956.36,658.47,1628.98,88.53,857.56,1119.34
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,13467.78,18832.37,23485.08,18655.13,13581.46,13958.11,16993.45,15176.68,14046.74,17902,17902,,,,,,,,,
, 주가,33000,42500,53000,42100,30650,31500,38350,34250,31700,40399.98,40399.98,,,,,,,,,
, EPS,2918.64,2493.78,2891.42,2931.34,2482,2452.82,2551.46,3752.64,3332.36,3698.78,4418.68,,,,,,,,,
, BPS,15723.66,19214.9,21939.5,26554.19,28096.97,27747.27,34857.09,41602.23,41407.96,45106.37,49525.05,,,,,,,,,
, EPS증가율(%),1.7,-14.6,15.9,1.4,-15.3,-1.2,4,47.1,-11.2,11,19.5,,,,,,,,,
, BPS증가율(%),0.2,22.2,14.2,21,5.8,-1.2,25.6,19.4,-0.5,8.9,9.8,,,,,,,,,
, PER,11.31,17.04,18.33,14.36,12.35,12.84,15.03,9.13,9.51,10.92,9.14,,,,,,,,,
, PBR,2.1,2.21,2.42,1.59,1.09,1.14,1.1,0.82,0.77,0.9,0.82,,,,,,,,,
, PSR,1.27,1.7,1.88,1.18,0.68,0.69,0.81,0.64,0.57,0.69,0.65,,,,,,,,,
, ROE,18.56,12.98,13.18,11.04,8.83,8.84,7.32,9.02,8.05,8.2,8.92,,,,,,,,,
, ROA,11.93,9.12,9.19,5.85,4.6,4.78,4.28,5.36,4.86,5.12,5.76,,,,,,,,,
, EV,14415.67,20346.64,25024.65,19968.01,13900.69,14398.5,17566.44,15864.48,18167.12,13782,13782,,,,,,,,,
, EBITDA,2170.67,1904.31,2198.2,2487.51,2371.87,2406.86,2652.43,3200.54,3435.33,3435.33,3435.33,,,,,,,,,
, EV/EBITDA,6.64,10.68,11.38,8.03,5.86,5.98,6.62,4.96,5.29,4.01,4.01,,,,,,,,,
, DPS,200,200,200,200,250,300,350,400,500,500,500,,,,,,,,,
, 배당성향(%),6.85,8.02,6.92,6.82,9.99,12.11,13.58,10.55,14.85,13.52,11.32,,,,,,,,,
, 시가배당율(%),0.61,0.47,0.38,0.48,0.82,0.95,0.91,1.17,1.58,1.24,1.24,,,,,,,,,
, 차입금비율(%),17.03,10.63,10.93,27.89,36.46,32.29,23,23.5,19.18,19.18,19.18,,,,,,,,,
, 부채비율(%),46.72,34.4,37.72,63.02,73.48,69.67,58.67,57.67,52.37,52.37,52.37,,,,,,,,,
, 매출채권회전일수,36.93,50.09,47.89,71.37,60.04,54.18,57.14,54.12,49.66,49.66,49.66,,,,,,,,,
, 재고자산회전일수,75.98,76.11,86.36,125.3,118.96,107.8,117.65,110.66,98.86,98.86,98.86,,,,,,,,,
, 상장주식수 (만주),4081.15,4431.15,4431.15,4431.15,4431.15,4431.15,4431.15,4431.15,4431.15,4431.19,4431.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,10591.49,11082.27,12463.36,15849.39,20016.07,20093.11,21012.68,23882.66,24663.74,25977,27578,, 매출액,5535.54,5290.26,5455.4,8076.1,5841.99,5634,6329
, -매출원가,7645.53,8255.29,9088.78,11356.76,14746.29,14721.77,15321.25,17823.87,18380.4,0,0,, -매출원가,4250.12,3868.5,4029.52,6114.36,4368.04,0,0
, =매출총이익,2945.96,2826.98,3374.58,4492.63,5269.78,5371.34,5691.44,6058.79,6283.34,0,0,, =매출총이익,1285.42,1421.76,1425.88,1961.74,1473.95,0,0
, -판매비와관리비,1082.94,1219.1,1519.56,2524.45,3475.32,3559.87,3681.06,3682.3,3686.46,0,0,, -판매비와관리비,937.74,915.98,908.44,871.49,990.53,0,0
, =영업이익,1863.03,1607.88,1855.02,1968.19,1794.46,1811.47,2010.38,2376.49,2596.89,2697,2965,, =영업이익,347.68,505.78,517.44,1090.25,483.42,566,787
, +- 비영업손익,-73.66,20.13,-8.23,-60.44,-256.46,-500.6,-319.22,-40.02,-102.9,0,0,, +- 비영업손익,-57.23,126.19,-49.21,63.46,-243.34,0,0
, (금융손익),-7.32,12.79,-6.67,-58.04,-90.3,-114.11,-92.78,-106.32,-102.96,0,0,, (금융손익),-36.69,-29.69,-13.11,-39.99,-20.18,0,0
, (관계기업손익),-2.61,15.57,30.64,-7.38,-20.56,-23.19,-25.33,-5.49,4.17,0,0,, (관계기업손익),-0.99,0,-0.56,-0.07,4.8,0,0
