,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,오뚜기,A007310,574000,21077,,컨센서스,6476,508,362,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,식료품,1.39,62.00,16.79,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-1.40,-13.20,-47.10,,,,,,,,,,,,
,19.84,1.50,7.58,7.39,,YOY,0.30,-11.20,-25.70,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,3.10,76.90,185.40,,,,,,,,,,,,
,19.30,2.16,11.10,6.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,40.30,6.70,4.47,0.87,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,16866.38,17281.75,17817.29,18830.99,20106.58,21261.5,22467.64,23596.51,25958.81,26426,27111,, 매출액,5988.49,6455.34,6409,6812.99,6281.48,6476,6380
, 영업이익,1086.88,1050.76,1158.71,1334.09,1425.01,1460.55,1517.25,1482.78,1984.45,1787,1933,, 영업이익,209.48,572.27,528.97,596.04,287.17,508,478
, 지배주주순이익,747.32,913.57,937.66,1044.55,1375.22,1312.73,1599.56,968.39,1062.54,1189,1419,, 지배주주순이익,132.95,487.41,354.88,93.4,126.86,362,167
, 매출총이익율(%),22.86,22.62,23.32,24.32,24.22,22.43,17.76,17.31,17.81,0,0,, 매출총이익율(%),15.91,18.34,18.69,17.64,16.55,0,0
, 판관비율(%),16.42,16.54,16.82,17.23,17.13,15.56,11.01,11.03,10.16,0,0,, 판관비율(%),12.42,9.47,10.43,8.89,11.98,0,0
, 영업이익률(%),6.44,6.08,6.5,7.08,7.09,6.87,6.75,6.28,7.64,6.76,7.13,, 영업이익률(%),3.5,8.87,8.25,8.75,4.57,7.84,7.49
, 매출액 YOY(%),5.33,2.5,3.1,5.7,6.8,5.7,5.7,5,10,1.8,2.6,, 매출액 YOY(%),8.35,8.18,13.02,14.12,4.89,0.32,-0.45
, 영업이익 YOY(%),28.94,-3.3,10.3,15.1,6.8,2.5,3.9,-2.3,33.8,-9.9,8.2,, 영업이익 YOY(%),-38.91,8.27,39.67,62.85,37.09,-11.23,-9.64
, 지배순이익 YOY(%),6.79,22.2,2.6,11.4,31.7,-4.5,21.8,-39.5,9.7,11.9,19.3,, 지배순이익 YOY(%),-25.4,62.37,42.88,-67.44,-4.58,-25.73,-52.94
, 매출액(개별),16525.92,16978.65,17450.68,18297.62,19591.05,20501.92,20971.3,21086.3,23052.13,0,0,, 매출액(개별),5231.4,5753.18,5677.47,6102.08,5519.4,0,0
, 영업이익(개별),957.02,900.69,1055.73,1186.72,1258.6,1294.73,1362.98,1261.05,1552.42,0,0,, 영업이익(개별),205.13,497.74,416.35,433.04,205.29,0,0
, 순이익(개별),618.33,753.66,877.11,940.04,1196.62,1041.68,1394.27,959.89,1377.59,0,0,, 순이익(개별),115.85,449.81,325.84,525.6,76.34,0,0
, 영업이익율(%개별),5.79,5.3,6.05,6.49,6.42,6.32,6.5,5.98,6.73,0,0,, 영업이익율(%개별),3.92,8.65,7.33,7.1,3.72,0,0
, 개별/연결 순익(%),82.74,82.5,93.54,89.99,87.01,79.35,87.17,99.12,129.65,0,0,, 개별/연결 순익(%),87.14,92.29,91.82,562.74,60.18,0,0
, 연간 주가 상승율,40.97,82.15,22.11,152.06,-45.96,21.75,-10.17,-23.48,4.15,-0.52,0,, EPS,3620.64,13273.69,9664.49,2543.57,3454.79,9858.39,4547.93
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,7516.4,13691.2,16718.4,42140,22772.8,27726.4,26101.92,19973.01,21187.33,21077,21077,,,,,,,,,
, 주가,218500,398000,486000,1225000,662000,806000,724000,554000,577000,573992.4,573992.4,,,,,,,,,
, EPS,21724.42,26557.27,27257.56,30364.83,39977.32,38160.75,44368.14,26860.92,28936.27,32380.17,38643.79,,,,,,,,,
, BPS,188771.2,214129.9,237829.1,274241.3,299197.7,319178.2,335076.8,354388.4,381647.6,414027.8,452671.5,,,,,,,,,
, EPS증가율(%),6.8,22.2,2.6,11.4,31.7,-4.5,16.3,-39.5,7.7,11.9,19.3,,,,,,,,,
, BPS증가율(%),0.1,13.4,11.1,15.3,9.1,6.7,5,5.8,7.7,8.5,9.3,,,,,,,,,
, PER,10.06,14.99,17.83,40.34,16.56,21.12,16.32,20.62,19.94,17.73,14.85,,,,,,,,,
, PBR,1.16,1.86,2.04,4.47,2.21,2.53,2.16,1.56,1.51,1.39,1.27,,,,,,,,,
, PSR,0.45,0.79,0.94,2.24,1.13,1.3,1.16,0.85,0.82,0.8,0.78,,,,,,,,,
, ROE,11.51,12.4,11.46,11.07,13.36,11.96,13.24,7.58,7.58,7.82,8.54,,,,,,,,,
, ROA,6.79,7.57,6.94,7.04,8.63,7.62,7.75,4.5,4.54,4.84,5.46,,,,,,,,,
, EV,8599.72,15121.27,18154.96,43752.29,24789.83,29923.43,27770.5,20009.06,22273.11,22163,22163,,,,,,,,,
, EBITDA,1337.45,1326.32,1466.14,1691.72,1848.22,1935.85,2118.04,2421.97,3093.61,3093.61,3093.61,,,,,,,,,
, EV/EBITDA,6.43,11.4,12.38,25.86,13.41,15.46,13.11,8.26,7.2,7.16,7.16,,,,,,,,,
, DPS,3000,3500,4000,5200,6800,7000,7500,7500,8000,8000,8000,,,,,,,,,
, 배당성향(%),13.56,12.94,14.41,16.81,16.65,17.96,15.91,26.27,25.6,24.71,20.7,,,,,,,,,
, 시가배당율(%),1.37,0.88,0.82,0.42,1.03,0.87,1.04,1.35,1.39,1.39,1.39,,,,,,,,,
, 차입금비율(%),19.19,15.19,19.86,15.1,13.13,10.42,21.25,21.51,27.53,27.53,27.53,,,,,,,,,
, 부채비율(%),67.1,62.71,64.16,56.39,53.86,49.51,61.76,59.83,62.23,62.23,62.23,,,,,,,,,
, 매출채권회전일수,23.87,24.46,23.52,23.16,25.3,29.68,29.31,29.23,30.15,30.15,30.15,,,,,,,,,
, 재고자산회전일수,31.79,32.56,32.93,35.95,37.03,33.25,36.51,33.34,44.34,44.34,44.34,,,,,,,,,
, 상장주식수 (만주),344,344,344,344,344,344,360.52,360.52,367.2,367.2,367.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,16866.38,17281.75,17817.29,18830.99,20106.58,21261.5,22467.64,23596.51,25958.81,26426,27111,, 매출액,5988.49,6455.34,6409,6812.99,6281.48,6476,6380
, -매출원가,13010.13,13373.34,13662.15,14251.63,15237.66,16492.25,18477.5,19511.78,21335.96,0,0,, -매출원가,5035.44,5271.44,5211.42,5611.12,5241.99,0,0
, =매출총이익,3856.25,3908.42,4155.13,4579.36,4868.92,4769.26,3990.14,4084.73,4622.85,0,0,, =매출총이익,953.05,1183.9,1197.58,1201.87,1039.49,0,0
, -판매비와관리비,2769.37,2857.66,2996.42,3245.27,3443.91,3308.71,2472.89,2601.94,2638.39,0,0,, -판매비와관리비,743.57,611.63,668.61,605.83,752.32,0,0
, =영업이익,1086.88,1050.76,1158.71,1334.09,1425.01,1460.55,1517.25,1482.78,1984.45,1787,1933,, =영업이익,209.48,572.27,528.97,596.04,287.17,508,478
, +- 비영업손익,40.44,205.92,92.17,94.43,409.17,342.75,501.09,-62.88,-214.41,0,0,, +- 비영업손익,-41.3,13.68,-24.49,-252.06,48.45,0,0
, (금융손익),14.97,42.62,20.67,13.55,12.41,18.24,18.33,-22.07,-288.52,0,0,, (금융손익),-6.38,1.52,-24.16,-190.69,-75.2,0,0
, (관계기업손익),111.96,162.14,71.92,84.95,169.52,169.72,151.11,67.07,107.38,0,0,, (관계기업손익),27.11,20.91,12.06,34.4,40.02,0,0
, (외환손익),-5.23,-5.84,2.68,0.75,5.86,4.74,6.63,-14.8,76.91,0,0,, (외환손익),3.7,-5.6,20.71,22.8,39,0,0
, =세전순익,1127.31,1256.67,1250.88,1428.53,1834.18,1803.3,2018.34,1419.91,1770.04,0,0,, =세전순익,168.18,585.95,504.48,343.98,335.62,0,0
, -법인세,369.45,334.26,309.77,379.19,454.27,478.62,410.05,421.96,666.24,0,0,, -법인세,39.12,86.94,134.42,232.41,212.46,0,0
, =순이익,757.86,922.41,941.11,1049.33,1379.91,1323.82,1608.29,997.95,1103.8,0,0,, =순이익,129.06,499.02,370.06,111.57,123.16,0,0
, 지배주주순익,747.32,913.57,937.66,1044.55,1375.22,1312.73,1599.56,968.39,1062.54,1189,1419,, 지배주주순익,132.95,487.41,354.88,93.4,126.86,362,167
, 비지배주주순익,10.54,8.84,3.46,4.78,4.7,11.09,8.73,29.56,41.26,0,0,, 비지배주주순익,-3.89,11.61,15.18,18.17,-3.7,0,0
, 매출원가비중,77.14,77.38,76.68,75.68,75.78,77.57,82.24,82.69,82.19,0,0,, 매출원가비중,84.09,81.66,81.31,82.36,83.45,0,0
, 매출총이익율,22.86,22.62,23.32,24.32,24.22,22.43,17.76,17.31,17.81,0,0,, 매출총이익율,15.91,18.34,18.69,17.64,16.55,0,0
, 판관비율,16.42,16.54,16.82,17.23,17.13,15.56,11.01,11.03,10.16,0,0,, 판관비율,12.42,9.47,10.43,8.89,11.98,0,0
, 영업이익률,6.44,6.08,6.5,7.08,7.09,6.87,6.75,6.28,7.64,6.76,7.13,, 영업이익률,3.5,8.87,8.25,8.75,4.57,7.84,7.49
