,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,오리온홀딩스,A001800,16500,10336,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,3.94,29.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,13.33,0.53,3.94,13.53,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,5.80,1.66,40.40,8.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,45.00,0.30,8.28,0.38,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,23680.33,24851.96,21997.88,23823.77,1279.64,1127.48,19976.83,21035.91,22804.87,22804.88,,, 매출액,5706.56,5721.69,5198.76,6013.84,5870.59,,
, 영업이익,2637.32,2594.81,2488.72,2993.2,-17.94,49.01,2305.13,2666.6,3086.29,3086.28,,, 영업이익,810.09,835.71,685.92,886.9,677.75,,
, 지배주주순이익,1516.08,1456.95,1634.7,1623.18,2366.67,14803.13,563.32,483.79,775.12,775.12,,, 지배주주순이익,63.59,230.28,175.01,228.37,141.46,,
, 매출총이익율(%),43.06,43.35,47.16,46.79,20.73,24.39,44.92,44.13,42.25,42.25,,, 매출총이익율(%),44.24,43.77,44.39,43.39,37.69,,
, 판관비율(%),31.92,32.91,35.84,34.23,22.13,20.05,33.38,31.45,28.71,28.71,,, 판관비율(%),30.05,29.16,31.2,28.64,26.15,,
, 영업이익률(%),11.14,10.44,11.31,12.56,-1.4,4.35,11.54,12.68,13.53,13.53,,, 영업이익률(%),14.2,14.61,13.19,14.75,11.54,,
, 매출액 YOY(%),23.81,4.9,-11.5,8.3,-94.6,-11.9,1671.8,5.3,8.4,0,,, 매출액 YOY(%),6.91,8.48,15.61,8.2,2.87,,
, 영업이익 YOY(%),22.61,-1.6,-4.1,20.3,-100.6,373.2,4603.4,15.7,15.7,0,,, 영업이익 YOY(%),29.91,31.15,101.02,1,-16.34,,
, 지배순이익 YOY(%),52.58,-3.9,12.2,-0.7,45.8,525.5,-96.2,-14.1,60.2,0,,, 지배순이익 YOY(%),-54.23,74.79,150.44,4.49,122.46,,
, 매출액(개별),8206.57,7921.64,7517.07,7074.38,113.79,135.97,263.09,289.73,260.52,,,, 매출액(개별),38.44,144.59,36.3,40.04,39.58,,
, 영업이익(개별),619.49,474.78,447.31,951.49,-53.34,-7.12,152.81,175.98,131.66,,,, 영업이익(개별),4.95,113.99,5.61,13.9,-1.84,,
, 순이익(개별),58.37,109.3,52.09,153.54,509.54,22289.11,229.16,79.66,134.82,,,, 순이익(개별),-64.95,113.37,6.24,9.78,5.43,,
, 영업이익율(%개별),7.55,5.99,5.95,13.45,-46.88,-5.24,58.08,60.74,50.54,,,, 영업이익율(%개별),12.88,78.84,15.45,34.72,-4.65,,
, 개별/연결 순익(%),3.85,7.5,3.19,9.46,21.53,150.57,40.68,16.47,17.39,,,, 개별/연결 순익(%),-102.14,49.23,3.57,4.28,3.84,,
, 연간 주가 상승율,62.1,-13.65,6.95,14.88,-43.83,-17.17,-35.83,4.09,-25.84,25,,, EPS,101.51,367.61,279.38,364.56,225.82,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,65576.12,56666.07,60645.94,69681.22,39355.25,16694.64,10712.17,11150.89,8269.2,10336,,,,,,,,,,
, 주가,53986,46618,49860,57277,32175,26650,17100,17800,13200,16500.01,,,,,,,,,,
, EPS,1248.12,1198.6,1343.97,1334.23,1934.88,23630.52,899.24,772.27,1237.31,1237.37,,,,,,,,,,
, BPS,8104.93,9236.04,10253.21,11332.82,13076.94,29497.73,29947.91,30746.57,31389.5,31391.05,,,,,,,,,,
, EPS증가율(%),52.6,-4,12.1,-0.7,45,1121.3,-96.2,-14.1,60.2,0,,,,,,,,,,
, BPS증가율(%),0.2,14,11,10.5,15.4,125.6,1.5,2.7,2.1,0,,,,,,,,,,
, PER,43.25,38.89,37.1,42.93,16.63,1.13,19.02,23.05,10.67,13.33,,,,,,,,,,
, PBR,6.66,5.05,4.86,5.05,2.46,0.9,0.57,0.58,0.42,0.53,,,,,,,,,,
, PSR,2.77,2.28,2.76,2.92,30.75,14.81,0.54,0.53,0.36,0.45,,,,,,,,,,
, ROE,15.4,12.98,13.11,11.77,14.8,80.11,3,2.51,3.94,3.94,,,,,,,,,,
, ROA,5.73,4.9,5.57,5.41,8.14,34.4,1.3,1.11,1.72,1.72,,,,,,,,,,
, EV,70356.58,62316.24,66069.52,74637.5,43857.31,19573.58,11785.09,11641.83,9704.23,8901,,,,,,,,,,
, EBITDA,3886.62,3982.72,3953.25,4815.92,1594.81,918.48,4482.21,5219.63,5467.09,5467.07,,,,,,,,,,
, EV/EBITDA,18.1,15.65,16.71,15.5,27.5,21.31,2.63,2.23,1.78,1.63,,,,,,,,,,
