,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,와이엔텍,A067900,17000,3094,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,환경서비스,0.00,66.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,14.13,1.97,13.92,29.89,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,9.60,0.96,10.00,20.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,19.70,6.30,1.97,0.43,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,485.19,404.29,486.35,487.51,580.63,752.31,760.71,986.21,1060.34,1060.33,,, 매출액,279.61,273.29,279.21,260.55,247.28,,
, 영업이익,70.27,70.19,70.38,76.15,93.54,125.25,149.34,261.58,316.97,316.96,,, 영업이익,81.06,77.76,103.71,87.65,47.84,,
, 지배주주순이익,43.4,49.65,37.49,38.46,56.23,115.05,90.33,184.25,218.9,218.89,,, 지배주주순이익,57.85,50.52,79.98,66.1,22.29,,
, 매출총이익율(%),20.45,23.5,20.32,21.33,21.89,21.91,23.15,29.71,33.13,33.13,,, 매출총이익율(%),32.34,31.55,40.96,36.75,22.23,,
, 판관비율(%),5.97,6.14,5.85,5.71,5.78,5.27,3.52,3.19,3.24,3.24,,, 판관비율(%),3.35,3.1,3.81,3.11,2.88,,
, 영업이익률(%),14.48,17.36,14.47,15.62,16.11,16.65,19.63,26.52,29.89,29.89,,, 영업이익률(%),28.99,28.45,37.14,33.64,19.35,,
, 매출액 YOY(%),7.12,-16.7,20.3,0.2,19.1,29.6,1.1,29.6,7.5,0,,, 매출액 YOY(%),29.76,34.84,12.94,1.5,-11.56,,
, 영업이익 YOY(%),1.61,-0.1,0.3,8.2,22.8,33.9,19.2,75.2,21.2,0,,, 영업이익 YOY(%),77.8,79.96,78.01,10.89,-40.98,,
, 지배순이익 YOY(%),8.13,14.4,-24.5,2.6,46.2,104.6,-21.5,104,18.8,0,,, 지배순이익 YOY(%),167.45,66.35,99.8,18.04,-61.47,,
, 매출액(개별),485.19,404.29,486.35,487.51,502.97,605.24,617.72,862.38,999.75,,,, 매출액(개별),253.33,262.38,262.93,240.41,234.04,,
, 영업이익(개별),70.27,70.19,70.38,76.15,81.75,111.48,137.33,228.64,299.56,,,, 영업이익(개별),61.92,73.57,89.42,82.57,54.01,,
, 순이익(개별),43.4,49.65,37.49,38.46,53.1,88.04,93.94,167.74,203.71,,,, 순이익(개별),37.41,55.38,66.87,59.25,22.21,,
, 영업이익율(%개별),14.48,17.36,14.47,15.62,16.25,18.42,22.23,26.51,29.96,,,, 영업이익율(%개별),24.44,28.04,34.01,34.35,23.08,,
, 개별/연결 순익(%),100,100,100,100,94.43,76.52,104,91.04,93.06,,,, 개별/연결 순익(%),64.67,109.62,83.61,89.64,99.64,,
, 연간 주가 상승율,-10.34,-17.46,64.39,-4.61,7.26,21.99,6.67,133.26,31.58,23.64,,, EPS,317.86,277.58,439.45,363.19,122.47,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,378.26,312.17,513.25,489.81,626.28,764.39,815.34,1901.86,2502.45,3094,,,,,,,,,,
, 주가,2480,2047,3365,3210,3443,4200,4480,10450,13750,17000,,,,,,,,,,
