,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,웹젠,A069080,40750,14389,,컨센서스,871,371,292,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,게임,0.00,25.00,11.15,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-10.30,-10.20,-9.10,,,,,,,,,,,,
,16.69,3.31,19.85,39.15,,YOY,153.50,288.10,320.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-5.90,-4.30,-4.40,,,,,,,,,,,,
,17.20,2.72,15.80,29.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1092.90,11.50,7.36,1.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,572.6,720.79,734.72,2422.22,2199.93,1662.67,2188.77,1760.52,2940.92,3629,4045,, 매출액,438.3,343.59,602.04,1069.63,925.66,871,907
, 영업이익,85.36,27.74,142.27,747.2,571.84,440.08,688.62,517.86,1082.62,1590,1745,, 영업이익,147.34,95.6,164.29,434.89,387.83,371,412
, 지배주주순이익,22.71,18.34,83.47,604.87,451.86,302.67,503.42,426.04,862,1250,1391,, 지배주주순이익,92.95,69.45,148.6,338.37,305.57,292,330
, 매출총이익율(%),100,100,100,100,100,100,100,100,100,0,0,, 매출총이익율(%),100,100,100,100,100,0,0
, 판관비율(%),85.09,96.15,80.64,69.15,74.01,73.53,68.54,70.58,63.19,0,0,, 판관비율(%),66.38,72.18,72.71,59.34,58.1,0,0
, 영업이익률(%),14.91,3.85,19.36,30.85,25.99,26.47,31.46,29.42,36.81,43.81,43.14,, 영업이익률(%),33.62,27.82,27.29,40.66,41.9,42.59,45.42
, 매출액 YOY(%),-3.28,25.9,1.9,229.7,-9.2,-24.4,31.6,-19.6,67,23.4,11.5,, 매출액 YOY(%),-14.65,-17.18,38.78,125.87,111.19,153.5,50.65
, 영업이익 YOY(%),-17.89,-67.5,412.9,425.2,-23.5,-23,56.5,-24.8,109.1,46.9,9.7,, 영업이익 YOY(%),23.83,4.15,76.22,134.44,163.22,288.08,150.78
, 지배순이익 YOY(%),-59.49,-19.2,355.1,624.7,-25.3,-33,66.3,-15.4,102.3,45,11.3,, 지배순이익 YOY(%),67.15,-31.24,92.59,118.4,228.75,320.45,122.07
, 매출액(개별),413.58,448.42,575.62,2321.67,2113.94,1591.53,2101.25,1708.27,2879.94,0,0,, 매출액(개별),432.16,339.07,570.13,1061.64,909.1,0,0
, 영업이익(개별),18.07,49.37,130.73,737.96,560.31,456.93,703.99,585.56,1046.63,0,0,, 영업이익(개별),179.2,125.3,164.51,382.96,373.86,0,0
, 순이익(개별),-7.68,122.89,79.01,560.05,442.71,324.49,454.54,433.94,763.03,0,0,, 순이익(개별),74.48,97,136.81,290.02,239.21,0,0
, 영업이익율(%개별),4.37,11.01,22.71,31.79,26.51,28.71,33.5,34.28,36.34,0,0,, 영업이익율(%개별),41.47,36.95,28.85,36.07,41.12,0,0
