,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,유한양행,A000100,64600,45203,,컨센서스,3838,178,193,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,제약,0.59,30.00,39.24,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,3.10,-23.50,-83.80,,,,,,,,,,,,
,23.45,2.46,10.48,5.97,,YOY,22.50,1557.40,-83.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-16.80,-34.40,52.30,,,,,,,,,,,,
,26.70,1.90,7.20,4.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,79.00,14.30,2.85,1.10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,7764.58,9436.09,10174.92,11287.31,13207.97,14622.48,15188.23,14803.54,16198.65,17428,19164,, 매출액,3937.44,3132.76,4154.86,4296.81,4614.22,3838,4404
, 영업이익,345.99,618.4,743.93,858.37,977.93,887.1,501.26,125.36,842.55,780,1080,, 영업이익,85.16,10.74,356.57,203.71,271.53,178,211
, 지배주주순이익,807.76,864.61,909.48,1260.47,1612.49,1090.34,574.81,400.06,1927.61,1062,1376,, 지배주주순이익,46.43,1157.9,339,303.98,126.74,193,181
, 매출총이익율(%),31.63,31.13,31,30.18,29.49,29.04,27.24,29.1,34.47,0,0,, 매출총이익율(%),31.38,29.16,36.96,31.72,38.4,0,0
, 판관비율(%),27.17,24.58,23.69,22.58,22.08,22.97,23.94,28.26,29.27,0,0,, 판관비율(%),29.21,28.82,28.38,26.98,32.52,0,0
, 영업이익률(%),4.46,6.55,7.31,7.6,7.4,6.07,3.3,0.85,5.2,4.48,5.64,, 영업이익률(%),2.16,0.34,8.58,4.74,5.88,4.64,4.79
, 매출액 YOY(%),14.31,21.5,7.8,10.9,17,10.7,3.9,-2.5,9.4,7.6,10,, 매출액 YOY(%),-4.93,-9.18,15.61,12.41,17.19,22.51,6
, 영업이익 YOY(%),-34.39,78.7,20.3,15.4,13.9,-9.3,-43.5,-75,572.1,-7.4,38.5,, 영업이익 YOY(%),10.6,-82.36,758.49,509,218.85,1557.36,-40.83
, 지배순이익 YOY(%),-14.27,7,5.2,38.6,27.9,-32.4,-47.3,-30.4,381.8,-44.9,29.6,, 지배순이익 YOY(%),-47.63,643.72,520.88,112.05,172.97,-83.33,-46.61
, 매출액(개별),7627.93,9316.12,10081.8,11209.37,13120.18,14519.88,15067.66,14632.61,15679.41,0,0,, 매출액(개별),3856.58,3033.19,4085.88,4165.58,4394.76,0,0
, 영업이익(개별),304.05,559.71,671.41,706.93,722.61,803.58,609.41,403.61,1159.64,0,0,, 영업이익(개별),169.47,80.78,403.74,246.77,428.35,0,0
, 순이익(개별),695.73,718.86,814.22,1074.85,1224.01,1107.32,814.94,539.53,1933.1,0,0,, 순이익(개별),47.27,1252.21,241.49,193.59,245.82,0,0
, 영업이익율(%개별),3.99,6.01,6.66,6.31,5.51,5.53,4.04,2.76,7.4,0,0,, 영업이익율(%개별),4.39,2.66,9.88,5.92,9.75,0,0
, 개별/연결 순익(%),86.13,83.14,89.53,85.27,75.91,101.56,141.78,134.86,100.28,0,0,, 개별/연결 순익(%),101.81,108.14,71.24,63.69,193.96,0,0
, 연간 주가 상승율,35.69,8.09,-9.36,60.76,-23.57,14.56,-2.42,20.8,65.92,-13.98,0,, EPS,66.35,1654.76,484.47,434.42,181.13,275.82,258.67
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,19293.9,20855.26,18903.57,30390.69,23250.55,26713.34,26105.72,31596.11,52506.57,45203,45203,,,,,,,,,
, 주가,27839,30092,27276,43850,33516,38395,37467,45262,75100,64599.98,64599.98,,,,,,,,,
, EPS,1165.51,1247.54,1312.29,1818.7,2324.43,1567.14,824.97,573.09,2757.06,1517.71,1966.45,,,,,,,,,
, BPS,17144.68,17722.33,18409.48,19679.97,21573.01,22996.45,23561.11,23583.03,26319.06,27814.88,29781.33,,,,,,,,,
, EPS증가율(%),-14.3,7,5.2,38.6,27.8,-32.6,-47.4,-30.5,381.1,-45,29.6,,,,,,,,,
, BPS증가율(%),0.1,3.4,3.9,6.9,9.6,6.6,2.5,0.1,11.6,5.7,7.1,,,,,,,,,
, PER,23.89,24.12,20.79,24.11,14.42,24.5,45.42,78.98,27.24,42.56,32.85,,,,,,,,,
, PBR,1.62,1.7,1.48,2.23,1.55,1.67,1.59,1.92,2.85,2.32,2.17,,,,,,,,,
, PSR,2.48,2.21,1.86,2.69,1.76,1.83,1.72,2.13,3.24,2.59,2.36,,,,,,,,,
, ROE,6.8,7.04,7.13,9.24,10.77,6.81,3.5,2.43,10.48,5.46,6.6,,,,,,,,,
, ROA,5.76,5.71,5.63,6.7,7.88,5.21,2.64,1.89,8.05,4.25,5.22,,,,,,,,,
, EV,22720.9,23875.37,22478.25,33674.15,26151.35,30391.13,29671.19,34832.88,55733.33,41976,41976,,,,,,,,,
, EBITDA,520.31,807.43,1009.06,1168.93,1407.13,1409.05,1091.26,711.94,1440.4,1440.4,1440.4,,,,,,,,,
, EV/EBITDA,43.67,29.57,22.28,28.81,18.58,21.57,27.19,48.93,38.69,29.14,29.14,,,,,,,,,
, DPS,199.36,239.23,279.11,318.98,318.98,333.33,349.04,365,382,382,382,,,,,,,,,
, 배당성향(%),16.34,18.08,19.83,16.3,12.74,19.95,39.53,59.44,12.94,25.17,19.43,,,,,,,,,
, 시가배당율(%),0.72,0.79,1.02,0.73,0.95,0.87,0.93,0.81,0.51,0.59,0.59,,,,,,,,,
, 차입금비율(%),0.68,4.24,5.5,11.11,13.14,8.33,7.18,5.54,6.67,6.67,6.67,,,,,,,,,
, 부채비율(%),18.08,23.26,26.66,37.86,36.71,30.4,31.61,28.32,29.62,29.62,29.62,,,,,,,,,
