,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,제넥신,A095700,105200,26165,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,바이오,0.00,11.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,94.91,4.89,5.15,-211.17,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-94.10,6.78,-9.80,-214.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,5901.90,104.50,19.67,1.55,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,62.52,57.55,166.56,325.2,113.52,284.55,128.82,113.03,185.43,221,,, 매출액,36.67,77.03,17,6.82,84.59,,
, 영업이익,-26.93,-70.51,-52.08,10.87,-308.85,-268.59,-380.83,-445.36,-391.6,-459,,, 영업이익,-130.83,-49.08,-97.78,-118.79,-125.94,,
, 지배주주순이익,-20.96,-89.99,-74.13,-14.27,-309.33,-193.3,-340.67,-165.09,275.7,-629,,, 지배주주순이익,-113.05,-149.32,-75.29,343.53,156.77,,
, 매출총이익율(%),89.57,65.3,79.65,84.94,57.9,62.42,50.88,65.94,62.97,0,,, 매출총이익율(%),37.66,97.62,63.59,36.8,33.37,,
, 판관비율(%),132.65,187.82,110.92,81.6,329.98,156.81,346.51,459.96,274.15,0,,, 판관비율(%),394.44,161.34,638.76,1778.59,182.26,,
, 영업이익률(%),-43.07,-122.52,-31.27,3.34,-272.07,-94.39,-295.63,-394.02,-211.18,-207.69,,, 영업이익률(%),-356.78,-63.72,-575.18,-1741.79,-148.88,,
, 매출액 YOY(%),134.92,-7.9,189.4,95.2,-65.1,150.7,-54.7,-12.3,64.1,19.2,,, 매출액 YOY(%),-47.97,975.84,-38.76,-83.54,130.68,,
, 영업이익 YOY(%),57.2,-161.8,26.1,120.9,-2941.3,13,-41.8,-16.9,12.1,-17.2,,, 영업이익 YOY(%),-112.94,61.55,28.54,-137.34,3.74,,
, 지배순이익 YOY(%),70.29,-329.3,17.6,80.8,-2067.7,37.5,-76.2,51.5,267,-328.1,,, 지배순이익 YOY(%),-496.26,-145.24,49.59,693.83,238.67,,
, 매출액(개별),62.52,57.55,166.56,325.2,113.52,284.55,128.82,113.03,185.43,0,,, 매출액(개별),36.67,77.03,17,6.82,84.59,,
