,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,지투알,A035000,6200,1027,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,4.84,265.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,11.36,0.71,6.22,6.73,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,9.90,0.96,9.70,4.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,22.20,4.10,1.62,0.50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,3358.46,3490.84,3855.98,4792.91,4079.59,5013.01,5382.07,5420.87,3756.17,3756.17,,, 매출액,2389.21,669.91,761.38,650.56,1674.32,,
, 영업이익,151.08,161.34,128.39,138.08,195.89,197.13,254.12,218.92,252.74,252.75,,, 영업이익,303.06,-76.47,5.67,-6.46,330.01,,
, 지배주주순이익,122.72,119.61,96.71,116.02,149.44,116.72,152.8,152.58,90.4,90.4,,, 지배주주순이익,256.32,-49.22,5.35,-15.03,149.3,,
, 매출총이익율(%),31.39,32.69,31.01,28.13,35.45,30.95,31.55,30.78,43.85,43.85,,, 매출총이익율(%),26.15,40.64,48.93,58.45,37.15,,
, 판관비율(%),26.89,28.07,27.68,25.25,30.65,27.02,26.83,26.74,37.12,37.12,,, 판관비율(%),13.47,52.05,48.18,59.44,17.44,,
, 영업이익률(%),4.5,4.62,3.33,2.88,4.8,3.93,4.72,4.04,6.73,6.73,,, 영업이익률(%),12.68,-11.41,0.74,-0.99,19.71,,
, 매출액 YOY(%),3.63,3.9,10.5,24.3,-14.9,22.9,7.4,0.7,-30.7,0,,, 매출액 YOY(%),16.16,1.58,-52.96,-13.69,-29.92,,
, 영업이익 YOY(%),11.44,6.8,-20.4,7.5,41.9,0.6,28.9,-13.9,15.4,0,,, 영업이익 YOY(%),23.71,2.06,-86.2,86.3,8.89,,
, 지배순이익 YOY(%),59.16,-2.5,-19.1,20,28.8,-21.9,30.9,-0.1,-40.8,0,,, 지배순이익 YOY(%),47.63,17.35,872.73,66.41,-41.75,,
, 매출액(개별),142.45,100.57,112.91,211.15,230.84,289.58,172.18,267.65,319.03,,,, 매출액(개별),163.07,32.3,30.54,34.24,221.94,,
, 영업이익(개별),22.7,-15.47,-7.51,25.13,17.98,93.34,11.64,106.72,177.49,,,, 영업이익(개별),128.15,-3.7,-9.98,-4.92,196.09,,
, 순이익(개별),43.88,5.43,3.27,29.92,2.23,98.11,5.45,-32.12,19.82,,,, 순이익(개별),-20.65,-1.28,-7.36,-3.42,31.89,,
, 영업이익율(%개별),15.94,-15.38,-6.65,11.9,7.79,32.23,6.76,39.87,55.63,,,, 영업이익율(%개별),78.59,-11.46,-32.68,-14.37,88.35,,
, 개별/연결 순익(%),35.76,4.54,3.38,25.79,1.49,84.06,3.57,-21.05,21.92,,,, 개별/연결 순익(%),-8.06,2.6,-137.57,22.75,21.36,,
