,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,키움증권,A039490,136500,35533,,컨센서스,4424,3188,2421,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,증권,2.20,1203.00,4.96,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,9.90,7.90,1.60,,,,,,,,,,,,
,5.05,1.24,24.62,71.01,,YOY,293.00,2981.40,2462.70,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-0.50,10.30,15.00,,,,,,,,,,,,
,6.80,1.07,14.60,52.00,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,29.40,3.80,1.95,0.69,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2290.93,1886.43,3005.67,4663.28,4735.35,5891.74,6180.76,8650.85,14690.8,15206,14638,, 매출액,2381.02,1125.77,4364.06,4753.84,4447.12,4424,3646
, 영업이익,627.7,535.48,1009.68,2414.31,2306.92,3158.48,2889.82,4736.91,9689.66,9890,9004,, 영업이익,1200.42,103.46,3139.93,3555.03,2891.23,3188,2346
, 지배주주순이익,514.6,362.4,755.81,1897.16,1799.37,2402.35,1932.26,3627.8,7033.71,7355,6707,, 지배주주순이익,826.8,94.47,2198.97,2634.16,2106.11,2421,1748
, 매출총이익율(%),100,100,100,100,100,100,100,100,100,0,0,, 매출총이익율(%),100,100,100,100,100,0,0
, 판관비율(%),72.6,71.61,66.41,48.23,51.28,46.39,53.24,45.24,34.04,0,0,, 판관비율(%),49.58,90.81,28.05,25.22,34.99,0,0
, 영업이익률(%),27.4,28.39,33.59,51.77,48.72,53.61,46.76,54.76,65.96,65.04,61.51,, 영업이익률(%),50.42,9.19,71.95,74.78,65.01,72.06,64.34
, 매출액 YOY(%),-31.82,-17.7,59.3,55.1,1.5,24.4,4.9,40,69.8,3.5,-3.7,, 매출액 YOY(%),122.35,-60.98,171.63,167.32,86.77,292.98,-16.45
, 영업이익 YOY(%),-62.64,-14.7,88.6,139.1,-4.4,36.9,-8.5,63.9,104.6,2.1,-9,, 영업이익 YOY(%),1172.04,-94.89,380.88,314.41,140.85,2981.38,-25.28
, 지배순이익 YOY(%),-59.47,-29.6,108.6,151,-5.2,33.5,-19.6,87.7,93.9,4.6,-8.8,, 지배순이익 YOY(%),470.98,-94.02,295.98,295.1,154.73,2462.72,-20.51
, 매출액(개별),2296.3,1783.63,2446.11,3605.78,3728.94,4415.55,4851.49,6438.26,11649.56,0,0,, 매출액(개별),1720.51,1119.76,3354.24,3723.83,3451.74,0,0
, 영업이익(개별),746.33,578.3,784.6,1761.73,1758.25,2277.29,2321.09,3497.64,7737.03,0,0,, 영업이익(개별),882.86,331.61,2364.92,2757.96,2282.52,0,0
, 순이익(개별),581.81,423.54,563.06,1350.23,1404.82,1833.24,1908.01,2860.02,5659.87,0,0,, 순이익(개별),687.1,435.02,1742.81,2071.73,1410.31,0,0
, 영업이익율(%개별),32.5,32.42,32.08,48.86,47.15,51.57,47.84,54.33,66.41,0,0,, 영업이익율(%개별),51.31,29.61,70.51,74.06,66.13,0,0
, 개별/연결 순익(%),113.06,116.87,74.5,71.17,78.07,76.31,98.74,78.84,80.47,0,0,, 개별/연결 순익(%),83.1,460.48,79.26,78.65,66.96,0,0
, 연간 주가 상승율,7.68,-14.26,-8.71,34.49,16.13,21.67,-10.73,1.66,59.12,7.91,0,, EPS,3176.15,362.91,8447.34,10119.13,8090.62,9300.27,6714.94
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,13016.75,11160.37,10187.98,13701.84,15911.81,19359.37,17282,17569.29,30085.43,35533,35533,,,,,,,,,
, 주가,58900,50500,46100,62000,72000,87600,78200,79500,126500,136500,136500,,,,,,,,,
, EPS,2328.54,1639.84,3420,8584.55,8142.06,10870.51,8743.38,16415.61,29574.65,28254.23,25764.94,,,,,,,,,
, BPS,37861.42,38413.56,41499.93,49912.71,56278.46,68988.27,92377.83,101085.7,120116.8,137995.4,163760.3,,,,,,,,,
, EPS증가율(%),-59.5,-29.6,108.6,151,-5.2,33.5,-19.6,87.7,80.2,-4.5,-8.8,,,,,,,,,
, BPS증가율(%),0.1,1.5,8,20.3,12.8,22.6,33.9,9.4,18.8,14.9,18.7,,,,,,,,,
, PER,25.29,30.8,13.48,7.22,8.84,8.06,8.94,4.84,4.28,4.83,5.3,,,,,,,,,
, PBR,1.56,1.31,1.11,1.24,1.28,1.27,0.85,0.79,1.05,0.99,0.83,,,,,,,,,
, PSR,5.68,5.92,3.39,2.94,3.36,3.29,2.8,2.03,2.05,2.34,2.43,,,,,,,,,
, ROE,6.15,4.27,8.24,17.2,14.47,15.76,9.46,16.24,24.62,20.47,15.73,,,,,,,,,
, ROA,1.23,0.86,1.6,2.93,1.97,1.93,1.04,1.52,1.87,1.92,1.72,,,,,,,,,
, EV,13016.75,11160.37,10187.98,13701.84,15911.81,19359.37,17282,17569.29,30085.43,35533,35533,,,,,,,,,
, EBITDA,797.45,700.27,1284.26,2698.15,2601.27,3445.3,3144.09,4968.74,9978.8,9978.8,9978.8,,,,,,,,,
, EV/EBITDA,16.32,15.94,7.93,5.08,6.12,5.62,5.5,3.54,3.01,3.56,3.56,,,,,,,,,
, DPS,450,350,450,700,850,1300,1500,2000,3000,3000,3000,,,,,,,,,
, 배당성향(%),19.32,21.34,13.16,8.15,10.44,11.96,24.69,15.92,10.98,10.62,11.64,,,,,,,,,
, 시가배당율(%),0.76,0.69,0.98,1.13,1.18,1.48,1.92,2.52,2.37,2.2,2.2,,,,,,,,,
, 차입금비율(%),37.53,44.01,72.01,80.27,162.16,223.71,299.88,414.43,398.51,398.51,398.51,,,,,,,,,
, 부채비율(%),387.92,393.99,410.36,483.31,631.61,702.68,803.5,960.2,1203.02,1203.02,1203.02,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,0,1689.35,1689.35,1689.35,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,,,,,
, 상장주식수 (만주),2209.97,2209.97,2209.97,2209.97,2209.97,2209.97,2209.97,2209.97,2378.29,2603.15,2603.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2290.93,1886.43,3005.67,4663.28,4735.35,5891.74,6180.76,8650.85,14690.8,15206,14638,, 매출액,2381.02,1125.77,4364.06,4753.84,4447.12,4424,3646
, -매출원가,0,0,0,0,0,0,0,0,0,0,0,, -매출원가,0,0,0,0,0,0,0
, =매출총이익,2290.93,1886.43,3005.67,4663.28,4735.35,5891.74,6180.76,8650.85,14690.8,0,0,, =매출총이익,2381.02,1125.77,4364.06,4753.84,4447.12,0,0
, -판매비와관리비,1663.23,1350.95,1995.99,2248.97,2428.43,2733.25,3290.94,3913.93,5001.14,0,0,, -판매비와관리비,1180.6,1022.31,1224.13,1198.81,1555.89,0,0
, =영업이익,627.7,535.48,1009.68,2414.31,2306.92,3158.48,2889.82,4736.91,9689.66,9890,9004,, =영업이익,1200.42,103.46,3139.93,3555.03,2891.23,3188,2346
, +- 비영업손익,70.7,0.67,-31.89,82.03,51.99,72.1,-79.96,185.4,149.68,0,0,, +- 비영업손익,-6.55,-11.54,-101.23,174.8,87.64,0,0
, (금융손익),0,0,0,0,0,0,0,0,0,0,0,, (금융손익),0,0,0,0,0,0,0
, (관계기업손익),8.32,0.81,-11.24,46.84,37.17,37.94,-57.62,208.21,63.53,0,0,, (관계기업손익),93.35,-43.18,0,136.81,-30.1,0,0
, (외환손익),0,0,0,0,0,0,0,0,0,0,0,, (외환손익),0,0,0,0,0,0,0
, =세전순익,698.4,536.16,977.79,2496.34,2358.91,3230.59,2809.87,4922.32,9839.34,0,0,, =세전순익,1193.87,91.93,3038.71,3729.84,2978.87,0,0
