,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,티웨이홀딩스,A004870,1310,1005,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,0.00,456.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-1.18,1.32,-112.01,-64.19,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-29.10,1.92,-5.40,-2.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,148.50,7.20,5.32,0.45,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,51.96,1325.66,2362.06,2888.7,4118.71,6127.87,7374.89,8173.02,2769.09,2769.08,,, 매출액,1866.97,1505.37,261.29,502.99,499.43,,
, 영업이익,-11.34,29.55,79.73,40.72,142.3,455.3,432.77,-237.23,-1777.41,-1777.41,,, 영업이익,-218.49,-232.08,-495.17,-319.73,-730.43,,
, 지배주주순이익,-30.15,41.85,59.31,22.42,32.91,297.43,248.39,-295.43,-854.65,-854.65,,, 지배주주순이익,-60.31,-209.96,-320.92,-197.93,-125.84,,
, 매출총이익율(%),15.8,14.02,13.64,11.99,12.9,16.38,14.73,6.49,-49.85,-49.85,,, 매출총이익율(%),-2.21,-5.86,-162.59,-45.74,-127.59,,
, 판관비율(%),37.63,11.79,10.27,10.58,9.44,8.95,8.87,9.39,14.34,14.34,,, 판관비율(%),9.5,9.56,26.92,17.83,18.67,,
, 영업이익률(%),-21.82,2.23,3.38,1.41,3.45,7.43,5.87,-2.9,-64.19,-64.19,,, 영업이익률(%),-11.7,-15.42,-189.51,-63.57,-146.25,,
, 매출액 YOY(%),-41.48,2451.3,78.2,22.3,42.6,48.8,20.3,10.8,-66.1,0,,, 매출액 YOY(%),7.16,-37.82,-85.79,-75.42,-73.25,,
, 영업이익 YOY(%),62.37,360.6,169.8,-48.9,249.5,220,-4.9,-154.8,-649.2,0,,, 영업이익 YOY(%),-56.38,-163.88,-81.46,-192.87,-234.31,,
, 지배순이익 YOY(%),46.5,238.8,41.7,-62.2,46.8,803.8,-16.5,-218.9,-189.3,0,,, 지배순이익 YOY(%),-73.4,-294.26,-54.36,-46.29,-108.66,,
, 매출액(개별),51.96,67.1,177.52,219.88,291.15,287.55,57,68.53,76.91,,,, 매출액(개별),18.2,13.59,14.84,16.86,31.63,,
, 영업이익(개별),-11.34,-5.32,5.58,12.82,20.55,-8.81,-41.34,-40.86,-30.37,,,, 영업이익(개별),-7.22,-8.1,-8.31,-7.79,-6.16,,
, 순이익(개별),-30.15,-4.08,5.35,3.36,20.21,-17.21,-53.77,-41.45,-49.98,,,, 순이익(개별),-3.63,-5.61,-19,-8.12,-17.25,,
, 영업이익율(%개별),-21.82,-7.93,3.14,5.83,7.06,-3.06,-72.53,-59.62,-39.49,,,, 영업이익율(%개별),-39.67,-59.6,-56,-46.2,-19.48,,
, 개별/연결 순익(%),100,-9.75,9.02,14.99,61.41,-5.79,-21.65,14.03,5.85,,,, 개별/연결 순익(%),6.02,2.67,5.92,4.1,13.71,,
, 연간 주가 상승율,-33.51,28.49,313.27,-29.56,-11.19,103.91,-31.9,-27.1,-40.63,27.18,,, EPS,-78.61,-273.68,-418.31,-258,-164.03,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,210.45,402.9,1728.38,1216.97,1113.18,2480.03,1795.4,1330.41,789.81,1005,,,,,,,,,,
, 주가,516,663,2740,1930,1714,3495,2380,1735,1030,1310,,,,,,,,,,
, EPS,-73.92,68.87,94.02,35.56,50.67,419.16,329.27,-385.27,-1114.56,-1114.02,,,,,,,,,,
, BPS,449.23,466.16,623.66,658.56,727.85,1176.7,2454.96,2102.59,994.46,993.98,,,,,,,,,,
, EPS증가율(%),46.5,193.2,36.5,-62.2,42.5,727.2,-21.4,-217,-189.3,0,,,,,,,,,,
, BPS증가율(%),-0.1,3.8,33.8,5.6,10.5,61.7,108.6,-14.4,-52.7,0,,,,,,,,,,
, PER,-6.98,9.63,29.14,54.28,33.82,8.34,7.23,-4.5,-0.92,-1.18,,,,,,,,,,
, PBR,1.15,1.42,4.39,2.93,2.35,2.97,0.97,0.83,1.04,1.32,,,,,,,,,,
, PSR,4.05,0.3,0.73,0.42,0.27,0.4,0.24,0.16,0.29,0.36,,,,,,,,,,
, ROE,-16.46,14.77,15.08,5.4,6.96,35.62,13.41,-18.32,-112.08,-112.08,,,,,,,,,,
, ROA,-12.41,5.58,5.13,1.53,1.87,9.87,4.99,-3.39,-11.16,-11.16,,,,,,,,,,
, EV,259.69,440.06,1774.25,1374.37,1361.28,3682.63,4489.43,2999.49,3339.59,3555,,,,,,,,,,
, EBITDA,-1.99,55.84,133.13,125.65,244.21,605.75,563.3,761.76,-672.88,-672.88,,,,,,,,,,
, EV/EBITDA,-130.5,7.88,13.33,10.94,5.57,6.08,7.97,3.94,-4.96,-5.28,,,,,,,,,,
, DPS,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 시가배당율(%),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 차입금비율(%),0,32.79,49.49,48.74,34.55,9.53,0.74,146.83,265.25,265.25,,,,,,,,,,
, 부채비율(%),32.6,160.85,183.29,238.05,257.15,225.88,74.63,254.38,456.23,456.23,,,,,,,,,,
, 매출채권회전일수,40.53,4.44,5.48,8.95,10.02,9.69,7.78,9.12,4.54,4.54,,,,,,,,,,
, 재고자산회전일수,153.17,8.73,4.73,5.16,6.59,6.37,6.34,6.84,10.45,10.45,,,,,,,,,,
, 상장주식수 (만주),4078.49,6076.92,6307.96,6305.54,6494.63,7095.94,7543.7,7668.07,7668.06,7671.76,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,51.96,1325.66,2362.06,2888.7,4118.71,6127.87,7374.89,8173.02,2769.09,2769.08,,, 매출액,1866.97,1505.37,261.29,502.99,499.43,,
, -매출원가,43.75,1139.78,2039.77,2542.42,3587.58,5124.31,6288.22,7642.65,4149.42,4149.4,,, -매출원가,1908.18,1593.59,686.11,733.06,1136.64,,
, =매출총이익,8.21,185.89,322.29,346.28,531.13,1003.56,1086.67,530.38,-1380.33,-1380.32,,, =매출총이익,-41.21,-88.22,-424.82,-230.07,-637.21,,
, -판매비와관리비,19.55,156.34,242.56,305.57,388.82,548.26,653.9,767.6,397.08,397.09,,, -판매비와관리비,177.28,143.86,70.35,89.66,93.22,,
, =영업이익,-11.34,29.55,79.73,40.72,142.3,455.3,432.77,-237.23,-1777.41,-1777.41,,, =영업이익,-218.49,-232.08,-495.17,-319.73,-730.43,,
, +- 비영업손익,-4.88,22.91,-7.77,-13.83,-100.2,-34.3,-4.43,-375.85,-31.53,-31.53,,, +- 비영업손익,38.31,-217.75,-36.19,6.53,215.88,,
, (금융손익),-3.86,-6.64,-7.91,-8.25,-88.37,-0.47,6.7,-376.76,-86.42,-86.42,,, (금융손익),50.08,-218.16,-21.07,6.29,146.52,,
, (관계기업손익),0,31.78,0,0,0,-16.14,-12.86,1.43,15.95,15.95,,, (관계기업손익),1.43,0,0,0,15.95,,
, (외환손익),0,-0.85,-5.19,-7.91,-11.79,-17.97,-14.2,-142.83,194.75,194.75,,, (외환손익),101.74,-156.24,47.25,81.4,222.34,,
