,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,팬오션,A028670,6070,32448,,컨센서스,6436,558,427,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,해상운송,0.82,66.00,14.89,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,1.80,-0.20,-128.50,,,,,,,,,,,,
,35.07,1.16,3.30,9.42,,YOY,15.20,47.50,97.20,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,3.70,-7.30,412.60,,,,,,,,,,,,
,18.70,0.91,4.80,8.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,223.50,0.70,2.09,0.16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,54178.46,26820.24,16455.71,18193.13,18739.86,23362.4,26683.53,24678.91,24971.59,28331,30368,, 매출액,6186.54,5587.79,6834.34,6344.33,6205.13,6436,7586
, 영업이익,-2116.76,-2220.91,2159.55,2293.7,1679.01,1950.23,2039.36,2100.19,2252.12,2686,3035,, 영업이익,511.23,378.19,642.71,629.39,601.83,558,688
, 지배주주순이익,-4652.66,-19101.39,7861.46,455.37,978.79,1430.57,1524.1,1518.8,925.29,2096,2383,, 지배주주순이익,289.13,216.53,424.31,421.06,-136.61,427,554
, 매출총이익율(%),-1.58,-3.85,16.06,15.81,11.93,11.31,10.42,11.66,12.17,0,0,, 매출총이익율(%),12.25,10.11,12.32,12.85,13.17,0,0
, 판관비율(%),2.33,4.43,2.94,3.2,2.97,2.96,2.78,3.15,3.15,0,0,, 판관비율(%),3.99,3.34,2.92,2.93,3.47,0,0
, 영업이익률(%),-3.91,-8.28,13.12,12.61,8.96,8.35,7.64,8.51,9.02,9.48,9.99,, 영업이익률(%),8.26,6.77,9.4,9.92,9.7,8.67,9.07
, 매출액 YOY(%),-5.65,-50.5,-38.6,10.6,3,24.7,14.2,-7.5,1.2,13.5,7.2,, 매출액 YOY(%),-5.19,4.48,8.09,-7,0.3,15.18,11
, 영업이익 YOY(%),-71.63,-4.9,197.2,6.2,-26.8,16.2,4.6,3,7.2,19.3,13,, 영업이익 YOY(%),-2.39,-15.87,27.27,-0.8,17.72,47.54,7.05
, 지배순이익 YOY(%),-1942.34,-310.5,141.2,-94.2,114.9,46.2,6.5,-0.3,-39.1,126.5,13.7,, 지배순이익 YOY(%),-14.71,-30.03,13.91,-23.13,-147.25,97.2,30.56
, 매출액(개별),49194.76,24281.86,15550.24,17605.9,16063.37,20130.13,23375.17,21559.25,21028.95,0,0,, 매출액(개별),5668.94,5156.84,5115.55,5198.25,5558.31,0,0
, 영업이익(개별),-1935.25,-3303.96,2146.06,2297.73,1590.66,2016.75,2030.19,2084.73,2213.13,0,0,, 영업이익(개별),508.1,366.92,622.74,619.79,603.68,0,0
, 순이익(개별),-4537.31,-20526.01,8098.69,565.32,908.22,1457.13,1442.48,1537.11,909.28,0,0,, 순이익(개별),317.85,230.44,418.12,528.01,-267.29,0,0
, 영업이익율(%개별),-3.93,-13.61,13.8,13.05,9.9,10.02,8.69,9.67,10.52,0,0,, 영업이익율(%개별),8.96,7.12,12.17,11.92,10.86,0,0
, 개별/연결 순익(%),97.52,107.46,103.02,124.15,92.79,101.86,94.64,101.21,98.27,0,0,, 개별/연결 순익(%),109.93,106.42,98.54,125.4,195.66,0,0
, 연간 주가 상승율,-22.45,-83.84,-65.85,-5.58,7.99,32.25,-15.65,2.25,10.45,20.92,0,, EPS,54.09,40.51,79.38,78.77,-25.56,79.88,103.64
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,9706.22,1568.64,5588.73,19351.29,21295.55,28170.14,23761.6,24296.17,26835.39,32448,32448,,,,,,,,,
, 주가,70818,11445,3908,3690,3985,5270,4445,4545,5020,6070,6070,,,,,,,,,
, EPS,-33946.41,-139366.2,5497.24,86.83,183.16,267.63,285.11,284.12,173.09,392.1,445.78,,,,,,,,,
, BPS,129163,16977.87,9938.57,4588.21,4754.32,4469.33,4945.64,5399.53,5250.3,5642.46,6088.24,,,,,,,,,
, EPS증가율(%),-1942.3,-310.5,103.9,-98.4,110.9,46.1,6.5,-0.3,-39.1,126.5,13.7,,,,,,,,,
, BPS증가율(%),-0.2,-86.9,-41.5,-53.8,3.6,-6,10.7,9.2,-2.8,7.5,7.9,,,,,,,,,
, PER,-2.09,-0.08,0.71,42.5,21.76,19.69,15.59,16,29,15.48,13.62,,,,,,,,,
, PBR,0.55,0.67,0.39,0.8,0.84,1.18,0.9,0.84,0.96,1.08,1,,,,,,,,,
, PSR,0.18,0.06,0.34,1.06,1.14,1.21,0.89,0.98,1.07,1.15,1.07,,,,,,,,,
, ROE,-26.28,-820.87,55.31,1.89,3.85,5.99,5.76,5.26,3.3,6.95,7.32,,,,,,,,,
, ROA,-6.51,-39.14,17.25,1.06,2.26,3.67,3.7,3.41,1.99,4.3,4.67,,,,,,,,,
, EV,49504.24,20271.96,17129.05,31622.12,33845.18,37818.79,32665,33998.38,38840.63,44453,44453,,,,,,,,,
, EBITDA,-259.69,-134.57,3750.47,3922.75,3369,3629.86,3723.09,4128.54,4528.77,4528.77,4528.77,,,,,,,,,
, EV/EBITDA,-190.63,-150.64,4.57,8.06,10.05,10.42,8.77,8.23,8.58,9.82,9.82,,,,,,,,,
, DPS,0,0,0,0,0,0,0,0,50,50,50,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,28.89,12.75,11.22,,,,,,,,,
, 시가배당율(%),0,0,0,0,0,0,0,0,1,0.82,0.82,,,,,,,,,
, 차입금비율(%),242.78,902.36,124.2,62.51,59.25,50.72,42.36,43.49,52.67,52.67,52.67,,,,,,,,,
, 부채비율(%),301.94,1925.67,220.4,77.44,68.78,61.61,54.84,53.62,66.01,66.01,66.01,,,,,,,,,
, 매출채권회전일수,26.13,26.71,17.17,23.1,18.15,15.75,19.55,19.44,21.8,21.8,21.8,,,,,,,,,
, 재고자산회전일수,5.37,10.96,15.61,9.54,10.57,8.85,9.32,10.94,9.52,9.52,9.52,,,,,,,,,
, 상장주식수 (만주),1370.59,1370.59,14300.74,52442.52,53439.27,53453.78,53456.92,53456.92,53456.95,53456.34,53456.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
