,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,풍국주정,A023900,20650,2602,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,음료,0.87,19.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,31.72,1.85,5.83,9.46,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,17.50,1.36,8.10,10.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,43.50,5.70,2.28,0.46,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,918.29,1002.87,1078.28,1014.63,967.63,1075.54,1204.53,1214.31,1179.9,1179.9,,, 매출액,314.11,312.04,275.12,295,297.74,,
, 영업이익,71.33,103.63,85.89,103.41,115.14,113.16,134.32,105.26,111.62,111.62,,, 영업이익,23.42,21.52,17.37,42.8,29.93,,
, 지배주주순이익,45.25,72.74,61.68,76.46,89.88,141.66,104.69,77.89,82.02,82.02,,, 지배주주순이익,11.33,19.29,12.77,33.68,16.28,,
, 매출총이익율(%),19.76,22.52,20.63,24.43,26.95,23.65,22.68,21,22.16,22.16,,, 매출총이익율(%),19.27,19.25,19.01,27.02,23.29,,
, 판관비율(%),12,12.19,12.66,14.24,15.05,13.13,11.53,12.33,12.7,12.7,,, 판관비율(%),11.81,12.35,12.7,12.51,13.24,,
, 영업이익률(%),7.77,10.33,7.97,10.19,11.9,10.52,11.15,8.67,9.46,9.46,,, 영업이익률(%),7.46,6.9,6.31,14.51,10.05,,
, 매출액 YOY(%),14.06,9.2,7.5,-5.9,-4.6,11.2,12,0.8,-2.8,0,,, 매출액 YOY(%),-3.17,8.13,-4.89,-8.48,-5.21,,
, 영업이익 YOY(%),-25.85,45.3,-17.1,20.4,11.3,-1.7,18.7,-21.6,6,0,,, 영업이익 YOY(%),-22.78,-22.65,-16.65,28.99,27.8,,
, 지배순이익 YOY(%),-35.96,60.8,-15.2,24,17.6,57.6,-26.1,-25.6,5.3,0,,, 지배순이익 YOY(%),-39.89,-10.74,-26.74,22.34,43.69,,
, 매출액(개별),479.85,487.62,511.05,522.72,507.1,501.96,493.94,480.97,523.24,,,, 매출액(개별),119.07,140.76,106.28,134.25,141.95,,
, 영업이익(개별),38.17,68.75,58.68,88.05,104.47,99.19,97.76,60.06,80.47,,,, 영업이익(개별),7.15,17.14,7.95,33.47,21.91,,
, 순이익(개별),31.29,55.72,47.25,75.86,84.41,131.4,85.24,54.39,68.71,,,, 순이익(개별),3.37,15.76,7.81,33.08,12.07,,
, 영업이익율(%개별),7.95,14.1,11.48,16.84,20.6,19.76,19.79,12.49,15.38,,,, 영업이익율(%개별),6,12.18,7.48,24.93,15.44,,
, 개별/연결 순익(%),69.15,76.6,76.61,99.22,93.91,92.76,81.42,69.83,83.77,,,, 개별/연결 순익(%),29.74,81.7,61.16,98.22,74.14,,
, 연간 주가 상승율,-0.96,52.75,37.56,7.81,6.14,87.75,37.63,-12.76,25.07,-1.43,,, EPS,89.92,153.09,101.35,267.29,129.2,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,,,,,,,,
, 시가총액,389.34,594.72,818.16,882,936.18,1757.7,2419.2,2110.5,2639.7,2602,,,,,,,,,,
, 주가,3090,4720,6493,7000,7430,13950,19200,16750,20950,20649.97,,,,,,,,,,
, EPS,359.13,577.3,489.5,606.83,713.33,1124.29,830.87,618.17,650.95,650.93,,,,,,,,,,
