,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,하나금융지주,A086790,41150,123550,,컨센서스,16077,9860,7285,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,4.50,1357.00,4.32,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-0.80,53.80,25.00,,,,,,,,,,,,
,4.68,0.40,8.59,43.63,,YOY,-39.30,12.20,10.90,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-34.10,3.50,36.70,,,,,,,,,,,,
,5.40,0.42,7.50,26.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,16.50,2.80,0.68,0.24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,114332.3,105349,100928.7,90379.02,83818.09,89323.96,103409.2,111181.5,100796.1,95728,105339,, 매출액,27283.38,26480.85,25482.16,24424.55,24408.53,16077,24730
, 영업이익,20173.51,11650.1,12434.47,10105.15,16141.07,27181.37,31521.8,32586.8,38364.22,34485,41339,, 영업이익,7492.56,8790.03,9375.79,10675.32,9523.08,9860,10463
, 지배주주순이익,16215.31,9338.77,9377.07,9097.32,13304.77,20368.39,22333.25,23915.84,26372.42,28095,29804,, 지배주주순이익,3504.61,6569.93,6890.31,7584.12,5328.06,7285,7687
, 매출총이익율(%),40.22,42.57,46.51,50.22,54.84,56.99,54.51,51.93,57.68,0,0,, 매출총이익율(%),52.35,53.93,56.24,60.18,60.77,0,0
, 판관비율(%),32.97,36.51,39,50.13,48.64,45.22,38.17,36.94,38.87,0,0,, 판관비율(%),24.89,20.73,19.45,16.47,21.76,0,0
, 영업이익률(%),17.64,11.06,12.32,11.18,19.26,30.43,30.48,29.31,38.06,36.02,39.24,, 영업이익률(%),27.46,33.19,36.79,43.71,39.02,61.33,42.31
, 매출액 YOY(%),45.54,-7.9,-4.2,-10.5,-7.3,6.6,15.8,7.5,-9.3,-5,10,, 매출액 YOY(%),-0.59,-4.35,-9.2,-13.24,-10.54,-39.29,-2.95
, 영업이익 YOY(%),16.45,-42.3,6.7,-18.7,59.7,68.4,16,3.4,17.7,-10.1,19.9,, 영업이익 YOY(%),45.81,17.32,-4.4,36.96,27.1,12.17,11.6
, 지배순이익 YOY(%),32.65,-42.4,0.4,-3,46.2,53.1,9.6,7.1,10.3,6.5,6.1,, 지배순이익 YOY(%),2.71,20.32,4.65,-9.35,52.03,10.88,11.56
, 매출액(개별),277.83,108.05,84.92,63.62,51.69,122.29,139.77,137.36,109.22,0,0,, 매출액(개별),33.45,28.58,25.19,27.68,27.77,0,0
, 영업이익(개별),-1807.06,-549.88,957.32,2136.19,2657.38,5199.65,10107.12,11815.8,3445.18,0,0,, 영업이익(개별),-432.02,4773.01,-418.4,-429.26,-480.17,0,0
, 순이익(개별),-1808.36,-1061.04,943.08,1907.85,2681.83,5133.98,10016.85,11600.92,3217.63,0,0,, 순이익(개별),-575.62,4760.6,-518.84,-504.08,-520.05,0,0
, 영업이익율(%개별),-650.42,-508.91,1127.32,3357.73,5141,4251.9,7231.25,8602.07,3154.35,0,0,, 영업이익율(%개별),-1291.54,16700.52,-1660.98,-1550.8,-1729.1,0,0
, 개별/연결 순익(%),-11.15,-11.36,10.06,20.97,20.16,25.21,44.85,48.51,12.2,0,0,, 개별/연결 순익(%),-16.42,72.46,-7.53,-6.65,-9.76,0,0
, 연간 주가 상승율,-2.39,26.51,-27.11,-26.25,32.42,59.36,-27.21,1.79,-6.5,19.28,0,, EPS,1167.26,2188.2,2294.91,2525.99,1774.58,2426.37,2560.26
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,84338.27,127263.5,92766.1,69856.72,92500.96,147409.5,108837.8,110789.3,103583.5,123550,123550,,,,,,,,,
, 주가,34700,43900,32000,23600,31250,49800,36250,36900,34500,41150,41150,,,,,,,,,
, EPS,6671.6,3221.44,3234.65,3073.39,4494.81,6881.14,7438.41,7965.52,8783.72,9357.42,9926.63,,,,,,,,,
, BPS,64695.92,68756.14,72879.37,74829.18,75971.13,80653.52,88026.19,93672.67,102296.4,111653.5,121580.1,,,,,,,,,
, EPS증가율(%),32.7,-51.7,0.4,-5,46.2,53.1,8.1,7.1,10.3,6.5,6.1,,,,,,,,,
, BPS증가율(%),0.1,6.3,6,2.7,1.5,6.2,9.1,6.4,9.2,9.1,8.9,,,,,,,,,
, PER,5.2,13.63,9.89,7.68,6.95,7.24,4.87,4.63,3.93,4.4,4.15,,,,,,,,,
, PBR,0.54,0.64,0.44,0.32,0.41,0.62,0.41,0.39,0.34,0.37,0.34,,,,,,,,,
, PSR,0.74,1.21,0.92,0.77,1.1,1.65,1.05,1,1.03,1.29,1.17,,,,,,,,,
, ROE,10.31,4.69,4.44,4.11,5.92,8.53,8.45,8.5,8.59,8.38,8.16,,,,,,,,,
, ROA,0.57,0.32,0.3,0.28,0.38,0.57,0.58,0.57,0.57,0.61,0.64,,,,,,,,,
, EV,84338.27,127263.5,92766.1,69856.72,92500.96,147409.5,108837.8,110789.3,103583.5,123550,123550,,,,,,,,,
, EBITDA,24729.46,16645.52,17139.34,14854.23,21034.36,32535.41,37440.17,40000.86,45972.22,45972.22,45972.22,,,,,,,,,
, EV/EBITDA,3.41,7.65,5.41,4.7,4.4,4.53,2.91,2.77,2.25,2.69,2.69,,,,,,,,,
, DPS,450,400,600,650,1050,1550,1900,2100,1850,1850,1850,,,,,,,,,
, 배당성향(%),6.69,12.4,18.55,21.15,23.36,22.53,25.54,25.78,20.45,19.77,18.64,,,,,,,,,
, 시가배당율(%),1.3,0.91,1.88,2.75,3.36,3.11,5.24,5.69,5.36,4.5,4.5,,,,,,,,,
