,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한국가스공사,A036460,33450,30879,,컨센서스,69420,8735,6951,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,도시가스,0.00,364.00,12.67,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-3.20,-15.60,65.50,,,,,,,,,,,,
,-17.95,0.41,-2.30,4.11,,YOY,-12.90,-8.90,29.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,29.00,235.60,803.20,,,,,,,,,,,,
,-14.40,0.45,-3.20,4.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,853.90,6.20,0.70,0.24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,350313.2,380627.1,372848.7,260527.2,211081.2,221721.7,261850.4,249826.4,208337.2,211941,223874,, 매출액,68861.26,79677.7,40945.9,33890.13,53823.48,69420,45812
, 영업이익,12666.53,14882.07,10719.06,10078.12,9982.14,10351.63,12768.59,13345.14,8988.55,9097,10867,, 영업이익,4203.17,9590.47,-967.32,-2237.11,2602.52,8735,-317
, 지배주주순이익,3666.75,-2007.07,4472.22,3191.91,-6130.05,-12051.1,5093.5,387.64,-1720.6,2047,3402,, 지배주주순이익,-2527.77,5371.99,-5044.85,-2817.33,769.58,6951,-243
, 매출총이익율(%),4.59,4.85,3.83,5.31,6.7,6.51,6.4,7.03,6.34,0,0,, 매출총이익율(%),7.93,13.38,0,-3.8,7.11,0,0
, 판관비율(%),0.98,0.95,0.95,1.45,1.97,1.85,1.53,1.69,2.02,0,0,, 판관비율(%),1.82,1.34,2.36,2.8,2.28,0,0
, 영업이익률(%),3.62,3.91,2.87,3.87,4.73,4.67,4.88,5.34,4.31,4.29,4.85,, 영업이익률(%),6.1,12.04,-2.36,-6.6,4.84,12.58,-0.69
, 매출액 YOY(%),23.22,8.7,-2,-30.1,-19,5,18.1,-4.6,-16.6,1.7,5.6,, 매출액 YOY(%),-9.74,-8.43,-16.01,-25.03,-21.84,-12.87,11.88
, 영업이익 YOY(%),23.8,17.5,-28,-6,-1,3.7,23.3,4.5,-32.6,1.2,19.5,, 영업이익 YOY(%),-10.62,10.3,-147.25,-39.84,-38.08,-8.92,67.23
, 지배순이익 YOY(%),102.04,-154.7,322.8,-28.6,-292,-96.6,142.3,-92.4,-543.9,219,66.2,, 지배순이익 YOY(%),-264.25,1.26,-3955.67,-24.37,130.45,29.39,95.18
, 매출액(개별),345166.7,374425.2,367334,254819.9,201773.5,210556.8,249856,239038.5,200041.9,0,0,, 매출액(개별),66768.92,76962.24,39161.46,32148.28,51769.88,0,0
, 영업이익(개별),11966.03,13611.17,9380.6,9827.66,9554.11,9019.46,11086.98,11857.56,9505.51,0,0,, 영업이익(개별),3917.41,9413.78,-827.76,-1721.38,2640.87,0,0
, 순이익(개별),5057.24,-2671.79,930.08,557.42,-7928.29,-10216.11,3053.13,816.14,-936.02,0,0,, 순이익(개별),-618.42,4666.41,-5602.85,-1656.66,1657.07,0,0
, 영업이익율(%개별),3.47,3.64,2.55,3.86,4.74,4.28,4.44,4.96,4.75,0,0,, 영업이익율(%개별),5.87,12.23,-2.11,-5.35,5.1,0,0
, 개별/연결 순익(%),137.92,133.12,20.8,17.46,129.33,84.77,59.94,210.54,54.4,0,0,, 개별/연결 순익(%),24.47,86.87,111.06,58.8,215.32,0,0
, 연간 주가 상승율,80.1,-8.26,-25.6,-25.63,31.48,-12.18,13.28,-21.47,-18.36,8.25,0,, EPS,-2738.23,5819.26,-5464.89,-3051.9,833.66,7529.74,-263.23
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,58040.67,61480.46,45741.09,34017.34,44725.65,39279.18,44494.87,34940.47,28524.72,30879,30879,,,,,,,,,
, 주가,72597,66600,49550,36850,48450,42550,48200,37850,30900,33450,33450,,,,,,,,,
, EPS,4586.35,-2174.2,4844.63,3457.7,-6640.5,-13054.61,5517.64,419.92,-1863.88,2217.43,3685.25,,,,,,,,,
, BPS,104795.8,96766.2,105341.3,108943.9,101397.2,84639.64,88750.48,85073.02,81039.94,83256.59,86941.84,,,,,,,,,
, EPS증가율(%),102,-147.4,322.8,-28.6,-292,-96.6,142.3,-92.4,-543.9,219,66.2,,,,,,,,,
, BPS증가율(%),0,-7.7,8.9,3.4,-6.9,-16.5,4.9,-4.1,-4.7,2.7,4.4,,,,,,,,,
, PER,15.83,-30.63,10.23,10.66,-7.3,-3.26,8.74,90.14,-16.58,15.08,9.08,,,,,,,,,
, PBR,0.69,0.69,0.47,0.34,0.48,0.5,0.54,0.44,0.38,0.4,0.38,,,,,,,,,
, PSR,0.17,0.16,0.12,0.13,0.21,0.18,0.17,0.14,0.14,0.15,0.14,,,,,,,,,
, ROE,4.38,-2.25,4.6,3.17,-6.55,-15.42,6.22,0.49,-2.3,2.66,4.24,,,,,,,,,
, ROA,0.9,-0.46,0.96,0.75,-1.53,-3.24,1.28,0.1,-0.48,0.57,0.93,,,,,,,,,
, EV,324265.4,350107.9,349482,313095.2,297405.1,276813.4,302668,297974.3,266321.4,268676,268676,,,,,,,,,
, EBITDA,23230.75,26105.36,22191.8,23546.19,26153.76,27506.81,30795.72,30697.71,25355.7,25355.72,25355.72,,,,,,,,,
, EV/EBITDA,13.96,13.41,15.75,13.3,11.37,10.06,9.83,9.71,10.5,10.6,10.6,,,,,,,,,
, DPS,1576.92,0,250,170,0,0,1360,380,0,0,0,,,,,,,,,
, 배당성향(%),32.48,0,4.9,4.67,0,0,23.4,85.91,0,0,0,,,,,,,,,
, 시가배당율(%),2.17,0,0.5,0.46,0,0,2.82,1,0,0,0,,,,,,,,,
, 차입금비율(%),321.97,326.26,315.12,278.94,274.02,297.89,307.3,327.24,312.35,312.35,312.35,,,,,,,,,
, 부채비율(%),385.39,388.83,380.98,321.45,322.7,356.24,367.05,382.56,364.24,364.24,364.24,,,,,,,,,
, 매출채권회전일수,81.51,68.61,73.07,65.52,80.8,85.73,72.08,72.67,71.72,71.72,71.72,,,,,,,,,
, 재고자산회전일수,20.68,25.13,36.44,26.56,19.83,27.16,47.19,41.57,26.01,26.01,26.01,,,,,,,,,
, 상장주식수 (만주),7994.91,9231.3,9231.3,9231.3,9231.3,9231.3,9231.3,9231.3,9231.3,9231.39,9231.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,350313.2,380627.1,372848.7,260527.2,211081.2,221721.7,261850.4,249826.4,208337.2,211941,223874,, 매출액,68861.26,79677.7,40945.9,33890.13,53823.48,69420,45812
, -매출원가,334218.9,362148,358569.9,246681.9,196941.5,207276.8,245085.3,232271.2,195135,0,0,, -매출원가,63401.51,69017.65,40945.42,35176.94,49994.97,0,0
, =매출총이익,16094.27,18479.15,14278.74,13845.31,14139.65,14444.92,16765.07,17555.22,13202.23,0,0,, =매출총이익,5459.75,10660.05,0.48,-1286.81,3828.51,0,0
