,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한미사이언스,A008930,60400,40652,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,제약,0.32,40.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,179.87,6.17,3.43,3.79,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,117.50,7.63,6.70,7.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,448.70,31.40,17.88,0.50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,201.79,2203.96,5328.86,7766.29,6652.85,6523.24,7079.95,8166.19,8573.83,8573.84,,, 매출액,2186.15,2144,2084.6,2158.44,2186.8,,
, 영업이익,132.02,111.85,174.71,2164.15,286.52,390.71,261.55,379.86,325.02,325.02,,, 영업이익,95.17,85.74,94.78,-35.66,180.16,,
, 지배주주순이익,124.79,95.78,213.12,1785.21,79.38,300.69,180.2,307.42,226.01,226.01,,, 지배주주순이익,78.07,65.22,79.21,-74.62,156.2,,
, 매출총이익율(%),100,100,100,100,100,100,100,100,100,100,,, 매출총이익율(%),255.03,13.01,100,14.35,269.82,,
, 판관비율(%),79.45,96.9,98.26,81.06,97.74,97.86,98.45,98.02,97.07,96.21,,, 판관비율(%),250.68,9.01,95.45,16,261.58,,
, 영업이익률(%),65.42,5.07,3.28,27.87,4.31,5.99,3.69,4.65,3.79,3.79,,, 영업이익률(%),4.35,4,4.55,-1.65,8.24,,
, 매출액 YOY(%),16.34,992.2,141.8,45.7,-14.3,-1.9,8.5,15.3,5,0,,, 매출액 YOY(%),13.96,13.94,1.36,5.72,0.03,,
, 영업이익 YOY(%),329.68,-15.3,56.2,1138.7,-86.8,36.4,-33.1,45.2,-14.4,0,,, 영업이익 YOY(%),12936.99,7.75,-23.6,-143.99,89.3,,
, 지배순이익 YOY(%),184.95,-23.2,122.5,737.7,-95.6,278.8,-40.1,70.6,-26.5,0,,, 지배순이익 YOY(%),220.11,8.99,-27.35,-223.38,100.08,,
, 매출액(개별),179.77,225.44,227.3,1734.96,356.44,299.35,299.94,348.93,355.53,,,, 매출액(개별),94.78,104.04,70.23,94.87,86.38,,
, 영업이익(개별),41.92,69.48,66.24,1519.78,145.24,84.16,90.7,101.16,117.93,,,, 영업이익(개별),29.27,43.43,13.58,37.94,22.98,,
, 순이익(개별),28.03,51.13,63.39,1134.99,64.91,28.27,61.42,56.34,77.91,,,, 순이익(개별),15.53,33.67,7.12,25.49,11.62,,
