,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한미약품,A128940,342000,41308,,컨센서스,2930,219,142,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,제약,0.14,126.00,72.22,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-1.20,29.00,38.90,,,,,,,,,,,,
,345.38,5.66,1.64,3.90,,YOY,1.70,-23.80,88.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,5.70,-47.70,-48.90,,,,,,,,,,,,
,86.50,6.70,7.80,8.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,788.20,21.80,11.26,1.43,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,6740.05,7301.34,7612.8,13175.35,8827.25,9165.86,10159.62,11136.5,10758.54,11802,12949,, 매출액,3029.05,2882.01,2434.11,2669.33,2773.08,2930,2808
, 영업이익,481.43,618.95,344.52,2118,267.72,821.64,835.74,1038.78,489.76,980,1274,, 영업이익,298.91,287.44,106.04,-322.84,419.13,219,166
, 지배주주순이익,226.37,439.33,355.1,1544.43,233.26,604.34,248.91,521.1,119.59,494,764,, 지배주주순이익,145.82,75.41,74.82,-308.43,277.8,142,126
, 매출총이익율(%),58.56,57.04,55.5,69.77,52.21,56.56,53.24,56.79,54,0,0,, 매출총이익율(%),56.56,56.97,53.31,47.35,57.9,0,0
, 판관비율(%),51.41,48.56,50.97,53.7,49.18,47.59,45.02,47.47,49.44,0,0,, 판관비율(%),46.7,47,48.95,59.45,42.79,0,0
, 영업이익률(%),7.14,8.48,4.53,16.08,3.03,8.96,8.23,9.33,4.55,8.3,9.84,, 영업이익률(%),9.87,9.97,4.36,-12.09,15.11,7.47,5.91
, 매출액 YOY(%),11.19,8.3,4.3,73.1,-33,3.8,10.8,9.6,-3.4,9.7,9.7,, 매출액 YOY(%),3.13,4.94,-9.98,0.46,-8.45,1.67,15.36
, 영업이익 YOY(%),127.17,28.6,-44.3,514.8,-87.4,206.9,1.7,24.3,-52.9,100.1,30,, 영업이익 YOY(%),88.25,10.83,-54.12,-229.44,40.22,-23.81,56.54
, 지배순이익 YOY(%),1652.66,94.1,-19.2,334.9,-84.9,159.1,-58.8,109.4,-77.1,313.1,54.7,, 지배순이익 YOY(%),289.08,-40.82,-59.2,-578.63,90.51,88.3,68.4
, 매출액(개별),5437.93,5627.57,5820.23,11132.39,6877.82,7026.36,7950.16,8636.47,8724.05,0,0,, 매출액(개별),2363.98,2231.28,2155.54,2254.77,2082.46,0,0
, 영업이익(개별),211.8,345.15,36.43,1802.64,-44.02,469.54,432.69,528.6,261.62,0,0,, 영업이익(개별),137.86,126.56,187.86,-312.14,259.33,0,0
, 순이익(개별),70.34,259.67,155.65,1338.51,39.4,386.56,127.62,242.57,30.19,0,0,, 순이익(개별),73.43,32.92,118.62,-302.1,180.75,0,0
, 영업이익율(%개별),3.89,6.13,0.63,16.19,-0.64,6.68,5.44,6.12,3,0,0,, 영업이익율(%개별),5.83,5.67,8.72,-13.84,12.45,0,0
, 개별/연결 순익(%),31.07,59.11,43.83,86.67,16.89,63.96,51.27,46.55,25.24,0,0,, 개별/연결 순익(%),50.36,43.65,158.54,97.95,65.06,0,0
, 연간 주가 상승율,92.36,-3.45,-1.27,627.04,-58.04,108.41,-19.03,-34.93,25.9,-6.69,0,, EPS,1207.28,624.34,619.45,-2553.57,2299.97,1175.65,1043.18
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,9978.74,10534.07,10435.53,75967.61,31879.26,66492.44,53880.53,35114.58,44266.9,41308,41308,,,,,,,,,
, 주가,91156,88007,86891,631736,265103,552504,447389,291109,366500,341998.9,341998.9,,,,,,,,,
, EPS,2067.89,3670.38,2956.73,12843.28,1939.76,5021.65,2066.79,4320.07,990.12,4089.95,6325.34,,,,,,,,,
, BPS,33107.46,34202.06,43919.02,56127.55,54839.92,59138.25,58391.64,60004.73,60437.89,64527.34,70852.68,,,,,,,,,
, EPS증가율(%),1652.7,77.5,-19.4,334.4,-84.9,158.9,-58.8,109,-77.1,313.1,54.7,,,,,,,,,
, BPS증가율(%),0.1,3.3,28.4,27.8,-2.3,7.8,-1.3,2.8,0.7,6.8,9.8,,,,,,,,,
, PER,44.08,23.98,29.39,49.19,136.67,110.02,216.47,67.39,370.16,83.62,54.07,,,,,,,,,
, PBR,2.75,2.57,1.98,11.26,4.83,9.34,7.66,4.85,6.06,5.3,4.83,,,,,,,,,
, PSR,1.48,1.44,1.37,5.77,3.61,7.25,5.3,3.15,4.11,3.5,3.19,,,,,,,,,
, ROE,6.25,10.73,6.73,22.88,3.54,8.49,3.54,7.2,1.64,6.34,8.93,,,,,,,,,
, ROA,2.71,4.99,3.44,8.97,1.46,3.64,1.47,2.72,0.64,2.56,3.81,,,,,,,,,
, EV,12210.72,12240.41,12089.04,77816.61,31899.44,69851.01,59205.5,42549.33,50808.46,47850,47850,,,,,,,,,
, EBITDA,816.56,889.84,598.44,2619.31,656.35,1186.24,1307.68,1592.9,1103.15,1103.17,1103.17,,,,,,,,,
, EV/EBITDA,14.95,13.76,20.2,29.71,48.6,58.88,45.28,26.71,46.06,43.38,43.38,,,,,,,,,
, DPS,0,0,0,1694.92,0,462.96,471.7,481,490,490,490,,,,,,,,,
, 배당성향(%),0,0,0,13.22,0,9.19,22.75,11.07,49.18,11.98,7.75,,,,,,,,,
, 시가배당율(%),0,0,0,0.27,0,0.08,0.11,0.17,0.13,0.14,0.14,,,,,,,,,
, 차입금비율(%),76.55,60.68,46.2,49.33,45.23,60.1,79.97,103.56,96.43,96.43,96.43,,,,,,,,,
, 부채비율(%),104.13,90.29,75.37,131.28,117.42,109.6,114.28,132.74,126.24,126.24,126.24,,,,,,,,,
, 매출채권회전일수,108.68,109,137.03,215.45,103.58,98.38,63.56,60.52,48.99,48.99,48.99,,,,,,,,,
, 재고자산회전일수,152.18,123.1,143.37,144.94,164.72,212.78,190.36,247.85,227.54,227.54,227.54,,,,,,,,,
, 상장주식수 (만주),1094.69,1196.96,1200.99,1202.52,1202.52,1203.47,1204.33,1206.23,1207.83,1207.84,1207.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,6740.05,7301.34,7612.8,13175.35,8827.25,9165.86,10159.62,11136.5,10758.54,11802,12949,, 매출액,3029.05,2882.01,2434.11,2669.33,2773.08,2930,2808
, -매출원가,2793.26,3136.8,3387.77,3982.51,4218.69,3981.82,4750.47,4811.68,4949.35,0,0,, -매출원가,1315.69,1240.01,1136.58,1405.3,1167.46,0,0
, =매출총이익,3946.79,4164.54,4225.03,9192.84,4608.56,5184.04,5409.16,6324.82,5809.18,0,0,, =매출총이익,1713.36,1642,1297.53,1264.03,1605.62,0,0
, -판매비와관리비,3465.36,3545.59,3880.51,7074.84,4340.84,4362.41,4573.42,5286.04,5319.42,0,0,, -판매비와관리비,1414.45,1354.56,1191.49,1586.87,1186.49,0,0
, =영업이익,481.43,618.95,344.52,2118,267.72,821.64,835.74,1038.78,489.76,980,1274,, =영업이익,298.91,287.44,106.04,-322.84,419.13,219,166
, +- 비영업손익,-159.39,-70.66,20.09,-22.15,-187.74,-233.14,-332.19,-206.08,-268.46,0,0,, +- 비영업손익,-93.73,-136.4,12.48,-93.42,-51.12,0,0
, (금융손익),-141.25,-106.52,-82.53,-113.31,-19.86,-55.84,-182.05,-143.25,-282.76,0,0,, (금융손익),-37.34,-136.57,23.29,-83.14,-86.34,0,0
, (관계기업손익),0,0,0,0,0,0,0,0,0,0,0,, (관계기업손익),0,0,0,0,0,0,0
, (외환손익),-2.32,-2.91,14.37,46.16,165.78,0.26,-16.63,0.23,34.61,0,0,, (외환손익),1.09,1.32,3.71,-0.74,30.32,0,0
, =세전순익,322.05,548.29,364.61,2095.85,79.98,588.5,503.55,832.7,221.3,0,0,, =세전순익,205.18,151.04,118.51,-416.26,368.01,0,0
, -법인세,34.5,42.95,-68.34,475.24,-223.02,-101.24,161.99,194.02,48.41,0,0,, -법인세,32.88,35.76,60.73,-104.19,56.1,0,0
, =순이익,287.55,505.34,432.95,1620.6,303,689.74,341.56,638.67,172.9,0,0,, =순이익,172.31,115.28,57.79,-312.07,311.9,0,0
, 지배주주순익,226.37,439.33,355.1,1544.43,233.26,604.34,248.91,521.1,119.59,494,764,, 지배주주순익,145.82,75.41,74.82,-308.43,277.8,142,126
, 비지배주주순익,61.18,66.01,77.86,76.17,69.74,85.39,92.65,117.58,53.3,0,0,, 비지배주주순익,26.49,39.87,-17.03,-3.64,34.1,0,0
, 매출원가비중,41.44,42.96,44.5,30.23,47.79,43.44,46.76,43.21,46,0,0,, 매출원가비중,43.44,43.03,46.69,52.65,42.1,0,0
, 매출총이익율,58.56,57.04,55.5,69.77,52.21,56.56,53.24,56.79,54,0,0,, 매출총이익율,56.56,56.97,53.31,47.35,57.9,0,0
, 판관비율,51.41,48.56,50.97,53.7,49.18,47.59,45.02,47.47,49.44,0,0,, 판관비율,46.7,47,48.95,59.45,42.79,0,0
, 영업이익률,7.14,8.48,4.53,16.08,3.03,8.96,8.23,9.33,4.55,8.3,9.84,, 영업이익률,9.87,9.97,4.36,-12.09,15.11,7.47,5.91
, 지배주주순이익률,3.36,6.02,4.66,11.72,2.64,6.59,2.45,4.68,1.11,4.19,5.9,, 지배주주순이익률,4.81,2.62,3.07,-11.55,10.02,4.85,4.49
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 현금흐름표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 영업활동현금흐름,632.68,859.92,-328.2,1017.12,4129.65,-629.05,259.82,124.47,1515.35,0,0,, 영업활동현금흐름,456,305,140,244,826,0,0
, 당기순이익,287.55,505.34,432.95,1620.6,303,689.74,341.56,638.67,172.9,0,0,, 당기순이익,172.31,115.28,57.79,-312.07,311.9,0,0
, 감가상각비,335.13,270.89,253.92,501.31,388.63,364.6,471.94,554.12,613.39,0,0,, 감가상각비,148.92,145.72,147.86,149.05,170.77,0,0
, 투자활동현금흐름,-413.05,-383.33,-692.03,-1143.75,-3551.49,-1528.88,-1458.28,-1729.44,-451.66,0,0,, 투자활동현금흐름,-368,-367,-284,90,109,0,0
, 유형자산취득,-131.39,-223.39,-684.61,-1193.9,-1995.65,-2419.89,-1817.78,-1636.72,-417.35,0,0,, 유형자산취득,-430.63,-156.7,-109.96,-73.55,-77.14,0,0
, 재무활동현금흐름,122.03,-322.48,851.23,945.45,-629.45,1377.46,1404.44,1985.98,-651.9,0,0,, 재무활동현금흐름,69.73,299.88,-52.11,-280.85,-618.82,0,0
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 재무상태표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 1. 유동자산,4168.71,4517.72,5377.19,11451.21,8407.42,6580.91,5640.93,6622.04,6143.73,0,0,, 1. 유동자산,6622.04,7303.55,7030.6,6749.87,6143.73,0,0
,    현금성자산,551.6,692.98,524.71,1383.29,1303.72,472.66,673.38,1061.13,1461.57,0,0,,    현금성자산,1061.13,1341.24,1125.65,1189.22,1461.57,0,0
, 매출채권,2006.91,2180.39,2858.11,7777.1,2504.9,2470.54,1769.04,1846.49,1443.95,0,0,, 매출채권,1846.49,2134.31,1933.11,2012.51,1443.95,0,0
, 재고자산,1164.63,1057.92,1330.69,1581.43,1903.81,2321.24,2477.55,3267.27,3085.38,0,0,, 재고자산,3267.27,3174.95,3366.66,3098.31,3085.38,0,0
, 2. 비유동자산,4187.21,4290.97,4956.15,5774.72,7562.29,10028.43,11271.16,12515.02,12676.53,0,0,, 2. 비유동자산,12515.02,12437.6,12699.76,12723.33,12676.53,0,0
, 유형자산,2568.45,2593.77,3278.72,4157.34,5989.36,7900.52,9003.17,9914.17,9866.18,0,0,, 유형자산,9914.17,9954.37,9940.35,9963.69,9866.18,0,0
, 무형자산,780.71,800.35,878.62,671.51,400.68,457.04,606.9,662.44,728.86,0,0,, 무형자산,662.44,648.46,661.75,677.88,728.86,0,0
,     투자자산 등,838.05,896.85,798.81,945.86,1172.25,1670.88,1661.1,1938.41,2081.49,0,0,,     투자자산 등,1938.41,1834.77,2097.67,2081.77,2081.49,0,0
,      * 지분투자,0,0,0,0,0,0,0,0,21.56,0,0,,      * 지분투자,0,0,0,0,21.56,0,0
, 1+2= 총자산,8355.91,8808.69,10333.35,17225.93,15969.71,16609.34,16912.1,19137.06,18820.27,19314.27,20078.27,, 1+2= 총자산,19137.06,19741.15,19730.36,19473.2,18820.27,0,0
,    매입채무,340.32,384.01,528.26,561.77,505.99,465.67,444.75,375.09,322.14,0,0,,    매입채무,375.09,368.2,378.66,327.03,322.14,0,0
, 차입금,3133.69,2808.99,2722.13,3674.26,3322.21,4762.42,6311.93,8515.67,8021.87,0,0,, 차입금,8515.67,8923.43,8924.58,8640.11,8021.87,0,0
, 부채총계,4262.48,4179.54,4440.88,9777.85,8624.54,8685.1,9019.53,10914.45,10501.37,10501.37,10501.37,, 부채총계,10914.45,11440.71,11389.04,11393.3,10501.37,0,0
, 자본총계,4093.43,4629.15,5892.46,7448.08,7345.17,7924.24,7892.56,8222.61,8318.89,0,0,, 자본총계,8222.61,8300.44,8341.32,8079.9,8318.89,0,0
, 지배주주지분,3624.24,4093.85,5274.63,6749.45,6594.61,7117.11,7032.28,7237.95,7299.87,7793.87,8557.87,, 지배주주지분,7237.95,7270.78,7340.18,7073.3,7299.87,0,0
, 총자산(개별),6991.71,7191.83,8366.33,14846.8,13461.76,13911.45,13938.32,15446.1,15023.98,0,0,, 총자산(개별),15446.1,15945.05,16036.11,15767.02,15023.98,0,0
, 부채총계(개별),3846.7,3758.44,3967.31,9193.87,8108.37,8174.04,8389.93,9991.63,9606.36,0,0,, 부채총계(개별),9991.63,10576.38,10522.1,10538.98,9606.36,0,0
, 자본총계(개별),3145,3433.39,4399.02,5652.93,5353.38,5737.4,5548.39,5454.47,5417.62,0,0,, 자본총계(개별),5454.47,5368.68,5514.02,5228.04,5417.62,0,0
