,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한온시스템,A018880,18000,96084,,컨센서스,17940,991,622,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,공조부품,1.78,249.00,26.82,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,3.60,10.70,-26.60,,,,,,,,,,,,
,87.06,4.54,5.21,5.08,,YOY,7.10,65.90,82.50,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-14.60,-49.00,-27.80,,,,,,,,,,,,
,23.20,3.02,13.10,6.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,78.60,10.20,4.41,1.81,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,36530.97,51893.56,54549.49,55580.81,57037.15,55856.73,59375.85,71541.53,68728.33,78276,84125,, 매출액,19611.48,16748.43,11953.95,19014.09,21011.86,17940,19145
, 영업이익,3095.97,3635.35,3703.16,3595.5,4225.48,4684.37,4337.76,4838.1,3158,5331,6242,, 영업이익,1711.09,597.25,-578.09,1195.68,1943.17,991,1225
, 지배주주순이익,2316.09,2963.92,2753.85,2305.09,2921.25,2885.63,2776.39,3185.37,1103.68,3380,4085,, 지배주주순이익,1162.85,340.76,-590.29,491.82,861.38,622,774
, 매출총이익율(%),16.05,16.64,16.66,15.49,15.76,16.94,15.37,14.46,12.58,0,0,, 매출총이익율(%),16.47,11.83,6.26,13.24,16.18,0,0
, 판관비율(%),7.57,9.63,9.87,9.02,8.35,8.55,8.07,7.69,7.98,0,0,, 판관비율(%),7.75,8.26,11.09,6.95,6.93,0,0
, 영업이익률(%),8.47,7.01,6.79,6.47,7.41,8.39,7.31,6.76,4.59,6.81,7.42,, 영업이익률(%),8.72,3.57,-4.84,6.29,9.25,5.52,6.4
, 매출액 YOY(%),10.29,42.1,5.1,1.9,2.6,-2.1,6.3,20.5,-3.9,13.9,7.5,, 매출액 YOY(%),21.62,17.2,-37.22,2.23,7.14,7.11,60.16
, 영업이익 YOY(%),14.39,17.4,1.9,-2.9,17.5,10.9,-7.4,11.5,-34.7,68.8,17.1,, 영업이익 YOY(%),9.86,-36.1,-151.49,11.79,13.56,65.93,311.9
, 지배순이익 YOY(%),3.75,28,-7.1,-16.3,26.7,-1.2,-3.8,14.7,-65.4,206.2,20.9,, 지배순이익 YOY(%),28.02,-39.16,-183.34,-34.78,-25.93,82.53,231.12
, 매출액(개별),21727.95,23494.06,23426.61,22739.05,23146.55,24487.38,26046.71,26688.52,26800.85,0,0,, 매출액(개별),7326.23,6437.93,5688.35,6863.12,7811.45,0,0
, 영업이익(개별),914.3,918.07,535.19,486.11,880.09,2041.19,618.37,1210.66,566.05,0,0,, 영업이익(개별),779.31,161.16,-613.95,163.83,855,0,0
, 순이익(개별),1480.16,1672.78,2202.62,1335.78,1957.01,2272.06,175.95,674.29,-230.56,0,0,, 순이익(개별),453.1,48.2,-621.28,14.7,327.83,0,0
, 영업이익율(%개별),4.21,3.91,2.28,2.14,3.8,8.34,2.37,4.54,2.11,0,0,, 영업이익율(%개별),10.64,2.5,-10.79,2.39,10.95,0,0
, 개별/연결 순익(%),63.91,56.44,79.98,57.95,66.99,78.74,6.34,21.17,-20.89,0,0,, 개별/연결 순익(%),38.96,14.14,105.25,2.99,38.06,0,0
, 연간 주가 상승율,8.72,63.5,24.9,7.23,-0.77,34.95,-22.3,3.24,45.74,10.77,0,, EPS,217.84,63.84,-110.58,92.14,161.37,116.52,145
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,25302.12,41369.5,51671.84,55408.44,54981.4,74198.2,57650.4,59518.7,86742.5,96084,96084,,,,,,,,,
, 주가,4740,7750,9680,10380,10300,13900,10800,11150,16250,18000,18000,,,,,,,,,
, EPS,433.89,555.25,515.9,431.83,547.26,540.58,520.12,596.73,206.76,633.2,765.27,,,,,,,,,
, BPS,2616.42,2799,3032.08,3268.45,3423.73,3706.76,3815.53,4152.82,3966.67,4599.87,5365.14,,,,,,,,,
, EPS증가율(%),3.8,28,-7.1,-16.3,26.7,-1.2,-3.8,14.7,-65.4,206.2,20.9,,,,,,,,,
, BPS증가율(%),0.2,7,8.3,7.8,4.8,8.3,2.9,8.8,-4.5,16,16.6,,,,,,,,,
, PER,10.92,13.96,18.76,24.04,18.82,25.71,20.76,18.69,78.59,28.43,23.52,,,,,,,,,
, PBR,1.81,2.77,3.19,3.18,3.01,3.75,2.83,2.68,4.1,3.91,3.35,,,,,,,,,
, PSR,0.69,0.8,0.95,1,0.96,1.33,0.97,0.83,1.26,1.23,1.14,,,,,,,,,
, ROE,16.58,19.84,17.01,13.21,15.98,14.58,13.63,14.37,5.21,13.77,14.26,,,,,,,,,
, ROA,10.36,10.03,8.5,6.66,7.57,7,5.18,4.5,1.41,4.15,4.78,,,,,,,,,
, EV,28736.74,41850.36,51801.67,55996.48,56988.54,75484.37,63824.82,79721.45,107311.9,116653,116653,,,,,,,,,
, EBITDA,4220.71,5254.68,5356.97,5334.3,6087.37,6699.48,7013.51,8645.41,7840.42,7840.43,7840.43,,,,,,,,,
, EV/EBITDA,6.81,7.96,9.67,10.5,9.36,11.27,9.1,9.22,13.69,14.88,14.88,,,,,,,,,
, DPS,143.2,194,194,194,225,305,320,320,320,320,320,,,,,,,,,
, 배당성향(%),33,34.94,37.6,44.93,41.11,56.42,61.52,53.63,154.74,50.54,41.82,,,,,,,,,
, 시가배당율(%),3.02,2.5,2,1.87,2.18,2.19,2.96,2.87,1.97,1.78,1.78,,,,,,,,,
, 차입금비율(%),5.79,20.09,24.03,22.29,34.28,37.26,78.44,116.96,153.15,153.15,153.15,,,,,,,,,
, 부채비율(%),55.43,91.7,94.01,92.25,104.77,102.79,151.25,202.99,248.63,248.63,248.63,,,,,,,,,
, 매출채권회전일수,64.86,58.4,62.09,65.61,59.57,57.71,59.56,59.86,58.28,58.28,58.28,,,,,,,,,
, 재고자산회전일수,25.84,29.3,29.85,29.7,32.64,36.87,36.74,36.55,38.3,38.3,38.3,,,,,,,,,
, 상장주식수 (만주),53380,53380,53380,53380,53380,53380,53380,53380,53380,53380,53380,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,36530.97,51893.56,54549.49,55580.81,57037.15,55856.73,59375.85,71541.53,68728.33,78276,84125,, 매출액,19611.48,16748.43,11953.95,19014.09,21011.86,17940,19145
, -매출원가,30668.04,43260.4,45461.34,46970.02,48048.46,46394.42,50248.61,61198.6,60084,0,0,, -매출원가,16380.92,14767.4,11206.02,16497.54,17613.04,0,0
