,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한일현대시멘트,A006390,42650,7174,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,시멘트 및 레미콘,2.58,120.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-6.80,8.10,111.70,,,,,,,,,,,,
,11.43,2.80,24.53,17.09,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,95.30,3.98,-45.20,10.20,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,20.60,0.30,38.68,0.27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2985.08,3263.71,3257.28,3631.88,3788.56,3486.84,3396.13,3841.13,3342.68,3328,,, 매출액,985.54,725.97,956.25,744.33,916.13,,
, 영업이익,290.88,457.01,485.34,525.22,533.73,248.98,204.6,352.23,571.27,486,,, 영업이익,56.15,-48.08,259.5,179.39,180.45,,
, 지배주주순이익,-388.47,-3474.83,2833.94,-109.81,-1499.82,615,-293.54,413.18,627.82,345,,, 지배주주순이익,139.29,61.83,168.17,141.64,256.18,,
, 매출총이익율(%),21.53,25.62,27.98,26.7,26.09,21.57,19.68,21.97,30.01,0,,, 매출총이익율(%),20.15,6.65,39.69,37.31,32.48,,
, 판관비율(%),11.78,11.62,13.08,12.24,12,14.43,13.66,12.8,12.92,0,,, 판관비율(%),14.45,13.27,12.56,13.21,12.79,,
, 영업이익률(%),9.74,14,14.9,14.46,14.09,7.14,6.02,9.17,17.09,14.6,,, 영업이익률(%),5.7,-6.62,27.14,24.1,19.7,,
, 매출액 YOY(%),-27.9,9.3,-0.2,11.5,4.3,-8,-2.6,13.1,-13,-0.4,,, 매출액 YOY(%),0.01,-9.1,-16.39,-18.5,-7.04,,
, 영업이익 YOY(%),1183.8,57.1,6.2,8.2,1.6,-53.4,-17.8,72.2,62.2,-14.9,,, 영업이익 YOY(%),-66.16,0.19,20.95,38.31,221.37,,
, 지배순이익 YOY(%),61.3,-794.5,181.6,-103.9,-1265.8,141,-147.7,240.8,51.9,-45,,, 지배순이익 YOY(%),8.49,393.17,-17.06,53.59,83.92,,
, 매출액(개별),2967.78,3256.28,3257.28,3631.88,3788.56,3486.84,3396.13,3841.13,3342.68,0,,, 매출액(개별),985.54,725.97,956.25,744.33,916.13,,
, 영업이익(개별),292.11,456.65,485.34,525.22,533.73,248.98,204.6,352.23,571.27,0,,, 영업이익(개별),56.15,-48.08,259.5,179.39,180.45,,
, 순이익(개별),-378.5,-3473.78,2833.94,-109.81,-1499.82,615,-293.54,413.18,627.82,0,,, 순이익(개별),139.29,61.83,168.17,141.64,256.18,,
, 영업이익율(%개별),9.84,14.02,14.9,14.46,14.09,7.14,6.02,9.17,17.09,0,,, 영업이익율(%개별),5.7,-6.62,27.14,24.1,19.7,,
, 개별/연결 순익(%),97.43,99.97,100,100,100,100,100,100,100,0,,, 개별/연결 순익(%),100,100,100,100,100,,
, 연간 주가 상승율,-9.69,-17.89,-35.18,83.88,25.45,-44.75,176.39,-27.76,-2.46,43.6,,, EPS,828.09,367.58,999.79,842.06,1523.01,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,,,,,,,,
, 시가총액,389.97,320.2,923.65,1698.46,4625.36,2555.68,7063.73,5122.08,4995.92,7174,,,,,,,,,,
, 주가,22480,18458,11964,22000,27600,15250,42150,30450,29700,42650.09,,,,,,,,,,
, EPS,-22394.07,-200313,36708.11,-1422.35,-8949.56,3669.76,-1751.58,2456.29,3732.29,2051.06,,,,,,,,,,
, BPS,37157.43,-159572.8,7240.88,4010.72,8533.17,12491.97,10526.42,12163.98,15211.31,17263,,,,,,,,,,
, EPS증가율(%),61.3,-794.5,118.3,-103.9,-529.2,141,-147.7,240.2,51.9,-45,,,,,,,,,,
, BPS증가율(%),-0.4,-529.5,-104.5,-44.6,112.8,46.4,-15.7,15.6,25.1,13.5,,,,,,,,,,
, PER,-1,-0.09,0.33,-15.47,-3.08,4.16,-24.06,12.4,7.96,20.79,,,,,,,,,,
, PBR,0.61,-0.12,1.65,5.49,3.23,1.22,4,2.5,1.95,2.47,,,,,,,,,,
, PSR,0.13,0.1,0.28,0.47,1.22,0.73,2.08,1.33,1.49,2.16,,,,,,,,,,
, ROE,-60.27,125.53,506.96,-35.46,-104.88,29.38,-16.64,20.19,24.54,11.88,,,,,,,,,,
, ROA,-7.29,-72.55,60.35,-2.17,-28.85,12.4,-5.35,7.38,11.15,5.77,,,,,,,,,,
, EV,3789.53,3313.5,1926.49,2037.61,4643.14,2660.26,7268.83,5178.62,5026.23,7204,,,,,,,,,,
, EBITDA,429.74,595.43,622.23,662.58,676.71,398.35,347.96,503.36,724.79,724.79,,,,,,,,,,
, EV/EBITDA,8.82,5.56,3.1,3.08,6.86,6.68,20.89,10.29,6.93,9.94,,,,,,,,,,
, DPS,0,0,0,0,0,0,800,1000,1100,1100,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,40.71,29.47,53.63,,,,,,,,,,
, 시가배당율(%),0,0,0,0,0,0,1.9,3.28,3.7,2.58,,,,,,,,,,
, 차입금비율(%),535.35,-110.66,203.45,278.51,68.51,27.51,55.3,49.28,40.38,40.38,,,,,,,,,,
, 부채비율(%),727.09,-273.03,740.02,1531.28,263.57,136.98,211.18,173.79,120,120,,,,,,,,,,
, 매출채권회전일수,137.3,118.09,99.82,94.47,84.63,88.66,95.44,82.91,78.19,78.19,,,,,,,,,,
, 재고자산회전일수,64.37,54,66.49,37.66,46.86,62.17,58.69,46.65,40.33,40.33,,,,,,,,,,
, 상장주식수 (만주),173.47,173.47,772.02,772.03,1675.86,1675.86,1675.86,1682.13,1682.13,1682.06,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2985.08,3263.71,3257.28,3631.88,3788.56,3486.84,3396.13,3841.13,3342.68,3328,,, 매출액,985.54,725.97,956.25,744.33,916.13,,
, -매출원가,2342.46,2427.58,2345.86,2662.23,2800.23,2734.84,2727.67,2997.31,2339.5,0,,, -매출원가,786.96,677.68,576.67,466.61,618.53,,
, =매출총이익,642.62,836.13,911.42,969.65,988.33,752,668.46,843.81,1003.18,0,,, =매출총이익,198.58,48.29,379.58,277.72,297.6,,
, -판매비와관리비,351.74,379.13,426.08,444.43,454.61,503.02,463.86,491.58,431.91,0,,, -판매비와관리비,142.43,96.37,120.08,98.33,117.15,,
, =영업이익,290.88,457.01,485.34,525.22,533.73,248.98,204.6,352.23,571.27,486,,, =영업이익,56.15,-48.08,259.5,179.39,180.45,,
, +- 비영업손익,-845.33,-3914.4,2231.66,-489.11,-1878.43,419.92,-481.73,82.72,189.21,0,,, +- 비영업손익,96.21,113.88,-50.2,0.71,124.81,,
, (금융손익),-219.31,-250.11,2540.82,-476.33,-1823.94,376.78,-493.93,57.4,134.92,0,,, (금융손익),76.59,111.62,-50.64,-1.86,75.81,,
, (관계기업손익),0,0,0,0,0,0,0,0,0,0,,, (관계기업손익),0,0,0,0,0,,
, (외환손익),37.05,4.29,-0.22,-12.79,3.81,2.76,-2.3,-2.94,1.92,0,,, (외환손익),1.94,-0.1,0,0.63,1.4,,
, =세전순익,-554.45,-3457.39,2717,36.11,-1344.7,668.9,-277.13,434.95,760.48,0,,, =세전순익,152.36,65.81,209.31,180.1,305.26,,
, -법인세,-165.99,17.44,-116.94,145.92,155.11,53.9,16.41,21.77,132.66,0,,, -법인세,13.07,3.97,41.14,38.46,49.08,,
, =순이익,-388.47,-3474.83,2833.94,-109.81,-1499.82,615,-293.54,413.18,627.82,0,,, =순이익,139.29,61.83,168.17,141.64,256.18,,
, 지배주주순익,-388.47,-3474.83,2833.94,-109.81,-1499.82,615,-293.54,413.18,627.82,345,,, 지배주주순익,139.29,61.83,168.17,141.64,256.18,,
, 비지배주주순익,0,0,0,0,0,0,0,0,0,0,,, 비지배주주순익,0,0,0,0,0,,
, 매출원가비중,78.47,74.38,72.02,73.3,73.91,78.43,80.32,78.03,69.99,0,,, 매출원가비중,79.85,93.35,60.31,62.69,67.52,,
, 매출총이익율,21.53,25.62,27.98,26.7,26.09,21.57,19.68,21.97,30.01,0,,, 매출총이익율,20.15,6.65,39.69,37.31,32.48,,
, 판관비율,11.78,11.62,13.08,12.24,12,14.43,13.66,12.8,12.92,0,,, 판관비율,14.45,13.27,12.56,13.21,12.79,,
, 영업이익률,9.74,14,14.9,14.46,14.09,7.14,6.02,9.17,17.09,14.6,,, 영업이익률,5.7,-6.62,27.14,24.1,19.7,,
, 지배주주순이익률,-13.01,-106.47,87,-3.02,-39.59,17.64,-8.64,10.76,18.78,10.37,,, 지배주주순이익률,14.13,8.52,17.59,19.03,27.96,,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 현금흐름표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 영업활동현금흐름,204.75,519.42,589.53,774.1,709.97,240.65,217.81,408.66,646.56,0,,, 영업활동현금흐름,171,88,242,93,224,,
, 당기순이익,-388.47,-3474.83,2833.94,-109.81,-1499.82,615,-293.54,413.18,627.82,0,,, 당기순이익,139.29,61.83,168.17,141.64,256.18,,
, 감가상각비,138.86,138.42,136.89,137.36,142.98,149.37,143.36,151.13,153.52,0,,, 감가상각비,36.65,40.36,39.65,36.91,36.61,,
, 투자활동현금흐름,-260.51,-44.51,-1.43,-352.82,-543.07,-25.21,-518.78,-198.23,-465.48,0,,, 투자활동현금흐름,-72,-102,-46,-110,-208,,
, 유형자산취득,-107.83,-32.45,-11.16,-64.49,-172.18,-107.05,-122.52,-283.2,-200.29,0,,, 유형자산취득,0,0,0,0,0,,
, 재무활동현금흐름,-39.86,-470.68,-514.58,-281.88,-131.4,-403.68,399.33,-263.69,-200.37,0,,, 재무활동현금흐름,-77.93,-7.77,-177.58,-3.14,-11.88,,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 재무상태표,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 1. 유동자산,1606.56,1502.36,1476.61,1766.39,2222.94,2013.09,2540.83,2235.43,1998.27,0,,, 1. 유동자산,2235.43,2095.89,2020.47,1842.3,1998.27,,
,    현금성자산,20.28,24.5,98.02,237.41,274.13,85.89,184.25,130.98,111.69,0,,,    현금성자산,130.98,108.99,127.45,107.08,111.69,,
, 매출채권,1122.89,1055.94,890.78,940.05,878.42,846.98,888.05,872.51,716.09,0,,, 매출채권,872.51,723.17,730.1,715.93,716.09,,
, 재고자산,413.1,359.12,427.32,274.66,359.52,465.79,438.59,383.1,258.52,0,,, 재고자산,383.1,359.92,280.83,287.64,258.52,,
, 2. 비유동자산,3724.61,3287.24,3219.2,3284.7,2976.28,2947.99,2948.61,3366.61,3631.03,0,,, 2. 비유동자산,3366.61,3357.95,3405.1,3529.69,3631.03,,
, 유형자산,3133.43,3026.89,2903.9,2866.26,2859.28,2824.74,2831.05,2946.81,2984.94,0,,, 유형자산,2946.81,2943.38,3006.9,3005.82,2984.94,,
, 무형자산,46.87,36.33,32.82,29.42,22.61,28.68,25.31,16.05,19.44,0,,, 무형자산,16.05,13.58,19.81,19.81,19.44,,
,     투자자산 등,544.3,224.02,282.48,389.01,94.4,94.57,92.25,403.75,626.64,0,,,     투자자산 등,403.75,400.99,378.39,504.06,626.64,,
,      * 지분투자,0,0,0,0,0,0,0,0,0,0,,,      * 지분투자,0,0,0,0,0,,
, 1+2= 총자산,5331.17,4789.59,4695.81,5051.09,5199.23,4961.08,5489.45,5602.05,5629.29,5974.29,,, 1+2= 총자산,5602.05,5453.84,5425.56,5371.99,5629.29,,
,    매입채무,245.26,203.47,192.69,195.61,218.49,195.97,205.01,143.34,129.03,0,,,    매입채무,143.34,129.53,113.49,131.38,129.03,,
, 차입금,3450.72,3063.11,1137.29,862.39,979.72,576,975.6,1008.35,1033.3,0,,, 차입금,1008.35,880,880,880,1033.3,,
, 부채총계,4686.6,7557.7,4136.8,4741.45,3769.19,2867.6,3725.37,3555.9,3070.55,3070.55,,, 부채총계,3555.9,3532.03,3330.97,3127.67,3070.55,,
, 자본총계,644.57,-2768.11,559.01,309.64,1430.04,2093.48,1764.08,2046.14,2558.74,0,,, 자본총계,2046.14,1921.81,2094.59,2244.32,2558.74,,
, 지배주주지분,644.57,-2768.11,559.01,309.64,1430.04,2093.48,1764.08,2046.14,2558.74,2903.74,,, 지배주주지분,2046.14,1921.81,2094.59,2244.32,2558.74,,
, 총자산(개별),5337.92,4793.3,4695.81,5051.09,5199.23,4961.08,5489.45,5602.05,5629.29,0,,, 총자산(개별),5602.05,5453.84,5425.56,5371.99,5629.29,,
, 부채총계(개별),4690.05,7556.91,4136.8,4741.45,3769.19,2867.6,3725.37,3555.9,3070.55,0,,, 부채총계(개별),3555.9,3532.03,3330.97,3127.67,3070.55,,
, 자본총계(개별),647.86,-2763.61,559.01,309.64,1430.04,2093.48,1764.08,2046.14,2558.74,0,,, 자본총계(개별),2046.14,1921.81,2094.59,2244.32,2558.74,,
