,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한화생명,A088350,3315,28792,,컨센서스,24331,98,1574,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,생명보험,0.90,967.00,7.96,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,56.30,74.80,-154.50,,,,,,,,,,,,
,12.25,0.23,1.86,1.97,,YOY,-40.70,-90.20,99.60,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-39.70,118.50,422.10,,,,,,,,,,,,
,9.00,0.40,4.40,3.60,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,20.40,5.70,1.03,0.09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,100052,64121.09,91767.14,102750.4,130665.8,149501,149258.1,155881,162278.1,97609,99609,, 매출액,39650.91,41005.33,40017.41,40885.96,40369.4,24331,26320
, 영업이익,6547.36,4879.95,4844.12,5866.38,5209.71,9534.27,6501.95,494,3767.44,-3190,-3368,, 영업이익,-1328.47,998.41,1229.19,2069.07,-529.23,98,-1106
, 지배주주순이익,5132.94,3552,4054.05,5300.92,7953.41,5849.4,4152.73,1004.21,2350.78,3521,3854,, 지배주주순이익,-556.64,788.46,796.54,1254.44,-488.67,1574,860
, 매출총이익율(%),36,42.9,45.01,44.49,51.91,64.95,71.26,70.2,71.12,0,0,, 매출총이익율(%),64.42,69.27,74.37,71.57,69.32,0,0
, 판관비율(%),20.91,25.17,25.53,21.81,20.75,21.55,22.31,21.61,20.89,0,0,, 판관비율(%),67.77,66.84,71.29,66.51,70.63,0,0
, 영업이익률(%),6.54,7.61,5.28,5.71,3.99,6.38,4.36,0.32,2.32,-3.27,-3.38,, 영업이익률(%),-3.35,2.43,3.07,5.06,-1.31,0.4,-4.2
, 매출액 YOY(%),42.68,-35.9,43.1,12,27.2,14.4,-0.2,4.4,4.1,-39.9,2,, 매출액 YOY(%),6.29,6.64,2.81,5.23,1.81,-40.66,-34.23
, 영업이익 YOY(%),-3.67,-25.5,-0.7,21.1,-11.2,83,-31.8,-92.4,662.6,-184.7,-5.6,, 영업이익 YOY(%),-1340.08,164.56,118.27,134.61,60.16,-90.18,-189.98
, 지배순이익 YOY(%),0.27,-30.8,14.1,30.8,50,-26.5,-29,-75.8,134.1,49.8,9.5,, 지배순이익 YOY(%),-216.48,310.66,12.31,90.17,12.21,99.63,7.97
, 매출액(개별),99918.49,64008.3,91530.41,102326.9,104735.7,95867.46,92240.83,94591.31,100582.3,0,0,, 매출액(개별),23671.2,25675.13,24784.94,25686.81,24435.39,0,0
, 영업이익(개별),6251.49,4895.96,4868.46,4806.39,3048.31,5923.81,2952.57,-1394.84,1477.71,0,0,, 영업이익(개별),-1165.6,48.33,1387.66,689.32,-647.59,0,0
, 순이익(개별),4867.84,3888.97,4135.21,5003.09,3151.21,5254.72,3592.69,1146.42,1969.03,0,0,, 순이익(개별),-396.99,478.26,1279.88,654.66,-443.77,0,0
, 영업이익율(%개별),6.26,7.65,5.32,4.7,2.91,6.18,3.2,-1.47,1.47,0,0,, 영업이익율(%개별),-4.92,0.19,5.6,2.68,-2.65,0,0
, 개별/연결 순익(%),94.84,109.49,102,94.38,39.62,89.83,86.51,114.16,83.76,0,0,, 개별/연결 순익(%),71.32,60.66,160.68,52.19,90.81,0,0
, 연간 주가 상승율,4.86,-2.19,9.22,-10.86,-11.64,5.82,-38.93,-45.26,5.63,35.86,0,, EPS,-64.09,90.78,91.71,144.43,-56.26,181.22,99.02
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,67397.93,65921.43,72001.14,64184.37,56715.01,60015.42,36651.97,20063.04,21192.13,28792,28792,,,,,,,,,
, 주가,7760,7590,8290,7390,6530,6910,4220,2310,2440,3315,3315,,,,,,,,,
, EPS,590.99,408.97,466.77,610.33,915.73,673.48,478.13,115.62,270.66,405.39,443.73,,,,,,,,,
, BPS,8114.89,8043.32,9961.15,9950.49,9820.1,10767.11,11867.06,14606.13,14583.76,14989.03,15432.77,,,,,,,,,
, EPS증가율(%),0.3,-30.8,14.1,30.8,50,-26.5,-29,-75.8,134.1,49.8,9.5,,,,,,,,,
, BPS증가율(%),0.1,-0.9,23.8,-0.1,-1.3,9.6,10.2,23.1,-0.2,2.8,3,,,,,,,,,
, PER,13.13,18.56,17.76,12.11,7.13,10.26,8.83,19.98,9.01,8.18,7.47,,,,,,,,,
, PBR,0.96,0.94,0.83,0.74,0.66,0.64,0.36,0.16,0.17,0.22,0.21,,,,,,,,,
, PSR,0.67,1.03,0.78,0.62,0.43,0.4,0.25,0.13,0.13,0.29,0.29,,,,,,,,,
, ROE,7.28,5.08,4.69,6.13,9.33,6.26,4.03,0.79,1.86,2.7,2.88,,,,,,,,,
, ROA,0.66,0.43,0.44,0.53,0.67,0.46,0.31,0.07,0.16,0.24,0.26,,,,,,,,,
, EV,67397.93,65921.43,72001.14,64184.37,56715.01,60015.42,36651.97,20063.04,21192.13,28792,28792,,,,,,,,,
, EBITDA,7385.69,5585.32,5852.41,6928.15,7007.22,11920.75,8821.57,3219.84,6668.73,6668.73,6668.73,,,,,,,,,
, EV/EBITDA,9.13,11.8,12.3,9.26,8.09,5.03,4.15,6.23,3.18,4.32,4.32,,,,,,,,,
, DPS,150,130,180,180,80,140,100,30,30,30,30,,,,,,,,,
, 배당성향(%),24.62,30.84,36.71,25.51,7.56,17.98,18.09,22.45,9.59,7.4,6.76,,,,,,,,,
, 시가배당율(%),1.93,1.71,2.17,2.44,1.23,2.03,2.37,1.3,1.23,0.9,0.9,,,,,,,,,
, 차입금비율(%),0.34,1.04,2.01,2.29,4.75,3.34,6.04,3.97,3.96,3.96,3.96,,,,,,,,,
, 부채비율(%),1004.76,1079.02,964.78,1051.6,1203.41,1130.64,1055.63,913.7,966.94,966.94,966.94,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,0,664.62,664.62,664.62,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 상장주식수 (만주),86853,86853,86853,86853,86853,86853,86853.01,86852.99,86852.99,86853.7,86853.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,100052,64121.09,91767.14,102750.4,130665.8,149501,149258.1,155881,162278.1,97609,99609,, 매출액,39650.91,41005.33,40017.41,40885.96,40369.4,24331,26320
, -매출원가,64033.43,36612.19,50465.7,57038.26,62834.42,52394.2,42893.71,46457.8,46868.16,0,0,, -매출원가,14107.84,12599.71,10258.33,11625.39,12384.73,0,0
, =매출총이익,36018.61,27508.89,41301.44,45712.13,67831.38,97106.86,106364.4,109423.1,115409.9,0,0,, =매출총이익,25543.07,28405.62,29759.08,29260.57,27984.67,0,0
, -판매비와관리비,20921.22,16136.43,23428.58,22407.74,27107.54,32220.17,33298.42,33684.65,33892.5,0,0,, -판매비와관리비,26871.54,27407.21,28529.89,27191.5,28513.9,0,0
, =영업이익,6547.36,4879.95,4844.12,5866.38,5209.71,9534.27,6501.95,494,3767.44,-3190,-3368,, =영업이익,-1328.47,998.41,1229.19,2069.07,-529.23,98,-1106
