,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,현대모비스,A012330,310000,293859,,컨센서스,97775,6118,6125,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,기타 자동차부품,1.29,46.00,10.20,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-1.30,6.20,-19.90,,,,,,,,,,,,
,19.22,0.88,4.60,5.48,,YOY,16.10,69.50,75.80,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-8.40,-12.90,10.00,,,,,,,,,,,,
,10.50,0.76,7.30,6.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,18.30,6.50,3.12,0.48,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,307890.2,341985.9,351266.1,360197.5,382617.4,351445.8,351492.2,380487.7,366265,426438,464036,, 매출액,104037.3,84230.37,75354.72,99915.72,106764.2,97775,106107
, 영업이익,29063.85,29244.04,31412.42,29345.71,29046.92,20249.29,20249.57,23592.57,18302.92,27375,31090,, 영업이익,6343.7,3608.98,1687.44,5983.37,7023.13,6118,6801
, 지배주주순이익,35585.44,34215.18,34224.1,30554.14,30377.85,15681.52,18888.04,22906.7,15291.46,27642,31680,, 지배주주순이익,5877.9,3484.44,2342.05,3897.16,5567.81,6125,7039
, 매출총이익율(%),14.76,14.07,14.58,14.29,13.84,12.71,12.99,13.74,12.84,0,0,, 매출총이익율(%),14.1,12.55,11.29,13.07,13.96,0,0
, 판관비율(%),5.32,5.52,5.64,6.14,6.25,6.94,7.23,7.54,7.85,0,0,, 판관비율(%),8,8.26,9.05,7.08,7.39,0,0
, 영업이익률(%),9.44,8.55,8.94,8.15,7.59,5.76,5.76,6.2,5,6.42,6.7,, 영업이익률(%),6.1,4.28,2.24,5.99,6.58,6.26,6.41
, 매출액 YOY(%),17.09,11.1,2.7,2.5,6.2,-8.1,0,8.2,-3.7,16.4,8.8,, 매출액 YOY(%),7.88,-3.6,-20.36,5.79,2.62,16.08,40.81
, 영업이익 YOY(%),10.2,0.6,7.4,-6.6,-1,-30.3,0,16.5,-22.4,49.6,13.6,, 영업이익 YOY(%),9.06,-26.9,-73.1,-0.92,10.71,69.52,303.04
, 지배순이익 YOY(%),17.72,-3.9,0,-10.7,-0.6,-48.4,20.4,21.3,-33.2,80.8,14.6,, 지배순이익 YOY(%),39.81,-27.85,-63.56,-32.48,-5.28,75.78,200.55
, 매출액(개별),168656.9,175120.1,184516.9,190792.6,198605.9,194176.8,205171.7,226247.4,229544.8,0,0,, 매출액(개별),62538.52,53645.79,51543.03,58886.46,65469.55,0,0
