,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,한국금융지주,A071050,105500,58791,,컨센서스,0,4162,3524,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,2.84,1151.00,5.48,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,9.60,20.40,,,,,,,,,,,,
,6.81,1.05,15.39,91.70,,YOY,0.00,347.90,410.80,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,38.00,2.80,,,,,,,,,,,,
,6.70,0.83,12.10,56.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,34.70,3.80,1.18,0.49,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,7079.24,4753.51,6789.1,7133.1,7412.4,9172.36,11561.94,14001.08,15708.21,16246,16385,, 매출액,3470.16,3774,3766.76,4010.04,4157.41,0,0
, 영업이익,2407.26,783.78,3269.26,3845.29,3618.82,6542.61,6426.7,9417.84,8563.59,13022,12414,, 영업이익,1877.79,-1679.06,4016.07,3210.17,3016.4,4162,3374
, 지배주주순이익,1891.73,587.47,2392.15,3243.01,2797.19,5102.15,5295.56,8451.73,8634.67,11023,9974,, 지배주주순이익,1523.4,-1133.89,3854.91,2485.89,3427.76,3524,2656
, 매출총이익율(%),48.62,48.64,51.54,62.47,60.43,61.37,60.91,58.5,66.45,0,0,, 매출총이익율(%),59.3,62.55,63.44,68.83,70.43,NaN,NaN
, 판관비율(%),80.86,80.44,79.02,86.57,85.82,86.59,67.5,64.91,60.56,0,0,, 판관비율(%),5.19,107.04,-43.18,-11.22,-2.12,NaN,NaN
, 영업이익률(%),34,16.49,48.15,53.91,48.82,71.33,55.58,67.27,54.52,80.16,75.76,, 영업이익률(%),54.11,-44.49,106.62,80.05,72.55,∞,∞
, 매출액 YOY(%),14.39,-32.9,42.8,5.1,3.9,23.7,26.1,21.1,12.2,3.4,0.9,, 매출액 YOY(%),80.48,11.32,4.91,12.96,19.8,0,0
, 영업이익 YOY(%),-20.19,-67.4,317.1,17.6,-5.9,80.8,-1.8,46.5,-9.1,52.1,-4.7,, 영업이익 YOY(%),581.89,-155.57,46.34,80.96,60.64,347.88,-15.99
, 지배순이익 YOY(%),-30.16,-68.9,307.2,35.6,-13.7,82.4,3.8,59.6,2.2,27.7,-9.5,, 지배순이익 YOY(%),7644.79,-143.92,85.15,9.78,125.01,410.79,-31.1
, 매출액(개별),153.64,139.21,278.72,87.18,118.29,76.21,99.24,107.84,118.52,0,0,, 매출액(개별),29.45,29.55,29.16,29.25,30.56,0,0
, 영업이익(개별),1313.29,1486.44,397.41,1277.97,13409.78,3251.09,3370.57,3810.78,1924.84,0,0,, 영업이익(개별),2288.51,2243.96,-96.26,-103.06,-119.8,0,0
, 순이익(개별),1313.23,1468.98,396.8,1266.35,13394.86,3145.67,3371.08,3488.27,1924.67,0,0,, 순이익(개별),1965.83,2243.96,-96.24,-103.06,-119.99,0,0
, 영업이익율(%개별),854.78,1067.77,142.58,1465.9,11336.36,4265.96,3396.38,3533.74,1624.06,0,0,, 영업이익율(%개별),7770.83,7593.77,-330.11,-352.34,-392.02,0,0
, 개별/연결 순익(%),69.42,250.05,16.59,39.05,478.87,61.65,63.66,41.27,22.29,0,0,, 개별/연결 순익(%),129.04,-197.9,-2.5,-4.15,-3.5,0,0
, 연간 주가 상승율,17.06,-4.11,18.87,2.16,-15.44,64.68,-13.77,21.68,9.12,33.54,0,, EPS,2733.73,-2034.76,6917.6,4460.91,6151.08,6323.79,4766.17
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,23711.41,22736.2,27027.11,27612.23,23349.19,38450.93,33156.97,40345.62,44023.53,58791,58791,,,,,,,,,
, 주가,42550,40800,48500,49550,41900,69000,59500,72400,79000,105499.9,105499.9,,,,,,,,,
, EPS,3394.7,1054.21,4292.7,5819.56,5019.54,9155.78,9502.85,15166.58,15494.87,19780.68,17898.26,,,,,,,,,
, BPS,47388.04,47777.9,51317.05,56888.65,60614.46,69198.17,77461.73,89790.98,100702.9,120483.4,138381.7,,,,,,,,,
, EPS증가율(%),-30.2,-68.9,307.2,35.6,-13.7,82.4,3.8,59.6,2.2,27.7,-9.5,,,,,,,,,
, BPS증가율(%),0.1,0.8,7.4,10.9,6.5,14.2,11.9,15.9,12.2,19.6,14.9,,,,,,,,,
, PER,12.53,38.7,11.3,8.51,8.35,7.54,6.26,4.77,5.1,5.33,5.89,,,,,,,,,
, PBR,0.9,0.85,0.95,0.87,0.69,1,0.77,0.81,0.78,0.88,0.76,,,,,,,,,
, PSR,3.35,4.78,3.98,3.87,3.15,4.19,2.87,2.88,2.8,3.62,3.59,,,,,,,,,
, ROE,7.16,2.21,8.37,10.23,8.28,13.23,12.27,16.89,15.39,16.42,12.93,,,,,,,,,
, ROA,0.91,0.28,0.94,1.03,0.75,1.05,0.83,1.39,1.23,1.54,1.38,,,,,,,,,
, EV,23711.41,22736.2,27027.11,27612.23,23349.19,38450.93,33156.97,40345.62,44023.53,58791,58791,,,,,,,,,
, EBITDA,2802.98,1047.58,3605.02,4165.6,3937.17,6888.35,6680.12,10093.54,9237.03,9237.02,9237.02,,,,,,,,,
, EV/EBITDA,8.46,21.7,7.5,6.63,5.93,5.58,4.96,4,4.77,6.36,6.36,,,,,,,,,
, DPS,600,200,700,1000,800,1600,1800,2900,3000,3000,3000,,,,,,,,,
, 배당성향(%),18.71,20.48,17.23,18.11,16.83,18.38,19.92,20.08,20.33,15.17,16.76,,,,,,,,,
, 시가배당율(%),1.41,0.49,1.44,2.02,1.91,2.32,3.03,4.01,3.8,2.84,2.84,,,,,,,,,
, 차입금비율(%),365.06,376.81,382.48,420.55,462.27,470.28,462.09,508.95,566.15,566.15,566.15,,,,,,,,,
, 부채비율(%),683.2,695.68,786.07,894.09,966.39,1078.15,1206.75,1107.36,1150.6,1150.6,1150.6,,,,,,,,,
, 매출채권회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 재고자산회전일수,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 상장주식수 (만주),5572.6,5572.6,5572.6,5572.6,5572.6,5572.6,5572.6,5572.6,5572.6,5572.61,5572.61,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,7079.24,4753.51,6789.1,7133.1,7412.4,9172.36,11561.94,14001.08,15708.21,16246,16385,, 매출액,3470.16,3774,3766.76,4010.04,4157.41,0,0
, -매출원가,3636.99,2441.37,3289.94,2676.83,2933.25,3543.28,4519,5810.57,5269.64,0,0,, -매출원가,1412.34,1413.22,1377.31,1249.92,1229.19,0,0
, =매출총이익,3442.25,2312.13,3499.16,4456.27,4479.16,5629.08,7042.94,8190.51,10438.57,0,0,, =매출총이익,2057.82,2360.78,2389.45,2760.12,2928.22,0,0
, -판매비와관리비,5723.99,3823.68,5364.53,6175.21,6361.47,7942.32,7804.64,9087.69,9512.39,0,0,, -판매비와관리비,180.03,4039.84,-1626.62,-450.05,-88.18,0,0
, =영업이익,2407.26,783.78,3269.26,3845.29,3618.82,6542.61,6426.7,9417.84,8563.59,13022,12414,, =영업이익,1877.79,-1679.06,4016.07,3210.17,3016.4,4162,3374
