,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,에이스테크,A088800,20350,8335,,컨센서스,627,-80,-14,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,통신장비,0.00,394.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-13.40,-116.60,-154.90,,,,,,,,,,,,
,-10.02,11.62,-115.97,-24.12,,YOY,41.40,43.30,90.40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,21.40,64.50,96.50,,,,,,,,,,,,
,-11.40,3.42,-32.70,-3.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,56.30,1.70,15.51,0.35,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2853.45,3156.08,4274.92,4219.24,3221.17,3516.16,3773.17,3786.02,2107.55,4705,,, 매출액,653.95,443.36,581.56,566.3,516.33,627,
, 영업이익,-98.4,200.44,251.23,150.76,-138.01,-144.67,131.85,27.19,-613.57,309,,, 영업이익,-152.55,-140.97,-136.8,-110.51,-225.3,-80,
, 지배주주순이익,-222.17,100.74,116.22,100.08,-323.05,-546.83,30.9,-92.26,-831.49,309,,, 지배주주순이익,-217.61,-145.89,-158.65,-126.7,-400.25,-14,
, 매출총이익율(%),19.12,22.95,20.64,19.51,16.16,17.65,23.43,23.6,8.79,0,,, 매출총이익율(%),6.45,13.29,9.79,16.74,-4.93,0,
, 판관비율(%),22.56,16.6,14.76,15.93,20.44,21.76,19.94,22.88,37.9,0,,, 판관비율(%),29.78,45.09,33.32,36.25,38.71,0,
, 영업이익률(%),-3.45,6.35,5.88,3.57,-4.28,-4.11,3.49,0.72,-29.11,6.57,,, 영업이익률(%),-23.33,-31.8,-23.52,-19.51,-43.63,-12.76,
, 매출액 YOY(%),84.54,10.6,35.5,-1.3,-23.7,9.2,7.3,0.3,-44.3,123.2,,, 매출액 YOY(%),-32.2,-58.83,-48.67,-38.6,-21.04,41.42,
