,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,유비쿼스홀딩스,A078070,22000,4113,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,지주사,0.77,16.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,43.06,1.98,4.59,17.82,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,9.80,1.52,17.60,17.70,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,89.20,0.90,4.48,0.53,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,748.23,1183.53,1198.54,1623.31,76.6,77.73,862.22,1124.51,1213.82,1213.82,,, 매출액,326.58,278.73,297.98,303.24,333.87,,
, 영업이익,122.73,206.19,213.92,295.06,24.81,15.66,174.22,136.88,216.32,216.32,,, 영업이익,49.2,38.14,59.17,64.1,54.91,,
, 지배주주순이익,151.07,210.22,214.66,295.1,239.25,966.94,90,70,95.52,95.52,,, 지배주주순이익,25.3,13.66,33.53,34.13,14.2,,
, 매출총이익율(%),41.09,43.43,45.58,39.51,79.82,85.27,43.08,33.73,39.17,39.17,,, 매출총이익율(%),35.38,35.04,38.37,41.91,40.84,,
, 판관비율(%),24.69,26.01,27.73,21.33,47.43,65.12,22.87,21.55,21.35,21.35,,, 판관비율(%),20.31,21.35,18.51,20.78,24.39,,
