,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,케이엠더블유,A032500,61600,24530,,컨센서스,613,24,30,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,통신장비,0.00,59.00,30.28,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-20.40,-136.70,-97.30,,,,,,,,,,,,
,92.09,10.05,10.92,8.84,,YOY,-20.90,-63.40,-76.90,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,3.50,221.20,713.00,,,,,,,,,,,,
,76.20,6.96,-3.20,1.30,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,217.80,7.00,13.17,1.61,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,2925.12,3178.92,2107.21,2198.22,2105.41,2037.21,2962.68,6828.76,3384.96,4847,8202,, 매출액,873.16,775.25,1272.15,745.25,592.32,613,874
, 영업이익,416.51,434.66,-189.49,-448.85,-144.95,-30.47,-262.27,1377.74,326.62,756,1705,, 영업이익,-3.51,65.61,220.32,60.49,-19.8,24,89
, 지배주주순이익,365.13,392.06,-132.69,-479.17,39.36,-86.87,-312.92,1037.38,266.38,593,1349,, 지배주주순이익,-118.96,130.11,119.36,13.22,3.69,30,72
, 매출총이익율(%),35.84,34.18,23.91,13.55,23.27,30,20.33,31.91,29.35,0,0,, 매출총이익율(%),25.51,28.49,30.31,32.86,23.99,0,0
, 판관비율(%),21.6,20.51,32.9,33.97,30.15,31.5,29.18,11.73,19.7,0,0,, 판관비율(%),25.91,20.02,12.99,24.74,27.33,0,0
, 영업이익률(%),14.24,13.67,-8.99,-20.42,-6.88,-1.5,-8.85,20.18,9.65,15.6,20.79,, 영업이익률(%),-0.4,8.46,17.32,8.12,-3.34,3.92,10.18
, 매출액 YOY(%),93.65,8.7,-33.7,4.3,-4.2,-3.2,45.4,130.5,-50.4,43.2,69.2,, 매출액 YOY(%),61.11,-34.44,-40.08,-71.88,-32.16,-20.93,-31.3
, 영업이익 YOY(%),376.5,4.4,-143.6,-136.9,67.7,79,-760.7,625.3,-76.3,131.5,125.5,, 영업이익 YOY(%),98.33,-73.56,-60.34,-89.53,-464.1,-63.42,-59.6
, 지배순이익 YOY(%),204.33,7.4,-133.8,-261.1,108.2,-320.7,-260.2,431.5,-74.3,122.6,127.5,, 지배순이익 YOY(%),45.3,-39.14,-72.34,-97.41,103.1,-76.94,-39.68
, 매출액(개별),2544.79,2679.22,2027.96,1862.39,1567.37,1456.13,1566.21,5973.7,3264.86,0,0,, 매출액(개별),752.58,690.84,1197.32,771.41,605.29,0,0
, 영업이익(개별),302.33,254.36,-160.4,-494.62,-153.8,37.4,-227.6,1190.83,338.99,0,0,, 영업이익(개별),33.06,70.07,208.92,34.65,25.36,0,0
, 순이익(개별),251.17,244.06,-56.66,-481.11,43.82,-91.84,-317.93,1007.94,242.36,0,0,, 순이익(개별),-127.01,106.7,128.34,3.13,4.19,0,0
, 영업이익율(%개별),11.88,9.49,-7.91,-26.56,-9.81,2.57,-14.53,19.93,10.38,0,0,, 영업이익율(%개별),4.39,10.14,17.45,4.49,4.19,0,0
, 개별/연결 순익(%),68.79,62.25,42.7,100.4,111.33,105.72,101.6,97.16,90.98,0,0,, 개별/연결 순익(%),106.77,82.01,107.52,23.68,113.55,0,0
, 연간 주가 상승율,181.94,24.08,-7.65,-54.77,5.33,251.63,-13.24,363.49,57.93,-23.67,0,, EPS,-298.73,326.73,299.74,33.2,9.27,75.34,180.81
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,2205.7,2737,2527.7,1143.1,1204.28,4234.3,4147.61,20339.47,32135.45,24530,24530,,,,,,,,,
, 주가,6620,8214,7586,3431,3614,12708,11025,51100,80700,61600.05,61600.05,,,,,,,,,
, EPS,1095.87,1176.61,-398.22,-1438.22,118.12,-260.71,-831.79,2606.27,668.95,1489.15,3387.63,,,,,,,,,
, BPS,1387.03,2536.04,2540.86,1269.15,1367.33,1539.74,2291.84,5471.08,6127.18,7616.26,11003.88,,,,,,,,,
, EPS증가율(%),204.3,7.4,-133.8,-261.2,108.2,-320.7,-219,413.3,-74.3,122.6,127.5,,,,,,,,,
, BPS증가율(%),3.8,82.8,0.2,-50.1,7.7,12.6,48.8,138.7,12,24.3,44.5,,,,,,,,,
, PER,6.04,6.98,-19.05,-2.39,30.6,-48.74,-13.25,19.61,120.64,41.37,18.18,,,,,,,,,
, PBR,4.77,3.24,2.99,2.7,2.64,8.25,4.81,9.34,13.17,8.09,5.6,,,,,,,,,
, PSR,0.75,0.86,1.2,0.52,0.57,2.08,1.4,2.98,9.49,5.06,2.99,,,,,,,,,
, ROE,79.01,46.4,-15.67,-113.32,8.64,-16.93,-36.29,47.64,10.92,19.55,30.79,,,,,,,,,
, ROA,15.53,15.63,-4.49,-14.95,1.89,-4.07,-11.44,24.29,6.87,13.26,23.18,,,,,,,,,
, EV,3258.51,3546.36,3523.38,2586.04,1844.31,4747.48,4466.39,20827.63,32688.6,23977,23977,,,,,,,,,
, EBITDA,517.47,527.11,-83.94,-313.11,2.57,69.36,-166.01,1467.62,440.58,440.59,440.59,,,,,,,,,
, EV/EBITDA,6.3,6.73,-41.97,-8.26,717.63,68.45,-26.9,14.19,74.19,54.42,54.42,,,,,,,,,
, DPS,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 배당성향(%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 시가배당율(%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 차입금비율(%),257.78,124.72,133.87,272.4,192.46,144.37,99.74,45.4,30.71,30.71,30.71,,,,,,,,,
