,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,대한항공,A003490,26300,91477,,컨센서스,17890,766,-2540,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,항공운송,0.00,661.00,-39.38,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,-0.60,-9.80,-43.70,,,,,,,,,,,,
,-43.24,2.85,-6.60,3.85,,YOY,-26.30,192.50,65.30,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,-3.60,-32.20,-159.50,,,,,,,,,,,,
,-11.10,1.04,-12.60,5.50,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,753.80,3.10,3.10,0.69,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,123417.9,118487.1,119097.5,115448.3,117318.5,120922.1,130116.5,123842.6,76062.24,74668,102746,, 매출액,28078.63,24273.05,17284.44,15952.88,18551.86,17890,17460
, 영업이익,2285.67,-195.62,3953.35,8830.88,11208.09,9397.82,6712.28,1760.87,1089.18,1415,5823,, 영업이익,-1011.54,-827.92,1101.77,-314.3,1129.63,766,238
, 지배주주순이익,2464.13,-2249.95,-6353.59,-5649.77,-5648.82,7915.1,-1684.81,-6290.85,-2115.45,-3577,782,, 지배주주순이익,831.35,-7318.32,1229,-292.73,4266.6,-2540,-289
, 매출총이익율(%),10.78,9.24,12.76,17.56,19.58,17.38,15.74,11.7,10.01,0,0,, 매출총이익율(%),6.35,5.61,14.84,6.4,14.4,0,0
, 판관비율(%),8.93,9.41,9.44,9.91,10.02,9.6,10.58,10.27,8.58,0,0,, 판관비율(%),9.95,9.02,8.47,8.37,8.31,0,0
, 영업이익률(%),1.85,-0.17,3.32,7.65,9.55,7.77,5.16,1.42,1.43,1.9,5.67,, 영업이익률(%),-3.6,-3.41,6.37,-1.97,6.09,4.28,1.36
, 매출액 YOY(%),0.78,-4,0.5,-3.1,1.6,3.1,7.6,-4.8,-38.6,-1.8,37.6,, 매출액 YOY(%),-14.55,-22.46,-44.63,-52.01,-33.93,-26.3,1.02
, 영업이익 YOY(%),-49.5,-108.6,2120.9,123.4,26.9,-16.2,-28.6,-73.8,-38.1,29.9,311.5,, 영업이익 YOY(%),-378.2,-135.87,271.11,-128.36,211.67,192.52,-78.4
, 지배순이익 YOY(%),212.61,-191.3,-182.4,11.1,0,240.1,-121.3,-273.4,66.4,-69.1,121.9,, 지배순이익 YOY(%),178.37,-522.11,133.51,87.15,413.21,65.29,-123.52
, 매출액(개별),122616.8,117123.5,116804,113084.2,115028.8,118028.2,126468.6,120177.5,74050.06,0,0,, 매출액(개별),27312.17,23522.88,16909.35,15508.43,18109.39,0,0
, 영업이익(개별),2775.81,-180.01,3725.08,8592.18,10790.04,9561.51,6983.32,2046.32,2383.35,0,0,, 영업이익(개별),-988.78,-566.5,1484.58,75.9,1389.36,0,0
, 순이익(개별),2595.97,-2904.6,-3605.76,-4076.82,-5913.61,9078.8,-828.38,-5687.33,-1946.31,0,0,, 순이익(개별),557.96,-6920.29,1624.05,-3859.27,7209.2,0,0
, 영업이익율(%개별),2.26,-0.15,3.19,7.6,9.38,8.1,5.52,1.7,3.22,0,0,, 영업이익율(%개별),-3.62,-2.41,8.78,0.49,7.67,0,0
, 개별/연결 순익(%),105.35,129.1,56.75,72.16,104.69,114.7,49.17,90.41,92,0,0,, 개별/연결 순익(%),67.11,94.56,132.14,1318.37,168.97,0,0
, 연간 주가 상승율,4.14,-42.02,52.08,-38.55,-1.26,31.64,-2.36,-13.77,14.13,24.7,0,, EPS,239.02,-2104.05,353.34,-84.16,1226.66,-730.26,-83.09
,,,,,,,,,,,,,,,,,,,,,
,투자지표,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,,,,,,,,
, 시가총액,32603.15,18306.74,27841.5,20176.61,19921.67,32104.91,31346.15,27030.72,47385.04,91477,91477,,,,,,,,,
, 주가,31163,18068,27478,16886,16673,21949,21430,18480,21091,26300,26300,,,,,,,,,
, EPS,2355.28,-2220.61,-6270.64,-4728.35,-4727.66,5411.28,-1151.83,-4300.84,-941.58,-1028.4,224.83,,,,,,,,,
, BPS,25057.99,26124.72,20636.44,19977.97,14735.67,24813.19,20779.99,18159.52,14272.08,8190.42,8415.24,,,,,,,,,
, EPS증가율(%),212.6,-194.3,-182.4,24.6,0,214.5,-121.3,-273.4,78.1,-9.2,121.9,,,,,,,,,
, BPS증가율(%),0.1,4.3,-21,-3.2,-26.2,68.4,-16.3,-12.6,-21.4,-42.6,2.7,,,,,,,,,
, PER,13.23,-8.14,-4.38,-3.57,-3.53,4.06,-18.61,-4.3,-22.4,-25.57,116.98,,,,,,,,,
, PBR,1.24,0.69,1.33,0.85,1.13,0.88,1.03,1.02,1.48,3.21,3.13,,,,,,,,,
, PSR,0.26,0.15,0.23,0.17,0.17,0.27,0.24,0.22,0.62,1.23,0.89,,,,,,,,,
, ROE,9.4,-8.5,-30.39,-23.67,-32.08,21.81,-5.54,-23.68,-6.6,-12.56,2.67,,,,,,,,,
, ROA,1.07,-0.98,-2.71,-2.34,-2.36,3.21,-0.65,-2.33,-0.84,-1.44,0.31,,,,,,,,,
, EV,168329.4,156950.5,180265.8,168786.5,169913.4,167220.4,171023.9,179732.5,183147,227239,227239,,,,,,,,,
, EBITDA,17446.79,16432.33,19883.61,25340.13,28723.18,26327.97,24218.67,22587.18,20780.37,20780.37,20780.37,,,,,,,,,
, EV/EBITDA,9.65,9.55,9.07,6.66,5.92,6.35,7.06,7.96,8.81,10.94,10.94,,,,,,,,,
, DPS,0,0,0,0,0,190.84,190.84,0,0,0,0,,,,,,,,,
, 배당성향(%),0,0,0,0,0,3.04,0,0,0,0,0,,,,,,,,,
, 시가배당율(%),0,0,0,0,0,0.87,0.89,0,0,0,0,,,,,,,,,
, 차입금비율(%),523.57,559.06,741.93,646.97,868.83,395.76,497.67,612.19,469.18,469.18,469.18,,,,,,,,,
, 부채비율(%),690.99,736.45,966.06,867.59,1178.12,557.1,717.13,871.45,660.63,660.63,660.63,,,,,,,,,
, 매출채권회전일수,24.85,19.69,18.6,18.05,18.89,19.2,19.8,20.68,32.4,32.4,32.4,,,,,,,,,
, 재고자산회전일수,16.36,15.76,15.11,18.82,21.85,24.94,30.57,23.79,29.39,29.39,29.39,,,,,,,,,
, 상장주식수 (만주),10462.13,10132.13,10132.29,11948.72,11948.46,14627.05,14627.23,14627.01,22466.95,34782.13,34782.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년(E),22년(E),,분기 손익계산서,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
