,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,21/1Q,매출액,영업이익,순익(지배),,,,,,,,,,,,
,현대바이오,A048410,49550,17916,,컨센서스,0,0,0,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,실적발표,0,0,0,,,,,,,,,,,,
,바이오,0.00,80.00,0.00,,컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,전분기컨센대비,0.00,0.00,0.00,,,,,,,,,,,,
,-208.16,34.99,-16.81,-36.29,,YOY,0.00,0.00,0.00,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,QOQ,0.00,0.00,0.00,,,,,,,,,,,,
,-241.50,8.54,-7.00,-1.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1718.90,69.90,34.99,0.73,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년4q연환산,,,분기 손익 요약,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,21.2Q
, 매출액,370.79,255.38,289.13,406.75,361.01,319.7,312.36,300.86,125.11,125.11,,, 매출액,77.39,41.79,33.97,29.6,19.75,,
, 영업이익,-51.93,-83.49,6.47,13.56,-69.64,14.64,20.79,25.55,-45.4,-45.4,,, 영업이익,10.14,0.95,1.78,-8.87,-39.26,,
, 지배주주순이익,-79.58,-103.52,-31.09,7.11,-80.7,12.18,26.18,7.67,-86.07,-86.07,,, 지배주주순이익,-9.08,-11.79,-1.81,-3.22,-69.25,,
, 매출총이익율(%),24.69,21.88,29.77,29.96,33.24,46.38,45.93,46.94,52.46,52.45,,, 매출총이익율(%),51.05,63.01,56.34,56.35,17.57,,
, 판관비율(%),38.7,54.57,27.53,26.63,52.53,41.8,39.28,38.44,88.75,88.74,,, 판관비율(%),37.95,60.73,51.1,86.32,216.35,,
, 영업이익률(%),-14.01,-32.69,2.24,3.33,-19.29,4.58,6.66,8.49,-36.29,-36.29,,, 영업이익률(%),13.1,2.27,5.24,-29.97,-198.78,,
, 매출액 YOY(%),-22.19,-31.1,13.2,40.7,-11.2,-11.4,-2.3,-3.7,-58.4,0,,, 매출액 YOY(%),-15.27,-46.64,-57.34,-54.83,-74.48,,
, 영업이익 YOY(%),64.53,-60.8,107.7,109.6,-613.6,121,42,22.9,-277.7,0,,, 영업이익 YOY(%),54.57,-86.9,-72.32,-609.77,-487.18,,
, 지배순이익 YOY(%),53.01,-30.1,70,122.9,-1235,115.1,114.9,-70.7,-1222.2,0,,, 지배순이익 YOY(%),-143.82,-311.29,-158.77,-139.75,-662.67,,
, 매출액(개별),291.58,213.19,273.64,320.58,304.9,277.13,264.88,249.18,123.63,,,, 매출액(개별),76.8,41.36,33.15,29.54,19.58,,
, 영업이익(개별),-36.13,-82.31,12.95,16.66,-72.06,18.96,23.73,31.25,-47.37,,,, 영업이익(개별),11.81,1.65,2.05,-8.54,-42.54,,
, 순이익(개별),-66.22,-96.64,-5.72,8.08,-90.47,9.67,25.88,16.58,-97.03,,,, 순이익(개별),5.12,0.24,-5.95,-9.35,-81.97,,
, 영업이익율(%개별),-12.39,-38.61,4.73,5.2,-23.63,6.84,8.96,12.54,-38.32,,,, 영업이익율(%개별),15.38,3.99,6.18,-28.91,-217.26,,
, 개별/연결 순익(%),83.21,93.35,18.4,113.64,112.11,79.39,98.85,216.17,112.73,,,, 개별/연결 순익(%),-56.39,-2.04,328.73,290.37,118.37,,
, 연간 주가 상승율,37.19,-24.95,234.45,21.6,-12.83,-0.57,2.85,159.23,107.83,69.69,,, EPS,-25.11,-32.61,-5.01,-8.91,-191.52,,
,,,,,,,,,,,,,,,,,,,,,
