day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
19991224,6600,6990,6600,6600,900,5426978,0,0,0.0,0,0,0,0,0,0,0
19991227,6010,6180,5810,5810,790,1407946,14069383,1980,8.28,0,0,0,0,0,0,0
19991228,5130,6200,5130,5900,90,8837898,14071783,2400,8.28,0,0,0,0,0,0,0
20000104,5900,6000,5250,5400,500,2096840,14071783,0,8.28,0,0,0,0,0,0,0
20000105,5300,5350,5010,5100,300,2988541,14069783,-2000,8.28,0,0,0,0,0,0,0
20000106,5200,5240,4490,4490,610,3017582,14069783,0,8.28,0,0,0,0,0,0,0
20000107,4490,4850,4100,4630,140,3438812,14069783,0,8.28,0,0,0,0,0,0,0
20000110,4650,4690,4300,4350,280,1710503,14069783,0,8.28,0,0,0,0,0,0,0
20000111,4360,4480,4170,4390,40,2430712,14069783,0,8.28,0,0,0,0,0,0,0
20000112,4250,4250,3950,3970,420,2198202,14069683,-100,8.28,0,0,0,0,0,0,0
20000113,4090,4100,3770,3900,70,2001616,14069713,30,8.28,0,0,0,0,0,0,0
20000114,4050,4140,3910,4030,130,2249324,14069683,-30,8.28,0,0,0,0,0,0,0
20000117,4030,4030,3820,3930,100,1894327,14069683,0,8.28,0,0,0,0,0,0,0
20000118,3900,3900,3740,3800,130,1804929,14069683,0,8.28,0,0,0,0,0,0,0
20000119,3800,3800,3350,3390,410,2233376,14069683,0,8.28,0,0,0,0,0,0,0
20000120,3300,3300,3000,3250,140,1668610,14069683,0,8.28,0,0,0,0,0,0,0
20000121,3230,3440,3030,3250,0,1668121,14069683,0,8.28,0,0,0,0,0,0,0
20000124,3260,3440,3260,3420,170,1504057,14069683,0,8.28,0,0,0,0,0,0,0
20000125,3320,3380,3170,3200,220,1379179,14069683,0,8.28,0,0,0,0,0,0,0
20000126,3230,3280,3150,3220,20,1051393,14069683,0,8.28,0,0,0,0,0,0,0
20000127,3200,3550,3160,3410,190,2008980,14071683,2000,8.28,0,0,0,0,0,0,0
20000128,3420,3530,3330,3380,30,1370338,14071683,0,8.28,0,0,0,0,0,0,0
20000131,3300,3450,3250,3350,30,1347551,14071683,0,8.28,0,0,0,0,0,0,0
20000201,3410,3530,3380,3410,60,1955794,14071683,0,8.28,0,0,0,0,0,0,0
20000202,3410,3540,3410,3460,50,1771449,14071683,0,8.28,0,0,0,0,0,0,0
20000203,3430,3500,3360,3380,80,1684144,14071683,0,8.28,0,0,0,0,0,0,0
20000207,3380,3740,3350,3640,260,3875321,14071683,0,8.28,0,0,0,0,0,0,0
20000208,3660,3690,3380,3400,240,1579365,14071683,0,8.28,0,0,0,0,0,0,0
20000209,3400,3590,3350,3380,20,1797735,14071983,300,8.28,0,0,0,0,0,0,0
20000210,3310,3310,3190,3210,170,1168588,14072183,200,8.28,0,0,0,0,0,0,0
20000211,3200,3260,3090,3120,90,1259112,14072283,100,8.28,0,0,0,0,0,0,0
20000214,3050,3080,2910,2970,150,1253637,14072283,0,8.28,0,0,0,0,0,0,0
20000215,2900,3200,2880,2980,10,1398164,14072283,0,8.28,0,0,0,0,0,0,0
20000216,2980,3100,2880,2900,80,1262310,14072188,-95,8.28,0,0,0,0,0,0,0
20000217,2870,3240,2810,3110,210,3902788,14072188,0,8.28,0,0,0,0,0,0,0
20000218,3100,3180,2980,3000,110,1851729,14072188,0,8.28,0,0,0,0,0,0,0
20000221,3000,3000,2780,2800,200,1497050,14072188,0,8.28,0,0,0,0,0,0,0
20000222,2800,2850,2640,2670,130,1112146,14072188,0,8.28,0,0,0,0,0,0,0
20000223,2610,2990,2560,2990,320,1850107,14072188,0,8.28,0,0,0,0,0,0,0
20000224,3100,3340,2920,3340,350,4335100,14072188,0,8.28,0,0,0,0,0,0,0
20000225,3600,3740,3430,3740,400,2088509,14072188,0,8.28,0,0,0,0,0,0,0
20000228,4150,4150,3300,3300,440,6405256,14075188,3000,8.28,0,0,0,0,0,0,0
20000229,3310,3550,3020,3330,30,4622772,14075188,0,8.28,0,0,0,0,0,0,0
20000302,3400,3600,3310,3370,40,3960336,14075188,0,8.28,0,0,0,0,0,0,0
20000303,3350,3400,3080,3200,170,2209519,14075188,0,8.28,0,0,0,0,0,0,0
20000306,3300,3440,3200,3280,80,2216950,14075188,0,8.28,0,0,0,0,0,0,0
20000307,3320,3490,3220,3400,120,2690685,14075188,0,8.28,0,0,0,0,0,0,0
20000308,3420,3470,3230,3230,170,2535481,14075188,0,8.28,0,0,0,0,0,0,0
20000309,3300,3350,3240,3280,50,2003946,14075188,0,8.28,0,0,0,0,0,0,0
20000310,3290,3320,3210,3220,60,2051614,14075188,0,8.28,0,0,0,0,0,0,0
20000313,3200,3480,3130,3270,50,4139129,14075188,0,8.28,0,0,0,0,0,0,0
20000314,3250,3550,3180,3380,110,3957315,14075188,0,8.28,0,0,0,0,0,0,0
20000315,3380,3380,3200,3230,150,1587454,14075188,0,8.28,0,0,0,0,0,0,0
20000316,3260,3460,3180,3240,10,3559600,14075188,0,8.28,0,0,0,0,0,0,0
20000317,3290,3350,3110,3150,90,2072250,14075188,0,8.28,0,0,0,0,0,0,0
20000320,3150,3150,2950,3010,140,1761679,14075188,0,8.28,0,0,0,0,0,0,0
20000321,2990,3040,2900,3020,10,1591447,14075188,0,8.28,0,0,0,0,0,0,0
20000322,3080,3190,3040,3100,80,2655333,14075188,0,8.28,0,0,0,0,0,0,0
20000323,3100,3140,3000,3010,90,1309764,14075188,0,8.28,0,0,0,0,0,0,0
20000324,3030,3070,3000,3030,20,823013,14075188,0,8.28,0,0,0,0,0,0,0
20000327,3010,3180,3010,3100,70,1416799,14075188,0,8.28,0,0,0,0,0,0,0
20000328,3050,3100,3020,3040,60,786100,14075188,0,8.28,0,0,0,0,0,0,0
20000329,3050,3400,3050,3400,360,4049266,14075188,0,8.28,0,0,0,0,0,0,0
20000330,3490,3740,3320,3380,20,7629709,14226188,151000,8.37,0,0,0,0,0,0,0
20000331,3210,3380,3100,3160,220,2306256,14236188,10000,8.37,0,0,0,0,0,0,0
20000403,3300,3530,3300,3530,370,5718044,14226188,-10000,8.37,0,0,0,0,0,0,0
20000404,3600,3930,3400,3520,10,11567419,14233188,7000,8.37,0,0,0,0,0,0,0
20000406,3520,3640,3250,3290,230,3850272,14076188,-157000,8.28,0,0,0,0,0,0,0
20000407,3320,3440,3250,3310,20,3232226,14076188,0,8.28,0,0,0,0,0,0,0
20000410,3360,3550,3330,3420,110,4878072,14076195,7,8.28,0,0,0,0,0,0,0
20000411,3310,3370,3140,3250,170,2389624,14076195,0,8.28,0,0,0,0,0,0,0
20000412,3230,3270,3170,3250,0,1176531,14076195,0,8.28,0,0,0,0,0,0,0
20000414,3120,3300,3120,3220,30,1313704,14076688,493,8.28,0,0,0,0,0,0,0
20000417,3000,3050,2840,2850,370,2451928,14073688,-3000,8.28,0,0,0,0,0,0,0
20000418,3050,3070,2910,2980,130,1609684,14077518,3830,8.28,0,0,0,0,0,0,0
20000419,3050,3200,3000,3060,80,1916163,14077518,0,8.28,0,0,0,0,0,0,0
20000420,3030,3080,2990,3020,40,1029505,14073718,-3800,8.28,0,0,0,0,0,0,0
20000421,3030,3170,3000,3100,80,1904214,14073688,-30,8.28,0,0,0,0,0,0,0
20000424,3150,3150,3010,3020,80,901501,14073688,0,8.28,0,0,0,0,0,0,0
20000425,3000,3070,2960,3000,20,935205,14073688,0,8.28,0,0,0,0,0,0,0
20000426,3100,3120,2990,3000,0,1211844,14073688,0,8.28,0,0,0,0,0,0,0
20000427,2960,2990,2900,2930,70,801292,14073688,0,8.28,0,0,0,0,0,0,0
20000428,2950,2970,2910,2950,20,729119,14073688,0,8.28,0,0,0,0,0,0,0
20000502,2940,3050,2940,2990,40,1109724,14073688,0,8.28,0,0,0,0,0,0,0
20000503,2990,2990,2930,2940,50,586889,14083688,10000,8.28,0,0,0,0,0,0,0
20000504,2930,2970,2890,2940,0,845574,14081406,-2282,8.28,0,0,0,0,0,0,0
20000508,2920,3000,2910,2930,10,1335690,14073788,-7618,8.28,0,0,0,0,0,0,0
20000509,2930,2980,2890,2910,20,1090832,14073788,0,8.28,0,0,0,0,0,0,0
20000510,2900,2900,2840,2860,50,796243,14073773,-15,8.28,0,0,0,0,0,0,0
20000512,2850,2850,2760,2780,80,1068323,14073773,0,8.28,0,0,0,0,0,0,0
20000515,2750,2750,2510,2580,200,916699,14074084,311,8.28,0,0,0,0,0,0,0
20000516,2560,2730,2500,2630,50,1004890,14074084,0,8.28,0,0,0,0,0,0,0
20000517,2630,2720,2410,2500,130,1196873,14074084,0,8.28,0,0,0,0,0,0,0
20000518,2600,2600,2310,2390,110,1948523,14074084,0,8.28,0,0,0,0,0,0,0
20000519,2390,2390,2240,2340,50,881815,14074084,0,8.28,0,0,0,0,0,0,0
20000522,2250,2340,2060,2080,260,891756,14074106,22,8.28,0,0,0,0,0,0,0
20000523,2010,2180,1980,2080,0,1134510,14074106,0,8.28,0,0,0,0,0,0,0
20000524,2050,2220,1980,2140,60,1955554,14074106,0,8.28,0,0,0,0,0,0,0
20000525,2200,2390,2200,2390,250,1606203,14074084,-22,8.28,0,0,0,0,0,0,0
20000526,2310,2320,2130,2140,250,993556,14074084,0,8.28,0,0,0,0,0,0,0
20000529,2100,2300,2010,2300,160,1370017,14074084,0,8.28,0,0,0,0,0,0,0
20000530,2370,2410,2300,2320,20,1760327,14075084,1000,8.28,0,0,0,0,0,0,0
20000531,2380,2470,2370,2400,80,2257606,14074084,-1000,8.28,0,0,0,0,0,0,0
20000601,2340,2350,2260,2280,120,1271211,14074084,0,8.28,0,0,0,0,0,0,0
20000602,2320,2380,2230,2290,10,1402282,14074084,0,8.28,0,0,0,0,0,0,0
20000605,2310,2490,2310,2450,160,3010069,14074084,0,8.28,0,0,0,0,0,0,0
20000607,2450,2580,2370,2520,70,2985774,14074084,0,8.28,0,0,0,0,0,0,0
20000608,2580,2580,2380,2420,100,2055891,14075984,1900,8.28,0,0,0,0,0,0,0
20000609,2350,2470,2310,2440,20,1326319,14075984,0,8.28,0,0,0,0,0,0,0
20000612,2430,2540,2390,2470,30,1477568,14075984,0,8.28,0,0,0,0,0,0,0
20000613,2450,2550,2380,2390,80,1484569,14075984,0,8.28,0,0,0,0,0,0,0
20000614,2390,2420,2370,2410,20,1105027,14076184,200,8.28,0,0,0,0,0,0,0
20000615,2410,2410,2290,2290,120,981036,14080284,4100,8.28,0,0,0,0,0,0,0
20000616,2290,2340,2270,2300,10,873395,14081284,1000,8.28,0,0,0,0,0,0,0
20000619,2290,2290,2210,2220,80,626979,14081784,500,8.28,0,0,0,0,0,0,0
20000620,2230,2260,2200,2230,10,537651,14075984,-5800,8.28,0,0,0,0,0,0,0
20000621,2240,2310,2230,2240,10,1184710,14075884,-100,8.28,0,0,0,0,0,0,0
20000622,2250,2280,2190,2220,20,839208,14075884,0,8.28,0,0,0,0,0,0,0
20000623,2200,2210,2180,2190,30,502112,14075884,0,8.28,0,0,0,0,0,0,0
20000626,2200,2240,2180,2210,20,1231629,14075799,-85,8.28,0,0,0,0,0,0,0
20000627,2210,2340,2210,2310,100,2131260,14075799,0,8.28,0,0,0,0,0,0,0
20000628,2350,2560,2260,2520,210,2246741,14075799,0,8.28,0,0,0,0,0,0,0
20000629,2520,2580,2400,2450,70,3717380,14085799,10000,8.29,0,0,0,0,0,0,0
20000630,2420,2430,2360,2380,70,1128534,14085799,0,8.29,0,0,0,0,0,0,0
20000703,2370,2490,2370,2460,80,1582326,14085799,0,8.29,0,0,0,0,0,0,0
20000704,2440,2470,2350,2380,80,1139671,14087599,1800,8.29,0,0,0,0,0,0,0
20000705,2400,2660,2270,2660,280,3598452,14369599,282000,8.45,0,0,0,0,0,0,0
20000706,2710,2970,2660,2970,310,7684797,15023599,654000,8.84,0,0,0,0,0,0,0
20000707,3170,3320,3100,3320,350,5513453,15553348,529749,9.15,0,0,0,0,0,0,0
20000710,3600,3710,3430,3710,390,10423646,16593877,1040529,9.76,0,0,0,0,0,0,0
20000711,3910,4150,3860,4150,440,9638379,17549419,955542,10.32,0,0,0,0,0,0,0
20000712,4150,4390,3660,3660,490,22128863,17559419,10000,10.33,0,0,0,0,0,0,0
20000713,3650,3930,3440,3690,30,14714626,17559419,0,10.33,0,0,0,0,0,0,0
20000714,3710,3820,3350,3410,280,8431354,17760719,201300,10.45,0,0,0,0,0,0,0
20000718,3500,3560,3130,3200,210,7340477,17760719,0,10.45,0,0,0,0,0,0,0
20000719,3200,3280,2900,3200,0,7357522,17760869,150,10.45,0,0,0,0,0,0,0
20000720,3210,3580,3170,3580,380,15941355,18200869,440000,10.71,0,0,0,0,0,0,0
20000721,3750,3860,3450,3500,80,20359988,18463626,262757,10.86,0,0,0,0,0,0,0
20000724,3520,3690,3130,3180,320,8393307,18468066,4440,10.86,0,0,0,0,0,0,0
20000725,3260,3340,3030,3050,130,11917596,16366005,-2102061,9.63,0,0,0,0,0,0,0
20000726,3050,3200,3020,3080,30,7620773,16456005,90000,9.68,0,0,0,0,0,0,0
20000727,3100,3180,2970,3020,60,4652195,16456755,750,9.68,0,0,0,0,0,0,0
20000728,3020,3070,2850,2870,150,5411073,16456005,-750,9.68,0,0,0,0,0,0,0
20000731,2870,2950,2770,2890,20,6009522,16416005,-40000,9.66,0,0,0,0,0,0,0
20000801,2950,3160,2900,3020,130,6464912,16380435,-35570,9.64,0,0,0,0,0,0,0
20000802,3020,3050,2930,2970,50,3546556,16380435,0,9.64,0,0,0,0,0,0,0
20000803,3030,3320,3010,3320,350,10499824,16990435,610000,9.99,0,0,0,0,0,0,0
20000804,3450,3690,3400,3490,170,19030215,18310435,1320000,10.77,0,0,0,0,0,0,0
20000807,3530,3540,3090,3100,390,8934396,18320135,9700,10.78,0,0,0,0,0,0,0
20000808,3180,3350,3130,3220,120,9311890,18539435,219300,10.91,0,0,0,0,0,0,0
20000809,3200,3360,3200,3280,60,6040512,18536935,-2500,10.9,0,0,0,0,0,0,0
20000810,3300,3330,3220,3250,30,3031916,18536935,0,10.9,0,0,0,0,0,0,0
20000811,3250,3280,3120,3160,90,2938016,18536935,0,10.9,0,0,0,0,0,0,0
20000814,3230,3250,3160,3170,10,1657097,18436935,-100000,10.85,0,0,0,0,0,0,0
20000816,3170,3200,3090,3150,20,2765312,17905935,-531000,10.53,0,0,0,0,0,0,0
20000817,3200,3250,3150,3170,20,2709776,17905375,-560,10.53,0,0,0,0,0,0,0
20000818,3130,3150,3020,3100,70,1874959,17906045,670,10.53,0,0,0,0,0,0,0
20000821,3030,3080,3000,3020,80,1106135,17906045,0,10.53,0,0,0,0,0,0,0
20000822,3030,3070,3020,3040,20,1266359,17905375,-670,10.53,0,0,0,0,0,0,0
20000823,3050,3080,2980,3010,30,1318304,17905375,0,10.53,0,0,0,0,0,0,0
20000824,2980,3000,2870,2930,80,1402626,17905375,0,10.53,0,0,0,0,0,0,0
20000825,3000,3010,2940,2980,50,1928311,17905375,0,10.53,0,0,0,0,0,0,0
20000828,3000,3080,2980,3050,70,2147596,17905725,350,10.53,0,0,0,0,0,0,0
20000829,3100,3100,2970,3010,40,1266678,17905375,-350,10.53,0,0,0,0,0,0,0
20000830,2990,3150,2970,3030,20,2207920,17905375,0,10.53,0,0,0,0,0,0,0
20000831,3040,3050,2900,2940,90,1300469,17905375,0,10.53,0,0,0,0,0,0,0
20000901,2960,2980,2930,2940,0,857482,17905375,0,10.53,0,0,0,0,0,0,0
20000904,2940,2960,2890,2910,30,702825,17905375,0,10.53,0,0,0,0,0,0,0
20000905,2910,3050,2910,2950,40,1765994,17905375,0,10.53,0,0,0,0,0,0,0
20000906,2960,2980,2920,2930,20,952149,17905625,250,10.53,0,0,0,0,0,0,0
20000907,2930,2930,2760,2810,120,1109329,17905625,0,10.53,0,0,0,0,0,0,0
20000908,2820,2840,2640,2660,150,1575882,17401226,-504399,10.24,0,0,0,0,0,0,0
20000914,2680,2690,2560,2610,50,1003418,17401226,0,10.24,0,0,0,0,0,0,0
20000915,2630,2650,2470,2490,120,1922513,16764905,-636321,9.85,0,0,0,0,0,0,0
20000918,2490,2490,2200,2200,290,1436631,16364666,-400239,9.63,0,0,0,0,0,0,0
20000919,2200,2340,2050,2240,40,2098818,16299365,-65301,9.59,0,0,0,0,0,0,0
20000920,2300,2380,2250,2340,100,1237763,16301265,1900,9.59,0,0,0,0,0,0,0
20000921,2310,2340,2220,2290,50,825491,16301265,0,9.59,0,0,0,0,0,0,0
20000922,2290,2290,2170,2250,40,682358,16297436,-3829,9.59,0,0,0,0,0,0,0
20000925,2310,2420,2260,2380,130,1398017,16296436,-1000,9.59,0,0,0,0,0,0,0
20000926,2380,2420,2310,2390,10,1157175,16292436,-4000,9.58,0,0,0,0,0,0,0
20000927,2400,2550,2380,2510,120,2379867,16287436,-5000,9.58,0,0,0,0,0,0,0
20000928,2520,2540,2420,2480,30,1066440,16297436,10000,9.59,0,0,0,0,0,0,0
20000929,2530,2540,2480,2490,10,744618,16297436,0,9.59,0,0,0,0,0,0,0
20001002,2410,2470,2370,2410,80,747476,16297436,0,9.59,0,0,0,0,0,0,0
20001004,2400,2490,2340,2420,10,790356,16297436,0,9.59,0,0,0,0,0,0,0
20001005,2440,2490,2420,2440,20,799916,16297436,0,9.59,0,0,0,0,0,0,0
20001006,2440,2730,2420,2730,290,2882069,16470362,172926,9.69,0,0,0,0,0,0,0
20001009,2880,2970,2560,2600,130,4588086,16480362,10000,9.69,0,0,0,0,0,0,0
20001010,2640,2720,2600,2640,40,1581567,16480436,74,9.69,0,0,0,0,0,0,0
20001011,2640,2650,2370,2520,120,1296755,16470436,-10000,9.69,0,0,0,0,0,0,0
20001012,2520,2550,2430,2480,40,972022,16470436,0,9.69,0,0,0,0,0,0,0
20001013,2480,2670,2280,2530,50,1643635,16470436,0,9.69,0,0,0,0,0,0,0
20001016,2800,2800,2630,2670,140,1537712,16470436,0,9.69,0,0,0,0,0,0,0
20001017,2600,2640,2430,2450,220,697653,16470436,0,9.69,0,0,0,0,0,0,0
20001018,2450,2500,2330,2470,20,618411,16470436,0,9.69,0,0,0,0,0,0,0
20001019,2350,2500,2350,2380,90,486770,16470125,-311,9.69,0,0,0,0,0,0,0
20001020,2490,2520,2420,2450,70,930292,16470125,0,9.69,0,0,0,0,0,0,0
20001023,2470,2480,2370,2370,80,544818,16470125,0,9.69,0,0,0,0,0,0,0
20001024,2400,2420,2370,2390,20,558908,16470125,0,9.69,0,0,0,0,0,0,0
20001025,2320,2380,2320,2370,20,568544,16470125,0,9.69,0,0,0,0,0,0,0
20001026,2330,2340,2270,2310,60,553601,16470125,0,9.69,0,0,0,0,0,0,0
20001027,2310,2370,2280,2290,20,732695,16470125,0,9.69,0,0,0,0,0,0,0
