date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20110401,1495000,1499000,1477000,1480000,3980,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110404,1473000,1480000,1473000,1480000,4704,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110405,1496000,1506000,1477000,1485000,4026,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110406,1493000,1493000,1476000,1486000,1902,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110407,1480000,1485000,1453000,1467000,2172,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110408,1455000,1473000,1450000,1473000,2220,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110411,1456000,1464000,1451000,1451000,895,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110412,1445000,1445000,1407000,1416000,2066,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110413,1415000,1432000,1406000,1432000,1567,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110414,1423000,1432000,1404000,1431000,2117,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110415,1420000,1452000,1420000,1449000,1260,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110418,1449000,1458000,1428000,1449000,1473,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110419,1452000,1452000,1422000,1443000,1379,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110420,1440000,1492000,1435000,1484000,2335,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110421,1491000,1580000,1491000,1531000,2555,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110422,1532000,1578000,1526000,1578000,1415,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110425,1554000,1639000,1554000,1589000,1000,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110426,1600000,1628000,1583000,1592000,1540,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110427,1606000,1698000,1588000,1641000,1994,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110428,1642000,1677000,1535000,1535000,2124,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110429,1522000,1588000,1512000,1588000,1898,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110502,1562000,1633000,1562000,1611000,1965,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110503,1605000,1686000,1562000,1650000,2179,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110504,1649000,1671000,1632000,1636000,1259,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110506,1630000,1685000,1607000,1607000,979,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110509,1602000,1627000,1540000,1540000,1273,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110511,1565000,1647000,1544000,1605000,2663,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110512,1590000,1600000,1547000,1547000,2729,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110513,1552000,1570000,1521000,1521000,2057,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110516,1520000,1540000,1507000,1528000,1689,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110517,1519000,1552000,1511000,1512000,1612,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110518,1510000,1550000,1510000,1528000,1278,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110519,1530000,1550000,1509000,1509000,2831,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110520,1536000,1536000,1508000,1535000,670,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110523,1540000,1540000,1500000,1509000,920,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110524,1510000,1600000,1510000,1600000,1880,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110525,1600000,1610000,1553000,1567000,2612,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110526,1558000,1618000,1558000,1588000,1303,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110527,1571000,1600000,1563000,1590000,1265,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110530,1599000,1599000,1573000,1574000,629,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110531,1590000,1631000,1574000,1619000,3446,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110601,1608000,1618000,1588000,1618000,2004,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110602,1629000,1630000,1553000,1595000,1140,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110603,1561000,1720000,1560000,1719000,1853,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110607,1686000,1848000,1682000,1806000,2558,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110608,1785000,1803000,1715000,1726000,5650,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110609,1721000,1728000,1659000,1659000,3189,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110610,1687000,1706000,1659000,1691000,1809,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110613,1705000,1720000,1668000,1695000,849,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110614,1698000,1724000,1675000,1723000,962,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110615,1723000,1769000,1701000,1763000,2435,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110616,1760000,1760000,1706000,1706000,1620,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110617,1720000,1753000,1711000,1739000,2913,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110620,1770000,1770000,1722000,1737000,1625,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110621,1732000,1749000,1704000,1717000,1575,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110622,1730000,1739000,1711000,1739000,1714,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110623,1727000,1727000,1691000,1699000,1492,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110624,1691000,1740000,1691000,1736000,1828,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110627,1759000,1759000,1678000,1686000,1110,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110628,1691000,1727000,1689000,1700000,1246,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110629,1717000,1734000,1704000,1719000,1030,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110630,1719000,1730000,1701000,1701000,1121,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110701,1701000,1715000,1682000,1696000,986,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110704,1719000,1730000,1698000,1730000,1673,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110705,1723000,1770000,1723000,1760000,1401,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110706,1750000,1787000,1750000,1770000,1026,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110707,1782000,1813000,1780000,1802000,1459,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110708,1789000,1789000,1758000,1758000,1515,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110711,1758000,1777000,1734000,1758000,1218,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110712,1755000,1769000,1742000,1769000,549,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110713,1756000,1770000,1738000,1760000,1017,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110714,1748000,1748000,1694000,1717000,1774,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110715,1717000,1729000,1701000,1725000,873,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110718,1725000,1735000,1701000,1706000,1441,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110719,1701000,1733000,1701000,1714000,1361,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110720,1703000,1742000,1703000,1718000,1145,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110721,1733000,1750000,1721000,1734000,1204,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110722,1737000,1760000,1715000,1750000,2491,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110725,1749000,1790000,1721000,1774000,2030,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110726,1790000,1791000,1763000,1786000,1505,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110727,1770000,1828000,1752000,1800000,2139,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110728,1799000,1908000,1771000,1860000,3428,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110729,1860000,1872000,1801000,1801000,1544,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110801,1806000,1840000,1806000,1825000,1722,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110802,1807000,1808000,1753000,1753000,4111,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110803,1749000,1790000,1721000,1756000,2040,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110804,1739000,1849000,1717000,1800000,5015,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110805,1799000,1880000,1737000,1737000,4149,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110808,1737000,1742000,1640000,1699000,3702,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110809,1724000,1750000,1470000,1722000,5392,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110810,1687000,1700000,1603000,1614000,5790,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110811,1546000,1746000,1546000,1691000,3931,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110812,1692000,1746000,1665000,1725000,3275,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110816,1723000,1799000,1722000,1761000,2699,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110817,1749000,1777000,1732000,1735000,3110,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110818,1711000,1729000,1705000,1710000,2537,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110819,1680000,1724000,1610000,1724000,2498,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110822,1725000,1738000,1667000,1694000,1404,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110823,1663000,1742000,1622000,1700000,1928,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110824,1672000,1676000,1631000,1634000,2034,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110825,1614000,1647000,1589000,1594000,1825,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110826,1598000,1619000,1566000,1566000,784,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110829,1572000,1586000,1530000,1538000,1949,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110830,1543000,1676000,1540000,1646000,3151,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110831,1710000,1756000,1659000,1752000,1800,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110901,1720000,1794000,1700000,1710000,3391,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110902,1693000,1710000,1679000,1686000,862,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110905,1651000,1728000,1620000,1707000,1920,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
20110906,1705000,1705000,1627000,1627000,2172,3.86,2.56,2651,68694,3657.59,274.23,171.59,160.0,49,1425,-821,-702
